,ID,Mode,Phase,Runtime,Iteration,Best
0,1d8fcdee-daed-475e-9c6c-ac1ecefcd7ee,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|13|16|15|20|14|21|17|19|18|22,0.145,0,False
1,b9222728-0c05-4a31-8021-49beefba6830,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|13|15|18|19|14|16|17|20|22|21,0.148,0,False
2,93833a8a-0700-41bc-8430-7564a2588a79,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|13|17|20|14|21|19|22|16|15|18,14.6,0,False
3,21b3f63c-e6ba-4065-9d4b-71c2f5a40a1a,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|13|20|16|17|19|15|18|14|22|21,14.899999999999999,0,False
4,a38dce64-1ad4-462c-905d-ef8382029e36,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|13|17|14|18|16|22|21|19|15|20,0.15,0,False
5,f7e94569-636b-4ed7-96bd-d112ab7cd290,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|13|15|20|19|17|18|14|21|22|16,0.147,0,False
6,f7196c2e-9fad-4f7e-b310-5e8135ff95ae,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|17|18|20|16|15|22|13|19|14|21,14.899999999999999,0,False
7,c4e3b14e-16b7-4039-b5da-949e1b6a651b,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|19|14|16|17|20|22|15|18|21|13,0.144,0,False
8,e31649f8-4299-4b09-a85b-d4a9318c513b,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|20|14|15|16|18|13|22|21|17|19,0.144,0,False
9,5860ad25-3fd3-466e-b1b9-7893ef43e19d,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|14|13|20|16|21|19|15|22|17|18,0.145,0,False
10,30937dcb-2d6d-431e-a43c-298658ac9001,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|20|15|13|17|18|22|19|14|16|21,0.144,0,False
11,dd10aefa-c92f-4bcf-b69e-aa4e05cb2941,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|21|16|13|19|20|14|17|22|15|18,0.145,0,False
12,8698e760-0713-42da-a636-da434eb31c55,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|20|14|15|19|22|18|16|17|13|21,0.147,0,False
13,10f851db-01b5-4550-bdd0-305e4ebe2e29,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|15|17|14|21|22|16|13|20|18|19,0.145,0,False
14,518456ac-cb4b-401f-9f8f-682778ab909d,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|20|17|14|21|15|22|19|16|13|18,0.145,0,False
15,bf68b666-178a-434b-bac2-baaf5b245508,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|16|20|14|21|15|13|17|19|18|22,0.144,0,False
16,e3624e15-f66f-4b49-9bc5-20ddfd439642,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|22|14|15|16|19|18|21|17|20|13,0.146,0,False
17,50337232-421c-431e-8557-b2fd5ec19c2e,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|17|20|21|19|15|16|22|18,0.146,0,False
18,16832c32-3e6e-4b4b-a473-49a7dd638673,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|15|18|19|22|17|20|21|14|16|13,0.147,0,False
19,53f45f50-7c31-408c-a5a7-81b0c4150a70,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|16|13|21|20|14|22|15|19|18|17,0.144,0,False
20,ab6cdaf2-c569-4b4f-bb06-cc9c2880ed86,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|14|16|20|22|13|15|18|19|21|17,0.149,0,False
21,c390804b-0148-4db3-b6a2-4e3b7a085ae6,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|18|19|15|22|13|17|14|16|20|21,0.148,0,False
22,6d8702f4-c277-4d07-bb86-eec566c3e940,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|19|13|17|14|20|18|21|16|22|15,0.148,0,False
23,f835f684-69b5-49cf-8e1b-5e937369ec2a,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|14|20|17|21|18|22|13|16|15|19,0.154,0,False
24,7d4c6f58-68fc-480f-9b17-c315d6044eb6,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|16|14|13|22|15|21|18|19|20|17,0.146,0,False
25,9084a5cb-8082-449c-8c82-9cc847336896,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|17|15|20|18|19|16|13|22|14|21,0.144,0,False
26,a80938da-c8be-48ac-a300-35e163798923,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|18|14|20|21|16|15|13|19|17|22,0.145,0,False
27,0abb52fa-af3c-4df4-bd74-dd1ea54c8ac1,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|15|19|17|22|20|18|16|21|13|14,0.145,0,False
28,744b4260-d5c8-406d-9493-3331a5f98571,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|16|13|19|21|17|22|14|18|15|20,0.15,0,False
29,0887a10c-052c-4b68-9efb-953c0fe77151,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|16|19|21|22|17|15|18|20|14|13,0.146,0,False
30,79876eed-16ee-4d68-8c2d-d5305023ea3e,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|14|15|18|16|20|17|19|22|13|21,0.147,0,False
31,2bb67c3d-6c7b-4bc5-afd2-995193d9d7c0,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|17|16|14|21|20|15|22|13|19|18,0.145,0,False
32,0f92d95f-e263-4d1f-9e8a-790afd9fdc5d,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|20|16|21|19|17|14|22|13|15|18,0.146,0,False
33,45be8cf9-f420-47ef-bd75-fe633cc650f1,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|21|17|19|20|14|22|13|16|18|15,0.146,0,False
34,1e3309a8-ca42-462f-a349-87bdf8875d09,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|15|18|20|21|19|13|14|22|16|17,0.146,0,False
35,982b1994-2d5f-44ac-a25f-4712cf61e602,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|18|19|14|20|22|13|16|21|17|15,0.144,0,False
36,301a7b5e-3c68-4b6a-864f-2b9e95e6c77e,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|16|18|17|22|21|14|20|13|19|15,0.145,0,False
37,1a87d88b-867f-46d5-88f8-bea5aab4fb8e,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|21|13|22|14|18|19|20|17|15|16,0.144,0,False
38,05fbee79-ea29-4d3c-a2b4-454256063938,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|22|15|17|16|18|21|20|14|13|19,0.145,0,False
39,e3b314b5-4d6f-4027-8ef8-7212a8bc7ad4,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|20|17|14|22|21|16|19|13|18|15,0.144,0,False
40,3881ae02-b2f3-43d0-b030-e12e7cabcd09,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|17|19|13|20|16|14|21|15|22|18,0.15,0,False
41,ddb4a57a-d222-4059-895a-7ff80a132024,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|18|13|19|21|22|20|15|14|17|16,0.147,0,False
42,2e0f8c4d-ca87-412e-95d4-f06230c39d09,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|17|22|21|18|19|16|14|20|15|13,14.899999999999999,0,False
43,1fed528b-9e52-46e5-a735-a507e5b9d6c4,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|18|13|20|19|15|17|14|21|16|22,0.145,0,False
44,b9e8abd7-db50-44eb-b976-f322367bb7ba,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|21|14|13|16|19|22|18|17|15|20,0.145,0,False
45,0b403125-36f7-4062-814a-49c8fa80e364,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|15|21|14|22|17|18|20|16|19|13,0.146,0,False
46,54be497f-1905-4984-a13a-71fa647e0f81,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|22|13|21|17|16|20|19|18|14|15,0.145,0,False
47,6f234277-26fb-43d6-8cec-6c28a6ab6aa1,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|15|17|21|22|13|20|14|19|16|18,0.148,0,False
48,d95b889d-1b5d-4b79-ac72-2d2bb1ba1d08,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|16|14|21|20|18|22|17|19|15|13,0.145,0,False
