,ID,Mode,Flags,Runtime,Iteration,Best
0,-O0,fast,-O0,0.443,0,False
1,-O2,fast,-O2,0.443,0,False
2,8796dd9d-272e-4e01-8652-cf12060592e1,fast,"['-O0', '-fcpr-anal', '-fregs-iterative', '-fliberate-case', '-fexcess-precision', '-fdo-lambda-eta-expansion', '-flate-dmd-anal', '-fmax-inline-alloc-size=128', '-fliberate-case-threshold=2000', '-ffun-to-thunk', '-fstrictness', '-fomit-interface-pragmas', '-fsimplifier-phases=2', '-funfolding-keeness-factor=1.5', '-fcse', '-funfolding-dict-discount=30', '-fspec-constr-threshold=2000', '-funfolding-fun-discount=60', '-floopification', '-fpedantic-bottoms', '-fvectorise', '-fomit-yields', '-funfolding-use-threshold=60', '-fspec-constr-count=3', '-fenable-rewrite-rules', '-fdicts-cheap']",0.442,0,False
3,de7692e3-21fe-418c-b435-07ee81efb79a,fast,"['-O0', '-fsimpl-tick-factor=100', '-fspec-constr']",0.441,0,False
4,7ec4f93a-0226-4f2b-986b-57fee740d96d,fast,"['-O0', '-flate-dmd-anal', '-fdicts-strict', '-fexpose-all-unfoldings', '-ffull-laziness', '-foptimal-applicative-do', '-fsimplifier-phases=2', '-funfolding-fun-discount=60', '-fcross-module-specialise', '-fignore-interface-pragmas', '-funbox-small-strict-fields', '-fno-pre-inlining']",0.444,0,False
5,61320e7e-9c91-49a2-afe4-c57db6fb48d5,fast,"['-O0', '-fdo-eta-reduction', '-fno-state-hack', '-ffull-laziness', '-funfolding-fun-discount=60', '-fmax-simplifier-iterations=4', '-fomit-interface-pragmas', '-fignore-asserts', '-fmax-relevant-binds=6', '-fmax-inline-alloc-size=128', '-fregs-iterative', '-fenable-rewrite-rules', '-fno-opt-coercion', '-floopification', '-fignore-interface-pragmas', '-fcmm-elim-common-blocks', '-feager-blackholing', '-fsimpl-tick-factor=100', '-fcse', '-fliberate-case-threshold=2000', '-fdo-lambda-eta-expansion', '-fcross-module-specialise', '-fliberate-case', '-fno-pre-inlining', '-foptimal-applicative-do', '-fcmm-sink', '-fsimplifier-phases=2', '-ffun-to-thunk', '-fspec-constr-threshold=2000', '-fexpose-all-unfoldings', '-funbox-small-strict-fields', '-fpedantic-bottoms', '-funfolding-use-threshold=60']",0.448,0,False
6,90c87c8a-ce3b-4e77-956d-daa920df5127,fast,"['-O0', '-fignore-asserts', '-fexcess-precision', '-fstrictness-before=1', '-funfolding-keeness-factor=1.5', '-fstatic-argument-transformation', '-fworker-wrapper', '-fcse', '-funfolding-use-threshold=60', '-funfolding-creation-threshold=750', '-fno-opt-coercion', '-fspecialise', '-fdo-lambda-eta-expansion', '-fmax-relevant-binds=6', '-fenable-rewrite-rules', '-fdicts-cheap', '-flate-dmd-anal', '-fpedantic-bottoms', '-fomit-yields', '-fmax-inline-alloc-size=128', '-funbox-small-strict-fields', '-ffloat-in', '-funbox-strict-fields', '-fcmm-sink', '-fmax-inline-memset-insns=32', '-fomit-interface-pragmas', '-fvectorise', '-fspec-constr', '-fno-pre-inlining', '-feager-blackholing', '-fregs-graph', '-fsimpl-tick-factor=100', '-fcpr-anal', '-fexpose-all-unfoldings', '-fmax-worker-args=10', '-fspec-constr-count=3', '-floopification', '-fcross-module-specialise', '-ffull-laziness', '-fsimplifier-phases=2', '-fmax-inline-memcpy-insns=32', '-fno-state-hack', '-ffun-to-thunk', '-fdo-eta-reduction', '-foptimal-applicative-do']",0.439,0,False
7,3afbbab9-9453-4f68-80e7-7347b748cdc8,fast,"['-O0', '-fdo-eta-reduction', '-fno-pre-inlining', '-fcmm-sink', '-fmax-inline-alloc-size=128', '-fno-opt-coercion', '-fcall-arity', '-fcross-module-specialise', '-fomit-interface-pragmas', '-fliberate-case', '-fdicts-strict', '-fno-state-hack', '-fstrictness', '-fdicts-cheap', '-fmax-relevant-binds=6', '-fsimpl-tick-factor=100']",0.444,0,False
8,390170e8-1a28-4a0a-b6a1-c6b6d9acfce8,fast,"['-O0', '-fspecialise', '-funfolding-creation-threshold=750', '-fspec-constr', '-fdicts-cheap', '-fcmm-sink', '-flate-dmd-anal', '-fmax-inline-memset-insns=32', '-fno-pre-inlining', '-funfolding-fun-discount=60', '-fdmd-tx-dict-sel', '-ffull-laziness', '-fno-opt-coercion', '-fliberate-case', '-fcross-module-specialise', '-fomit-yields', '-fexcess-precision', '-fignore-asserts', '-funfolding-dict-discount=30', '-fvectorisation-avoidance', '-fvectorise', '-fsimplifier-phases=2', '-fcpr-anal', '-fdo-eta-reduction', '-fignore-interface-pragmas', '-fregs-graph', '-feager-blackholing']",0.45,0,False
9,eeecf862-e04a-4a74-87d6-08fdc2b66efc,fast,"['-O0', '-fmax-relevant-binds=6', '-fspec-constr-count=3', '-fspecialise', '-fignore-interface-pragmas', '-fstrictness', '-fliberate-case-threshold=2000', '-fsimpl-tick-factor=100', '-funfolding-keeness-factor=1.5', '-fomit-interface-pragmas', '-funfolding-dict-discount=30', '-fvectorisation-avoidance', '-fcmm-sink', '-fmax-worker-args=10', '-ffun-to-thunk', '-fmax-inline-memcpy-insns=32', '-fexpose-all-unfoldings', '-floopification', '-fomit-yields', '-feager-blackholing', '-funbox-small-strict-fields', '-fenable-rewrite-rules', '-ffull-laziness', '-fspec-constr', '-fno-state-hack', '-fdicts-strict', '-foptimal-applicative-do', '-fstatic-argument-transformation', '-ffloat-in', '-fignore-asserts', '-fworker-wrapper', '-fdmd-tx-dict-sel', '-fliberate-case', '-fvectorise', '-fspec-constr-threshold=2000', '-fdicts-cheap', '-fregs-iterative', '-fsimplifier-phases=2', '-fstrictness-before=1', '-funbox-strict-fields', '-fmax-inline-alloc-size=128', '-funfolding-fun-discount=60', '-fmax-inline-memset-insns=32', '-fno-opt-coercion', '-fdo-lambda-eta-expansion', '-fcmm-elim-common-blocks', '-flate-dmd-anal', '-fexcess-precision']",0.452,0,False
