,ID,Flags,Mode,Runtime,Elapsed_Time
0,-O0,['-O0'],fast,0.438,0.438
1,-O2,['-O2'],fast,0.437,0.437
2,8bf2980a-7c38-4136-8427-41611ae2ce03,"['-O0' '-funfolding-fun-discount=60' '-fexcess-precision'
 '-foptimal-applicative-do' '-fcase-merge' '-fdicts-strict'
 '-ffun-to-thunk' '-funbox-small-strict-fields' '-fstrictness-before=1'
 '-fstrictness-before=1' '-floopification' '-fcmm-sink'
 '-fno-pre-inlining' '-fspec-constr' '-fcall-arity' '-fcall-arity'
 '-fsimpl-tick-factor=100' '-funfolding-keeness-factor=1.5' '-fregs-graph'
 '-fsimplifier-phases=2' '-fcmm-sink' '-fexcess-precision'
 '-funfolding-dict-discount=30' '-fdicts-cheap'
 '-fspec-constr-threshold=2000' '-foptimal-applicative-do'
 '-fspec-constr-threshold=2000' '-fignore-interface-pragmas'
 '-foptimal-applicative-do' '-fenable-rewrite-rules' '-ffull-laziness'
 '-fstrictness' '-fspec-constr' '-fregs-iterative'
 '-funfolding-dict-discount=30' '-fexpose-all-unfoldings'
 '-fstrictness-before=1' '-fcmm-sink' '-funbox-strict-fields'
 '-fstrictness-before=1' '-fomit-yields' '-flate-dmd-anal'
 '-fmax-relevant-binds=6' '-fcmm-elim-common-blocks' '-fno-pre-inlining'
 '-fcall-arity' '-fdicts-cheap' '-foptimal-applicative-do'
 '-fmax-inline-memset-insns=32']",fast,0.438,0.438
3,9e2b757f-5d4c-4f92-b77b-cbb9e0dcd23f,"['-O0' '-fdo-lambda-eta-expansion' '-fliberate-case'
 '-funbox-strict-fields' '-fmax-simplifier-iterations=4'
 '-fliberate-case-threshold=2000' '-fcase-merge' '-fno-opt-coercion'
 '-fcmm-sink' '-fstrictness-before=1' '-fsimplifier-phases=2'
 '-fstrictness' '-fmax-relevant-binds=6' '-fcse'
 '-fdo-lambda-eta-expansion' '-fregs-graph' '-fdmd-tx-dict-sel'
 '-fenable-rewrite-rules' '-fno-opt-coercion' '-fomit-yields'
 '-fsimplifier-phases=2' '-fspec-constr-threshold=2000'
 '-fenable-rewrite-rules' '-funfolding-use-threshold=60'
 '-fspec-constr-count=3' '-fregs-graph' '-foptimal-applicative-do'
 '-funfolding-creation-threshold=750' '-fexpose-all-unfoldings'
 '-funfolding-creation-threshold=750' '-fignore-asserts'
 '-fmax-inline-memset-insns=32' '-fcpr-anal' '-fcmm-elim-common-blocks'
 '-floopification' '-funfolding-dict-discount=30' '-fspec-constr-count=3'
 '-fdo-lambda-eta-expansion' '-fenable-rewrite-rules' '-fcall-arity'
 '-fcmm-elim-common-blocks' '-fignore-asserts'
 '-fspec-constr-threshold=2000' '-fcse' '-fomit-yields'
 '-fno-pre-inlining' '-fvectorise' '-fno-state-hack' '-fworker-wrapper']",fast,0.439,0.439
4,a8abb8ef-e15f-473c-ac50-df4dc77e22fe,"['-O0' '-fspec-constr-threshold=2000' '-fcmm-elim-common-blocks'
 '-fignore-asserts' '-fstrictness-before=1'
 '-funfolding-keeness-factor=1.5' '-flate-dmd-anal' '-fdicts-cheap'
 '-fcpr-anal' '-fcmm-sink' '-fmax-inline-memset-insns=32'
 '-fignore-asserts' '-fspec-constr' '-flate-dmd-anal'
 '-fmax-worker-args=10' '-fexpose-all-unfoldings' '-fstrictness-before=1'
 '-fmax-relevant-binds=6' '-fmax-inline-memcpy-insns=32'
 '-fvectorisation-avoidance' '-funbox-strict-fields'
 '-fmax-relevant-binds=6' '-fno-opt-coercion' '-fdmd-tx-dict-sel'
 '-fregs-iterative' '-funfolding-keeness-factor=1.5' '-ffun-to-thunk'
 '-fvectorisation-avoidance' '-ffloat-in' '-fcross-module-specialise'
 '-fcmm-sink' '-fstatic-argument-transformation'
 '-funfolding-use-threshold=60' '-fmax-inline-alloc-size=128'
 '-ffull-laziness' '-flate-dmd-anal' '-fdicts-strict' '-fliberate-case'
 '-fdmd-tx-dict-sel' '-floopification' '-fmax-simplifier-iterations=4'
 '-fno-opt-coercion' '-fcross-module-specialise' '-fmax-worker-args=10'
 '-fignore-asserts' '-fexcess-precision' '-fpedantic-bottoms'
 '-fspecialise' '-fvectorise']",fast,0.44,0.44
5,ac128012-7b42-4a7e-954c-9e8f2bed6701,"['-O0' '-fno-pre-inlining' '-fignore-asserts' '-fcmm-elim-common-blocks'
 '-fsimplifier-phases=2' '-fliberate-case-threshold=2000'
 '-fliberate-case' '-fstrictness' '-funbox-small-strict-fields'
 '-fliberate-case' '-fliberate-case' '-feager-blackholing'
 '-fvectorisation-avoidance' '-fregs-graph' '-fspec-constr-threshold=2000'
 '-fcmm-sink' '-floopification' '-funbox-small-strict-fields'
 '-fvectorise' '-fstrictness-before=1' '-fenable-rewrite-rules'
 '-fno-opt-coercion' '-funfolding-fun-discount=60' '-fsimplifier-phases=2'
 '-fsimpl-tick-factor=100' '-fomit-yields' '-fmax-inline-alloc-size=128'
 '-fno-pre-inlining' '-fdmd-tx-dict-sel' '-fspec-constr-threshold=2000'
 '-fliberate-case' '-fliberate-case' '-fregs-iterative' '-fcmm-sink'
 '-ffloat-in' '-fno-opt-coercion' '-fenable-rewrite-rules'
 '-fno-state-hack' '-fliberate-case-threshold=2000' '-fcmm-sink'
 '-fdo-eta-reduction' '-fcse' '-fmax-relevant-binds=6'
 '-fexpose-all-unfoldings' '-fregs-graph' '-fmax-simplifier-iterations=4'
 '-fworker-wrapper' '-fstrictness-before=1' '-funfolding-dict-discount=30']",fast,0.438,0.438
6,4cf9ff68-2b78-4a25-a0ed-41fa2d742a76,"['-O0' '-funfolding-fun-discount=60' '-fdicts-strict'
 '-fmax-worker-args=10' '-funbox-small-strict-fields' '-fomit-yields'
 '-fmax-relevant-binds=6' '-fmax-inline-alloc-size=128'
 '-feager-blackholing' '-fvectorisation-avoidance'
 '-fenable-rewrite-rules' '-fomit-interface-pragmas'
 '-fdo-lambda-eta-expansion' '-fstatic-argument-transformation'
 '-fenable-rewrite-rules' '-fcmm-elim-common-blocks' '-fdo-eta-reduction'
 '-funbox-small-strict-fields' '-fregs-iterative'
 '-funfolding-fun-discount=60' '-fspec-constr' '-fsimpl-tick-factor=100'
 '-fspec-constr-count=3' '-fdmd-tx-dict-sel' '-fdo-eta-reduction'
 '-fmax-simplifier-iterations=4' '-fno-pre-inlining' '-fspec-constr'
 '-fomit-interface-pragmas' '-fsimpl-tick-factor=100' '-fno-pre-inlining'
 '-funfolding-keeness-factor=1.5' '-fdicts-cheap' '-fdicts-cheap'
 '-fvectorisation-avoidance' '-fspecialise' '-fstrictness' '-fdicts-cheap'
 '-funfolding-use-threshold=60' '-fvectorise' '-floopification' '-fcse'
 '-funbox-strict-fields' '-fno-state-hack' '-funbox-strict-fields'
 '-fpedantic-bottoms' '-fmax-worker-args=10' '-fvectorise'
 '-floopification']",fast,0.439,0.439
7,f1ab3a32-2efe-4e20-8b65-9d666fb052f5,"['-O0' '-funfolding-use-threshold=60' '-fspec-constr-threshold=2000'
 '-fmax-worker-args=10' '-feager-blackholing' '-fstrictness'
 '-ffull-laziness' '-fno-pre-inlining' '-fstatic-argument-transformation'
 '-funfolding-use-threshold=60' '-fdmd-tx-dict-sel'
 '-funfolding-dict-discount=30' '-fmax-relevant-binds=6'
 '-fno-pre-inlining' '-fno-pre-inlining' '-fno-pre-inlining' '-ffloat-in'
 '-fspecialise' '-fmax-inline-memcpy-insns=32' '-fcross-module-specialise'
 '-fliberate-case-threshold=2000' '-fspecialise' '-fvectorise'
 '-fmax-simplifier-iterations=4' '-fstrictness-before=1' '-floopification'
 '-fliberate-case' '-fno-opt-coercion' '-fno-opt-coercion'
 '-floopification' '-fmax-worker-args=10' '-fsimplifier-phases=2'
 '-fspec-constr-count=3' '-fignore-asserts' '-ffun-to-thunk'
 '-fdmd-tx-dict-sel' '-ffloat-in' '-fcse' '-fenable-rewrite-rules'
 '-fomit-yields' '-ffloat-in' '-funfolding-creation-threshold=750'
 '-fdicts-strict' '-fcse' '-feager-blackholing'
 '-fliberate-case-threshold=2000' '-fmax-worker-args=10' '-flate-dmd-anal'
 '-ffun-to-thunk']",fast,0.438,0.438
8,91947322-d2e1-4684-a235-b94cff42669e,"['-O0' '-fcross-module-specialise' '-funfolding-use-threshold=60'
 '-fdicts-cheap' '-fstatic-argument-transformation' '-floopification'
 '-fdo-eta-reduction' '-fenable-rewrite-rules'
 '-fspec-constr-threshold=2000' '-fcmm-elim-common-blocks' '-fvectorise'
 '-funbox-strict-fields' '-fliberate-case-threshold=2000' '-fdicts-cheap'
 '-fcse' '-fignore-interface-pragmas' '-fmax-relevant-binds=6'
 '-fsimplifier-phases=2' '-fdicts-cheap' '-fno-pre-inlining'
 '-funbox-strict-fields' '-fmax-relevant-binds=6'
 '-fliberate-case-threshold=2000' '-feager-blackholing' '-fcse'
 '-flate-dmd-anal' '-fcase-merge' '-fcross-module-specialise'
 '-ffun-to-thunk' '-funbox-strict-fields' '-fexcess-precision'
 '-fmax-worker-args=10' '-fdicts-cheap'
 '-funfolding-creation-threshold=750' '-fenable-rewrite-rules'
 '-fignore-interface-pragmas' '-ffull-laziness' '-foptimal-applicative-do'
 '-fdo-lambda-eta-expansion' '-fdicts-strict' '-fspecialise'
 '-fmax-relevant-binds=6' '-fstrictness-before=1'
 '-funfolding-keeness-factor=1.5' '-feager-blackholing'
 '-fmax-inline-alloc-size=128' '-ffull-laziness' '-ffun-to-thunk'
 '-fexcess-precision']",fast,0.443,0.443
9,84a33e20-ce5c-413c-a73b-783d6a8fb595,"['-O0' '-floopification' '-fignore-interface-pragmas'
 '-fstatic-argument-transformation' '-fdicts-strict' '-fno-opt-coercion'
 '-fliberate-case' '-funbox-small-strict-fields'
 '-foptimal-applicative-do' '-fno-opt-coercion'
 '-fmax-simplifier-iterations=4' '-fexcess-precision' '-fignore-asserts'
 '-fno-pre-inlining' '-feager-blackholing' '-fmax-inline-alloc-size=128'
 '-fcall-arity' '-fexcess-precision' '-fignore-asserts' '-fno-state-hack'
 '-fspecialise' '-fliberate-case-threshold=2000' '-fliberate-case'
 '-fdo-eta-reduction' '-fmax-inline-memcpy-insns=32'
 '-fmax-relevant-binds=6' '-fvectorisation-avoidance'
 '-fmax-inline-alloc-size=128' '-fregs-iterative' '-feager-blackholing'
 '-funfolding-dict-discount=30' '-fstrictness' '-feager-blackholing'
 '-fcmm-sink' '-fcse' '-fspec-constr-count=3' '-fstrictness-before=1'
 '-fcpr-anal' '-fmax-inline-alloc-size=128' '-funfolding-use-threshold=60'
 '-fstrictness' '-funbox-small-strict-fields' '-fmax-relevant-binds=6'
 '-ffull-laziness' '-feager-blackholing' '-fno-state-hack'
 '-fspec-constr-count=3' '-fmax-inline-alloc-size=128' '-fcmm-sink']",fast,0.437,0.437
10,c36d0c6f-f668-413c-b4e7-038d1a737736,"['-O0' '-fmax-worker-args=10' '-fignore-interface-pragmas'
 '-fdicts-strict' '-funfolding-keeness-factor=1.5'
 '-funfolding-dict-discount=30' '-fomit-interface-pragmas'
 '-fmax-inline-memset-insns=32' '-fignore-asserts' '-fcase-merge' '-fcse'
 '-fregs-graph' '-fspec-constr-threshold=2000' '-fdo-eta-reduction'
 '-fdicts-strict' '-fstrictness' '-ffull-laziness' '-fpedantic-bottoms'
 '-fmax-inline-alloc-size=128' '-fcpr-anal' '-fdmd-tx-dict-sel'
 '-fdicts-strict' '-floopification' '-flate-dmd-anal'
 '-funfolding-keeness-factor=1.5' '-fcall-arity' '-fcpr-anal'
 '-fdmd-tx-dict-sel' '-funfolding-creation-threshold=750'
 '-fstrictness-before=1' '-fdicts-strict' '-fenable-rewrite-rules'
 '-fomit-interface-pragmas' '-fliberate-case'
 '-fspec-constr-threshold=2000' '-fomit-interface-pragmas'
 '-floopification' '-fenable-rewrite-rules' '-fignore-asserts'
 '-fdo-eta-reduction' '-fno-opt-coercion' '-fvectorisation-avoidance'
 '-fstrictness' '-fexpose-all-unfoldings' '-fcse'
 '-fexpose-all-unfoldings' '-fspec-constr' '-fmax-worker-args=10'
 '-fdo-lambda-eta-expansion']",fast,0.435,0.435
11,24e3c321-1aa4-4acc-ba2b-97a1af80934a,"['-O0' '-funbox-strict-fields' '-fomit-yields'
 '-fignore-interface-pragmas' '-fvectorise' '-ffun-to-thunk' '-fcmm-sink'
 '-funfolding-use-threshold=60' '-funfolding-creation-threshold=750'
 '-fspecialise' '-fexcess-precision' '-fsimpl-tick-factor=100'
 '-fcmm-sink' '-fdo-eta-reduction' '-fmax-inline-alloc-size=128'
 '-fdo-lambda-eta-expansion' '-funbox-strict-fields' '-fcall-arity'
 '-fexcess-precision' '-fstatic-argument-transformation' '-fdicts-strict'
 '-funfolding-creation-threshold=750' '-fmax-inline-memcpy-insns=32'
 '-fdicts-cheap' '-fno-opt-coercion' '-ffun-to-thunk' '-fcpr-anal'
 '-fcall-arity' '-fvectorisation-avoidance' '-fvectorisation-avoidance'
 '-funbox-small-strict-fields' '-fstrictness' '-fvectorisation-avoidance'
 '-ffun-to-thunk' '-fspec-constr' '-fexpose-all-unfoldings'
 '-fmax-inline-alloc-size=128' '-fcse' '-fmax-inline-memcpy-insns=32'
 '-fspec-constr' '-fcmm-elim-common-blocks'
 '-funfolding-keeness-factor=1.5' '-fignore-interface-pragmas'
 '-fspec-constr-count=3' '-fcase-merge' '-fspec-constr-threshold=2000'
 '-fcpr-anal' '-fsimplifier-phases=2' '-fspec-constr-threshold=2000']",fast,0.44,0.44
12,540fba34-e11b-4f6a-98aa-f1c00bbb2ff0,"['-O0' '-fcase-merge' '-fvectorise' '-fcpr-anal' '-fcpr-anal'
 '-fmax-simplifier-iterations=4' '-fno-state-hack' '-fmax-worker-args=10'
 '-fmax-relevant-binds=6' '-fvectorise' '-funfolding-keeness-factor=1.5'
 '-fdicts-cheap' '-fenable-rewrite-rules' '-fcmm-sink' '-fstrictness'
 '-funfolding-creation-threshold=750' '-fsimplifier-phases=2'
 '-fvectorise' '-fmax-inline-memcpy-insns=32' '-fworker-wrapper'
 '-fomit-yields' '-fdo-lambda-eta-expansion' '-fspecialise'
 '-funbox-small-strict-fields' '-fmax-relevant-binds=6' '-floopification'
 '-fno-pre-inlining' '-ffloat-in' '-fspec-constr-threshold=2000'
 '-fcmm-elim-common-blocks' '-fexcess-precision'
 '-fstatic-argument-transformation' '-fpedantic-bottoms'
 '-fstatic-argument-transformation' '-fomit-interface-pragmas'
 '-fspec-constr-count=3' '-fcmm-sink' '-flate-dmd-anal' '-fspec-constr'
 '-fdmd-tx-dict-sel' '-funfolding-use-threshold=60'
 '-fliberate-case-threshold=2000' '-funfolding-dict-discount=30'
 '-flate-dmd-anal' '-fdo-lambda-eta-expansion'
 '-fignore-interface-pragmas' '-foptimal-applicative-do'
 '-fignore-interface-pragmas' '-funfolding-dict-discount=30']",fast,0.438,0.438
13,8179fa04-d1d7-4bc0-83b4-7f5e2919c373,"['-O0' '-fenable-rewrite-rules' '-fomit-interface-pragmas'
 '-feager-blackholing' '-fomit-interface-pragmas'
 '-funfolding-use-threshold=60' '-fmax-simplifier-iterations=4'
 '-fcpr-anal' '-fpedantic-bottoms' '-fmax-relevant-binds=6'
 '-fworker-wrapper' '-fcse' '-fstrictness' '-fno-pre-inlining'
 '-funbox-small-strict-fields' '-fmax-simplifier-iterations=4'
 '-flate-dmd-anal' '-fliberate-case' '-fregs-graph' '-flate-dmd-anal'
 '-feager-blackholing' '-funfolding-fun-discount=60'
 '-foptimal-applicative-do' '-fmax-simplifier-iterations=4'
 '-fdo-eta-reduction' '-feager-blackholing'
 '-funfolding-keeness-factor=1.5' '-funbox-strict-fields'
 '-funbox-strict-fields' '-funbox-small-strict-fields' '-fno-pre-inlining'
 '-fignore-asserts' '-fsimpl-tick-factor=100' '-fvectorise'
 '-fspec-constr' '-fignore-interface-pragmas' '-fignore-asserts'
 '-fstrictness-before=1' '-fcpr-anal' '-fcmm-sink' '-fcse'
 '-fmax-inline-memset-insns=32' '-fno-pre-inlining' '-floopification'
 '-fmax-inline-memset-insns=32' '-fregs-graph' '-fliberate-case'
 '-floopification' '-fmax-inline-memset-insns=32']",fast,0.438,0.438
