,ID,Flags,Mode,Runtime,Elapsed_Time
0,-O0,['-O0'],fast,0.442,0.442
1,-O2,['-O2'],fast,0.44,0.44
2,7b857385-6037-4fd0-9b4d-153ce29ac20a,"['-O0' '-fspec-constr-count=3' '-fmax-simplifier-iterations=4'
 '-ffun-to-thunk' '-fomit-interface-pragmas' '-fliberate-case'
 '-fignore-asserts' '-fpedantic-bottoms' '-fliberate-case-threshold=2000'
 '-fstatic-argument-transformation' '-fmax-worker-args=10' '-fcpr-anal'
 '-fdicts-cheap' '-fsimplifier-phases=2' '-fmax-inline-memset-insns=32'
 '-funfolding-fun-discount=60' '-fcmm-sink' '-floopification'
 '-fmax-worker-args=10' '-funfolding-fun-discount=60' '-flate-dmd-anal'
 '-fspecialise' '-fstatic-argument-transformation' '-floopification'
 '-funbox-strict-fields' '-funfolding-creation-threshold=750'
 '-fmax-inline-memcpy-insns=32' '-fno-opt-coercion'
 '-funbox-strict-fields' '-fpedantic-bottoms' '-fvectorisation-avoidance'
 '-fregs-iterative' '-fvectorisation-avoidance' '-fdicts-cheap'
 '-fmax-relevant-binds=6' '-fstrictness-before=1' '-fdmd-tx-dict-sel'
 '-funfolding-fun-discount=60' '-fworker-wrapper' '-fstrictness-before=1'
 '-funbox-small-strict-fields' '-fno-state-hack' '-fdicts-strict'
 '-fspecialise' '-fcpr-anal']",fast,0.443,0.443
3,db71aab0-5c4e-4b8d-b4c1-a8db75ab6762,"['-O0' '-fcse' '-fregs-iterative' '-fspec-constr' '-fworker-wrapper'
 '-funfolding-fun-discount=60' '-fvectorise' '-fstrictness-before=1'
 '-foptimal-applicative-do' '-fsimpl-tick-factor=100' '-ffloat-in'
 '-fomit-interface-pragmas' '-fpedantic-bottoms'
 '-funfolding-use-threshold=60' '-fignore-interface-pragmas'
 '-fno-opt-coercion' '-funfolding-use-threshold=60'
 '-fmax-relevant-binds=6' '-funfolding-use-threshold=60'
 '-fstrictness-before=1' '-fpedantic-bottoms' '-fcmm-elim-common-blocks'
 '-fcase-merge' '-fcross-module-specialise'
 '-fstatic-argument-transformation' '-fdicts-strict' '-fomit-yields'
 '-fsimplifier-phases=2' '-funfolding-keeness-factor=1.5' '-ffloat-in'
 '-funfolding-dict-discount=30' '-funfolding-keeness-factor=1.5'
 '-fdmd-tx-dict-sel' '-ffull-laziness' '-fmax-inline-alloc-size=128'
 '-fignore-interface-pragmas' '-funfolding-dict-discount=30'
 '-fspec-constr' '-funfolding-fun-discount=60'
 '-fstatic-argument-transformation' '-fenable-rewrite-rules'
 '-fstatic-argument-transformation' '-fcmm-elim-common-blocks'
 '-fmax-simplifier-iterations=4' '-fcse']",fast,0.434,0.434
4,021d795a-b54d-4095-b24e-471e86153341,"['-O0' '-fexpose-all-unfoldings' '-fmax-relevant-binds=6'
 '-fregs-iterative' '-fpedantic-bottoms' '-fpedantic-bottoms'
 '-funfolding-fun-discount=60' '-fmax-simplifier-iterations=4'
 '-fsimpl-tick-factor=100' '-fmax-simplifier-iterations=4' '-fcpr-anal'
 '-fcpr-anal' '-fstatic-argument-transformation' '-fstrictness-before=1'
 '-fmax-relevant-binds=6' '-fcmm-elim-common-blocks'
 '-fmax-inline-memcpy-insns=32' '-fvectorise' '-fexpose-all-unfoldings'
 '-fstrictness' '-fstrictness-before=1' '-fvectorise' '-floopification'
 '-fmax-inline-memcpy-insns=32' '-fstrictness' '-fcmm-elim-common-blocks'
 '-funbox-strict-fields' '-fcmm-sink' '-floopification'
 '-fexpose-all-unfoldings' '-fregs-iterative' '-fomit-interface-pragmas'
 '-fstrictness-before=1' '-fmax-inline-memset-insns=32'
 '-fvectorisation-avoidance' '-fdmd-tx-dict-sel' '-fdicts-cheap'
 '-funbox-small-strict-fields' '-fmax-simplifier-iterations=4'
 '-fignore-interface-pragmas' '-fmax-relevant-binds=6'
 '-funfolding-use-threshold=60' '-ffull-laziness' '-fregs-graph'
 '-ffull-laziness']",fast,0.438,0.438
5,524402b2-f558-4e7c-ba4d-c9018269651d,"['-O0' '-fdmd-tx-dict-sel' '-fdicts-strict' '-fno-pre-inlining'
 '-fspecialise' '-fno-state-hack' '-ffull-laziness' '-fdo-eta-reduction'
 '-fmax-inline-alloc-size=128' '-fexcess-precision'
 '-fdo-lambda-eta-expansion' '-fcase-merge' '-fomit-interface-pragmas'
 '-fstrictness' '-fstatic-argument-transformation' '-fcmm-sink'
 '-ffloat-in' '-fspec-constr-count=3' '-funfolding-creation-threshold=750'
 '-fworker-wrapper' '-fdicts-cheap' '-foptimal-applicative-do'
 '-fomit-yields' '-fliberate-case' '-fspecialise'
 '-fspec-constr-threshold=2000' '-ffull-laziness'
 '-fdo-lambda-eta-expansion' '-fomit-interface-pragmas' '-fregs-graph'
 '-fomit-interface-pragmas' '-funfolding-use-threshold=60'
 '-feager-blackholing' '-fcall-arity' '-fno-state-hack' '-ffloat-in'
 '-funfolding-fun-discount=60' '-funbox-strict-fields'
 '-fmax-inline-memcpy-insns=32' '-floopification' '-fno-opt-coercion'
 '-fmax-worker-args=10' '-funfolding-creation-threshold=750'
 '-fcase-merge' '-fspec-constr']",fast,0.443,0.443
6,da529b6a-1350-441b-bec3-6b84892e5077,"['-O0' '-fstrictness' '-fmax-inline-memcpy-insns=32' '-fliberate-case'
 '-fmax-relevant-binds=6' '-fspec-constr-count=3' '-fliberate-case'
 '-fvectorisation-avoidance' '-funfolding-use-threshold=60' '-fregs-graph'
 '-fexpose-all-unfoldings' '-fworker-wrapper'
 '-fmax-simplifier-iterations=4' '-fdicts-cheap' '-fregs-graph'
 '-funfolding-fun-discount=60' '-funbox-small-strict-fields'
 '-funbox-strict-fields' '-fstrictness-before=1' '-fenable-rewrite-rules'
 '-fomit-interface-pragmas' '-fmax-inline-memset-insns=32'
 '-fexcess-precision' '-fliberate-case-threshold=2000'
 '-fsimplifier-phases=2' '-fspecialise' '-fpedantic-bottoms'
 '-fliberate-case-threshold=2000' '-fcall-arity' '-fsimplifier-phases=2'
 '-fspec-constr' '-flate-dmd-anal' '-fcase-merge'
 '-funbox-small-strict-fields' '-fworker-wrapper' '-fcpr-anal'
 '-fcmm-elim-common-blocks' '-fstrictness-before=1' '-fregs-graph'
 '-fworker-wrapper' '-funfolding-keeness-factor=1.5' '-fliberate-case'
 '-fcase-merge' '-ffull-laziness' '-fliberate-case-threshold=2000']",fast,0.445,0.445
7,582609a0-5092-454a-83c1-5a64c35f2de3,"['-O0' '-funfolding-keeness-factor=1.5' '-fomit-yields'
 '-fsimpl-tick-factor=100' '-fdo-eta-reduction'
 '-fliberate-case-threshold=2000' '-fliberate-case' '-floopification'
 '-fdicts-strict' '-fcross-module-specialise' '-ffloat-in' '-fomit-yields'
 '-fno-opt-coercion' '-fregs-iterative' '-flate-dmd-anal' '-fspecialise'
 '-fexpose-all-unfoldings' '-fvectorisation-avoidance'
 '-feager-blackholing' '-fenable-rewrite-rules' '-fdicts-cheap'
 '-flate-dmd-anal' '-funbox-small-strict-fields'
 '-funbox-small-strict-fields' '-fomit-interface-pragmas'
 '-fomit-interface-pragmas' '-fomit-yields' '-ffun-to-thunk'
 '-fstrictness' '-fregs-graph' '-fno-pre-inlining'
 '-funfolding-dict-discount=30' '-fstrictness' '-fcpr-anal'
 '-fstrictness-before=1' '-funfolding-creation-threshold=750'
 '-fexpose-all-unfoldings' '-ffloat-in' '-floopification'
 '-flate-dmd-anal' '-fregs-iterative' '-funfolding-use-threshold=60'
 '-fno-pre-inlining' '-fno-pre-inlining' '-fomit-yields']",fast,0.442,0.442
8,0ee02ba4-1922-4760-8dbf-431dc4b8618c,"['-O0' '-funfolding-fun-discount=60' '-fcmm-elim-common-blocks'
 '-foptimal-applicative-do' '-fliberate-case-threshold=2000'
 '-fmax-inline-memcpy-insns=32' '-funfolding-keeness-factor=1.5'
 '-fomit-yields' '-fno-opt-coercion' '-fcse' '-fcmm-elim-common-blocks'
 '-floopification' '-floopification' '-fmax-worker-args=10'
 '-funbox-small-strict-fields' '-fexpose-all-unfoldings'
 '-fmax-simplifier-iterations=4' '-feager-blackholing'
 '-fmax-inline-memcpy-insns=32' '-funfolding-keeness-factor=1.5'
 '-fworker-wrapper' '-ffloat-in' '-fcall-arity' '-fsimpl-tick-factor=100'
 '-fcmm-sink' '-fvectorisation-avoidance' '-fsimplifier-phases=2'
 '-fliberate-case-threshold=2000' '-fcmm-elim-common-blocks'
 '-fmax-inline-alloc-size=128' '-fignore-interface-pragmas'
 '-fenable-rewrite-rules' '-fworker-wrapper' '-fno-pre-inlining' '-fcse'
 '-fspecialise' '-funfolding-fun-discount=60'
 '-funfolding-fun-discount=60' '-fregs-graph' '-fspecialise' '-fcse'
 '-fvectorisation-avoidance' '-fregs-iterative'
 '-funfolding-use-threshold=60' '-fspec-constr-threshold=2000']",fast,0.448,0.448
9,bcf04e89-6ef5-49f0-bd6b-88c0c58b9c56,"['-O0' '-funfolding-keeness-factor=1.5' '-ffun-to-thunk'
 '-fexpose-all-unfoldings' '-fliberate-case' '-fno-state-hack'
 '-fregs-graph' '-floopification' '-funbox-small-strict-fields'
 '-fdicts-cheap' '-fmax-inline-memset-insns=32'
 '-fcross-module-specialise' '-fspec-constr-count=3'
 '-fliberate-case-threshold=2000' '-funbox-strict-fields' '-fcmm-sink'
 '-fdicts-cheap' '-fcse' '-fmax-inline-memset-insns=32'
 '-fdo-eta-reduction' '-fcall-arity' '-fdo-lambda-eta-expansion'
 '-fmax-inline-memset-insns=32' '-fspec-constr-count=3'
 '-fexpose-all-unfoldings' '-fworker-wrapper' '-fpedantic-bottoms'
 '-fcall-arity' '-fregs-iterative' '-fno-state-hack' '-fworker-wrapper'
 '-fcase-merge' '-fmax-inline-alloc-size=128'
 '-funfolding-creation-threshold=750' '-fstrictness-before=1'
 '-fregs-graph' '-floopification' '-fomit-interface-pragmas'
 '-funfolding-keeness-factor=1.5' '-fvectorisation-avoidance'
 '-funfolding-fun-discount=60' '-fcmm-elim-common-blocks'
 '-fsimplifier-phases=2' '-fno-pre-inlining' '-ffun-to-thunk']",fast,0.447,0.447
