,ID,Mode,Flags,Runtime,Iteration,Best
0,-O0,norm,-O0,8.167,0,False
1,-O2,norm,-O2,8.167,0,False
2,17f45d04-db34-4df6-b338-d33966860ab7,norm,"['-O0', '-fignore-interface-pragmas', '-fignore-asserts', '-fdo-eta-reduction', '-fmax-inline-memset-insns=32', '-fcmm-elim-common-blocks', '-flate-dmd-anal', '-fcall-arity', '-fdmd-tx-dict-sel', '-fspec-constr-count=3', '-fdicts-strict', '-fregs-graph', '-funfolding-dict-discount=30', '-fmax-inline-alloc-size=128', '-fcase-merge', '-fcse']",8.278,0,False
3,42c75408-4fe9-4b4e-9faa-2dcb2a7ff8c3,norm,"['-O0', '-fno-pre-inlining', '-fstatic-argument-transformation', '-fsimpl-tick-factor=100', '-fomit-yields', '-fspec-constr', '-funfolding-creation-threshold=750', '-fcpr-anal', '-fcross-module-specialise', '-fcse', '-fenable-rewrite-rules', '-fdo-lambda-eta-expansion', '-fmax-inline-memset-insns=32', '-fliberate-case-threshold=2000', '-fregs-iterative', '-fliberate-case', '-ffloat-in', '-fmax-inline-alloc-size=128', '-fno-state-hack', '-funfolding-use-threshold=60', '-floopification', '-fcall-arity', '-fvectorise', '-funbox-strict-fields', '-fspec-constr-count=3', '-fstrictness-before=1', '-fregs-graph', '-fstrictness', '-fspec-constr-threshold=2000', '-funfolding-dict-discount=30', '-fworker-wrapper', '-fexcess-precision', '-fno-opt-coercion', '-funfolding-keeness-factor=1.5', '-ffun-to-thunk', '-fmax-inline-memcpy-insns=32', '-fomit-interface-pragmas', '-ffull-laziness', '-fdicts-cheap', '-fignore-asserts', '-funfolding-fun-discount=60', '-fmax-worker-args=10', '-fexpose-all-unfoldings', '-fmax-relevant-binds=6', '-fvectorisation-avoidance']",8.204,0,False
4,47434eba-0762-4b61-9e5c-5bca06ab7f2a,norm,"['-O0', '-fliberate-case-threshold=2000', '-ffull-laziness', '-fmax-inline-memset-insns=32', '-fspec-constr-count=3', '-fstrictness', '-foptimal-applicative-do', '-fsimpl-tick-factor=100', '-funfolding-use-threshold=60', '-fcross-module-specialise', '-fcmm-sink', '-fliberate-case', '-fdicts-cheap', '-fregs-graph', '-fno-pre-inlining', '-fdicts-strict', '-flate-dmd-anal', '-funfolding-fun-discount=60', '-fspec-constr', '-fspec-constr-threshold=2000', '-funbox-small-strict-fields', '-fcmm-elim-common-blocks', '-funbox-strict-fields', '-fmax-inline-alloc-size=128', '-fmax-worker-args=10', '-fignore-interface-pragmas', '-fstatic-argument-transformation', '-fregs-iterative', '-fstrictness-before=1', '-fvectorise', '-fcall-arity', '-fno-opt-coercion', '-funfolding-keeness-factor=1.5', '-funfolding-dict-discount=30', '-fcase-merge', '-fmax-simplifier-iterations=4', '-fdo-lambda-eta-expansion', '-fexcess-precision', '-fmax-relevant-binds=6', '-fworker-wrapper', '-floopification', '-fenable-rewrite-rules', '-fpedantic-bottoms', '-fdo-eta-reduction', '-fomit-yields', '-feager-blackholing', '-fcpr-anal']",8.187,0,False
5,b48d03cf-7b61-45ba-b51c-7e0a4ffa50b3,norm,"['-O0', '-fstrictness-before=1', '-funfolding-use-threshold=60', '-fdo-lambda-eta-expansion', '-fliberate-case-threshold=2000', '-fdmd-tx-dict-sel', '-ffull-laziness', '-fdo-eta-reduction', '-fmax-inline-memset-insns=32', '-fstatic-argument-transformation', '-fdicts-strict', '-funfolding-creation-threshold=750', '-fcmm-sink', '-fregs-iterative', '-fno-opt-coercion', '-fsimpl-tick-factor=100', '-fcmm-elim-common-blocks', '-fno-state-hack', '-fcall-arity', '-fignore-interface-pragmas', '-fvectorisation-avoidance', '-fdicts-cheap', '-feager-blackholing', '-fcpr-anal', '-fmax-worker-args=10', '-fmax-relevant-binds=6', '-fvectorise', '-fexcess-precision', '-fspec-constr-threshold=2000', '-fmax-inline-memcpy-insns=32', '-fcross-module-specialise', '-funfolding-fun-discount=60', '-fspecialise', '-ffun-to-thunk', '-foptimal-applicative-do', '-fworker-wrapper', '-funbox-strict-fields', '-fspec-constr-count=3', '-fspec-constr', '-fno-pre-inlining', '-funbox-small-strict-fields', '-funfolding-keeness-factor=1.5', '-fcse', '-fexpose-all-unfoldings', '-fomit-interface-pragmas', '-fsimplifier-phases=2', '-fliberate-case', '-fcase-merge', '-flate-dmd-anal', '-fomit-yields', '-fpedantic-bottoms', '-funfolding-dict-discount=30', '-floopification']",8.186,0,False
6,8af4e56a-8eee-4230-a7db-5076f5bbe3ba,norm,"['-O0', '-fspec-constr', '-fstrictness-before=1', '-fcpr-anal', '-fexpose-all-unfoldings', '-fcse', '-fspec-constr-count=3', '-fmax-relevant-binds=6', '-fmax-inline-alloc-size=128', '-fdicts-cheap', '-fdo-lambda-eta-expansion', '-fstrictness', '-fdmd-tx-dict-sel', '-funfolding-dict-discount=30', '-fcmm-sink', '-fregs-iterative', '-fignore-interface-pragmas', '-fomit-yields', '-funfolding-creation-threshold=750', '-ffull-laziness', '-ffun-to-thunk', '-fworker-wrapper', '-fexcess-precision', '-fcmm-elim-common-blocks', '-fliberate-case', '-fdicts-strict', '-fspecialise', '-fcall-arity', '-fno-state-hack', '-fdo-eta-reduction', '-fno-pre-inlining', '-fsimplifier-phases=2', '-flate-dmd-anal', '-fmax-worker-args=10']",8.167,0,False
7,6e9695e1-a4c4-4a40-93cc-025fb7a7b943,norm,"['-O0', '-fcall-arity', '-funfolding-dict-discount=30', '-flate-dmd-anal', '-fspec-constr-count=3', '-fvectorise', '-fomit-yields', '-fstrictness-before=1', '-ffun-to-thunk', '-floopification', '-fcpr-anal', '-fcmm-elim-common-blocks', '-funbox-strict-fields', '-fmax-simplifier-iterations=4', '-ffull-laziness', '-fexcess-precision', '-foptimal-applicative-do', '-fstatic-argument-transformation', '-fcross-module-specialise', '-fregs-graph', '-fregs-iterative', '-fmax-inline-memcpy-insns=32', '-fdicts-strict', '-fspec-constr', '-funfolding-creation-threshold=750', '-fdmd-tx-dict-sel', '-fspecialise', '-fspec-constr-threshold=2000', '-funfolding-use-threshold=60', '-fsimpl-tick-factor=100', '-fno-state-hack', '-ffloat-in', '-fliberate-case', '-fomit-interface-pragmas', '-fmax-inline-memset-insns=32', '-fenable-rewrite-rules', '-fdicts-cheap', '-fcse', '-fsimplifier-phases=2', '-fmax-relevant-binds=6', '-funfolding-keeness-factor=1.5']",8.176,0,False
8,27242e56-457d-4546-bd32-8a13354c10c8,norm,"['-O0', '-fmax-inline-memset-insns=32', '-fvectorise']",8.139,0,False
9,662e2a82-4233-40ca-910a-00c064e460e2,norm,"['-O0', '-funfolding-fun-discount=60']",8.232,0,False
