,ID,Mode,Flags,Runtime,Iteration,Best
0,-O0,fast,-O0,0.516,0,False
1,-O2,fast,-O2,0.516,0,False
2,dddb6cdc-0f53-4869-aac4-85a70713ec6f,fast,"['-O0', '-fmax-simplifier-iterations=4', '-fstrictness', '-fstrictness-before=1', '-fsimpl-tick-factor=100', '-floopification', '-fstatic-argument-transformation', '-fcase-merge', '-fcmm-elim-common-blocks', '-fspec-constr-count=3', '-fno-pre-inlining', '-fspec-constr-threshold=2000', '-fno-state-hack', '-fspecialise', '-fdo-lambda-eta-expansion', '-fpedantic-bottoms', '-fexcess-precision', '-ffun-to-thunk', '-fmax-inline-memcpy-insns=32', '-fvectorise', '-funfolding-use-threshold=60', '-fliberate-case', '-funbox-small-strict-fields', '-fvectorisation-avoidance', '-fomit-yields', '-fsimplifier-phases=2', '-fregs-graph', '-funbox-strict-fields', '-fdicts-cheap', '-fdicts-strict', '-foptimal-applicative-do', '-fignore-asserts', '-fliberate-case-threshold=2000', '-fno-opt-coercion', '-fexpose-all-unfoldings', '-funfolding-keeness-factor=1.5', '-fenable-rewrite-rules', '-fregs-iterative']",0.509,0,False
3,ab503381-0b18-4709-a031-ba0669ec1c25,fast,"['-O0', '-fmax-relevant-binds=6', '-fspecialise', '-ffun-to-thunk', '-fliberate-case-threshold=2000', '-fcmm-sink', '-fdicts-strict', '-fspec-constr-count=3', '-fno-pre-inlining', '-fvectorisation-avoidance', '-fmax-simplifier-iterations=4', '-funfolding-creation-threshold=750', '-fpedantic-bottoms', '-fno-opt-coercion', '-fmax-inline-memcpy-insns=32', '-fworker-wrapper', '-fmax-worker-args=10', '-fdo-lambda-eta-expansion', '-fstrictness-before=1', '-feager-blackholing', '-fmax-inline-alloc-size=128', '-fignore-interface-pragmas', '-flate-dmd-anal', '-foptimal-applicative-do', '-funbox-strict-fields', '-fcross-module-specialise', '-fmax-inline-memset-insns=32']",0.51,0,False
4,389ba279-8206-4c2e-a3b5-9288c53d5e96,fast,"['-O0', '-feager-blackholing', '-funfolding-use-threshold=60', '-fspec-constr-count=3', '-fmax-inline-memcpy-insns=32', '-fno-pre-inlining', '-funbox-strict-fields', '-fcmm-elim-common-blocks', '-fcse', '-fstrictness', '-fdmd-tx-dict-sel', '-fno-opt-coercion']",0.512,0,False
5,edfbf99a-785d-4448-8480-84039e90ac50,fast,"['-O0', '-funbox-strict-fields', '-fvectorise', '-fspec-constr-threshold=2000', '-fspec-constr', '-ffloat-in', '-fexcess-precision', '-fcall-arity', '-fmax-simplifier-iterations=4', '-fstrictness', '-fsimplifier-phases=2', '-fcpr-anal', '-funfolding-dict-discount=30', '-fomit-yields', '-fomit-interface-pragmas', '-fvectorisation-avoidance', '-fspecialise', '-fcmm-sink', '-funfolding-creation-threshold=750', '-fregs-graph', '-fno-state-hack', '-fcse', '-ffun-to-thunk', '-funfolding-fun-discount=60']",0.515,0,False
6,a9516750-3348-4d93-8eee-93e90fb54fb8,fast,"['-O0', '-fsimpl-tick-factor=100', '-fenable-rewrite-rules', '-fno-state-hack', '-fno-opt-coercion', '-fmax-worker-args=10', '-fvectorise', '-fomit-yields', '-funfolding-fun-discount=60', '-fomit-interface-pragmas', '-ffull-laziness', '-fignore-asserts', '-fdo-lambda-eta-expansion', '-flate-dmd-anal', '-fcpr-anal', '-fexcess-precision', '-fspecialise', '-fregs-graph', '-fstatic-argument-transformation', '-fcmm-elim-common-blocks', '-ffloat-in', '-fdicts-strict', '-fmax-relevant-binds=6', '-funfolding-creation-threshold=750']",0.518,0,False
7,f4c52102-0e11-4261-a490-80802743bd22,fast,"['-O0', '-fcmm-sink', '-funfolding-creation-threshold=750', '-ffun-to-thunk']",0.508,0,False
8,0288492e-cf8a-4508-81a5-4eb2aa3eae67,fast,"['-O0', '-fexcess-precision', '-funfolding-dict-discount=30', '-fmax-simplifier-iterations=4', '-fno-state-hack', '-fenable-rewrite-rules', '-fvectorise', '-fstrictness-before=1', '-fno-pre-inlining', '-fmax-worker-args=10', '-fdo-lambda-eta-expansion', '-fomit-yields', '-feager-blackholing', '-fliberate-case-threshold=2000', '-fdo-eta-reduction', '-fmax-inline-memset-insns=32', '-fvectorisation-avoidance', '-fcpr-anal', '-flate-dmd-anal', '-fregs-graph', '-funfolding-use-threshold=60', '-funbox-strict-fields', '-fcmm-sink']",0.523,0,False
9,fefdb663-68a7-4d96-826e-53d58c94f387,fast,"['-O0', '-fno-state-hack', '-funfolding-use-threshold=60', '-funfolding-keeness-factor=1.5', '-fstrictness', '-funfolding-dict-discount=30', '-ffun-to-thunk', '-fsimpl-tick-factor=100', '-fspec-constr', '-funbox-small-strict-fields', '-fmax-relevant-binds=6', '-fcpr-anal', '-fworker-wrapper', '-fdo-eta-reduction', '-fexpose-all-unfoldings', '-fcmm-sink', '-fstatic-argument-transformation', '-fmax-inline-alloc-size=128', '-fdicts-cheap', '-fspecialise', '-fcall-arity', '-fregs-graph', '-fenable-rewrite-rules', '-fspec-constr-count=3', '-ffull-laziness', '-fcross-module-specialise', '-ffloat-in', '-fno-opt-coercion', '-fignore-interface-pragmas', '-fspec-constr-threshold=2000', '-fcmm-elim-common-blocks', '-fmax-worker-args=10', '-flate-dmd-anal', '-fexcess-precision', '-foptimal-applicative-do', '-fomit-interface-pragmas', '-floopification', '-fomit-yields', '-fpedantic-bottoms', '-fmax-simplifier-iterations=4', '-fignore-asserts', '-fmax-inline-memcpy-insns=32', '-fmax-inline-memset-insns=32', '-funfolding-fun-discount=60', '-fcse', '-fregs-iterative', '-feager-blackholing', '-fliberate-case', '-fno-pre-inlining', '-fvectorise', '-fstrictness-before=1', '-fdo-lambda-eta-expansion', '-fcase-merge']",0.51,0,False
10,18c0ca0d-9c71-417c-be6a-2ad5063307a0,fast,"['-O0', '-fcmm-elim-common-blocks', '-fmax-inline-memcpy-insns=32', '-fmax-simplifier-iterations=4', '-funfolding-keeness-factor=1.5', '-fregs-iterative', '-fstrictness-before=1', '-fcross-module-specialise', '-fvectorise', '-fdo-lambda-eta-expansion', '-fignore-asserts', '-foptimal-applicative-do', '-ffloat-in', '-funfolding-dict-discount=30', '-fliberate-case-threshold=2000', '-fcse', '-fenable-rewrite-rules', '-fsimpl-tick-factor=100', '-fno-opt-coercion', '-funfolding-use-threshold=60', '-fspec-constr-count=3', '-funbox-strict-fields', '-fmax-worker-args=10', '-funbox-small-strict-fields', '-ffun-to-thunk', '-fdicts-cheap', '-fno-pre-inlining', '-floopification', '-fcpr-anal', '-feager-blackholing', '-fmax-inline-alloc-size=128', '-fspec-constr', '-fcmm-sink', '-fworker-wrapper', '-fexpose-all-unfoldings', '-fliberate-case', '-fregs-graph', '-fcase-merge', '-fmax-inline-memset-insns=32', '-fdo-eta-reduction']",0.525,0,False
11,ea041096-73cf-435d-9073-2dd26553ecc1,fast,"['-O0', '-fsimplifier-phases=2', '-ffloat-in', '-foptimal-applicative-do', '-fcpr-anal', '-fcall-arity', '-fstatic-argument-transformation', '-fstrictness-before=1', '-fspec-constr', '-fomit-interface-pragmas', '-fenable-rewrite-rules', '-fmax-inline-memcpy-insns=32', '-fcmm-elim-common-blocks', '-fmax-worker-args=10', '-fno-pre-inlining', '-ffull-laziness', '-fregs-iterative', '-ffun-to-thunk', '-fspecialise', '-fexcess-precision', '-fliberate-case']",0.515,0,False
