,ID,Flags,Mode,Runtime,Elapsed_Time
0,-O0,['-O0'],fast,0.516,0.516
1,-O2,['-O2'],fast,0.523,0.523
2,b9859344-bace-4fab-9e82-7a2bc8db1ffa,"['-O0' '-funfolding-keeness-factor=1.5' '-fspec-constr'
 '-fno-pre-inlining' '-fdo-eta-reduction' '-funfolding-keeness-factor=1.5'
 '-fworker-wrapper' '-foptimal-applicative-do' '-fcmm-sink'
 '-fno-opt-coercion' '-funbox-strict-fields' '-fcse'
 '-fenable-rewrite-rules' '-fmax-inline-memset-insns=32'
 '-funfolding-fun-discount=60' '-fdmd-tx-dict-sel' '-fcall-arity'
 '-fspec-constr-count=3' '-fstrictness' '-fcmm-elim-common-blocks'
 '-fliberate-case' '-funfolding-keeness-factor=1.5' '-ffull-laziness'
 '-fomit-yields' '-ffull-laziness' '-fdicts-strict'
 '-fliberate-case-threshold=2000' '-fmax-relevant-binds=6'
 '-fworker-wrapper' '-fno-state-hack' '-fmax-relevant-binds=6'
 '-funbox-strict-fields' '-fregs-iterative' '-funfolding-dict-discount=30'
 '-funfolding-fun-discount=60' '-fmax-inline-memcpy-insns=32' '-fcpr-anal'
 '-fcmm-sink' '-fcross-module-specialise' '-fno-pre-inlining' '-fcmm-sink'
 '-funfolding-creation-threshold=750' '-ffloat-in']",fast,0.516,0.516
3,28d2c7e3-6ce0-428e-b343-674b1fa3a8e4,"['-O0' '-fno-opt-coercion' '-fdmd-tx-dict-sel' '-fno-pre-inlining'
 '-fliberate-case-threshold=2000' '-funbox-small-strict-fields'
 '-fignore-interface-pragmas' '-fcse' '-fmax-inline-memcpy-insns=32'
 '-fdo-lambda-eta-expansion' '-fenable-rewrite-rules' '-fno-opt-coercion'
 '-funbox-small-strict-fields' '-fdicts-cheap' '-ffloat-in'
 '-fcmm-elim-common-blocks' '-fvectorisation-avoidance'
 '-fstrictness-before=1' '-fstatic-argument-transformation' '-fcall-arity'
 '-fmax-inline-alloc-size=128' '-funbox-small-strict-fields'
 '-fcmm-elim-common-blocks' '-fexcess-precision'
 '-funfolding-creation-threshold=750' '-fmax-inline-memcpy-insns=32'
 '-fliberate-case-threshold=2000' '-fsimpl-tick-factor=100' '-fstrictness'
 '-funbox-small-strict-fields' '-fvectorisation-avoidance'
 '-funbox-small-strict-fields' '-fmax-inline-alloc-size=128'
 '-fdo-eta-reduction' '-fmax-inline-memcpy-insns=32' '-fspecialise'
 '-fsimpl-tick-factor=100' '-funfolding-use-threshold=60' '-fspec-constr'
 '-fexcess-precision' '-fstrictness' '-ffloat-in' '-fenable-rewrite-rules']",fast,0.529,0.529
4,6a7c8c91-ae15-4901-ba41-62b524ceb36e,"['-O0' '-funbox-small-strict-fields' '-fsimplifier-phases=2'
 '-fdo-lambda-eta-expansion' '-fno-state-hack'
 '-fmax-inline-memcpy-insns=32' '-fsimplifier-phases=2'
 '-feager-blackholing' '-ffull-laziness' '-fcmm-elim-common-blocks'
 '-fstrictness-before=1' '-fstrictness' '-funbox-strict-fields'
 '-funfolding-use-threshold=60' '-funbox-strict-fields'
 '-fmax-inline-alloc-size=128' '-fexcess-precision'
 '-funfolding-keeness-factor=1.5' '-ffull-laziness' '-fvectorise'
 '-fpedantic-bottoms' '-floopification' '-fspec-constr'
 '-fpedantic-bottoms' '-fdicts-strict' '-fliberate-case-threshold=2000'
 '-ffull-laziness' '-fregs-graph' '-funbox-strict-fields'
 '-funbox-strict-fields' '-fstrictness' '-fspecialise'
 '-funfolding-keeness-factor=1.5' '-fstatic-argument-transformation'
 '-fvectorise' '-fliberate-case' '-fdicts-strict' '-fignore-asserts'
 '-fcmm-sink' '-fdo-lambda-eta-expansion' '-fcross-module-specialise'
 '-ffloat-in' '-funfolding-dict-discount=30']",fast,0.525,0.525
5,7131fd8c-7eab-459f-80bb-3749ce344249,"['-O0' '-fspecialise' '-fomit-interface-pragmas'
 '-fvectorisation-avoidance' '-ffun-to-thunk' '-ffun-to-thunk'
 '-funbox-strict-fields' '-fdicts-strict' '-fregs-graph'
 '-fexcess-precision' '-fspec-constr' '-fdo-eta-reduction'
 '-fmax-inline-memset-insns=32' '-fcross-module-specialise'
 '-fmax-inline-alloc-size=128' '-fmax-inline-memcpy-insns=32'
 '-fspec-constr' '-fliberate-case-threshold=2000' '-ffloat-in'
 '-fdicts-strict' '-ffun-to-thunk' '-fmax-worker-args=10'
 '-fcross-module-specialise' '-fspec-constr-threshold=2000'
 '-fmax-inline-alloc-size=128' '-funbox-small-strict-fields'
 '-fexcess-precision' '-fsimpl-tick-factor=100' '-fcse' '-fcmm-sink'
 '-flate-dmd-anal' '-fdicts-strict' '-fspecialise'
 '-fenable-rewrite-rules' '-fomit-yields'
 '-funfolding-creation-threshold=750' '-fstatic-argument-transformation'
 '-fmax-inline-alloc-size=128' '-fno-pre-inlining'
 '-fmax-simplifier-iterations=4' '-fno-pre-inlining'
 '-fspec-constr-count=3' '-fcmm-sink']",fast,0.515,0.515
6,873875fb-bdef-40c5-951e-c45c851e0ded,"['-O0' '-fmax-inline-memset-insns=32' '-fcall-arity' '-fdmd-tx-dict-sel'
 '-fpedantic-bottoms' '-fsimpl-tick-factor=100'
 '-funbox-small-strict-fields' '-fexcess-precision'
 '-fdo-lambda-eta-expansion' '-fspec-constr' '-fregs-iterative'
 '-fcase-merge' '-fstrictness-before=1' '-fliberate-case'
 '-fignore-interface-pragmas' '-ffloat-in' '-fliberate-case'
 '-fomit-interface-pragmas' '-funfolding-creation-threshold=750'
 '-fregs-iterative' '-fpedantic-bottoms' '-ffull-laziness'
 '-fmax-worker-args=10' '-fvectorise' '-foptimal-applicative-do'
 '-fliberate-case-threshold=2000' '-fvectorise' '-fomit-interface-pragmas'
 '-fspec-constr-count=3' '-fignore-asserts' '-fcase-merge'
 '-foptimal-applicative-do' '-fsimpl-tick-factor=100'
 '-funfolding-dict-discount=30' '-fvectorise' '-funbox-strict-fields'
 '-fmax-inline-memcpy-insns=32' '-fcmm-sink' '-fdo-eta-reduction'
 '-fcase-merge' '-fmax-worker-args=10' '-fregs-graph' '-fcase-merge']",fast,0.517,0.517
7,bd1d5715-0052-41f3-abd3-77c02c603596,"['-O0' '-fvectorisation-avoidance' '-fsimplifier-phases=2'
 '-fworker-wrapper' '-fmax-inline-alloc-size=128'
 '-fomit-interface-pragmas' '-fdo-lambda-eta-expansion' '-fregs-iterative'
 '-funfolding-creation-threshold=750' '-fstrictness-before=1'
 '-fignore-asserts' '-flate-dmd-anal' '-fdmd-tx-dict-sel'
 '-fignore-interface-pragmas' '-fcmm-sink' '-funbox-small-strict-fields'
 '-fliberate-case-threshold=2000' '-fomit-yields' '-fcase-merge'
 '-fsimplifier-phases=2' '-ffloat-in' '-fdicts-cheap' '-fspec-constr'
 '-ffun-to-thunk' '-fstrictness-before=1' '-fsimplifier-phases=2'
 '-fmax-simplifier-iterations=4' '-fexpose-all-unfoldings'
 '-ffun-to-thunk' '-fmax-inline-alloc-size=128' '-fcse' '-ffun-to-thunk'
 '-fspec-constr-count=3' '-fsimpl-tick-factor=100' '-fno-state-hack'
 '-funfolding-keeness-factor=1.5' '-fliberate-case-threshold=2000'
 '-fvectorise' '-ffloat-in' '-fcall-arity' '-fspec-constr'
 '-fdo-eta-reduction' '-ffloat-in']",fast,0.516,0.516
8,d7c7f742-d275-45b5-ac58-4db992e0e4ac,"['-O0' '-fenable-rewrite-rules' '-fignore-asserts' '-floopification'
 '-fenable-rewrite-rules' '-funfolding-creation-threshold=750'
 '-fstrictness-before=1' '-fignore-interface-pragmas'
 '-fmax-inline-memcpy-insns=32' '-fcse' '-fstrictness-before=1'
 '-floopification' '-fcmm-sink' '-fspec-constr' '-fcse' '-fdicts-strict'
 '-fomit-yields' '-fcall-arity' '-fspecialise' '-fexpose-all-unfoldings'
 '-fspec-constr-threshold=2000' '-fcase-merge' '-fno-state-hack'
 '-funfolding-use-threshold=60' '-fworker-wrapper' '-fomit-yields'
 '-funbox-strict-fields' '-fstrictness' '-fcall-arity'
 '-funfolding-fun-discount=60' '-fvectorise' '-fsimplifier-phases=2'
 '-fspecialise' '-flate-dmd-anal' '-foptimal-applicative-do'
 '-fdicts-strict' '-fcse' '-fstrictness' '-fcmm-elim-common-blocks'
 '-fcall-arity' '-fdicts-strict' '-fspecialise' '-fcpr-anal']",fast,0.516,0.516
9,64624254-a061-43f7-a907-838d4d5f7df3,"['-O0' '-fstrictness' '-fvectorise' '-fno-opt-coercion'
 '-funfolding-dict-discount=30' '-fstatic-argument-transformation'
 '-fdo-lambda-eta-expansion' '-fmax-inline-alloc-size=128' '-fomit-yields'
 '-fignore-interface-pragmas' '-fstrictness' '-fomit-yields'
 '-fenable-rewrite-rules' '-fexcess-precision' '-fliberate-case'
 '-funfolding-keeness-factor=1.5' '-fno-state-hack' '-fliberate-case'
 '-fno-state-hack' '-fdicts-cheap' '-flate-dmd-anal' '-fpedantic-bottoms'
 '-fspec-constr-threshold=2000' '-funfolding-use-threshold=60'
 '-fcpr-anal' '-fno-state-hack' '-fmax-inline-memcpy-insns=32'
 '-fdicts-strict' '-floopification' '-fomit-yields' '-ffun-to-thunk'
 '-fno-state-hack' '-fenable-rewrite-rules' '-fmax-inline-memset-insns=32'
 '-fexcess-precision' '-fliberate-case-threshold=2000'
 '-feager-blackholing' '-fcmm-elim-common-blocks' '-fcmm-sink'
 '-fno-opt-coercion' '-ffun-to-thunk' '-fliberate-case-threshold=2000'
 '-fstrictness-before=1']",fast,0.517,0.517
10,0ad6bc4c-7a49-4cfb-b701-ed56327d12cc,"['-O0' '-funfolding-keeness-factor=1.5' '-fcse'
 '-fignore-interface-pragmas' '-fcmm-sink' '-fcase-merge'
 '-fomit-interface-pragmas' '-fvectorisation-avoidance'
 '-fno-opt-coercion' '-fexpose-all-unfoldings'
 '-fmax-simplifier-iterations=4' '-fstrictness' '-fdicts-strict'
 '-funfolding-keeness-factor=1.5' '-fregs-iterative'
 '-funbox-strict-fields' '-fcase-merge' '-fdicts-cheap' '-fspec-constr'
 '-floopification' '-fdicts-cheap' '-fmax-simplifier-iterations=4'
 '-fdicts-cheap' '-fexpose-all-unfoldings' '-fmax-inline-memcpy-insns=32'
 '-fcmm-elim-common-blocks' '-funfolding-fun-discount=60'
 '-fdo-lambda-eta-expansion' '-fstrictness' '-fdmd-tx-dict-sel'
 '-fmax-inline-alloc-size=128' '-funfolding-dict-discount=30'
 '-fspecialise' '-fcross-module-specialise' '-fsimpl-tick-factor=100'
 '-floopification' '-fvectorisation-avoidance'
 '-fspec-constr-threshold=2000' '-funbox-strict-fields' '-fignore-asserts'
 '-funfolding-use-threshold=60' '-fworker-wrapper'
 '-fenable-rewrite-rules']",fast,0.518,0.518
