,ID,Flags,Mode,Runtime,Elapsed_Time
0,-O0,['-O0'],fast,0.516,0.516
1,-O2,['-O2'],fast,0.516,0.516
2,d3efa549-e4d9-4571-b48f-fd4835be3e40,"['-O0' '-fliberate-case-threshold=2000' '-fmax-inline-memset-insns=32'
 '-fmax-simplifier-iterations=4' '-fexcess-precision' '-fcall-arity'
 '-funfolding-keeness-factor=1.5' '-flate-dmd-anal' '-flate-dmd-anal'
 '-fpedantic-bottoms' '-fstatic-argument-transformation'
 '-fsimplifier-phases=2' '-ffull-laziness' '-fomit-yields'
 '-fomit-interface-pragmas' '-fspec-constr-threshold=2000'
 '-fmax-worker-args=10' '-fworker-wrapper' '-foptimal-applicative-do'
 '-fworker-wrapper' '-fdicts-cheap' '-fspec-constr' '-fspecialise'
 '-fignore-asserts' '-fmax-relevant-binds=6' '-fcpr-anal'
 '-floopification' '-fexcess-precision' '-fsimplifier-phases=2' '-fcse'
 '-fomit-interface-pragmas' '-fcall-arity' '-fomit-interface-pragmas'
 '-fstrictness-before=1' '-fcase-merge']",fast,0.521,0.521
3,59278099-ba1a-4aad-89d6-c7b4bfca444c,"['-O0' '-fpedantic-bottoms' '-fdo-eta-reduction'
 '-fmax-inline-memset-insns=32' '-fdmd-tx-dict-sel'
 '-funbox-strict-fields' '-fcmm-sink' '-fpedantic-bottoms'
 '-ffun-to-thunk' '-fcase-merge' '-fspec-constr-count=3'
 '-fexcess-precision' '-fcmm-sink' '-fworker-wrapper'
 '-fenable-rewrite-rules' '-fmax-inline-memcpy-insns=32' '-fdicts-cheap'
 '-fspec-constr' '-fomit-yields' '-fstatic-argument-transformation'
 '-floopification' '-fstatic-argument-transformation' '-fomit-yields'
 '-fliberate-case' '-fmax-worker-args=10' '-funfolding-fun-discount=60'
 '-fspec-constr-count=3' '-fno-state-hack'
 '-funfolding-creation-threshold=750' '-fpedantic-bottoms'
 '-fmax-inline-memcpy-insns=32' '-fexcess-precision'
 '-fspec-constr-count=3' '-fstrictness' '-funfolding-dict-discount=30']",fast,0.521,0.521
4,2775d2a6-3641-4171-b8a5-bd91a5247d7e,"['-O0' '-funbox-small-strict-fields' '-fdicts-strict' '-fno-state-hack'
 '-funbox-strict-fields' '-fcall-arity' '-ffull-laziness'
 '-funfolding-creation-threshold=750' '-fspecialise'
 '-foptimal-applicative-do' '-fspec-constr-count=3' '-fmax-worker-args=10'
 '-floopification' '-fdicts-cheap' '-fspec-constr-count=3'
 '-fcmm-elim-common-blocks' '-fcase-merge' '-fspec-constr-threshold=2000'
 '-fcmm-elim-common-blocks' '-feager-blackholing' '-fexcess-precision'
 '-fregs-iterative' '-fdo-eta-reduction' '-fliberate-case-threshold=2000'
 '-fdmd-tx-dict-sel' '-fvectorisation-avoidance' '-fmax-relevant-binds=6'
 '-fcse' '-fcmm-elim-common-blocks' '-fvectorise' '-fregs-graph'
 '-fmax-worker-args=10' '-funbox-strict-fields' '-fno-opt-coercion'
 '-fno-opt-coercion']",fast,0.51,0.51
5,495e350d-75e5-43c0-b48a-427cde4e942d,"['-O0' '-fregs-graph' '-fcall-arity' '-fmax-worker-args=10'
 '-floopification' '-fworker-wrapper' '-fworker-wrapper'
 '-fmax-inline-memset-insns=32' '-fexpose-all-unfoldings'
 '-fno-state-hack' '-fcse' '-funfolding-dict-discount=30'
 '-funfolding-dict-discount=30' '-fdo-lambda-eta-expansion'
 '-foptimal-applicative-do' '-ffloat-in' '-fcse' '-fmax-relevant-binds=6'
 '-fpedantic-bottoms' '-fdicts-strict' '-fliberate-case-threshold=2000'
 '-funfolding-use-threshold=60' '-fignore-asserts' '-fstrictness'
 '-fsimplifier-phases=2' '-fcse' '-fmax-worker-args=10' '-floopification'
 '-fignore-interface-pragmas' '-fcall-arity' '-fenable-rewrite-rules'
 '-fmax-relevant-binds=6' '-ffun-to-thunk' '-fno-opt-coercion' '-fcse']",fast,0.517,0.517
6,6ce78778-f84d-4067-8e79-cd26c18317b3,"['-O0' '-fpedantic-bottoms' '-fvectorise' '-fmax-inline-memcpy-insns=32'
 '-funbox-small-strict-fields' '-fdmd-tx-dict-sel' '-fsimplifier-phases=2'
 '-fregs-iterative' '-fexpose-all-unfoldings' '-fcall-arity'
 '-fdicts-strict' '-fmax-inline-memset-insns=32' '-fignore-asserts'
 '-funfolding-dict-discount=30' '-fliberate-case-threshold=2000'
 '-fno-pre-inlining' '-fliberate-case-threshold=2000' '-fomit-yields'
 '-fworker-wrapper' '-fmax-simplifier-iterations=4' '-fignore-asserts'
 '-fignore-asserts' '-funfolding-creation-threshold=750' '-fregs-graph'
 '-fsimpl-tick-factor=100' '-fignore-interface-pragmas'
 '-fdmd-tx-dict-sel' '-fcall-arity' '-fcall-arity' '-fstrictness-before=1'
 '-fcse' '-fsimplifier-phases=2' '-ffloat-in'
 '-funfolding-keeness-factor=1.5' '-fdicts-strict']",fast,0.522,0.522
7,59d2fd47-51ed-4074-af25-b2e86485a096,"['-O0' '-fmax-simplifier-iterations=4' '-flate-dmd-anal' '-ffloat-in'
 '-fignore-asserts' '-fignore-interface-pragmas' '-fcmm-sink'
 '-fenable-rewrite-rules' '-fliberate-case' '-fvectorisation-avoidance'
 '-fstrictness-before=1' '-funbox-small-strict-fields'
 '-foptimal-applicative-do' '-funfolding-creation-threshold=750'
 '-fomit-yields' '-fregs-iterative' '-ffull-laziness' '-fno-state-hack'
 '-funfolding-fun-discount=60' '-fomit-yields' '-fcse'
 '-fmax-simplifier-iterations=4' '-funfolding-keeness-factor=1.5'
 '-fmax-inline-alloc-size=128' '-fenable-rewrite-rules'
 '-fmax-inline-memcpy-insns=32' '-fdo-lambda-eta-expansion'
 '-fliberate-case-threshold=2000' '-ffloat-in'
 '-fignore-interface-pragmas' '-foptimal-applicative-do' '-ffloat-in'
 '-fmax-inline-memcpy-insns=32' '-fstrictness'
 '-fmax-inline-memset-insns=32']",fast,0.518,0.518
8,4ac74236-3a06-49a7-ba1b-74c8929e4e54,"['-O0' '-fregs-iterative' '-fignore-asserts' '-fworker-wrapper'
 '-fmax-simplifier-iterations=4' '-funfolding-keeness-factor=1.5'
 '-fspec-constr-threshold=2000' '-funfolding-dict-discount=30'
 '-fignore-interface-pragmas' '-fstrictness-before=1'
 '-fliberate-case-threshold=2000' '-funbox-strict-fields'
 '-fpedantic-bottoms' '-fignore-asserts' '-fcall-arity'
 '-fdo-lambda-eta-expansion' '-fmax-inline-alloc-size=128'
 '-fmax-inline-memset-insns=32' '-fsimplifier-phases=2'
 '-fspec-constr-count=3' '-funbox-small-strict-fields'
 '-feager-blackholing' '-fworker-wrapper' '-fspec-constr'
 '-fvectorisation-avoidance' '-fignore-asserts'
 '-funfolding-creation-threshold=750' '-ffull-laziness' '-fdicts-strict'
 '-fdo-eta-reduction' '-fcse' '-fomit-interface-pragmas' '-fspecialise'
 '-fregs-graph' '-fstrictness']",fast,0.524,0.524
9,a850dc38-d5af-4edb-9494-93bf7d595061,"['-O0' '-fmax-inline-alloc-size=128' '-fmax-inline-memcpy-insns=32'
 '-feager-blackholing' '-fmax-simplifier-iterations=4'
 '-funfolding-dict-discount=30' '-fsimplifier-phases=2'
 '-fsimplifier-phases=2' '-fcross-module-specialise' '-fcmm-sink'
 '-ffloat-in' '-fpedantic-bottoms' '-fvectorise'
 '-funfolding-creation-threshold=750' '-fcse' '-fcpr-anal'
 '-fexpose-all-unfoldings' '-fvectorise' '-floopification' '-ffloat-in'
 '-fcmm-sink' '-fsimpl-tick-factor=100' '-foptimal-applicative-do'
 '-fmax-inline-alloc-size=128' '-fdo-lambda-eta-expansion' '-fcall-arity'
 '-fspec-constr' '-foptimal-applicative-do' '-fstrictness'
 '-funfolding-keeness-factor=1.5' '-fcse' '-fstrictness' '-fcpr-anal'
 '-fcmm-sink' '-fvectorisation-avoidance']",fast,0.521,0.521
