,ID,Mode,Flags,Runtime,Iteration,Best
0,-O0,fast,-O0,0.534,0,False
1,-O2,fast,-O2,0.534,0,False
2,42be4cdb-3987-4f6c-83dd-89664c3c6767,fast,"['-O0', '-fomit-interface-pragmas', '-fdo-lambda-eta-expansion', '-fmax-inline-memset-insns=32', '-fdicts-cheap', '-fsimplifier-phases=2', '-fcpr-anal', '-fdicts-strict', '-fcse', '-fomit-yields', '-feager-blackholing', '-fmax-simplifier-iterations=4', '-fspecialise', '-fvectorisation-avoidance', '-fdo-eta-reduction', '-fcross-module-specialise', '-fenable-rewrite-rules', '-fregs-iterative', '-funbox-strict-fields', '-funfolding-creation-threshold=750', '-fstrictness-before=1', '-fno-opt-coercion', '-fspec-constr-count=3', '-fmax-inline-memcpy-insns=32', '-fignore-interface-pragmas', '-funbox-small-strict-fields', '-flate-dmd-anal']",0.536,0,False
3,e0e1756e-f605-43d9-93aa-f0487883f84d,fast,"['-O0', '-fsimpl-tick-factor=100', '-fmax-inline-memcpy-insns=32', '-feager-blackholing', '-funfolding-use-threshold=60', '-ffloat-in', '-fcse', '-fliberate-case-threshold=2000', '-fstatic-argument-transformation', '-ffun-to-thunk', '-fspecialise', '-fsimplifier-phases=2', '-fliberate-case', '-fno-state-hack', '-fno-pre-inlining', '-fmax-worker-args=10', '-fmax-inline-alloc-size=128', '-fcase-merge', '-floopification', '-fworker-wrapper', '-fspec-constr-threshold=2000', '-fno-opt-coercion', '-fomit-yields', '-fcmm-sink', '-funfolding-creation-threshold=750', '-fvectorise', '-fmax-inline-memset-insns=32', '-fignore-interface-pragmas', '-funbox-strict-fields', '-fstrictness', '-fdmd-tx-dict-sel', '-ffull-laziness', '-fcpr-anal', '-fcmm-elim-common-blocks', '-fdicts-strict', '-fspec-constr', '-fexcess-precision', '-fstrictness-before=1', '-funfolding-fun-discount=60', '-fmax-simplifier-iterations=4', '-fdo-lambda-eta-expansion', '-foptimal-applicative-do', '-funbox-small-strict-fields', '-fregs-graph', '-fignore-asserts', '-fmax-relevant-binds=6', '-fdicts-cheap', '-fpedantic-bottoms', '-funfolding-dict-discount=30', '-fenable-rewrite-rules', '-fvectorisation-avoidance', '-flate-dmd-anal', '-fcall-arity', '-fomit-interface-pragmas', '-fregs-iterative', '-fdo-eta-reduction']",0.531,0,False
4,7d640bb5-f48c-4a8a-91df-a871d7929213,fast,"['-O0', '-fexcess-precision', '-fomit-yields', '-funfolding-keeness-factor=1.5', '-fignore-interface-pragmas', '-feager-blackholing', '-fvectorise', '-funfolding-dict-discount=30', '-fno-state-hack', '-fno-opt-coercion', '-fvectorisation-avoidance', '-fliberate-case', '-fno-pre-inlining', '-fmax-worker-args=10', '-fcase-merge', '-fdmd-tx-dict-sel', '-fregs-iterative', '-fstrictness-before=1', '-fstatic-argument-transformation', '-fsimpl-tick-factor=100', '-fexpose-all-unfoldings', '-funfolding-fun-discount=60', '-fomit-interface-pragmas', '-ffull-laziness', '-fcse', '-fspec-constr-count=3', '-funfolding-use-threshold=60', '-fliberate-case-threshold=2000', '-fspecialise', '-fmax-inline-memcpy-insns=32', '-fspec-constr-threshold=2000', '-fcpr-anal', '-fstrictness', '-fdo-lambda-eta-expansion', '-fmax-inline-memset-insns=32', '-fmax-inline-alloc-size=128', '-ffun-to-thunk', '-fmax-simplifier-iterations=4', '-floopification', '-fdicts-strict', '-fspec-constr', '-fsimplifier-phases=2', '-fmax-relevant-binds=6', '-foptimal-applicative-do', '-funbox-strict-fields', '-fignore-asserts', '-fcall-arity', '-fdo-eta-reduction', '-fpedantic-bottoms']",0.533,0,False
5,12786e9d-45d1-4c5b-95fb-dd8e1f04a292,fast,"['-O0', '-funfolding-dict-discount=30', '-fexpose-all-unfoldings', '-fsimpl-tick-factor=100', '-funfolding-use-threshold=60', '-fmax-simplifier-iterations=4', '-fspecialise', '-fdo-eta-reduction', '-fdmd-tx-dict-sel', '-fspec-constr-count=3', '-floopification', '-fmax-worker-args=10', '-fcross-module-specialise', '-fcall-arity', '-fmax-inline-memset-insns=32', '-fregs-graph', '-fdo-lambda-eta-expansion', '-funbox-strict-fields', '-fno-pre-inlining', '-ffloat-in', '-fcse', '-fno-opt-coercion', '-flate-dmd-anal', '-fomit-yields', '-fvectorisation-avoidance', '-fstatic-argument-transformation', '-fpedantic-bottoms', '-fdicts-cheap', '-funfolding-keeness-factor=1.5', '-funfolding-creation-threshold=750', '-fstrictness-before=1', '-fcase-merge', '-funbox-small-strict-fields', '-fspec-constr', '-fmax-relevant-binds=6']",0.588,0,False
6,68b6313f-7a72-43a2-be8a-74112b0422d0,fast,"['-O0', '-fspec-constr-count=3', '-fexpose-all-unfoldings']",0.532,0,False
7,d8736546-8cae-4b1a-a60b-56078b7a994b,fast,"['-O0', '-fspec-constr-threshold=2000', '-fliberate-case-threshold=2000', '-fdo-eta-reduction', '-fvectorise', '-fcase-merge', '-fcpr-anal', '-funbox-small-strict-fields', '-flate-dmd-anal', '-fignore-interface-pragmas', '-funfolding-fun-discount=60', '-fcmm-sink']",0.53,0,False
8,86717094-7b4a-4cec-a444-b90c6865052d,fast,"['-O0', '-fdmd-tx-dict-sel', '-fcmm-sink', '-fenable-rewrite-rules', '-fspec-constr-threshold=2000', '-fcmm-elim-common-blocks', '-fno-state-hack', '-fno-pre-inlining', '-fomit-yields', '-fomit-interface-pragmas', '-ffloat-in', '-fvectorise', '-fsimpl-tick-factor=100', '-fregs-graph', '-fcse', '-floopification', '-fliberate-case-threshold=2000', '-fignore-asserts', '-fcross-module-specialise', '-fdicts-strict', '-fno-opt-coercion', '-fexpose-all-unfoldings']",0.595,0,False
9,67894830-d59a-4967-a759-4b7564edca48,fast,"['-O0', '-fmax-inline-alloc-size=128', '-fignore-interface-pragmas', '-fdicts-cheap', '-floopification', '-fcross-module-specialise', '-fcmm-sink', '-foptimal-applicative-do', '-fmax-relevant-binds=6', '-fcall-arity', '-fdo-lambda-eta-expansion', '-fdicts-strict', '-flate-dmd-anal', '-fspec-constr-count=3', '-funfolding-creation-threshold=750', '-fspec-constr-threshold=2000', '-fsimpl-tick-factor=100', '-fliberate-case', '-fno-opt-coercion', '-fspec-constr', '-fexcess-precision', '-fdmd-tx-dict-sel', '-fmax-worker-args=10', '-fenable-rewrite-rules', '-feager-blackholing', '-fdo-eta-reduction', '-fsimplifier-phases=2', '-ffull-laziness', '-ffun-to-thunk', '-fexpose-all-unfoldings', '-fregs-graph', '-funfolding-dict-discount=30', '-fvectorise', '-fcase-merge', '-funbox-strict-fields', '-fomit-yields', '-ffloat-in', '-fliberate-case-threshold=2000', '-fworker-wrapper', '-fregs-iterative', '-fmax-inline-memset-insns=32', '-fpedantic-bottoms', '-fcmm-elim-common-blocks', '-funfolding-fun-discount=60', '-fcpr-anal', '-fvectorisation-avoidance', '-fcse', '-fno-pre-inlining', '-fignore-asserts', '-funbox-small-strict-fields', '-funfolding-keeness-factor=1.5', '-fno-state-hack']",0.602,0,False
