,ID,Flags,Mode,Runtime,Elapsed_Time
0,-O0,['-O0'],fast,0.552,0.552
1,-O2,['-O2'],fast,0.534,0.534
2,f007aa53-8441-4c7a-b2c0-cbd76ef82d71,"['-O0' '-fdo-eta-reduction' '-fdo-eta-reduction' '-fspecialise'
 '-fregs-iterative' '-fspec-constr-count=3']",fast,0.54,0.54
3,314c1912-757f-4ce0-8e67-c39389476e77,"['-O0' '-fcmm-elim-common-blocks' '-ffloat-in' '-fpedantic-bottoms'
 '-fcase-merge' '-fregs-graph']",fast,0.531,0.531
4,4f3caf87-b8aa-4591-9b84-494210cd73ff,"['-O0' '-ffun-to-thunk' '-fcross-module-specialise' '-fspecialise'
 '-fmax-inline-alloc-size=128' '-fspec-constr-threshold=2000']",fast,0.537,0.537
5,215de7d1-5344-4830-b51a-db7cf96a2558,"['-O0' '-fstrictness-before=1' '-fcmm-elim-common-blocks'
 '-funfolding-creation-threshold=750' '-fmax-simplifier-iterations=4'
 '-fdo-eta-reduction']",fast,0.531,0.531
6,2950d675-36e6-4d06-8b86-369d69e5bfa7,"['-O0' '-fmax-relevant-binds=6' '-funfolding-dict-discount=30'
 '-fsimpl-tick-factor=100' '-fenable-rewrite-rules' '-fliberate-case']",fast,0.54,0.54
7,9fa41b0e-b8ab-4481-b971-1c94b702d7f9,"['-O0' '-fignore-asserts' '-fignore-asserts' '-fpedantic-bottoms'
 '-fdmd-tx-dict-sel' '-fworker-wrapper']",fast,0.537,0.537
8,412b5aea-ff8d-4689-ab48-5f9ec6cb81a4,"['-O0' '-fdmd-tx-dict-sel' '-fmax-inline-memcpy-insns=32'
 '-foptimal-applicative-do' '-fmax-inline-memset-insns=32'
 '-fpedantic-bottoms']",fast,0.538,0.538
9,659a2d01-c3a4-46cc-abde-06f9076d249a,"['-O0' '-fregs-graph' '-fspec-constr' '-fmax-inline-memcpy-insns=32'
 '-ffun-to-thunk' '-fno-pre-inlining']",fast,0.53,0.53
10,d5dd6dcc-8154-45b1-a65c-f628b10ea265,"['-O0' '-fcross-module-specialise' '-foptimal-applicative-do'
 '-fcall-arity' '-fmax-inline-memcpy-insns=32' '-ffloat-in']",fast,0.522,0.522
11,d000c136-1742-49a3-a584-d1fff8cac9fd,"['-O0' '-fstrictness-before=1' '-funfolding-use-threshold=60'
 '-fmax-inline-memset-insns=32' '-fvectorise' '-fdicts-strict']",fast,0.534,0.534
12,8a7d5fdc-6570-4f9c-b56c-5f1ce2f5bd38,"['-O0' '-funfolding-dict-discount=30' '-funbox-small-strict-fields'
 '-fsimplifier-phases=2' '-fexpose-all-unfoldings'
 '-fexpose-all-unfoldings']",fast,0.531,0.531
13,37991bdb-9744-425c-ab82-df4212af39e9,"['-O0' '-fomit-yields' '-fmax-inline-memcpy-insns=32' '-fignore-asserts'
 '-fsimpl-tick-factor=100' '-fsimplifier-phases=2']",fast,0.538,0.538
14,a18e81d6-e70c-4fe7-94dd-ffc4f872d6d0,"['-O0' '-fspecialise' '-fstrictness' '-fworker-wrapper'
 '-fmax-inline-alloc-size=128' '-funfolding-fun-discount=60']",fast,0.527,0.527
15,7facfe55-2d18-43f3-9ebd-f08744e49c6a,"['-O0' '-fdo-eta-reduction' '-funfolding-fun-discount=60' '-fcall-arity'
 '-ffull-laziness' '-fliberate-case']",fast,0.531,0.531
16,35a5c0db-3b50-43fc-8f4d-0fe79c6e9cb5,"['-O0' '-floopification' '-fignore-asserts' '-fvectorise' '-fspecialise'
 '-ffloat-in']",fast,0.527,0.527
17,92ba0033-3847-4e3d-8c71-f7036cbcdc7d,"['-O0' '-fregs-iterative' '-fdicts-strict' '-fcse' '-fcase-merge'
 '-fignore-interface-pragmas']",fast,0.531,0.531
18,2a4260ca-26ca-4b9e-b283-6917e4dbefd0,"['-O0' '-fstatic-argument-transformation' '-fcpr-anal' '-fignore-asserts'
 '-fpedantic-bottoms' '-fregs-graph']",fast,0.529,0.529
19,d335c625-d459-4026-809c-09733dfaa915,"['-O0' '-fspec-constr-count=3' '-fdo-lambda-eta-expansion'
 '-funbox-strict-fields' '-funbox-small-strict-fields'
 '-fmax-simplifier-iterations=4']",fast,0.528,0.528
20,e60c71f0-af94-4785-a7de-e3743fbe9b7b,"['-O0' '-funfolding-creation-threshold=750' '-fsimplifier-phases=2'
 '-fno-state-hack' '-fcpr-anal' '-fmax-worker-args=10']",fast,0.527,0.527
21,7ef89e2e-ae39-4a71-8424-6dc8433e9b4c,"['-O0' '-funfolding-keeness-factor=1.5' '-fdo-eta-reduction'
 '-fignore-interface-pragmas' '-fdicts-cheap' '-floopification']",fast,0.53,0.53
