,ID,Flags,Mode,Runtime,Elapsed_Time
0,-O0,['-O0'],fast,0.536,0.536
1,-O2,['-O2'],fast,0.531,0.531
2,ae62fb44-9930-457f-9e0f-af65d0b4fe52,"['-O0' '-fno-pre-inlining' '-fmax-simplifier-iterations=4' '-fstrictness'
 '-fexpose-all-unfoldings' '-fsimplifier-phases=2'
 '-fmax-simplifier-iterations=4' '-funbox-strict-fields'
 '-funfolding-dict-discount=30' '-ffull-laziness' '-fno-state-hack'
 '-foptimal-applicative-do' '-fspec-constr-threshold=2000'
 '-fliberate-case' '-fdicts-strict' '-fcpr-anal' '-fspec-constr-count=3'
 '-funfolding-creation-threshold=750' '-feager-blackholing' '-fcpr-anal'
 '-ffun-to-thunk' '-fliberate-case' '-funfolding-keeness-factor=1.5'
 '-fspec-constr-threshold=2000' '-fno-pre-inlining' '-feager-blackholing']",fast,0.527,0.527
3,221e9684-7fe8-45e2-98b7-fa08fe430fb3,"['-O0' '-floopification' '-ffun-to-thunk' '-fvectorisation-avoidance'
 '-fcmm-sink' '-fcmm-elim-common-blocks' '-fmax-inline-memcpy-insns=32'
 '-ffull-laziness' '-fmax-inline-memcpy-insns=32' '-fdicts-cheap'
 '-funfolding-keeness-factor=1.5' '-fomit-yields'
 '-fstatic-argument-transformation' '-foptimal-applicative-do'
 '-fno-pre-inlining' '-ffull-laziness' '-fvectorisation-avoidance'
 '-fregs-iterative' '-fno-pre-inlining' '-fcpr-anal'
 '-fmax-relevant-binds=6' '-fcse' '-fregs-graph' '-fregs-graph'
 '-fmax-inline-memcpy-insns=32' '-fspec-constr-count=3']",fast,0.526,0.526
4,2abdc7cd-2e9f-4943-8fc0-ea5cd9020a44,"['-O0' '-funfolding-keeness-factor=1.5' '-fsimpl-tick-factor=100'
 '-fspec-constr-count=3' '-fworker-wrapper' '-funfolding-use-threshold=60'
 '-funfolding-dict-discount=30' '-fcross-module-specialise'
 '-fdicts-cheap' '-funfolding-keeness-factor=1.5'
 '-fcross-module-specialise' '-floopification' '-fsimpl-tick-factor=100'
 '-fcse' '-fdicts-cheap' '-fexpose-all-unfoldings' '-fno-state-hack'
 '-fdicts-strict' '-fmax-simplifier-iterations=4'
 '-fcross-module-specialise' '-fdo-eta-reduction' '-fno-state-hack'
 '-fstatic-argument-transformation' '-fexpose-all-unfoldings' '-fcmm-sink'
 '-fcpr-anal']",fast,0.535,0.535
5,a2e60698-d403-428b-ba1f-adab9e906da7,"['-O0' '-fworker-wrapper' '-fcmm-elim-common-blocks' '-fregs-iterative'
 '-fdicts-strict' '-fsimplifier-phases=2' '-fspec-constr'
 '-fmax-inline-memset-insns=32' '-fspec-constr' '-fstrictness-before=1'
 '-fdo-eta-reduction' '-fdo-lambda-eta-expansion' '-ffull-laziness'
 '-funfolding-creation-threshold=750' '-fdo-eta-reduction'
 '-fmax-inline-memset-insns=32' '-fmax-simplifier-iterations=4'
 '-funfolding-keeness-factor=1.5' '-fpedantic-bottoms' '-ffloat-in'
 '-fmax-inline-memset-insns=32' '-fspec-constr' '-fcmm-sink'
 '-fspec-constr' '-fvectorisation-avoidance' '-fignore-interface-pragmas']",fast,0.532,0.532
6,99ca628e-99a5-49c4-8e1e-292818fd8138,"['-O0' '-ffun-to-thunk' '-feager-blackholing' '-fomit-interface-pragmas'
 '-fexpose-all-unfoldings' '-fsimpl-tick-factor=100'
 '-fstatic-argument-transformation' '-fspecialise'
 '-fenable-rewrite-rules' '-fcall-arity' '-fregs-graph' '-fworker-wrapper'
 '-fmax-inline-alloc-size=128' '-fno-opt-coercion'
 '-funbox-small-strict-fields' '-fenable-rewrite-rules'
 '-feager-blackholing' '-floopification' '-ffloat-in'
 '-fmax-simplifier-iterations=4' '-fomit-interface-pragmas'
 '-fregs-iterative' '-funbox-small-strict-fields'
 '-fvectorisation-avoidance' '-feager-blackholing' '-fdmd-tx-dict-sel']",fast,0.532,0.532
7,ff93519e-38fd-434b-9ca9-edefcff2a167,"['-O0' '-fignore-interface-pragmas' '-fcase-merge'
 '-fsimpl-tick-factor=100' '-flate-dmd-anal' '-fdo-eta-reduction'
 '-fcross-module-specialise' '-fdo-lambda-eta-expansion'
 '-funfolding-dict-discount=30' '-fcross-module-specialise'
 '-fignore-asserts' '-foptimal-applicative-do' '-fexpose-all-unfoldings'
 '-funfolding-keeness-factor=1.5' '-funbox-small-strict-fields'
 '-flate-dmd-anal' '-fspec-constr' '-fvectorise' '-fstrictness-before=1'
 '-fignore-interface-pragmas' '-funfolding-fun-discount=60'
 '-fliberate-case-threshold=2000' '-fenable-rewrite-rules'
 '-funfolding-keeness-factor=1.5' '-fliberate-case-threshold=2000'
 '-fstatic-argument-transformation']",fast,0.517,0.517
8,8d175119-a462-436c-b253-2ff53866749c,"['-O0' '-fdicts-cheap' '-ffun-to-thunk' '-fvectorisation-avoidance'
 '-fexcess-precision' '-fno-opt-coercion' '-fmax-worker-args=10'
 '-ffull-laziness' '-fdicts-cheap' '-feager-blackholing'
 '-funfolding-creation-threshold=750' '-fcmm-elim-common-blocks'
 '-fignore-asserts' '-funbox-small-strict-fields'
 '-fignore-interface-pragmas' '-fspecialise' '-fomit-interface-pragmas'
 '-fcross-module-specialise' '-fcpr-anal' '-fignore-asserts'
 '-fmax-relevant-binds=6' '-ffull-laziness' '-fdo-eta-reduction'
 '-fregs-iterative' '-fignore-interface-pragmas'
 '-fliberate-case-threshold=2000']",fast,0.535,0.535
9,750a2bfc-c1c0-4f41-991a-0b572fe047a8,"['-O0' '-ffloat-in' '-fregs-iterative' '-fvectorise' '-fpedantic-bottoms'
 '-fspec-constr-threshold=2000' '-fignore-asserts' '-fpedantic-bottoms'
 '-fspec-constr' '-fenable-rewrite-rules' '-fexcess-precision'
 '-fstatic-argument-transformation' '-fmax-worker-args=10'
 '-fno-pre-inlining' '-ffloat-in' '-floopification' '-ffloat-in'
 '-fsimplifier-phases=2' '-fcpr-anal' '-fdo-lambda-eta-expansion'
 '-fmax-simplifier-iterations=4' '-funbox-strict-fields' '-ffull-laziness'
 '-fcse' '-fexpose-all-unfoldings' '-fno-state-hack']",fast,0.519,0.519
