,ID,Mode,Flags,Runtime,Iteration,Best
0,-O0,fast,-O0,0.21,0,False
1,-O2,fast,-O2,0.21,0,False
2,650a4b3f-c366-4e88-a789-8cc15cb42f1d,fast,"['-O0', '-fno-opt-coercion', '-fcmm-elim-common-blocks', '-fmax-inline-memset-insns=32', '-fworker-wrapper', '-fregs-graph', '-fliberate-case', '-fcmm-sink', '-fpedantic-bottoms', '-fliberate-case-threshold=2000', '-fmax-inline-alloc-size=128']",0.21,0,False
3,88e4e0e3-bcbc-454b-89a8-853ab6f1566b,fast,"['-O0', '-fmax-relevant-binds=6', '-fmax-inline-alloc-size=128', '-fdicts-cheap', '-fmax-inline-memset-insns=32', '-funfolding-keeness-factor=1.5', '-ffloat-in', '-fno-pre-inlining', '-fspec-constr-threshold=2000', '-fenable-rewrite-rules', '-fdo-eta-reduction', '-funfolding-dict-discount=30', '-fcall-arity', '-fcmm-sink', '-foptimal-applicative-do', '-floopification', '-funfolding-use-threshold=60', '-fmax-simplifier-iterations=4', '-fexpose-all-unfoldings', '-fspec-constr-count=3', '-fignore-interface-pragmas', '-funfolding-fun-discount=60', '-fcpr-anal', '-fvectorisation-avoidance', '-fpedantic-bottoms', '-fworker-wrapper', '-fmax-inline-memcpy-insns=32', '-fomit-interface-pragmas', '-fdmd-tx-dict-sel', '-fregs-graph', '-fomit-yields', '-fspec-constr', '-fstatic-argument-transformation', '-funfolding-creation-threshold=750', '-fliberate-case', '-funbox-strict-fields', '-fvectorise', '-fstrictness-before=1', '-fstrictness', '-fdicts-strict', '-fliberate-case-threshold=2000', '-fsimplifier-phases=2', '-fcross-module-specialise']",0.207,0,False
4,2e048cb8-ff2c-44a6-954c-e693d82ccd33,fast,"['-O0', '-ffun-to-thunk', '-fstatic-argument-transformation', '-fcall-arity', '-fcse', '-feager-blackholing', '-funfolding-keeness-factor=1.5', '-funfolding-creation-threshold=750', '-funbox-strict-fields', '-fexpose-all-unfoldings']",0.205,0,True
5,3c401034-6931-42ad-a2e6-b5b07f6255c7,fast,"['-O0', '-fmax-worker-args=10', '-ffloat-in', '-fcpr-anal', '-fcase-merge', '-fcse', '-fvectorisation-avoidance', '-fspec-constr', '-fignore-interface-pragmas', '-foptimal-applicative-do', '-feager-blackholing', '-fliberate-case-threshold=2000', '-fspecialise', '-fstatic-argument-transformation', '-funfolding-creation-threshold=750', '-fmax-simplifier-iterations=4', '-fenable-rewrite-rules', '-fliberate-case', '-fignore-asserts', '-fomit-yields', '-fsimpl-tick-factor=100', '-flate-dmd-anal', '-fspec-constr-count=3', '-fdo-eta-reduction', '-fomit-interface-pragmas', '-funbox-strict-fields', '-fworker-wrapper', '-fno-opt-coercion', '-fdicts-strict', '-fstrictness-before=1', '-funfolding-use-threshold=60', '-funfolding-keeness-factor=1.5', '-fmax-relevant-binds=6', '-fmax-inline-memcpy-insns=32', '-fregs-iterative', '-ffun-to-thunk', '-fdo-lambda-eta-expansion', '-fno-state-hack']",0.206,0,False
6,8748a9c9-4746-45fa-8e2a-04df79dfc035,fast,"['-O0', '-fdmd-tx-dict-sel', '-fdicts-strict', '-fenable-rewrite-rules', '-fcmm-sink', '-foptimal-applicative-do', '-fpedantic-bottoms', '-fcross-module-specialise', '-fomit-yields', '-fregs-iterative', '-fvectorisation-avoidance', '-fdo-lambda-eta-expansion', '-fmax-worker-args=10', '-fmax-inline-memcpy-insns=32', '-fignore-asserts', '-fvectorise', '-funfolding-fun-discount=60', '-flate-dmd-anal', '-fstrictness', '-fspec-constr-threshold=2000', '-funfolding-dict-discount=30', '-fignore-interface-pragmas', '-ffull-laziness', '-fdicts-cheap', '-fdo-eta-reduction', '-fcall-arity', '-fcase-merge', '-fmax-inline-memset-insns=32', '-fliberate-case-threshold=2000']",0.209,0,False
7,478409ae-0569-4ffb-980f-61f03b1ffbf8,fast,"['-O0', '-feager-blackholing', '-ffloat-in', '-fregs-graph', '-fvectorise', '-fstrictness', '-fmax-inline-memset-insns=32', '-fsimpl-tick-factor=100', '-fmax-relevant-binds=6', '-fcall-arity', '-fno-pre-inlining', '-fvectorisation-avoidance', '-fspec-constr', '-fdicts-cheap', '-fstatic-argument-transformation', '-fignore-asserts', '-funfolding-keeness-factor=1.5', '-fcross-module-specialise', '-fspec-constr-count=3', '-fcmm-elim-common-blocks', '-fno-state-hack', '-fpedantic-bottoms', '-fstrictness-before=1', '-fcse', '-floopification', '-fmax-worker-args=10', '-funbox-strict-fields', '-fenable-rewrite-rules', '-fignore-interface-pragmas', '-fexpose-all-unfoldings', '-fdo-eta-reduction', '-fliberate-case', '-fspecialise', '-flate-dmd-anal', '-fcase-merge', '-fsimplifier-phases=2', '-fdo-lambda-eta-expansion', '-fdicts-strict', '-funfolding-use-threshold=60', '-fspec-constr-threshold=2000', '-fexcess-precision', '-fmax-simplifier-iterations=4', '-fomit-interface-pragmas', '-fno-opt-coercion', '-fliberate-case-threshold=2000']",0.21,0,False
8,5b6e5589-b1d8-4779-bc49-15a28503c20f,fast,"['-O0', '-funbox-small-strict-fields', '-fdmd-tx-dict-sel', '-fcpr-anal', '-fspecialise', '-fpedantic-bottoms', '-fmax-relevant-binds=6', '-fregs-iterative', '-fomit-interface-pragmas', '-fcmm-sink', '-fdicts-cheap', '-fcase-merge', '-fcall-arity', '-fno-opt-coercion', '-fenable-rewrite-rules', '-feager-blackholing', '-fvectorisation-avoidance', '-fexcess-precision', '-fmax-inline-memset-insns=32', '-fmax-inline-alloc-size=128', '-funfolding-creation-threshold=750', '-flate-dmd-anal', '-funfolding-use-threshold=60', '-ffloat-in', '-fcross-module-specialise', '-fdicts-strict', '-fregs-graph', '-fspec-constr-count=3', '-fignore-interface-pragmas', '-funbox-strict-fields', '-fworker-wrapper', '-fcmm-elim-common-blocks', '-fvectorise', '-fstrictness', '-fno-state-hack', '-fsimpl-tick-factor=100', '-fstatic-argument-transformation', '-fmax-simplifier-iterations=4', '-fdo-lambda-eta-expansion', '-fmax-worker-args=10', '-fliberate-case-threshold=2000', '-funfolding-dict-discount=30', '-ffull-laziness', '-funfolding-fun-discount=60']",0.211,0,False
9,169c8e32-4460-4763-a12f-dabfd124bd21,fast,"['-O0', '-fexpose-all-unfoldings', '-ffloat-in', '-fno-pre-inlining', '-fcase-merge', '-fignore-interface-pragmas', '-fomit-yields', '-funfolding-fun-discount=60', '-fdicts-cheap', '-fregs-graph', '-funfolding-creation-threshold=750', '-fdicts-strict', '-fspec-constr-count=3', '-funbox-small-strict-fields', '-fexcess-precision', '-fpedantic-bottoms', '-fcse']",0.212,0,False
