,ID,Mode,Flags,Runtime,Iteration,Best
0,-O0,fast,-O0,0.213,0,False
1,-O2,fast,-O2,0.213,0,False
2,272f1d87-1fdf-4d3f-b271-045bb1429b74,fast,"['-O0', '-fcmm-sink', '-fspec-constr', '-fcmm-elim-common-blocks', '-fvectorise', '-fliberate-case-threshold=2000', '-fcross-module-specialise', '-fdo-lambda-eta-expansion', '-fsimpl-tick-factor=100', '-fdicts-strict', '-fspecialise', '-funfolding-fun-discount=60', '-fliberate-case', '-foptimal-applicative-do', '-flate-dmd-anal', '-fsimplifier-phases=2']",0.209,0,False
3,979676ea-7c4b-45fc-a1df-4837157219ff,fast,"['-O0', '-fdicts-strict', '-fstrictness', '-fdo-lambda-eta-expansion', '-fcase-merge', '-fcmm-elim-common-blocks', '-fdicts-cheap', '-fstatic-argument-transformation', '-fmax-relevant-binds=6', '-funfolding-creation-threshold=750', '-fcall-arity', '-fcmm-sink', '-fregs-graph', '-fspec-constr-count=3', '-fcpr-anal', '-ffloat-in', '-fstrictness-before=1', '-fspecialise', '-funfolding-fun-discount=60', '-fexcess-precision', '-fmax-worker-args=10', '-fomit-interface-pragmas', '-fmax-inline-memcpy-insns=32', '-foptimal-applicative-do', '-fsimpl-tick-factor=100', '-fenable-rewrite-rules', '-ffun-to-thunk', '-feager-blackholing', '-fno-pre-inlining', '-fregs-iterative', '-fignore-asserts', '-floopification', '-fvectorisation-avoidance', '-fmax-inline-memset-insns=32', '-ffull-laziness', '-fno-state-hack', '-funbox-small-strict-fields', '-funfolding-dict-discount=30', '-fliberate-case', '-fno-opt-coercion', '-fcross-module-specialise']",0.209,0,False
4,1180f096-1def-4a4c-aebe-eb60e3109029,fast,"['-O0', '-fstatic-argument-transformation', '-fdicts-cheap', '-fdo-lambda-eta-expansion', '-fcmm-sink', '-fexpose-all-unfoldings', '-feager-blackholing', '-ffun-to-thunk', '-fmax-inline-alloc-size=128', '-funfolding-fun-discount=60', '-fmax-inline-memset-insns=32', '-fmax-simplifier-iterations=4', '-fregs-iterative', '-fno-pre-inlining', '-fdmd-tx-dict-sel', '-fstrictness-before=1', '-fspecialise', '-fworker-wrapper', '-fcase-merge', '-foptimal-applicative-do', '-ffloat-in', '-fdo-eta-reduction', '-ffull-laziness', '-fspec-constr-count=3', '-fignore-interface-pragmas', '-fomit-interface-pragmas']",0.21,0,False
5,5c0c4107-8cbf-4e91-9c40-29b98db8e29c,fast,"['-O0', '-fspec-constr-threshold=2000', '-foptimal-applicative-do', '-fspec-constr', '-ffloat-in', '-fdmd-tx-dict-sel', '-fspecialise', '-fomit-yields', '-fno-pre-inlining', '-fspec-constr-count=3', '-fignore-asserts', '-ffull-laziness', '-fexcess-precision', '-funfolding-use-threshold=60', '-fsimplifier-phases=2', '-fmax-worker-args=10', '-fcase-merge', '-fdo-lambda-eta-expansion', '-funfolding-dict-discount=30', '-fomit-interface-pragmas', '-funfolding-fun-discount=60', '-fdicts-cheap', '-fcse', '-fpedantic-bottoms', '-funfolding-creation-threshold=750', '-ffun-to-thunk', '-flate-dmd-anal', '-fworker-wrapper', '-fdicts-strict']",0.209,0,False
6,1e9850b4-8d17-479f-bb30-adac6a6a6fb9,fast,"['-O0', '-fpedantic-bottoms', '-fcmm-sink', '-fliberate-case', '-fmax-worker-args=10', '-fspec-constr-count=3', '-fstatic-argument-transformation', '-fcse', '-fregs-iterative', '-fliberate-case-threshold=2000', '-fspec-constr-threshold=2000', '-fno-state-hack', '-ffun-to-thunk']",0.209,0,False
7,3de24c53-7670-46a0-927e-fbd26ea2d630,fast,"['-O0', '-fcross-module-specialise', '-fregs-graph', '-funfolding-dict-discount=30', '-ffun-to-thunk', '-funfolding-keeness-factor=1.5', '-fmax-worker-args=10', '-fno-pre-inlining', '-fvectorisation-avoidance', '-fignore-asserts', '-funfolding-use-threshold=60', '-fspecialise', '-fliberate-case-threshold=2000', '-feager-blackholing']",0.211,0,False
8,1cfb459c-a913-4597-ace2-6960fec6a6b2,fast,"['-O0', '-fcmm-elim-common-blocks', '-funfolding-creation-threshold=750', '-fpedantic-bottoms', '-fdmd-tx-dict-sel', '-foptimal-applicative-do', '-fstrictness-before=1', '-fcmm-sink', '-fenable-rewrite-rules', '-fworker-wrapper']",0.209,0,False
9,d84d6255-f918-4d98-b147-468aa74116f7,fast,"['-O0', '-fexcess-precision', '-fmax-inline-memset-insns=32', '-foptimal-applicative-do', '-feager-blackholing', '-fomit-yields', '-floopification', '-funbox-small-strict-fields', '-fenable-rewrite-rules', '-fspec-constr-threshold=2000', '-flate-dmd-anal', '-funfolding-keeness-factor=1.5', '-fliberate-case-threshold=2000', '-fvectorise', '-fspecialise', '-fregs-graph', '-fsimpl-tick-factor=100', '-fcse', '-fvectorisation-avoidance', '-fmax-inline-alloc-size=128', '-fcmm-elim-common-blocks', '-fpedantic-bottoms', '-funfolding-use-threshold=60', '-fmax-simplifier-iterations=4', '-fomit-interface-pragmas', '-fstrictness-before=1', '-fcpr-anal']",0.209,0,False
10,a6519684-3724-4a1b-a5c5-a4f3c9f93a15,fast,"['-O0', '-funfolding-creation-threshold=750', '-fno-pre-inlining', '-fexpose-all-unfoldings', '-fvectorisation-avoidance', '-fdo-lambda-eta-expansion', '-fliberate-case', '-fmax-inline-memcpy-insns=32', '-fspec-constr-count=3', '-fno-state-hack', '-ffull-laziness', '-fmax-relevant-binds=6', '-funfolding-dict-discount=30', '-funbox-strict-fields', '-fmax-simplifier-iterations=4', '-fno-opt-coercion', '-fdicts-cheap', '-fspec-constr-threshold=2000', '-fcse', '-fomit-interface-pragmas', '-fcpr-anal', '-feager-blackholing', '-ffloat-in', '-fsimplifier-phases=2', '-fregs-iterative', '-fmax-inline-alloc-size=128', '-fstrictness-before=1', '-fcmm-sink', '-fpedantic-bottoms', '-fenable-rewrite-rules', '-fspecialise', '-fignore-asserts', '-funfolding-use-threshold=60', '-fmax-worker-args=10', '-fworker-wrapper', '-fdo-eta-reduction', '-flate-dmd-anal', '-fstatic-argument-transformation', '-fliberate-case-threshold=2000', '-fstrictness', '-fdicts-strict', '-fmax-inline-memset-insns=32', '-fexcess-precision', '-fsimpl-tick-factor=100', '-fcall-arity', '-fregs-graph', '-fcross-module-specialise', '-fignore-interface-pragmas', '-ffun-to-thunk']",0.209,0,False
11,2c722f9c-b720-4b2b-a376-9ab57f37af1e,fast,"['-O0', '-fliberate-case', '-fspec-constr-threshold=2000', '-fexpose-all-unfoldings', '-fstrictness-before=1', '-fenable-rewrite-rules', '-flate-dmd-anal', '-fdicts-strict', '-funfolding-fun-discount=60', '-fmax-inline-alloc-size=128', '-fregs-iterative', '-fsimplifier-phases=2', '-fcase-merge', '-fdo-eta-reduction', '-fexcess-precision', '-fregs-graph', '-ffloat-in', '-fstrictness', '-funfolding-keeness-factor=1.5']",0.21,0,False
12,4b8c5ca8-480f-4fc0-8fdc-9a2530f4f2fe,fast,"['-O0', '-fcse', '-fdmd-tx-dict-sel', '-fmax-inline-memset-insns=32', '-fcase-merge', '-fcall-arity', '-funfolding-keeness-factor=1.5', '-fignore-asserts', '-fspec-constr-threshold=2000', '-fspec-constr-count=3', '-fmax-worker-args=10', '-fvectorise', '-fomit-interface-pragmas', '-fmax-simplifier-iterations=4', '-fno-pre-inlining', '-fcmm-sink', '-fmax-relevant-binds=6', '-fexpose-all-unfoldings', '-fignore-interface-pragmas', '-ffun-to-thunk', '-floopification', '-fregs-iterative', '-fdicts-cheap', '-fregs-graph', '-fspec-constr', '-ffull-laziness', '-fsimpl-tick-factor=100', '-funfolding-dict-discount=30', '-fomit-yields', '-fexcess-precision', '-flate-dmd-anal', '-funfolding-use-threshold=60', '-fmax-inline-memcpy-insns=32', '-fvectorisation-avoidance', '-fstrictness', '-fmax-inline-alloc-size=128', '-fsimplifier-phases=2', '-funfolding-fun-discount=60', '-fdo-lambda-eta-expansion', '-foptimal-applicative-do', '-feager-blackholing', '-ffloat-in', '-fdo-eta-reduction', '-fdicts-strict', '-fspecialise', '-fliberate-case', '-fliberate-case-threshold=2000', '-fstrictness-before=1', '-fcmm-elim-common-blocks']",0.209,0,False
13,aaaf0647-241d-4e3e-b300-f4df290f9d15,fast,"['-O0', '-feager-blackholing', '-fdicts-strict', '-fstatic-argument-transformation', '-floopification', '-fmax-inline-memcpy-insns=32', '-fdicts-cheap', '-fcall-arity', '-fmax-inline-alloc-size=128', '-fmax-inline-memset-insns=32', '-fomit-yields', '-fworker-wrapper', '-fstrictness-before=1', '-fcmm-elim-common-blocks', '-fcross-module-specialise', '-fspecialise', '-fignore-asserts', '-fcase-merge', '-flate-dmd-anal', '-fignore-interface-pragmas', '-fdmd-tx-dict-sel', '-ffloat-in', '-fstrictness']",0.21,0,False
