,ID,Flags,Mode,Runtime,Elapsed_Time
0,-O0,['-O0'],fast,0.209,0.209
1,-O2,['-O2'],fast,0.211,0.211
2,d3cc368a-076b-4111-a68d-d3ff6e0eaba9,"['-O0' '-fignore-asserts' '-fdicts-cheap' '-funfolding-dict-discount=30'
 '-fmax-relevant-binds=6' '-ffloat-in' '-fenable-rewrite-rules'
 '-feager-blackholing' '-fcmm-sink' '-fstrictness-before=1'
 '-fignore-asserts' '-fstrictness' '-fliberate-case-threshold=2000'
 '-fdicts-strict' '-fcall-arity' '-floopification' '-fmax-worker-args=10'
 '-fvectorise' '-fcse' '-fmax-inline-alloc-size=128' '-fdicts-cheap'
 '-fstatic-argument-transformation' '-fdmd-tx-dict-sel'
 '-fmax-inline-memset-insns=32' '-fmax-inline-memcpy-insns=32'
 '-fliberate-case-threshold=2000' '-fdo-lambda-eta-expansion'
 '-flate-dmd-anal' '-fspecialise' '-fstrictness'
 '-fmax-inline-alloc-size=128' '-fexpose-all-unfoldings'
 '-fmax-inline-alloc-size=128' '-funfolding-use-threshold=60'
 '-fmax-simplifier-iterations=4' '-fregs-iterative'
 '-funfolding-dict-discount=30' '-funfolding-dict-discount=30'
 '-fdo-eta-reduction' '-foptimal-applicative-do' '-ffun-to-thunk']",fast,0.212,0.212
3,c0897828-4e8f-4785-9409-1ba2ef0ec21b,"['-O0' '-funfolding-use-threshold=60' '-fsimplifier-phases=2'
 '-fno-state-hack' '-fcall-arity' '-ffloat-in' '-fno-state-hack'
 '-fpedantic-bottoms' '-fignore-interface-pragmas'
 '-fmax-relevant-binds=6' '-fignore-interface-pragmas'
 '-fmax-worker-args=10' '-fignore-interface-pragmas' '-ffloat-in'
 '-fliberate-case' '-fsimplifier-phases=2' '-fregs-iterative'
 '-funfolding-keeness-factor=1.5' '-fexpose-all-unfoldings'
 '-fomit-interface-pragmas' '-fstrictness-before=1' '-flate-dmd-anal'
 '-fregs-iterative' '-ffull-laziness' '-floopification'
 '-fcmm-elim-common-blocks' '-fspec-constr' '-ffloat-in' '-ffull-laziness'
 '-fdo-eta-reduction' '-fcase-merge' '-fcpr-anal' '-fcall-arity'
 '-fsimplifier-phases=2' '-fcmm-elim-common-blocks'
 '-funbox-strict-fields' '-funfolding-use-threshold=60' '-fregs-graph'
 '-fmax-simplifier-iterations=4' '-fcmm-elim-common-blocks'
 '-fdo-eta-reduction']",fast,0.213,0.213
4,128dcdb2-4bdf-4ed1-8ecc-68688834a6e1,"['-O0' '-fsimplifier-phases=2' '-fdo-eta-reduction'
 '-fdo-lambda-eta-expansion' '-fspec-constr' '-fcase-merge'
 '-fenable-rewrite-rules' '-fcross-module-specialise'
 '-fomit-interface-pragmas' '-fregs-graph' '-foptimal-applicative-do'
 '-feager-blackholing' '-fregs-graph' '-fignore-asserts'
 '-funfolding-dict-discount=30' '-fmax-inline-memset-insns=32'
 '-fstrictness-before=1' '-flate-dmd-anal' '-fstrictness' '-ffloat-in'
 '-fignore-interface-pragmas' '-fenable-rewrite-rules'
 '-funfolding-creation-threshold=750' '-funfolding-keeness-factor=1.5'
 '-funfolding-dict-discount=30' '-fsimplifier-phases=2'
 '-feager-blackholing' '-ffloat-in' '-feager-blackholing'
 '-fspec-constr-count=3' '-fomit-yields' '-fspecialise'
 '-fdo-lambda-eta-expansion' '-fcpr-anal' '-fcase-merge' '-fno-state-hack'
 '-fno-state-hack' '-funfolding-dict-discount=30'
 '-fmax-inline-memcpy-insns=32' '-ffun-to-thunk' '-fliberate-case']",fast,0.211,0.211
5,9a295963-afc2-4a8d-ae4d-cbed5f9a2269,"['-O0' '-fworker-wrapper' '-funbox-strict-fields' '-fspec-constr'
 '-fspecialise' '-fignore-interface-pragmas' '-funbox-small-strict-fields'
 '-ffun-to-thunk' '-fcall-arity' '-fcse' '-funfolding-use-threshold=60'
 '-fcmm-sink' '-fno-opt-coercion' '-fregs-graph'
 '-fomit-interface-pragmas' '-fomit-yields' '-fmax-inline-alloc-size=128'
 '-fcmm-sink' '-fspecialise' '-fstrictness-before=1'
 '-fcmm-elim-common-blocks' '-ffloat-in' '-feager-blackholing'
 '-fvectorise' '-fexpose-all-unfoldings' '-fcall-arity' '-ffun-to-thunk'
 '-fignore-interface-pragmas' '-fstatic-argument-transformation'
 '-fsimplifier-phases=2' '-fsimplifier-phases=2' '-fcmm-sink'
 '-fstrictness' '-funbox-small-strict-fields' '-funbox-strict-fields'
 '-fdicts-strict' '-fcpr-anal' '-fstrictness' '-fomit-yields'
 '-funbox-small-strict-fields' '-fregs-iterative']",fast,0.209,0.209
6,cbd21326-ecfc-4c15-ad6c-5b4b231bbd8c,"['-O0' '-fcpr-anal' '-fno-state-hack' '-fmax-inline-memset-insns=32'
 '-fmax-relevant-binds=6' '-fno-state-hack' '-fno-pre-inlining'
 '-fvectorisation-avoidance' '-fspec-constr-threshold=2000' '-fcpr-anal'
 '-funfolding-keeness-factor=1.5' '-fcase-merge' '-fcmm-sink'
 '-funfolding-use-threshold=60' '-ffloat-in' '-feager-blackholing'
 '-fliberate-case' '-fstrictness-before=1' '-funfolding-use-threshold=60'
 '-funbox-strict-fields' '-fexpose-all-unfoldings' '-feager-blackholing'
 '-fregs-graph' '-fmax-inline-memset-insns=32' '-fsimpl-tick-factor=100'
 '-fstrictness-before=1' '-fignore-asserts' '-fspec-constr-count=3'
 '-fstrictness-before=1' '-funfolding-use-threshold=60' '-fspec-constr'
 '-fcpr-anal' '-fomit-yields' '-fsimplifier-phases=2' '-floopification'
 '-fdo-eta-reduction' '-fspec-constr' '-fstrictness'
 '-fignore-interface-pragmas' '-fenable-rewrite-rules'
 '-fspec-constr-threshold=2000']",fast,0.211,0.211
7,3baf136d-5681-47b7-94c1-19b91c68c18e,"['-O0' '-fdicts-strict' '-fmax-inline-alloc-size=128'
 '-fcross-module-specialise' '-flate-dmd-anal' '-fno-state-hack'
 '-fregs-iterative' '-fregs-iterative' '-fworker-wrapper'
 '-funfolding-fun-discount=60' '-fmax-relevant-binds=6' '-fliberate-case'
 '-fcmm-elim-common-blocks' '-fpedantic-bottoms'
 '-fcmm-elim-common-blocks' '-feager-blackholing' '-fdmd-tx-dict-sel'
 '-fmax-worker-args=10' '-fspec-constr-count=3'
 '-fmax-simplifier-iterations=4' '-fmax-relevant-binds=6'
 '-funbox-small-strict-fields' '-fno-pre-inlining' '-fspec-constr-count=3'
 '-fstrictness' '-fworker-wrapper' '-fspec-constr'
 '-fmax-simplifier-iterations=4' '-fdicts-strict'
 '-funfolding-dict-discount=30' '-funfolding-dict-discount=30'
 '-fexpose-all-unfoldings' '-fdicts-strict' '-fspec-constr'
 '-fmax-relevant-binds=6' '-fno-state-hack' '-ffull-laziness'
 '-fspec-constr-threshold=2000' '-fomit-interface-pragmas'
 '-fmax-relevant-binds=6' '-fliberate-case-threshold=2000']",fast,0.209,0.209
8,753519a4-b230-439a-b679-c9ad2ad6bd1c,"['-O0' '-fignore-asserts' '-fworker-wrapper' '-fsimplifier-phases=2'
 '-fenable-rewrite-rules' '-fno-opt-coercion' '-fcross-module-specialise'
 '-fdo-lambda-eta-expansion' '-funfolding-creation-threshold=750'
 '-fmax-simplifier-iterations=4' '-fcmm-elim-common-blocks'
 '-fignore-asserts' '-fdmd-tx-dict-sel' '-funbox-strict-fields'
 '-fcase-merge' '-fvectorise' '-fcmm-sink' '-fexpose-all-unfoldings'
 '-fignore-asserts' '-fmax-worker-args=10' '-fexpose-all-unfoldings'
 '-flate-dmd-anal' '-fmax-inline-memcpy-insns=32' '-ffull-laziness'
 '-feager-blackholing' '-fcross-module-specialise' '-fspec-constr'
 '-fmax-inline-memcpy-insns=32' '-foptimal-applicative-do' '-fcse'
 '-fspecialise' '-fvectorise' '-fcmm-sink' '-fspecialise'
 '-funfolding-use-threshold=60' '-flate-dmd-anal'
 '-fmax-simplifier-iterations=4' '-fcall-arity'
 '-funfolding-dict-discount=30' '-fmax-inline-memcpy-insns=32'
 '-fstrictness']",fast,0.21,0.21
9,aa5bf1cf-058b-4db5-be4c-0a57b3d936a3,"['-O0' '-fmax-inline-memcpy-insns=32' '-fno-state-hack'
 '-fmax-inline-memset-insns=32' '-fno-state-hack' '-fcse'
 '-fstrictness-before=1' '-floopification' '-fenable-rewrite-rules'
 '-foptimal-applicative-do' '-fexcess-precision' '-fpedantic-bottoms'
 '-fcase-merge' '-fspec-constr-threshold=2000'
 '-fliberate-case-threshold=2000' '-fspec-constr-threshold=2000'
 '-fregs-iterative' '-foptimal-applicative-do' '-fcase-merge'
 '-fmax-inline-alloc-size=128' '-fmax-inline-memset-insns=32'
 '-fcase-merge' '-fstrictness' '-fregs-graph' '-fno-opt-coercion'
 '-ffull-laziness' '-fsimpl-tick-factor=100' '-fdo-eta-reduction'
 '-funfolding-keeness-factor=1.5' '-fcmm-elim-common-blocks'
 '-fdmd-tx-dict-sel' '-fstrictness-before=1' '-fregs-graph'
 '-fspec-constr-threshold=2000' '-fspecialise' '-fdicts-strict'
 '-fomit-yields' '-fexpose-all-unfoldings' '-fcmm-elim-common-blocks'
 '-fcase-merge' '-funfolding-dict-discount=30']",fast,0.21,0.21
