,ID,Flags,Mode,Runtime,Elapsed_Time
0,-O0,['-O0'],fast,0.211,0.211
1,-O2,['-O2'],fast,0.211,0.211
2,ceb6a680-e6df-4387-bfab-0a1295a36feb,"['-O0' '-funbox-small-strict-fields' '-fmax-inline-memset-insns=32'
 '-funfolding-creation-threshold=750' '-fno-pre-inlining'
 '-fignore-interface-pragmas' '-fspecialise' '-funbox-small-strict-fields'
 '-fignore-interface-pragmas' '-fdmd-tx-dict-sel'
 '-fvectorisation-avoidance' '-fdo-eta-reduction' '-fliberate-case'
 '-fomit-yields' '-fspecialise' '-fomit-interface-pragmas'
 '-fmax-worker-args=10' '-fspec-constr-count=3' '-ffun-to-thunk'
 '-fdo-eta-reduction' '-funfolding-keeness-factor=1.5' '-flate-dmd-anal'
 '-fsimplifier-phases=2' '-fstrictness-before=1' '-ffloat-in'
 '-fdo-lambda-eta-expansion' '-fvectorise' '-fexcess-precision'
 '-fmax-simplifier-iterations=4' '-fstrictness' '-fno-opt-coercion'
 '-fvectorisation-avoidance' '-fmax-worker-args=10' '-fdo-eta-reduction'
 '-fdmd-tx-dict-sel' '-fmax-inline-memset-insns=32' '-fno-state-hack'
 '-funfolding-dict-discount=30' '-fmax-inline-memset-insns=32'
 '-floopification' '-fstrictness' '-fexpose-all-unfoldings' '-fcase-merge'
 '-fcpr-anal' '-fmax-simplifier-iterations=4' '-fcmm-sink'
 '-funbox-small-strict-fields']",fast,0.214,0.214
3,d0f8dc95-28ca-4e85-9b5a-2e7c08d9a7fe,"['-O0' '-fdo-eta-reduction' '-ffun-to-thunk' '-fdicts-strict'
 '-fignore-interface-pragmas' '-fregs-graph' '-fregs-graph'
 '-fdo-lambda-eta-expansion' '-flate-dmd-anal' '-fcall-arity'
 '-fstrictness-before=1' '-fspec-constr' '-fmax-inline-memset-insns=32'
 '-funfolding-fun-discount=60' '-fvectorisation-avoidance'
 '-fstrictness-before=1' '-fcase-merge' '-fregs-iterative'
 '-fdmd-tx-dict-sel' '-funfolding-dict-discount=30'
 '-fsimpl-tick-factor=100' '-fspec-constr' '-fmax-simplifier-iterations=4'
 '-fpedantic-bottoms' '-fsimpl-tick-factor=100' '-fdo-eta-reduction'
 '-fstrictness-before=1' '-fstrictness' '-fmax-simplifier-iterations=4'
 '-fstatic-argument-transformation' '-fsimplifier-phases=2'
 '-fspec-constr' '-fstatic-argument-transformation'
 '-fspec-constr-threshold=2000' '-fregs-iterative' '-ffloat-in'
 '-fregs-iterative' '-fdo-lambda-eta-expansion'
 '-funfolding-creation-threshold=750' '-fcmm-sink'
 '-fmax-simplifier-iterations=4' '-fcmm-elim-common-blocks'
 '-fignore-interface-pragmas' '-fexcess-precision' '-fspecialise'
 '-fno-state-hack' '-funfolding-creation-threshold=750']",fast,0.211,0.211
4,de14893f-44c1-42db-97c0-c219ee8772d1,"['-O0' '-fcpr-anal' '-fno-pre-inlining' '-foptimal-applicative-do'
 '-fvectorise' '-fregs-graph' '-fdo-eta-reduction' '-fstrictness-before=1'
 '-fspec-constr-threshold=2000' '-fcmm-sink' '-ffloat-in'
 '-fpedantic-bottoms' '-fspecialise' '-fvectorise' '-fdmd-tx-dict-sel'
 '-fdicts-strict' '-fmax-worker-args=10' '-fignore-interface-pragmas'
 '-ffull-laziness' '-fliberate-case' '-fpedantic-bottoms' '-fspecialise'
 '-fignore-asserts' '-fignore-asserts' '-funfolding-dict-discount=30'
 '-ffloat-in' '-fcse' '-fliberate-case' '-fcall-arity' '-fspec-constr'
 '-floopification' '-fcall-arity' '-fregs-graph' '-floopification'
 '-fstatic-argument-transformation' '-fenable-rewrite-rules' '-fcmm-sink'
 '-ffloat-in' '-funfolding-use-threshold=60' '-fcmm-sink'
 '-fno-state-hack' '-fstrictness' '-funfolding-use-threshold=60'
 '-fdo-lambda-eta-expansion' '-fspecialise' '-fsimpl-tick-factor=100'
 '-fpedantic-bottoms']",fast,0.213,0.213
5,9786f3b4-7e8e-4d1f-bf2b-49ceb8c31556,"['-O0' '-fvectorise' '-fdo-lambda-eta-expansion'
 '-funbox-small-strict-fields' '-fmax-inline-memset-insns=32'
 '-floopification' '-fstrictness' '-fdo-lambda-eta-expansion'
 '-fstatic-argument-transformation' '-fdo-lambda-eta-expansion'
 '-ffun-to-thunk' '-fno-opt-coercion' '-funfolding-dict-discount=30'
 '-fomit-interface-pragmas' '-fignore-asserts' '-fstrictness-before=1'
 '-fstrictness-before=1' '-funbox-small-strict-fields'
 '-fmax-simplifier-iterations=4' '-fdo-lambda-eta-expansion' '-fcmm-sink'
 '-fmax-relevant-binds=6' '-fcse' '-feager-blackholing' '-ffun-to-thunk'
 '-fcmm-sink' '-fmax-inline-alloc-size=128' '-fregs-graph'
 '-fliberate-case-threshold=2000' '-fmax-inline-alloc-size=128'
 '-fignore-interface-pragmas' '-fspecialise' '-fregs-iterative'
 '-funfolding-fun-discount=60' '-fliberate-case' '-fregs-graph'
 '-fmax-worker-args=10' '-fcmm-elim-common-blocks' '-feager-blackholing'
 '-fspecialise' '-fstrictness' '-fno-pre-inlining'
 '-fmax-inline-alloc-size=128' '-fdo-eta-reduction' '-fcmm-sink'
 '-fcall-arity' '-fexcess-precision']",fast,0.209,0.209
6,9850428d-c88c-44f4-92ed-99bf8bcae592,"['-O0' '-fmax-inline-memset-insns=32' '-fenable-rewrite-rules'
 '-funfolding-use-threshold=60' '-fspec-constr-count=3'
 '-fspec-constr-threshold=2000' '-fmax-simplifier-iterations=4'
 '-fspec-constr' '-fregs-graph' '-fmax-inline-memcpy-insns=32'
 '-fcall-arity' '-fno-opt-coercion' '-funfolding-keeness-factor=1.5'
 '-fworker-wrapper' '-funbox-small-strict-fields' '-fregs-iterative'
 '-fpedantic-bottoms' '-fdicts-cheap' '-funfolding-keeness-factor=1.5'
 '-flate-dmd-anal' '-ffun-to-thunk' '-fvectorise'
 '-fmax-inline-alloc-size=128' '-fsimpl-tick-factor=100' '-floopification'
 '-fdo-lambda-eta-expansion' '-fdmd-tx-dict-sel' '-fcpr-anal'
 '-fmax-inline-memcpy-insns=32' '-fenable-rewrite-rules' '-fliberate-case'
 '-fmax-inline-memset-insns=32' '-ffloat-in' '-fmax-inline-alloc-size=128'
 '-fcall-arity' '-fexcess-precision' '-fstatic-argument-transformation'
 '-fpedantic-bottoms' '-fomit-interface-pragmas' '-fdmd-tx-dict-sel'
 '-fdicts-strict' '-feager-blackholing' '-fmax-relevant-binds=6'
 '-fstrictness' '-fno-pre-inlining' '-fsimpl-tick-factor=100'
 '-fomit-yields']",fast,0.21,0.21
7,30f8c028-5e2c-42a5-8549-537ae3a53efd,"['-O0' '-fcall-arity' '-fmax-simplifier-iterations=4' '-fignore-asserts'
 '-fsimplifier-phases=2' '-funfolding-fun-discount=60'
 '-fpedantic-bottoms' '-funfolding-keeness-factor=1.5'
 '-funbox-strict-fields' '-fspec-constr-threshold=2000' '-fno-state-hack'
 '-fno-state-hack' '-fno-opt-coercion' '-fignore-interface-pragmas'
 '-fspec-constr' '-funbox-small-strict-fields' '-fexcess-precision'
 '-fpedantic-bottoms' '-fregs-graph' '-fcall-arity' '-fno-state-hack'
 '-fregs-iterative' '-fcse' '-fliberate-case' '-fworker-wrapper'
 '-fdo-eta-reduction' '-fvectorise' '-fdo-lambda-eta-expansion'
 '-fspecialise' '-fsimpl-tick-factor=100' '-fdmd-tx-dict-sel'
 '-fno-opt-coercion' '-fmax-simplifier-iterations=4' '-fvectorise'
 '-fignore-asserts' '-fdmd-tx-dict-sel' '-fmax-simplifier-iterations=4'
 '-fliberate-case-threshold=2000' '-fignore-interface-pragmas'
 '-fworker-wrapper' '-fcpr-anal' '-fcall-arity' '-fworker-wrapper'
 '-fcross-module-specialise' '-fworker-wrapper' '-fexpose-all-unfoldings'
 '-fsimpl-tick-factor=100']",fast,0.21,0.21
8,822ffa56-c0b3-4f98-bdde-4de6771468af,"['-O0' '-fmax-relevant-binds=6' '-fno-pre-inlining' '-fregs-graph'
 '-funfolding-dict-discount=30' '-fcross-module-specialise'
 '-funbox-strict-fields' '-fexpose-all-unfoldings' '-fregs-graph'
 '-fsimpl-tick-factor=100' '-fspec-constr-threshold=2000'
 '-fliberate-case' '-fdo-lambda-eta-expansion' '-fcmm-elim-common-blocks'
 '-fdmd-tx-dict-sel' '-fspecialise' '-fignore-asserts' '-fomit-yields'
 '-funfolding-fun-discount=60' '-funfolding-keeness-factor=1.5'
 '-funbox-small-strict-fields' '-fmax-simplifier-iterations=4'
 '-floopification' '-funbox-small-strict-fields' '-flate-dmd-anal'
 '-fsimplifier-phases=2' '-fdicts-cheap' '-floopification'
 '-fstrictness-before=1' '-fignore-asserts' '-fvectorisation-avoidance'
 '-fexcess-precision' '-fstrictness' '-feager-blackholing'
 '-fliberate-case-threshold=2000' '-fmax-simplifier-iterations=4'
 '-ffloat-in' '-fno-opt-coercion' '-fregs-graph'
 '-fcross-module-specialise' '-funfolding-use-threshold=60'
 '-funbox-strict-fields' '-fspec-constr' '-funfolding-fun-discount=60'
 '-fomit-yields' '-fno-state-hack' '-funfolding-keeness-factor=1.5']",fast,0.211,0.211
9,290702b5-6859-45f4-beed-fcec3058eac0,"['-O0' '-fsimplifier-phases=2' '-fcse' '-funbox-small-strict-fields'
 '-fliberate-case-threshold=2000' '-ffloat-in' '-fliberate-case'
 '-fcpr-anal' '-fomit-yields' '-fmax-inline-alloc-size=128'
 '-ffun-to-thunk' '-fomit-interface-pragmas' '-fpedantic-bottoms'
 '-fno-state-hack' '-fworker-wrapper' '-fstatic-argument-transformation'
 '-fdo-lambda-eta-expansion' '-fdo-eta-reduction'
 '-funfolding-fun-discount=60' '-fmax-inline-memset-insns=32'
 '-fvectorise' '-funfolding-creation-threshold=750' '-fdicts-cheap'
 '-fmax-inline-memset-insns=32' '-fcpr-anal' '-fcase-merge'
 '-fmax-worker-args=10' '-funfolding-dict-discount=30' '-fno-pre-inlining'
 '-fcase-merge' '-funfolding-creation-threshold=750' '-fworker-wrapper'
 '-funfolding-dict-discount=30' '-funfolding-dict-discount=30'
 '-fstrictness' '-fvectorise' '-flate-dmd-anal'
 '-funfolding-creation-threshold=750' '-ffull-laziness'
 '-fexcess-precision' '-flate-dmd-anal' '-fcmm-sink'
 '-fexpose-all-unfoldings' '-fexcess-precision' '-fcmm-elim-common-blocks'
 '-fignore-asserts' '-fspec-constr']",fast,0.212,0.212
