,ID,Mode,Phase,Runtime,Iteration,Best
0,e17ecd59-61a7-4158-afca-0d1f2f0745e8,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|13|15|17|16|18|19|22|20|21|14,0.113,0,False
1,ef23df59-f596-4a07-bd43-7213ab64bbe3,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|13|18|15|16|21|20|22|14|17|19,0.113,0,False
2,1ca0e434-c0be-4d73-affd-b847980897c6,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|19|20|21|22|17|15|16|18,0.114,0,False
3,3d4becda-a958-4655-ae6c-5d40d2fe81c4,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|13|21|14|17|19|16|22|15|20|18,0.113,0,False
4,77f566b0-fdf6-4c73-aae3-da20c237c66b,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|16|15|20|19|18|17|22|21,0.113,0,False
5,d958a9cc-4a29-4f6f-bd0c-e5a0b6c7e933,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|13|17|20|21|16|15|22|18|14|19,0.114,0,False
6,aa4c4c1e-3ff8-4a59-b66c-e11afa2f5362,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|13|22|18|16|14|17|21|15|19|20,0.115,0,False
7,9eaa33e7-d4d4-4c20-8f13-63793796c460,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|13|19|15|17|20|21|16|14|22|18,0.113,0,False
8,632d45fb-a674-4e09-b947-18e55738e49e,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|13|15|16|18|14|17|21|20|22|19,0.113,0,False
9,ec1d57b8-4a02-43c5-9bf9-34e35860373b,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|19|21|18|22|20|16|17,0.114,0,False
10,ad88cb11-4054-413d-bac0-8af0565fbff6,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|21|16|14|13|17|18|15|22|20|19,0.115,0,False
11,be893a93-9605-4e79-a9bb-b41b330d945b,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|20|19|14|17|16|22|21|13|18|15,0.114,1,False
12,7e76d0dd-85a7-40ce-bee5-ef00872a6685,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|17|14|16|13|22|15|21|19|20|18,0.117,2,False
13,94347575-0287-462a-829b-78876fda1d0a,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|20|16|13|14|18|15|21|19|22|17,0.113,3,False
