,ID,Mode,Phase,Runtime,Iteration,Best
0,e9d07334-73c1-475b-b864-473804b165d7,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|13|17|19|14|20|15|22|21|18|16,11.5,0,False
1,a603dfb1-127a-456b-86bb-2f0a6c8ca36d,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|13|21|18|14|17|19|16|22|20|15,11.600000000000001,0,False
2,644a280b-2b66-46ad-b087-4336b44018e3,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|13|20|14|18|15|19|16|21|22|17,11.600000000000001,0,False
3,9e702e29-7fcd-44fc-9c5c-1ef8c824c208,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|17|20|21|15|16|22|19|18,0.115,0,False
4,77458389-03af-4e3a-a2c0-6945adaf7a32,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|13|20|15|21|17|14|19|16|22|18,0.115,0,False
5,471a6c9e-cb87-4a84-aa2a-d7e30fafcebd,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|14|18|16|22|20|13|17|19|15|21,0.116,0,False
6,fa6e2901-3531-4e21-b14c-2040fe434428,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|16|18|21|20|19|15|17|14|13|22,0.116,0,False
7,5d885c58-0359-452d-9209-4810f846913c,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|20|14|21|22|15|13|16|19|18|17,0.116,0,False
8,4a5d1e9d-f541-4392-bd53-f117a07adbb0,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|20|17|15|22|18|19|14|13|16|21,0.115,0,False
9,7d47bc82-ec65-4f73-be95-6bb1899acb23,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|13|21|20|22|16|15|19|17|14|18,0.116,0,False
10,2dbe8fd2-81ee-49f1-bf58-aaeb132a7a3c,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|16|14|18|21|17|13|20|22|19|15,0.116,0,False
11,af8afc18-a935-4ee5-847a-0e095332f77b,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|14|16|22|18|15|17|19|21|13|20,0.116,0,False
12,3b166f31-5f5b-49fe-b59c-3bcb620bd738,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|18|20|16|21|14|17|13|19|22|15,0.117,0,False
13,494858ae-d1d8-47c2-af45-0b0a70265d17,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|21|13|16|18|20|17|19|22|14|15,0.116,0,False
14,b5b6dd22-3508-4e2b-84c5-1454969ecfdc,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|22|15|21|20|13|17|19|18|14|16,0.116,0,False
15,cd41af6a-3e42-4e30-8449-2ffe0fb6f46b,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|17|15|16|18|19|14|21|13|20|22,0.116,0,False
16,f14a499d-0852-4ab3-9ce8-5820097a316b,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|17|16|19|20|15|18|14|21|22|13,0.114,0,False
