,ID,Phase,Mode,Runtime,Elapsed_Time
0,dd935daf-cf8a-4ebb-be4b-42b7286773d6,0|1|2|3|4|5|6|7|8|9|10|11|12|13|17|22|16|19|18|20|15|14|21,fast,0.116,0.116
1,3aa7cdef-cbbe-49eb-a389-c844545e1e23,0|1|2|3|4|5|6|7|8|9|10|11|12|13|17|15|21|16|14|22|20|19|18,fast,0.117,0.117
2,50af6c90-4eda-40b1-b76b-0158ed11c1c9,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|22|21|19|17|18|20|16|15,fast,0.117,0.117
3,23648379-a3f4-468d-8cc3-d4eb619ba2d2,0|1|2|3|4|5|6|7|8|9|10|11|12|13|15|21|22|20|18|14|17|19|16,fast,0.117,0.117
4,4a23829e-910c-463c-9a0b-f9fc5c4c6bcb,0|1|2|3|4|5|6|7|8|9|10|11|12|13|16|20|14|17|22|18|19|15|21,fast,0.116,0.116
5,63c83830-ae79-4937-8899-c17a24f196cd,0|1|2|3|4|5|6|7|8|9|10|11|12|13|17|15|21|22|19|18|20|16|14,fast,0.117,0.117
6,11bb9990-41dd-4067-8f87-ca559ae36ce8,0|1|2|3|4|5|6|7|8|9|10|11|12|13|21|17|14|19|20|18|15|16|22,fast,0.116,0.116
7,ab9a220a-e948-4863-89f8-108d1daa5c5a,0|1|2|3|4|5|6|7|8|9|10|11|12|13|17|16|20|14|19|22|18|21|15,fast,0.118,0.118
8,6461612c-8366-41bb-8b41-5239a7f61677,0|1|2|3|4|5|6|7|8|9|10|11|12|13|16|17|22|19|21|15|20|14|18,fast,0.12,0.12
9,cb9fd649-f638-4771-8efb-91c2f2cdfbeb,0|1|2|3|4|5|6|7|8|9|10|11|12|13|17|19|18|20|22|14|21|15|16,fast,0.118,0.118
10,7ab1d17f-13fd-4ddb-be43-97fc091a8a59,0|1|2|3|4|5|6|7|8|9|10|11|12|13|15|14|21|16|19|22|20|18|17,fast,0.117,0.117
11,feea60c8-68cf-40de-a355-abd6b0d761c3,0|1|2|3|4|5|6|7|8|9|10|11|12|13|18|17|20|15|21|22|19|16|14,fast,0.118,0.118
12,00055230-acc0-4dc6-9128-3b462f96551c,0|1|2|3|4|5|6|7|8|9|10|11|12|13|22|14|17|20|18|16|15|19|21,fast,0.12,0.12
13,08e043b6-3c4b-4911-b1c0-8c58632f609d,0|1|2|3|4|5|6|7|8|9|10|11|12|13|16|14|17|19|18|15|20|21|22,fast,0.118,0.118
14,8bf5fab6-2ec9-4724-a33e-4109d2fce661,0|1|2|3|4|5|6|7|8|9|10|11|12|13|20|17|14|21|15|19|16|18|22,fast,0.118,0.118
15,b33a63a4-9b19-4a87-945b-66ae0c3ebe4d,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|19|18|20|15|21|17|22|16,fast,0.118,0.118
16,15de67aa-6be1-4334-b0c3-81bedce75091,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|22|18|19|21|17|20|15|16,fast,0.119,0.119
17,c1d1f37b-f77f-47bf-9bca-6f0330d6a6a3,0|1|2|3|4|5|6|7|8|9|10|11|12|13|18|14|17|20|16|19|21|15|22,fast,0.116,0.116
