,ID,Phase,Mode,Runtime,Elapsed_Time
0,9d107614-af59-46c6-8d0d-1582fe1f2e36,0|1|2|3|4|5|6|7|8|9|10|11|12|13|20|21|18|16|19|15|14|22|17,fast,0.115,0.115
1,37fad69a-d3e1-4256-a4ac-35b31209070e,0|1|2|3|4|5|6|7|8|9|10|11|12|13|20|21|16|18|22|19|14|15|17,fast,0.115,0.115
2,32509939-b176-4701-a121-dc279629bec2,0|1|2|3|4|5|6|7|8|9|10|11|12|13|20|21|18|15|17|22|14|16|19,fast,0.114,0.114
3,b491ed27-4be4-45c6-9ae2-6ba689509e83,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|21|15|20|18|17|16|22|19,fast,0.113,0.113
4,c67abcca-8589-4e8a-be38-dbe808fcef28,0|1|2|3|4|5|6|7|8|9|10|11|12|13|21|18|14|16|15|22|17|19|20,fast,0.113,0.113
5,20f9749b-e1dd-408c-bc0b-858a3788d54f,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|20|21|16|22|15|17|18|19,fast,0.115,0.115
6,7119ed42-ae30-4f5d-9fad-6d9d7e2407e7,0|1|2|3|4|5|6|7|8|9|10|11|12|13|17|19|15|20|21|14|18|16|22,fast,0.114,0.114
7,e3396187-03bb-4bd1-b235-4cc648395111,0|1|2|3|4|5|6|7|8|9|10|11|12|13|17|14|16|15|18|21|22|20|19,fast,0.114,0.114
8,5ebd1102-b55b-4818-ac9a-fddd3bad374f,0|1|2|3|4|5|6|7|8|9|10|11|12|13|19|18|17|15|16|22|14|20|21,fast,0.114,0.114
9,0839f1e1-d82b-4442-af41-555c107a8302,0|1|2|3|4|5|6|7|8|9|10|11|12|13|15|14|17|18|22|21|19|16|20,fast,0.115,0.115
10,1c0c9bfa-5fce-46bc-ba6d-78860c32997e,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|19|16|18|20|15|17|21|22,fast,0.114,0.114
11,bf878b6d-d8e6-4485-b538-31daed2b786b,0|1|2|3|4|5|6|7|8|9|10|11|12|13|20|17|14|19|18|15|21|16|22,fast,0.116,0.116
12,0fca12bf-da32-4d02-9d95-6dcdf733bc17,0|1|2|3|4|5|6|7|8|9|10|11|12|13|19|14|20|16|22|17|15|21|18,fast,0.114,0.114
13,62e4123d-1b00-4159-a594-5cf21e1ed431,0|1|2|3|4|5|6|7|8|9|10|11|12|13|22|14|15|17|16|19|18|20|21,fast,0.115,0.115
14,c5d4730e-fd29-44db-b2c1-0253b3625a72,0|1|2|3|4|5|6|7|8|9|10|11|12|13|21|20|17|14|22|16|18|15|19,fast,0.114,0.114
15,22500174-4ffa-4d5c-9939-cc26cb5ea32c,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|16|18|17|15|22|21|20|19,fast,0.114,0.114
