,ID,Mode,Phase,Runtime,Iteration,Best
0,6371317a-6f0e-4dcd-bba9-bca444d01a85,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|18|16|19|15|21|17|22|20,0.127,0,False
1,e8645778-08c6-41b4-97f9-b9739a683f95,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|13|19|22|14|17|15|20|21|18|16,0.00127,0,False
2,8f495c23-3a38-45c5-b988-e1f13886670b,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|13|18|14|21|19|20|16|15|17|22,0.127,0,False
3,9427c2fe-db03-42b6-a9d1-8c5fd1d9eefb,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|21|16|15|18|20|17|19|22,0.127,0,False
4,2eac1691-324a-419c-a419-383737e16ed2,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|13|16|17|22|15|21|18|20|14|19,0.135,0,False
5,f2f26772-c83d-45f7-916b-2ad11390f363,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|13|20|21|16|22|17|19|14|15|18,0.00125,0,False
6,8a0d2ec6-744b-431d-8e88-5e59a5ce2b3d,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|21|22|18|16|14|15|17|19|20|13,0.0012900000000000001,0,False
7,e9cb6883-3bc1-4a17-a98b-51993ae425a8,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|17|20|21|13|14|15|22|18|19|16,0.00125,0,False
8,a0860a38-66eb-4928-87c1-fc7af901e40a,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|20|19|21|14|18|13|17|16|15|22,0.00128,0,False
9,468405b9-e4b8-4aee-bb52-2e7fee179be4,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|18|22|15|14|17|16|19|20|13|21,0.00125,0,False
10,3407bd1f-4231-480d-ac09-cf7185e0e085,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|19|17|21|16|18|14|15|20|13|22,0.00126,0,False
11,d314d8df-bd4c-4e81-b2c8-9ab1aa2c3de7,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|15|21|17|18|20|16|19|22|14|13,0.00127,0,False
12,ab060eb8-245b-49b6-acbe-aae59e7ded75,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|17|22|21|16|13|20|18|19|14|15,0.00125,0,False
13,79239d73-69ec-417a-8fba-4d5c7ef3e58f,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|18|19|21|15|13|16|14|20|22|17,0.00127,0,False
