,ID,Mode,Phase,Runtime,Iteration,Best
0,993bab56-4c53-4d78-ba00-09cc31acd5fe,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|13|19|21|18|16|20|22|17|15|14,0.13,0,False
1,c9fd1865-8609-4f6e-aa9b-d324f883d1b0,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|13|21|16|19|15|17|18|14|22|20,0.128,0,False
2,61832db0-919f-4a22-91fc-8e65e9700df4,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|13|17|20|22|21|15|18|16|14|19,0.137,0,False
3,a506d29d-426d-4d7e-be8d-d7bc13fddb7c,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|13|16|20|14|21|19|15|17|18|22,0.127,0,False
4,81754173-08a0-4a5d-b2cd-0affd1fca4dc,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|13|18|20|22|19|21|17|14|16|15,0.129,0,False
5,ff982ea6-d059-4057-8ec9-36e8470c8e86,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|20|14|15|13|22|21|19|16|18|17,0.126,0,False
6,18dec412-de92-4268-9ab0-b3ef3fd9dba5,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|15|17|14|18|21|19|13|20|22|16,0.127,1,False
7,b8a06682-3535-4d4e-8ee1-c00da1738c06,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|21|16|18|15|22|19|13|14|17|20,0.129,2,False
8,1205d68a-1a5f-4880-aab6-3a9f909e444f,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|21|13|19|16|17|15|14|18|22|20,0.128,3,False
9,f72cf23a-2895-451f-996f-4055a4fc772c,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|16|21|17|13|15|19|18|14|22|20,0.126,4,False
10,aad9b22e-da5b-4d76-a18b-cc78c7474bee,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|15|18|13|16|20|21|22|19|17|14,0.126,5,False
11,0470db52-fbbd-46e1-be19-e9e4c962441b,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|15|20|13|14|16|18|21|22|17|19,0.127,6,False
12,20523d72-c5f6-4bdb-9507-56e2e5f19bff,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|21|15|18|16|20|19|17|22,0.126,7,False
13,83c6b7fa-768e-4e5e-9082-b5f689c82756,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|20|19|22|14|17|18|21|16|15|13,0.125,8,False
14,5acaed3b-fb56-4d7d-81f7-b0bf7f7a8448,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|20|19|14|16|15|13|21|22|17|18,0.128,9,False
15,81946b51-9e0e-4b00-89c0-558c37b8f9cc,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|20|16|22|18|15|21|19|17,0.127,10,False
16,595f4678-0fc4-4b5f-9d96-e4787616ce7c,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|17|19|18|14|21|15|22|13|20|16,0.132,11,False
