,ID,Phase,Mode,Runtime,Elapsed_Time
0,abe4bdad-7cf4-43f2-afe5-fd322c72c101,0|1|2|3|4|5|6|7|8|9|10|11|12|21|25|16|18|20|13|14|17|24|19|15|22|23,fast,0.129,0.129
1,5f4068e7-6eaa-4a07-98e5-48f3ca02074a,0|1|2|3|4|5|6|7|8|9|10|11|12|17|13|24|19|21|25|15|16|23|14|18|20|22,fast,0.131,0.131
2,daf66630-3261-4c86-a902-ed05a564d252,0|1|2|3|4|5|6|7|8|9|10|11|12|21|24|18|17|15|25|20|19|14|22|23|16|13,fast,0.134,0.134
3,3a1f83b5-f220-4f95-a4ee-32fc9ec3dc05,0|1|2|3|4|5|6|7|8|9|10|11|12|24|22|15|19|14|25|17|21|13|18|23|20|16,fast,0.134,0.134
4,3ddc3999-253e-4bee-9c46-1314b8898b87,0|1|2|3|4|5|6|7|8|9|10|11|12|13|24|21|23|25|20|19|16|14|15|18|22|17,fast,0.129,0.129
5,fe8000b8-6462-43cc-9bff-04fd7d4d8a13,0|1|2|3|4|5|6|7|8|9|10|11|12|22|17|15|25|24|23|18|21|20|16|14|19|13,fast,0.13,0.13
6,3152c544-01bf-4093-a109-e7731cab1ed1,0|1|2|3|4|5|6|7|8|9|10|11|12|13|18|20|17|23|14|19|16|22|15|25|24|21,fast,0.129,0.129
7,017f3132-a86b-40b4-bdd4-a675f2256790,0|1|2|3|4|5|6|7|8|9|10|11|12|22|18|15|19|21|13|25|20|17|14|23|16|24,fast,0.128,0.128
8,e211bf5d-d2f7-41ea-b5be-07cea0d2068a,0|1|2|3|4|5|6|7|8|9|10|11|12|14|22|21|19|17|25|23|20|24|18|13|15|16,fast,0.129,0.129
9,0e76b1f8-7bc4-4c75-a2cd-c01f0e1c8c83,0|1|2|3|4|5|6|7|8|9|10|11|12|21|24|20|13|18|15|19|16|17|25|23|22|14,fast,0.129,0.129
10,91637cfd-8f13-41f0-848b-85cf73bdeaee,0|1|2|3|4|5|6|7|8|9|10|11|12|19|23|13|20|21|22|18|24|17|15|25|14|16,fast,0.129,0.129
11,40907205-1102-416a-b2b2-c895b23fd8c3,0|1|2|3|4|5|6|7|8|9|10|11|12|14|21|19|17|18|16|20|22|13|25|15|23|24,fast,0.129,0.129
12,4be6a6cb-8df5-4d2b-a57e-ce3344b31e15,0|1|2|3|4|5|6|7|8|9|10|11|12|24|22|13|21|19|25|14|17|16|15|23|18|20,fast,0.128,0.128
13,1480dfd4-862f-4496-81e0-7dadb36b8980,0|1|2|3|4|5|6|7|8|9|10|11|12|21|18|14|17|15|23|13|16|25|20|24|19|22,fast,0.129,0.129
14,09ac0cda-bee8-4280-bc46-f2209ec71a06,0|1|2|3|4|5|6|7|8|9|10|11|12|21|22|13|24|16|17|15|25|18|23|19|14|20,fast,0.129,0.129
15,6d125369-fd5b-4aeb-a1e3-0d9c46ce11cd,0|1|2|3|4|5|6|7|8|9|10|11|12|14|23|21|13|16|18|20|17|15|22|24|25|19,fast,0.128,0.128
16,0655f174-5c30-4b1a-b341-9e2b27199404,0|1|2|3|4|5|6|7|8|9|10|11|12|15|25|13|16|22|21|18|24|17|14|20|19|23,fast,0.129,0.129
17,01dc9293-31cc-4b6f-8e11-69e4e670c4d2,0|1|2|3|4|5|6|7|8|9|10|11|12|21|13|18|24|20|19|25|16|15|14|22|17|23,fast,0.128,0.128
18,536589fc-e397-43aa-b3f1-4537f8b4e66f,0|1|2|3|4|5|6|7|8|9|10|11|12|16|23|17|24|20|15|19|18|25|13|14|21|22,fast,0.128,0.128
19,4b7378da-3d5e-434b-b7f8-13bb2861d98c,0|1|2|3|4|5|6|7|8|9|10|11|12|16|22|19|24|14|25|13|20|17|21|18|23|15,fast,0.129,0.129
20,1af27d02-8dc3-49fc-b723-7c2f8ee64139,0|1|2|3|4|5|6|7|8|9|10|11|12|22|15|14|18|17|20|21|16|25|24|23|13|19,fast,0.128,0.128
21,19b0ca54-1e34-4beb-a1a1-4232b0a9ebc0,0|1|2|3|4|5|6|7|8|9|10|11|12|22|21|23|16|17|13|19|15|25|18|20|24|14,fast,0.129,0.129
22,638d472c-15b6-42a5-99b5-4c1ce60e9098,0|1|2|3|4|5|6|7|8|9|10|11|12|18|21|24|25|16|15|23|20|19|17|14|13|22,fast,0.128,0.128
23,dd3e3fba-2934-4d13-940e-d75f30943703,0|1|2|3|4|5|6|7|8|9|10|11|12|13|19|14|22|21|15|16|25|24|23|18|17|20,fast,0.127,0.127
24,55852e42-c8d1-499f-b037-d3cd37633db7,0|1|2|3|4|5|6|7|8|9|10|11|12|20|13|21|25|15|14|17|22|19|16|18|23|24,fast,0.127,0.127
25,261f0bf0-5fe7-4d56-82e0-4f276f9c728c,0|1|2|3|4|5|6|7|8|9|10|11|12|14|20|21|15|25|18|24|22|13|23|17|19|16,fast,0.127,0.127
26,a7bb9018-a83f-4d60-a2f0-42e6efa7c611,0|1|2|3|4|5|6|7|8|9|10|11|12|16|15|17|23|13|22|18|24|14|20|19|25|21,fast,0.129,0.129
27,a377af73-e6db-462f-a98e-58bd2422b88b,0|1|2|3|4|5|6|7|8|9|10|11|12|22|21|15|19|14|13|18|17|24|23|20|25|16,fast,0.129,0.129
28,2a4150f8-31f1-45ce-bfa4-b40908aa2eba,0|1|2|3|4|5|6|7|8|9|10|11|12|24|15|18|14|23|13|21|17|16|25|22|20|19,fast,0.127,0.127
29,715a045a-8a82-4fcb-b0ac-5183195bb119,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|25|23|15|24|17|22|20|16|19|21|18,fast,0.13,0.13
30,876db50c-4e12-4fb8-a971-d88da22f569d,0|1|2|3|4|5|6|7|8|9|10|11|12|14|18|20|24|25|13|23|16|17|15|22|21|19,fast,0.127,0.127
31,d56143b6-5a7e-476e-b313-ca5dc11fe9d7,0|1|2|3|4|5|6|7|8|9|10|11|12|18|13|22|21|25|17|19|16|15|23|24|20|14,fast,0.129,0.129
32,23297f4b-329e-4bb6-8ff1-8a423dec1b1b,0|1|2|3|4|5|6|7|8|9|10|11|12|15|24|22|19|13|18|25|17|16|20|21|14|23,fast,0.127,0.127
33,dcde5b56-24bf-4772-9262-68fbc7b9753f,0|1|2|3|4|5|6|7|8|9|10|11|12|22|25|15|23|13|16|24|17|14|18|21|20|19,fast,0.127,0.127
34,5a48a305-9955-44ef-93e8-a94e538781ae,0|1|2|3|4|5|6|7|8|9|10|11|12|19|14|23|18|15|25|13|24|22|20|17|16|21,fast,0.129,0.129
35,5ef3e09f-039b-4061-b6da-f2e2f537832e,0|1|2|3|4|5|6|7|8|9|10|11|12|24|19|18|21|15|20|22|16|14|25|13|17|23,fast,0.128,0.128
36,0b6879c3-fd33-440f-801c-33cabbf99b5b,0|1|2|3|4|5|6|7|8|9|10|11|12|16|24|14|20|13|23|19|25|18|15|17|21|22,fast,0.128,0.128
37,49875aa9-5786-4c28-a62f-3306cf64222f,0|1|2|3|4|5|6|7|8|9|10|11|12|24|16|17|23|14|25|21|20|15|13|19|18|22,fast,0.128,0.128
38,f8531c0c-59e8-4c58-875f-d18dfa22b925,0|1|2|3|4|5|6|7|8|9|10|11|12|24|16|13|21|19|20|17|18|25|23|14|15|22,fast,0.128,0.128
39,1adb2d55-8363-4824-8477-45c4d4a8dd2e,0|1|2|3|4|5|6|7|8|9|10|11|12|21|18|19|16|15|25|23|24|22|17|20|14|13,fast,0.128,0.128
40,4c5b4949-9f42-4af9-8596-6b209c756301,0|1|2|3|4|5|6|7|8|9|10|11|12|14|17|23|24|25|13|18|16|20|22|15|21|19,fast,0.128,0.128
41,8b07bd96-b82e-4849-8434-4e7af23a4322,0|1|2|3|4|5|6|7|8|9|10|11|12|21|23|17|15|25|22|24|20|18|14|13|19|16,fast,0.128,0.128
42,93b8b6d7-f9f2-4689-bd90-b68c812069b7,0|1|2|3|4|5|6|7|8|9|10|11|12|22|20|18|17|23|19|15|13|25|16|24|21|14,fast,0.13,0.13
43,f3fcc996-bda8-47f3-bb34-a6a3300099b4,0|1|2|3|4|5|6|7|8|9|10|11|12|18|24|25|13|22|19|17|14|23|20|16|21|15,fast,0.129,0.129
44,9af172bf-9fc9-4238-94ff-ab3329e25ff2,0|1|2|3|4|5|6|7|8|9|10|11|12|15|16|14|21|25|17|19|13|20|22|24|23|18,fast,0.13,0.13
45,bb8314bd-ca28-436b-be4e-0828dabe74e7,0|1|2|3|4|5|6|7|8|9|10|11|12|18|20|14|15|23|19|22|13|17|16|24|25|21,fast,0.131,0.131
46,a0cad229-505f-42ed-8679-5df5885c37b8,0|1|2|3|4|5|6|7|8|9|10|11|12|16|20|18|23|14|15|17|24|13|21|22|19|25,fast,0.129,0.129
47,51ca1ab2-dcaa-4ec4-99e2-c66e3cb37e52,0|1|2|3|4|5|6|7|8|9|10|11|12|20|16|18|22|23|24|14|17|21|25|19|15|13,fast,0.129,0.129
48,24df3b9c-0c66-4ccc-972b-485f0859e1d6,0|1|2|3|4|5|6|7|8|9|10|11|12|18|17|22|13|20|21|19|16|15|23|24|14|25,fast,0.131,0.131
49,dce1fb5a-4d2a-4c6a-b037-2d8b4abe4d2f,0|1|2|3|4|5|6|7|8|9|10|11|12|24|22|17|20|25|23|18|16|14|19|15|21|13,fast,0.132,0.132
50,11e75f9f-86ac-4f2f-ab6f-9f6b5de54c84,0|1|2|3|4|5|6|7|8|9|10|11|12|22|19|15|21|25|18|13|14|24|20|16|23|17,fast,0.13,0.13
51,02ec03d2-2f64-4bf0-bd35-c03e021e5799,0|1|2|3|4|5|6|7|8|9|10|11|12|25|18|23|22|19|15|14|21|13|17|20|24|16,fast,0.13,0.13
52,9721a0ed-d209-442c-b754-7f93740d9ab0,0|1|2|3|4|5|6|7|8|9|10|11|12|21|18|17|15|16|14|24|13|19|25|23|22|20,fast,0.131,0.131
53,b50625e6-cb18-40fb-9ef6-9c26f8c461d9,0|1|2|3|4|5|6|7|8|9|10|11|12|13|23|19|16|17|20|14|25|18|21|15|24|22,fast,0.128,0.128
54,2bfd748f-1385-48f5-828c-dcdf5ae64450,0|1|2|3|4|5|6|7|8|9|10|11|12|13|23|21|24|20|17|22|14|18|19|15|16|25,fast,0.128,0.128
55,17d1077c-bceb-4921-9d10-fe91c06a1f7d,0|1|2|3|4|5|6|7|8|9|10|11|12|16|18|20|15|13|22|19|21|14|25|23|24|17,fast,0.129,0.129
56,4547e336-a5fe-4f86-984f-d2c2d95b492c,0|1|2|3|4|5|6|7|8|9|10|11|12|22|21|23|16|14|15|25|17|13|19|24|18|20,fast,0.129,0.129
57,b9654134-6405-49df-a274-89b952eb7eca,0|1|2|3|4|5|6|7|8|9|10|11|12|25|16|24|20|18|19|21|17|14|23|22|15|13,fast,0.128,0.128
58,e2a84d19-54c7-4316-83ba-662da760cf84,0|1|2|3|4|5|6|7|8|9|10|11|12|22|13|16|15|17|23|19|24|18|25|21|14|20,fast,0.129,0.129
59,8f2f47a0-cf26-4ade-b9b0-e02ad8c5f909,0|1|2|3|4|5|6|7|8|9|10|11|12|19|17|14|13|15|25|21|18|16|20|24|22|23,fast,0.129,0.129
60,cd152d3c-c519-483a-af94-76a4351ca7b6,0|1|2|3|4|5|6|7|8|9|10|11|12|24|25|18|17|22|19|23|20|21|13|14|16|15,fast,0.129,0.129
61,5f53bc72-6f76-4882-a736-0f6748cabce6,0|1|2|3|4|5|6|7|8|9|10|11|12|13|20|18|23|22|14|16|21|25|17|15|24|19,fast,0.128,0.128
62,d7a7e720-b6cc-428e-97db-8c884305646c,0|1|2|3|4|5|6|7|8|9|10|11|12|18|22|21|16|25|20|24|13|15|14|17|23|19,fast,0.13,0.13
63,e1e0a57c-237f-4c15-b86c-fb9fb97ebb03,0|1|2|3|4|5|6|7|8|9|10|11|12|24|17|23|22|14|15|13|20|25|19|18|16|21,fast,0.131,0.131
64,275b33dd-3338-4109-8b60-79ff6452533a,0|1|2|3|4|5|6|7|8|9|10|11|12|20|23|16|19|13|14|21|18|25|24|17|22|15,fast,0.128,0.128
65,7abf9f03-93d3-47e7-8591-7625958226ed,0|1|2|3|4|5|6|7|8|9|10|11|12|24|25|20|18|21|14|16|13|15|22|19|23|17,fast,0.129,0.129
66,7f9e440d-40cf-45ff-b3e5-23718e12eb8b,0|1|2|3|4|5|6|7|8|9|10|11|12|25|18|24|14|15|19|20|13|17|16|21|22|23,fast,0.129,0.129
67,b450ff50-ae62-4d6a-9c7f-d72a7bb86c34,0|1|2|3|4|5|6|7|8|9|10|11|12|25|22|16|23|19|21|17|14|24|15|13|18|20,fast,0.129,0.129
68,b1b4f430-a04d-4453-84a9-da6071b2c1be,0|1|2|3|4|5|6|7|8|9|10|11|12|14|17|20|16|19|13|23|22|21|25|24|18|15,fast,0.129,0.129
69,7ee5a2e2-d860-417e-b04c-20d80053bed8,0|1|2|3|4|5|6|7|8|9|10|11|12|17|16|21|15|14|13|25|23|22|24|20|19|18,fast,0.128,0.128
70,0829145a-f59a-49ec-a8f8-98152a2402d6,0|1|2|3|4|5|6|7|8|9|10|11|12|23|18|19|16|17|24|13|20|25|22|15|21|14,fast,0.129,0.129
71,4494133c-73e4-4bf9-a1c0-e11ba333bb8b,0|1|2|3|4|5|6|7|8|9|10|11|12|16|25|24|18|21|22|20|14|19|15|13|17|23,fast,0.127,0.127
