,ID,Phase,Mode,Runtime,Elapsed_Time
0,4236af31-9692-42cc-a7a0-9332770e883e,0|1|2|3|4|5|6|7|8|9|10|11|12|16|20|25|21|24|14|23|13|19|18|22|17|15,fast,0.275,0.275
1,c3712b72-fd6a-45f7-8ae5-50c78191640e,0|1|2|3|4|5|6|7|8|9|10|11|12|16|18|17|24|23|14|20|13|22|19|15|25|21,fast,0.272,0.272
2,312a2b2a-94cc-41b2-b2b7-15686d6d7ea5,0|1|2|3|4|5|6|7|8|9|10|11|12|22|23|18|19|14|25|24|17|16|13|21|20|15,fast,0.274,0.274
3,8ab4d23c-ec4c-488b-a7fc-a28fb7e4b1c1,0|1|2|3|4|5|6|7|8|9|10|11|12|25|23|14|24|13|15|19|18|17|20|21|16|22,fast,0.271,0.271
4,9f10728c-4d78-40f8-b79a-6d47c342c049,0|1|2|3|4|5|6|7|8|9|10|11|12|18|19|25|13|14|16|15|17|21|22|20|24|23,fast,0.275,0.275
5,2027680d-ad50-4db4-b147-8af5bb860ee9,0|1|2|3|4|5|6|7|8|9|10|11|12|19|16|17|13|18|15|14|23|22|25|20|21|24,fast,0.275,0.275
6,0b9b10b8-8ac2-4dd9-b2a5-ae59c805e24f,0|1|2|3|4|5|6|7|8|9|10|11|12|25|23|19|15|22|21|24|20|18|13|16|17|14,fast,0.272,0.272
7,9fa215ef-7e05-4d93-a9b7-45d1089bd433,0|1|2|3|4|5|6|7|8|9|10|11|12|22|14|23|18|25|21|19|24|17|13|16|15|20,fast,0.259,0.259
8,248eb80e-4547-4ac4-ab92-f8fc5d3720e1,0|1|2|3|4|5|6|7|8|9|10|11|12|24|15|21|19|20|17|14|22|16|18|13|23|25,fast,0.274,0.274
9,6bcdeed1-699b-4a21-8784-e66ace425d53,0|1|2|3|4|5|6|7|8|9|10|11|12|14|20|17|16|25|24|18|19|21|22|13|15|23,fast,0.272,0.272
10,d34149a2-ee30-40d9-a32c-46598eaa35d9,0|1|2|3|4|5|6|7|8|9|10|11|12|25|20|18|19|21|16|14|23|22|17|13|24|15,fast,0.249,0.249
11,35e57bd9-e8be-4ebe-b0c5-b99374e7818d,0|1|2|3|4|5|6|7|8|9|10|11|12|19|22|23|17|18|16|24|13|14|15|20|21|25,fast,0.251,0.251
12,87980459-58d6-4395-b4b8-8b7ac9a6fd99,0|1|2|3|4|5|6|7|8|9|10|11|12|24|21|23|13|14|16|18|19|25|17|22|20|15,fast,0.265,0.265
13,580a59d1-5e31-4d8b-85ab-cf1af4c2a2f8,0|1|2|3|4|5|6|7|8|9|10|11|12|20|13|23|16|19|22|14|25|17|18|15|24|21,fast,0.229,0.229
14,a6f500e5-831d-4f54-b94d-8e0602f5150e,0|1|2|3|4|5|6|7|8|9|10|11|12|14|15|24|25|13|17|19|16|21|22|20|18|23,fast,0.23,0.23
15,056fa6ed-f968-442d-829d-576d7dcffca9,0|1|2|3|4|5|6|7|8|9|10|11|12|19|21|20|24|25|13|15|23|18|22|16|17|14,fast,0.273,0.273
16,6f8c66bc-02de-4fbe-82bf-c1b210e754b7,0|1|2|3|4|5|6|7|8|9|10|11|12|18|25|16|14|13|23|22|15|19|20|21|17|24,fast,0.274,0.274
17,46016cde-7cbd-41d7-bb3b-b8882697da8b,0|1|2|3|4|5|6|7|8|9|10|11|12|17|18|22|25|13|21|14|19|23|20|15|16|24,fast,0.208,0.208
18,5a835381-2ac5-4170-b2a8-aed1dbd56d4c,0|1|2|3|4|5|6|7|8|9|10|11|12|19|13|24|14|23|17|21|20|18|22|25|16|15,fast,0.257,0.257
19,1a9696b1-ca1a-4369-bb33-1b6c5aa78d83,0|1|2|3|4|5|6|7|8|9|10|11|12|15|23|19|24|18|22|13|25|20|21|14|16|17,fast,0.197,0.197
20,4ecd5163-c700-43fb-9b82-14349d350280,0|1|2|3|4|5|6|7|8|9|10|11|12|23|25|18|19|22|16|13|24|15|21|20|14|17,fast,0.258,0.258
21,a2427d0a-0819-4a31-b42d-8fba3e977366,0|1|2|3|4|5|6|7|8|9|10|11|12|16|23|21|22|13|18|20|17|24|19|14|25|15,fast,0.26,0.26
