,ID,Phase,Mode,Runtime,Elapsed_Time
0,a5a4e614-374b-4bbb-ab95-de6b01eeba3b,0|1|2|3|4|5|6|7|8|9|10|11|12|13|18|22|16|19|14|20|21|17|15,fast,0.13,0.13
1,67ed8e60-351a-4dbe-b672-52f6834bebdc,0|1|2|3|4|5|6|7|8|9|10|11|12|13|22|17|20|15|21|19|14|18|16,fast,0.13,0.13
2,a4de3d27-90e1-4c5f-99f8-8febcd3685f6,0|1|2|3|4|5|6|7|8|9|10|11|12|13|20|17|21|22|14|19|16|15|18,fast,0.132,0.132
3,bd56312d-351e-4aec-89dd-c9a23fc8c70d,0|1|2|3|4|5|6|7|8|9|10|11|12|13|20|22|15|17|18|14|19|16|21,fast,0.131,0.131
4,38248a42-790a-4415-832a-32d6359cfa43,0|1|2|3|4|5|6|7|8|9|10|11|12|13|19|16|20|22|15|18|21|14|17,fast,0.132,0.132
5,52bb2994-5597-4c31-84bf-7d4bd5ec2374,0|1|2|3|4|5|6|7|8|9|10|11|12|13|18|22|20|17|16|15|21|14|19,fast,0.131,0.131
6,0ad92968-d81f-49a6-8efc-66c540617e84,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|22|21|15|18|20|19|16|17,fast,0.129,0.129
7,2223a5ad-a4b6-4b54-86a5-1c8bf3ffdde5,0|1|2|3|4|5|6|7|8|9|10|11|12|13|18|19|17|16|22|20|15|14|21,fast,0.132,0.132
8,f0bdbd70-b6a5-4d9a-a633-af9cf1b659dd,0|1|2|3|4|5|6|7|8|9|10|11|12|13|22|17|16|20|18|15|14|19|21,fast,0.128,0.128
9,c0456991-8edf-46f6-9738-d43198a8af15,0|1|2|3|4|5|6|7|8|9|10|11|12|13|19|21|15|20|14|22|17|16|18,fast,0.13,0.13
10,86b0e7a9-354f-405b-9789-c845fef4f021,0|1|2|3|4|5|6|7|8|9|10|11|12|13|15|20|22|19|16|21|14|18|17,fast,0.132,0.132
11,a97ef1b0-9156-4ae3-9bdc-44791616b870,0|1|2|3|4|5|6|7|8|9|10|11|12|13|18|19|16|14|20|15|22|17|21,fast,0.129,0.129
12,5e850ab9-0e92-4990-a34d-d35468ccacdd,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|20|19|17|15|18|22|21|16,fast,0.13,0.13
13,6b5b7219-b8b6-46b7-acf2-30b56b5ff061,0|1|2|3|4|5|6|7|8|9|10|11|12|13|22|21|14|20|19|17|16|18|15,fast,0.129,0.129
14,fdce30a3-eb90-4c60-90ca-5dba37235d13,0|1|2|3|4|5|6|7|8|9|10|11|12|13|21|18|15|22|19|14|20|17|16,fast,0.129,0.129
15,8f899ea9-5ef2-4890-8a7a-e44a41b4fa72,0|1|2|3|4|5|6|7|8|9|10|11|12|13|15|19|17|20|14|21|18|16|22,fast,0.129,0.129
16,2c841535-11f1-4af2-ad41-4bd246e09799,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|22|17|21|18|19|20,fast,0.128,0.128
17,2e48e428-05d7-4278-9544-1ee17c363577,0|1|2|3|4|5|6|7|8|9|10|11|12|13|22|16|15|14|17|18|19|21|20,fast,0.13,0.13
18,2e5d7ac5-2780-445e-99aa-621c2febdc98,0|1|2|3|4|5|6|7|8|9|10|11|12|13|18|16|17|19|22|21|15|14|20,fast,0.132,0.132
19,827e4e9f-cc7d-48a6-8756-1f7178be8805,0|1|2|3|4|5|6|7|8|9|10|11|12|13|18|19|16|22|20|14|15|21|17,fast,0.132,0.132
20,d975b2b6-e508-4aa4-a079-1a677e81e87f,0|1|2|3|4|5|6|7|8|9|10|11|12|13|19|21|18|16|17|14|20|15|22,fast,0.131,0.131
21,9409945b-8bde-4f83-91c9-24bfb89ff998,0|1|2|3|4|5|6|7|8|9|10|11|12|13|18|21|22|17|20|14|15|19|16,fast,0.13,0.13
22,5daa956e-b111-4898-b612-0e6d650a208a,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|22|20|19|17|18|15|16|21,fast,0.13,0.13
23,7894e573-78b3-4cb6-b225-2a2f80ecd908,0|1|2|3|4|5|6|7|8|9|10|11|12|13|22|18|21|15|17|16|14|20|19,fast,0.132,0.132
24,9e112f8c-b1ac-4eec-9d1e-08f78736d057,0|1|2|3|4|5|6|7|8|9|10|11|12|13|22|21|14|19|17|16|18|20|15,fast,0.128,0.128
25,dec540e1-4177-4935-8a96-b889170dfb7a,0|1|2|3|4|5|6|7|8|9|10|11|12|13|16|17|18|15|19|14|20|22|21,fast,0.128,0.128
26,1e752f98-5b5f-417f-b7cf-68a9680cb98e,0|1|2|3|4|5|6|7|8|9|10|11|12|13|19|16|17|14|21|18|22|15|20,fast,0.127,0.127
27,ac068fcc-6c16-41db-a6f3-0c0ea9b96307,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|20|17|21|18|22|16|15|19,fast,0.129,0.129
28,fcafc003-c3dd-4fcd-8e9e-63c8226b7ed9,0|1|2|3|4|5|6|7|8|9|10|11|12|13|21|20|15|14|18|16|22|17|19,fast,0.129,0.129
29,498f274e-4978-4ee0-b3f2-2e21cfefaf82,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|20|17|22|19|21|18|15|16,fast,0.129,0.129
30,408422c9-315b-4372-9848-d83aeb940ebd,0|1|2|3|4|5|6|7|8|9|10|11|12|13|22|17|20|14|15|19|16|18|21,fast,0.128,0.128
31,bb6b2572-5d1d-4b3c-8cdf-a432a4a1c2f4,0|1|2|3|4|5|6|7|8|9|10|11|12|13|21|15|17|20|19|16|22|18|14,fast,0.129,0.129
32,8078f9a5-4c3e-4a16-907a-bafbe281b9de,0|1|2|3|4|5|6|7|8|9|10|11|12|13|18|17|20|19|21|14|15|22|16,fast,0.128,0.128
33,4547f8f8-df52-437c-b7cf-d9f1232cb371,0|1|2|3|4|5|6|7|8|9|10|11|12|13|20|21|17|19|15|18|22|14|16,fast,0.128,0.128
34,eab4d60f-6517-41c9-a6e8-2c82b0000483,0|1|2|3|4|5|6|7|8|9|10|11|12|13|20|16|21|14|19|18|17|15|22,fast,0.131,0.131
35,cd3719ca-2082-48b7-908f-a4a67a89ecbc,0|1|2|3|4|5|6|7|8|9|10|11|12|13|17|15|19|16|14|18|20|22|21,fast,0.131,0.131
36,48282eb7-412e-469f-8003-387150397868,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|22|21|18|20|17|19,fast,0.129,0.129
37,4ab1c3ff-24cd-43bc-8c57-60b2ff0cecfc,0|1|2|3|4|5|6|7|8|9|10|11|12|13|21|18|17|19|16|15|20|22|14,fast,0.127,0.127
38,33231b41-c807-480f-8fdd-f095bd3b3777,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|16|17|18|15|20|21|19|22,fast,0.128,0.128
39,26f7d44d-4d65-4a68-8b15-b620285dfb2f,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|22|18|15|20|17|16|21|19,fast,0.134,0.134
40,5551c26c-5be4-4d92-8c7a-e1fa665135bd,0|1|2|3|4|5|6|7|8|9|10|11|12|13|20|21|17|18|22|19|16|14|15,fast,0.129,0.129
41,fdb3b9fb-c5c7-47fe-870f-d9f88c1e0e51,0|1|2|3|4|5|6|7|8|9|10|11|12|13|15|19|21|14|16|20|17|22|18,fast,0.131,0.131
42,e4279cb0-4c46-406e-bf64-203fd28fcf6a,0|1|2|3|4|5|6|7|8|9|10|11|12|13|21|15|22|20|16|17|18|14|19,fast,0.129,0.129
43,83df4221-aa4a-408e-80ca-3c45480a6919,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|21|22|15|16|17|18|20|19,fast,0.13,0.13
44,1bec2e0d-6277-4620-8760-1b34e1f25991,0|1|2|3|4|5|6|7|8|9|10|11|12|13|18|14|22|19|15|20|17|21|16,fast,0.131,0.131
45,967b522b-4662-4181-a72b-2b4ccf38c645,0|1|2|3|4|5|6|7|8|9|10|11|12|13|21|22|20|17|15|19|16|14|18,fast,0.129,0.129
46,7f0cd637-afec-47c0-be8f-8e87bb9b3852,0|1|2|3|4|5|6|7|8|9|10|11|12|13|18|16|20|17|19|22|21|14|15,fast,0.128,0.128
47,8c9ec77a-31c7-4a27-a9a1-a94bfc01a943,0|1|2|3|4|5|6|7|8|9|10|11|12|13|21|14|16|17|20|18|15|19|22,fast,0.128,0.128
48,1204f6a8-0bed-4c85-9379-466b30e5a20b,0|1|2|3|4|5|6|7|8|9|10|11|12|13|21|17|15|18|22|20|19|16|14,fast,0.129,0.129
49,75d350f8-3580-4ca6-a469-f222c8deb9e4,0|1|2|3|4|5|6|7|8|9|10|11|12|13|19|21|16|15|14|17|22|18|20,fast,0.135,0.135
50,2705e56d-e7e2-4d3e-af7f-cac9a8daa99a,0|1|2|3|4|5|6|7|8|9|10|11|12|13|17|15|16|21|19|18|14|20|22,fast,0.136,0.136
51,91c52fd0-e722-4980-ac5e-85c14d4a4e9a,0|1|2|3|4|5|6|7|8|9|10|11|12|13|17|14|18|21|19|22|15|20|16,fast,0.129,0.129
52,d30d79c0-2f65-4783-a1ff-39d415cbeb2b,0|1|2|3|4|5|6|7|8|9|10|11|12|13|21|20|22|16|14|17|15|18|19,fast,0.129,0.129
53,5034c0fb-fda2-43e0-b23d-b77ea7041760,0|1|2|3|4|5|6|7|8|9|10|11|12|13|16|21|17|19|18|20|14|15|22,fast,0.13,0.13
54,cc8c91a7-33c8-4351-8d58-da1972f100d1,0|1|2|3|4|5|6|7|8|9|10|11|12|13|18|15|22|20|17|14|16|19|21,fast,0.128,0.128
55,df10ab4d-665c-400b-a4ac-4d664b33da66,0|1|2|3|4|5|6|7|8|9|10|11|12|13|17|14|20|21|18|22|16|19|15,fast,0.129,0.129
56,8f426b4a-2faf-462e-8b98-f28d8b406af3,0|1|2|3|4|5|6|7|8|9|10|11|12|13|16|21|14|22|20|18|17|15|19,fast,0.13,0.13
57,8370016c-ff38-41f4-a85b-2e7347d0a9db,0|1|2|3|4|5|6|7|8|9|10|11|12|13|20|16|18|17|15|19|22|21|14,fast,0.131,0.131
58,2e47e9d1-3321-45a8-a0b6-59b9186d1713,0|1|2|3|4|5|6|7|8|9|10|11|12|13|19|14|21|18|17|22|15|16|20,fast,0.131,0.131
59,5fa5f738-50fb-4311-a957-bf034b8f585d,0|1|2|3|4|5|6|7|8|9|10|11|12|13|20|14|17|18|21|19|22|16|15,fast,0.128,0.128
60,4575f07d-fbdb-4190-9b09-0f0c94b1f98e,0|1|2|3|4|5|6|7|8|9|10|11|12|13|19|18|17|16|22|14|15|21|20,fast,0.13,0.13
61,7612329a-4687-412b-9cc2-bfedafadf23b,0|1|2|3|4|5|6|7|8|9|10|11|12|13|19|22|20|21|18|17|16|14|15,fast,0.13,0.13
62,47ae9f8f-2091-40ed-9780-07ddcbba1505,0|1|2|3|4|5|6|7|8|9|10|11|12|13|15|21|17|19|14|20|18|22|16,fast,0.129,0.129
63,bf2a073c-afac-4ea2-98c9-7eb5e6d0a42a,0|1|2|3|4|5|6|7|8|9|10|11|12|13|21|19|18|15|14|16|22|17|20,fast,0.13,0.13
64,fde2b093-1752-495a-94cb-dd2f971ac07f,0|1|2|3|4|5|6|7|8|9|10|11|12|13|22|20|18|16|19|21|15|14|17,fast,0.13,0.13
65,2f8629e1-f39e-4ad7-84e3-c56b3dfffe22,0|1|2|3|4|5|6|7|8|9|10|11|12|13|15|17|14|20|22|16|19|21|18,fast,0.13,0.13
66,463f7606-c0e3-43c6-9e38-e2e7d0b329d6,0|1|2|3|4|5|6|7|8|9|10|11|12|13|22|21|15|18|14|19|16|17|20,fast,0.128,0.128
67,3525e65d-d2a7-44eb-a9e3-0dc1be95c146,0|1|2|3|4|5|6|7|8|9|10|11|12|13|17|21|18|19|20|22|16|14|15,fast,0.128,0.128
68,845914cc-c2c9-4716-b9e9-a935ee2c70e0,0|1|2|3|4|5|6|7|8|9|10|11|12|13|15|17|22|14|18|19|20|21|16,fast,0.13,0.13
69,b9c331cd-1767-4e15-b0a2-c3786f4bc63b,0|1|2|3|4|5|6|7|8|9|10|11|12|13|17|16|15|21|14|20|18|19|22,fast,0.13,0.13
70,a65156f7-76d9-4fe2-bb0a-598c060386f3,0|1|2|3|4|5|6|7|8|9|10|11|12|13|18|20|21|22|16|14|17|19|15,fast,0.131,0.131
71,88344c8c-f5d4-4b06-a849-83d96b53bb7e,0|1|2|3|4|5|6|7|8|9|10|11|12|13|17|22|19|16|20|21|18|14|15,fast,0.13,0.13
72,c7681864-4850-4048-8b58-df8e83907bbf,0|1|2|3|4|5|6|7|8|9|10|11|12|13|22|21|19|18|17|16|14|15|20,fast,0.13,0.13
73,8f3ce56c-6c02-43e5-9ec6-9c46061604ee,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|17|21|20|16|22|18|15|19,fast,0.131,0.131
74,9f283155-99fa-4c4d-aa90-c073726984de,0|1|2|3|4|5|6|7|8|9|10|11|12|13|17|22|20|14|15|16|18|21|19,fast,0.13,0.13
75,8f405d40-1306-4649-bf80-07625ba05609,0|1|2|3|4|5|6|7|8|9|10|11|12|13|22|17|21|14|16|19|18|15|20,fast,0.134,0.134
76,ac83c6c1-a11b-45ba-8de4-9dd09cb45992,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|21|17|22|20|16|18|15|19,fast,0.131,0.131
77,9ed3a5fb-46d2-47c0-bd30-f79e260c5a8d,0|1|2|3|4|5|6|7|8|9|10|11|12|13|15|20|18|16|22|14|21|19|17,fast,0.13,0.13
78,83f775ea-d3d1-48a1-a02b-af0249c2a69d,0|1|2|3|4|5|6|7|8|9|10|11|12|13|21|19|16|22|14|20|17|18|15,fast,0.129,0.129
79,39dbb2d7-629b-401d-afa4-e2a590132ac7,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|16|22|19|20|18|21|15|17,fast,0.128,0.128
80,3db60508-99d3-4e48-8122-c88f7fcc07f4,0|1|2|3|4|5|6|7|8|9|10|11|12|13|22|20|16|15|19|17|14|21|18,fast,0.13,0.13
81,e9fda0c3-8f83-4e71-844e-b1a062be8e15,0|1|2|3|4|5|6|7|8|9|10|11|12|13|16|14|15|22|18|17|20|21|19,fast,0.128,0.128
