,ID,Phase,Mode,Runtime,Elapsed_Time
0,8c0ac324-d38e-44b1-be01-5746fab41b35,0|1|2|3|4|5|6|7|8|9|10|11|12|13|17|15|19|18|14|22|16|21|20,fast,0.131,0.131
1,1615a083-147b-4922-b104-168f85cfc089,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|17|20|18|22|21|19|16,fast,0.132,0.132
2,60ad7a5a-f1b1-4323-a948-9ee77cf1b04a,0|1|2|3|4|5|6|7|8|9|10|11|12|13|18|14|20|19|16|22|17|15|21,fast,0.128,0.128
3,3287ece2-d946-4234-ab81-b90d8979372e,0|1|2|3|4|5|6|7|8|9|10|11|12|13|15|20|17|22|14|16|19|21|18,fast,0.129,0.129
4,864e0a23-421f-40cc-bd4e-fbc5a9e4d044,0|1|2|3|4|5|6|7|8|9|10|11|12|13|15|16|20|21|19|17|14|18|22,fast,0.128,0.128
5,86b68f94-531c-4115-a183-79fb349c9958,0|1|2|3|4|5|6|7|8|9|10|11|12|13|20|18|22|19|21|14|16|15|17,fast,0.13,0.13
6,7e8b7977-f038-4344-b144-318e2f43fb64,0|1|2|3|4|5|6|7|8|9|10|11|12|13|21|19|14|18|17|16|20|22|15,fast,0.13,0.13
7,cc55ac86-156d-4dce-96fd-cf74eae50416,0|1|2|3|4|5|6|7|8|9|10|11|12|13|22|20|18|21|17|16|14|19|15,fast,0.127,0.127
8,99a39b12-08da-4424-a173-d1060cff0432,0|1|2|3|4|5|6|7|8|9|10|11|12|13|19|17|21|16|22|15|20|18|14,fast,0.13,0.13
9,4a45236d-b14f-4bb0-a0c9-937cb4c311e9,0|1|2|3|4|5|6|7|8|9|10|11|12|13|15|21|20|17|19|18|16|22|14,fast,0.129,0.129
10,509aeca9-0799-470e-82aa-e525d2a95027,0|1|2|3|4|5|6|7|8|9|10|11|12|13|22|19|20|15|17|18|16|21|14,fast,0.129,0.129
11,3e31b52e-5c9b-47d0-b5e4-281bd3593a5b,0|1|2|3|4|5|6|7|8|9|10|11|12|13|20|14|21|17|22|18|16|15|19,fast,0.127,0.127
12,4b750edf-7dae-4591-9c1e-ea62bd74293a,0|1|2|3|4|5|6|7|8|9|10|11|12|13|20|18|16|14|15|17|19|21|22,fast,0.131,0.131
13,cbf42380-e82a-4d11-bd61-967658eba2d1,0|1|2|3|4|5|6|7|8|9|10|11|12|13|17|15|21|22|16|14|18|20|19,fast,0.129,0.129
14,b9aa3c11-9690-4aba-b00b-38b75f9dd8b4,0|1|2|3|4|5|6|7|8|9|10|11|12|13|22|18|15|17|19|16|20|21|14,fast,0.128,0.128
15,148e5e9b-c9f5-4433-addb-8021032c999b,0|1|2|3|4|5|6|7|8|9|10|11|12|13|16|20|15|14|21|18|22|17|19,fast,0.128,0.128
16,b8867417-6165-40b7-8ab9-6a59b2078a42,0|1|2|3|4|5|6|7|8|9|10|11|12|13|16|22|21|14|20|18|15|19|17,fast,0.128,0.128
17,30c67d45-e8e6-47f7-9d25-6dd77918d129,0|1|2|3|4|5|6|7|8|9|10|11|12|13|17|14|21|16|18|19|20|15|22,fast,0.128,0.128
18,96f7b4a5-4211-47f0-877e-8271dd2d2ead,0|1|2|3|4|5|6|7|8|9|10|11|12|13|20|17|15|21|19|16|22|18|14,fast,0.127,0.127
19,a45b11f6-24ff-47d4-bfe9-37e79020cea6,0|1|2|3|4|5|6|7|8|9|10|11|12|13|16|17|20|15|14|19|18|22|21,fast,0.128,0.128
