,ID,Mode,Phase,Runtime,Iteration,Best
0,2a950b3a-638d-4055-9c9c-3ca0f3ae80a1,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|18|15|20|16|19|21|17|22,0.735,0,False
1,041c7f46-8a9e-4eb3-bf00-1f33a1705266,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|13|20|16|21|14|19|18|15|22|17,0.74,0,False
2,015d9332-ab0c-4177-a57e-70c7ed2b4d9f,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|13|15|20|17|18|22|21|16|14|19,0.742,0,False
3,cc2b4e69-192e-4ec1-a41f-3c611099a52f,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|13|19|14|15|18|21|22|20|16|17,0.728,0,False
4,99aa0ab6-481c-4030-8d96-3bd3cd79d339,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|13|21|22|15|20|14|17|19|18|16,0.731,0,False
5,1ad5c150-6c9b-41b1-b37d-1064c7464928,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|15|19|20|14|17|22|18|21|16|13,0.734,0,False
6,dadfa381-168e-456b-b2a3-61e630d818b8,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|20|22|16|21|13|17|19|18|15|14,0.726,0,False
7,ff367dab-b400-4ad3-aa99-7383695875ef,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|18|17|14|16|13|19|22|20|21|15,0.741,0,False
8,db07efe9-8a3f-4f3f-8617-bdbc623f9d17,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|20|22|17|13|14|15|16|21|19|18,0.752,0,False
9,45e2e01a-ad85-4e99-a221-f76af1a496b0,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|13|21|14|15|22|16|17|20|19|18,0.812,0,False
10,0d7081c6-a140-447d-b35a-575f556965ef,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|15|16|20|17|21|19|14|22|18|13,0.743,0,False
11,a8700e85-350f-45f5-a1bd-bb21d8192d24,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|15|21|22|20|19|13|17|14|18|16,0.735,0,False
12,09cc9119-ffc2-4096-8e57-af7e3373f8f7,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|21|18|20|15|22|17|19|13|14|16,0.737,0,False
13,2c4bba11-de10-4db3-a8da-462b8eb44c42,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|20|21|16|18|14|13|22|19|17|15,0.74,0,False
14,302bce09-46ec-4e3c-84bd-6cfe3628d606,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|14|20|16|17|21|13|18|22|15|19,0.743,0,False
15,22f81558-fd60-4844-915c-6563fed407e4,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|16|22|14|19|15|18|21|13|20|17,0.737,0,False
16,1cc8e3ef-66f5-42c7-bd76-3797925eaca8,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|22|19|16|20|18|17|15|21,0.732,0,False
17,4dfd0e01-8064-4a6f-885c-acd182312a2e,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|16|21|14|20|17|22|18|13|15|19,0.732,0,False
18,9e512a20-2e71-47b6-a297-383e2743722e,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|14|21|16|22|20|18|15|17|13|19,0.729,0,False
19,d70b4e53-8815-4254-81ec-ceaff63780e4,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|15|17|14|21|16|20|13|19|18|22,0.744,0,False
20,132a1d51-06f3-4979-9acd-08610937ab0d,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|18|13|15|20|16|14|19|17|21|22,0.729,0,False
21,0f317fc3-2ea4-4920-a53c-c6ea3e4caf6c,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|21|22|13|18|20|19|17|14|15|16,0.729,0,False
22,daac297d-7054-4e37-8eb7-ed190fc3d38f,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|14|18|15|17|19|21|16|22|13|20,0.719,0,False
23,b7370f8b-deb2-450a-8c82-93a24bc44687,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|17|13|19|18|21|15|14|20|16|22,0.92,0,False
24,813c53b5-f25b-43f7-8dbe-dd7999e72c1e,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|17|19|22|20|14|18|16|13|15|21,0.732,0,False
25,b3d56212-cebd-48b6-a730-ad53e89f795e,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|22|16|20|18|21|19|15|14|13|17,0.796,0,False
26,fcd266a1-96fe-458d-95e5-a31f1ef78b43,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|19|15|22|18|17|14|21|13|20|16,0.727,0,False
27,cd489f2b-9a29-45b2-a081-ab0b118628d7,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|18|14|15|20|21|13|22|17|16|19,0.739,0,False
28,d2e621d4-d1de-40d3-ab90-fb4bd3296560,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|13|16|15|19|22|21|17|18|14|20,0.747,0,False
29,edfd00fb-0a4f-4c92-9856-ce817ad9278c,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|19|15|21|14|17|22|18|13|20|16,0.753,0,False
30,1e3eebae-356a-4d53-9b06-da806bf2f36e,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|15|14|18|19|22|13|21|20|16|17,0.782,0,False
