,ID,Mode,Phase,Runtime,Iteration,Best
0,c1551774-df87-48d5-89b0-3bed8aa13caf,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|13|18|17|20|14|22|21|15|19|16,0.707,0,False
1,a669d97b-74cd-4fe0-9d0b-bbe0e60e202f,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|13|17|22|16|18|14|19|15|20|21,70.39999999999999,0,False
2,9178cfaa-70d4-4a08-be7f-950cfdab2354,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|13|21|22|19|15|20|17|16|14|18,74.7,0,False
3,be309ae0-7bc9-41ef-95f0-a8a5be5f85cf,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|13|18|19|14|16|20|21|15|22|17,72.3,0,False
4,f1e28a00-1452-46be-af79-433b82692433,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|13|21|17|20|18|16|14|19|22|15,71.5,0,False
5,bcb4fe39-19c6-41fd-8e42-7604478de914,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|22|21|19|18|16|17|20,0.716,0,False
6,21c7973a-bedb-4afa-81eb-a157a6460309,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|19|15|14|17|16|21|22|18|13|20,0.709,0,False
7,eea015dd-230e-4f0b-b43d-0e01db78d4da,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|14|15|13|18|19|22|16|21|20|17,0.716,0,False
8,2e0f059c-1a62-4846-82ee-331c33e3c1d0,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|22|15|14|19|17|18|16|21|20|13,0.714,0,False
9,9f3d1602-df4f-4fb2-a35c-fb671d3b3b6b,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|17|18|16|21|15|22|13|20|19|14,0.712,0,False
10,ca93f762-a677-4b47-a4dd-91324fe9eac3,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|19|21|16|18|17|22|20|15,0.713,0,False
11,8bb8006a-69f6-4399-8c0a-c39ce32a8dcb,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|16|17|13|18|22|19|20|15|21|14,0.702,0,False
12,384d08fd-14ff-407b-821b-39a75b0b31dc,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|13|15|22|20|14|21|16|19|18|17,0.709,0,False
13,3d0760d4-11de-4aa2-b940-9673d432ffde,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|13|16|14|20|21|15|18|22|19|17,0.722,0,False
14,6bd43740-4cb5-4efd-b68c-d335ca9de951,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|14|17|19|21|16|15|22|20|13|18,0.715,0,False
15,397f0b96-913d-4c46-b8df-60e94d15cf6e,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|17|14|19|16|21|13|15|18|22|20,0.718,0,False
16,eabcf528-0dea-4bbd-ab4b-58684e767da5,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|13|19|16|22|18|17|14|15|21|20,0.704,0,False
17,93dcfed3-9bf5-43fa-980f-a4141fc0e8f6,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|21|19|14|20|17|22|13|15|18|16,0.706,0,False
18,021cc127-5a3d-44cd-9e45-ff0811788323,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|16|15|19|18|17|21|22|13|14|20,0.709,0,False
19,805ccc58-4693-499c-a01e-940f0a9a94d9,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|13|16|22|21|20|19|14|17|18|15,0.713,0,False
20,2cc46748-3468-4052-a6ff-bafcc5d703f8,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|14|19|16|21|17|13|22|20|18|15,0.709,0,False
21,6d4ccbc2-30c7-4ab7-8228-38695e96f8b9,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|22|20|16|21|18|13|17|14|15|19,0.709,0,False
22,9347fa11-948e-42f3-a959-f3cecd71df6f,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|19|13|21|15|17|22|18|16|14|20,0.789,0,False
23,4a14fde3-8fd8-4227-af7b-9f39df71be0a,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|22|17|18|21|14|20|13|15|19|16,0.719,0,False
24,80a77443-547a-4b70-9a50-9b9cd73e69b0,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|16|14|18|17|15|22|21|13|20|19,0.728,0,False
25,10caf9e1-e8c5-42b4-8048-8f15fc5f4a4b,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|21|17|16|20|18|14|22|15|13|19,0.737,0,False
26,3541badc-a50e-4f78-9a9f-325ddac26023,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|17|14|20|16|19|13|22|21|18|15,0.718,0,False
27,ba395fee-ddce-4325-987e-8f5473d05cae,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|15|19|13|21|14|20|16|17|18|22,0.717,0,False
28,facb6cda-2b19-46ce-8eb4-87916391205d,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|16|15|21|20|13|17|14|22|19|18,0.784,0,False
29,199388de-8b8c-4125-b28d-0a04c7176b95,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|13|17|16|18|14|22|20|19|15|21,0.711,0,False
30,70637ddc-e4b0-487d-8302-4519524bb8a3,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|13|17|22|18|15|19|16|21|20|14,0.755,0,False
31,69596ba0-9a8c-49b5-adb6-ea9cd60d09d3,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|18|14|16|17|22|21|20|19|13|15,0.71,0,False
32,41a62f01-41fc-4667-984a-1415ead96bfb,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|22|18|17|20|15|13|14|21|16|19,0.715,0,False
33,5cdce7b6-c2e9-466d-a91d-9aba56fb64c1,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|20|19|13|21|15|22|16|14|17|18,0.708,0,False
34,b4dd8ee6-1c96-4e30-b396-c5721114b25f,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|15|13|21|14|16|19|17|20|22|18,0.82,0,False
35,ebf84747-b0c7-4f01-a4e6-fc7495529bb7,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|19|17|13|18|16|14|15|21|22|20,0.727,0,False
36,4ac7e3b3-d82d-47ea-947a-038918116c61,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|16|15|21|19|20|18|22|13|17|14,0.753,0,False
