,ID,Phase,Mode,Runtime,Elapsed_Time
0,409b14e1-6593-4b99-9d2f-ed92f4c90c28,0|1|2|3|4|5|6|7|8|9|10|11|12|17|25|14|21|15|16|18|24|19|13|22|20|23,fast,0.669,0.669
1,612bffec-294c-462b-b5d5-257d2ba35b3c,0|1|2|3|4|5|6|7|8|9|10|11|12|17|23|13|25|21|20|19|15|18|24|16|22|14,fast,0.679,0.679
2,1287fbe6-b1ba-4a4a-a15c-ee934a47d151,0|1|2|3|4|5|6|7|8|9|10|11|12|20|13|17|18|21|16|19|24|22|15|14|25|23,fast,0.672,0.672
3,f6179b6c-04a3-4734-9501-e6cfd2caa8d6,0|1|2|3|4|5|6|7|8|9|10|11|12|14|19|25|15|24|13|23|18|16|21|22|20|17,fast,0.717,0.717
4,16cae0f9-fec8-4e6e-83b8-4e76232e5706,0|1|2|3|4|5|6|7|8|9|10|11|12|20|24|23|13|21|22|19|15|17|18|25|16|14,fast,0.682,0.682
5,18e06a15-7813-40a5-b470-c55476fdce79,0|1|2|3|4|5|6|7|8|9|10|11|12|21|25|14|13|17|22|20|23|15|16|24|19|18,fast,0.696,0.696
6,bd8a9817-15b0-473f-96e0-890342edee89,0|1|2|3|4|5|6|7|8|9|10|11|12|20|17|15|23|25|16|21|19|14|24|22|18|13,fast,0.667,0.667
7,85eb4ea1-2f51-44d9-ad39-a6783182681c,0|1|2|3|4|5|6|7|8|9|10|11|12|15|24|14|25|16|18|19|13|23|21|22|20|17,fast,0.674,0.674
8,b96622b4-0954-485d-8d4c-6c894646fcfb,0|1|2|3|4|5|6|7|8|9|10|11|12|13|23|25|21|24|18|19|15|20|17|22|14|16,fast,0.669,0.669
9,c5518436-666d-4fae-8383-346f22942cbb,0|1|2|3|4|5|6|7|8|9|10|11|12|14|20|22|23|25|21|16|24|13|17|19|15|18,fast,0.692,0.692
10,894b2fc9-9949-4b18-889f-a60269ba1c0f,0|1|2|3|4|5|6|7|8|9|10|11|12|15|16|19|23|22|18|13|14|25|20|24|21|17,fast,0.675,0.675
11,b72d59e6-c2a0-49a0-83b3-8bbd6e8e148d,0|1|2|3|4|5|6|7|8|9|10|11|12|18|25|23|20|16|19|14|24|21|22|13|17|15,fast,0.69,0.69
12,0e32f317-d47d-43f7-9322-045701fb05dc,0|1|2|3|4|5|6|7|8|9|10|11|12|13|20|15|24|17|25|14|19|23|16|21|22|18,fast,0.677,0.677
13,b10a9147-d07c-4c6a-b522-0a74f6bd86c1,0|1|2|3|4|5|6|7|8|9|10|11|12|20|19|15|21|22|18|14|23|17|13|16|24|25,fast,0.684,0.684
14,d00ccf09-e138-4d46-8f87-5cc1c512f392,0|1|2|3|4|5|6|7|8|9|10|11|12|25|13|21|24|20|16|23|18|14|22|19|15|17,fast,0.668,0.668
15,27e79418-a749-4fce-8649-b168bb973c23,0|1|2|3|4|5|6|7|8|9|10|11|12|17|16|18|22|24|15|13|20|21|19|14|23|25,fast,0.677,0.677
16,0c0c057f-b6f6-4445-8cbd-63bc9f95c68c,0|1|2|3|4|5|6|7|8|9|10|11|12|24|22|16|25|23|20|13|14|15|17|18|21|19,fast,0.665,0.665
17,64e9c5e7-e113-4c0e-9086-5243221433e9,0|1|2|3|4|5|6|7|8|9|10|11|12|14|16|22|24|18|20|13|17|21|15|25|23|19,fast,0.676,0.676
18,54e739b7-3e78-4f1b-8ca8-0c80b1012ca5,0|1|2|3|4|5|6|7|8|9|10|11|12|14|22|13|18|19|23|24|25|16|20|17|21|15,fast,0.677,0.677
19,1fa40d79-fa1a-4f33-84fa-e58c071122a3,0|1|2|3|4|5|6|7|8|9|10|11|12|13|21|18|20|25|22|23|14|24|17|19|16|15,fast,0.692,0.692
20,9875a251-6a0e-447f-95f5-9ad8f3caecf1,0|1|2|3|4|5|6|7|8|9|10|11|12|15|20|19|17|21|24|22|16|25|13|14|18|23,fast,0.672,0.672
21,e1caab3e-5017-417c-b1b5-6ef9d9c8c3ef,0|1|2|3|4|5|6|7|8|9|10|11|12|24|23|17|19|25|21|13|18|14|20|16|22|15,fast,0.684,0.684
22,9deb59e0-dc37-4f29-9d98-35033ccd6d95,0|1|2|3|4|5|6|7|8|9|10|11|12|19|24|23|20|14|22|21|17|18|16|13|25|15,fast,0.679,0.679
23,b296c3be-74e0-42a3-978f-a06fd317d5a5,0|1|2|3|4|5|6|7|8|9|10|11|12|18|21|15|24|14|20|16|17|23|22|19|13|25,fast,0.678,0.678
24,8ae71350-5855-4c3e-ba25-60a10772a438,0|1|2|3|4|5|6|7|8|9|10|11|12|17|21|15|16|14|18|20|24|19|25|22|23|13,fast,0.696,0.696
25,8dfbb358-004c-488d-b9e3-31a9f1e02d1c,0|1|2|3|4|5|6|7|8|9|10|11|12|17|13|24|22|21|14|23|15|18|25|19|20|16,fast,0.7,0.7
26,2f0c2f7b-dfd8-429f-8cf9-6d7c12fa5194,0|1|2|3|4|5|6|7|8|9|10|11|12|17|21|16|19|24|14|13|15|20|18|25|23|22,fast,0.681,0.681
27,af552f78-ca9e-496f-a6f0-f7f6cdb961e7,0|1|2|3|4|5|6|7|8|9|10|11|12|23|24|21|22|15|19|17|14|13|16|20|25|18,fast,0.683,0.683
28,0b66c62f-ebc6-4042-a9a8-93853cd51b5f,0|1|2|3|4|5|6|7|8|9|10|11|12|22|18|16|25|23|13|14|17|24|19|15|20|21,fast,0.681,0.681
29,09debc4b-5f54-4664-8e54-465f7dcb0cee,0|1|2|3|4|5|6|7|8|9|10|11|12|16|24|21|22|18|23|25|20|14|17|15|19|13,fast,0.692,0.692
30,545b8c76-8929-47b3-91b3-fbd810939fbc,0|1|2|3|4|5|6|7|8|9|10|11|12|21|24|23|14|16|19|20|25|13|17|22|15|18,fast,0.684,0.684
31,81d9cd5d-9fcd-440d-87f6-c7eff678be4c,0|1|2|3|4|5|6|7|8|9|10|11|12|15|21|22|13|16|25|14|19|23|18|17|24|20,fast,0.687,0.687
