,ID,Phase,Mode,Runtime,Elapsed_Time
0,8bf28f4f-bb8c-4d5d-90ab-bfb0b88f0156,0|1|2|3|4|5|6|7|8|9|10|11|12|13|21|18|17|25|20|22|14|19|16|23|24|15,fast,1.158,1.158
1,a940ef67-6a42-4eb9-81c1-31231b2d81ec,0|1|2|3|4|5|6|7|8|9|10|11|12|22|17|19|18|23|14|15|21|16|25|13|24|20,fast,1.145,1.145
2,9c7b6f76-f3eb-44ef-b5c0-921a4dc6fde4,0|1|2|3|4|5|6|7|8|9|10|11|12|13|15|21|14|25|23|18|17|16|22|20|19|24,fast,1.092,1.092
3,d6d122a8-d9db-4293-a97a-91059678a6e6,0|1|2|3|4|5|6|7|8|9|10|11|12|16|14|24|17|15|22|20|19|23|18|13|25|21,fast,1.19,1.19
4,9e6de1fc-4b68-406a-8b6a-0f361a69c297,0|1|2|3|4|5|6|7|8|9|10|11|12|15|24|17|22|19|14|20|25|16|13|21|18|23,fast,1.258,1.258
5,4c798932-bb46-4361-80aa-df44e42bee85,0|1|2|3|4|5|6|7|8|9|10|11|12|15|17|25|22|16|23|13|18|21|20|19|14|24,fast,1.145,1.145
6,8ad7c728-a8ad-4693-b890-947edb40374a,0|1|2|3|4|5|6|7|8|9|10|11|12|24|20|18|21|19|17|25|22|16|13|15|14|23,fast,1.172,1.172
7,cef80c2f-0dce-487e-80e6-e48dc090315d,0|1|2|3|4|5|6|7|8|9|10|11|12|18|23|16|20|15|21|19|13|14|17|22|25|24,fast,1.251,1.251
8,5ba3aa4b-2e6e-4efc-a123-c13e09799dd4,0|1|2|3|4|5|6|7|8|9|10|11|12|18|16|21|13|23|17|15|19|22|20|14|24|25,fast,1.244,1.244
9,ae056870-a2d7-4122-8303-3f3024615ff6,0|1|2|3|4|5|6|7|8|9|10|11|12|14|20|24|16|25|23|15|18|17|19|13|21|22,fast,1.219,1.219
10,f8a8bed8-2395-4f6a-9699-0fadd33c0756,0|1|2|3|4|5|6|7|8|9|10|11|12|16|14|19|17|25|20|23|22|24|13|18|21|15,fast,1.214,1.214
11,36576625-e733-4ca7-8a2c-b57af302ed75,0|1|2|3|4|5|6|7|8|9|10|11|12|22|13|14|25|24|16|23|20|15|21|17|19|18,fast,1.129,1.129
