,ID,Phase,Mode,Runtime,Elapsed_Time
0,abeeb3b6-2695-4ded-ab31-74173dc2376d,0|1|2|3|4|5|6|7|8|9|10|11|12|13|15|16|21|20|14|22|17|18|19,fast,0.743,0.743
1,c94cd5c0-121e-4696-9ca8-5d0d9a9cdfd5,0|1|2|3|4|5|6|7|8|9|10|11|12|13|15|22|21|17|14|20|19|18|16,fast,0.757,0.757
2,f42d277f-ff67-4393-bae1-076e624d31eb,0|1|2|3|4|5|6|7|8|9|10|11|12|13|18|19|20|21|22|16|14|15|17,fast,0.755,0.755
3,0d6a6113-3b78-4029-9df4-f9bd7183b94f,0|1|2|3|4|5|6|7|8|9|10|11|12|13|18|20|19|14|21|22|15|16|17,fast,0.768,0.768
4,deb12530-d20b-427c-9eaa-7f17924c36cf,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|16|18|15|17|19|21|20|22,fast,0.734,0.734
5,d5fd7472-8c4e-4735-acb7-f17a05010413,0|1|2|3|4|5|6|7|8|9|10|11|12|13|17|15|16|21|14|19|20|18|22,fast,0.774,0.774
6,7cee9e65-7881-4371-b111-066a308501dc,0|1|2|3|4|5|6|7|8|9|10|11|12|13|17|14|21|19|15|20|16|18|22,fast,0.732,0.732
7,abe7e1b9-1a8b-4c89-9544-371a94f6e433,0|1|2|3|4|5|6|7|8|9|10|11|12|13|16|21|17|14|15|18|19|22|20,fast,0.751,0.751
8,1f9bbd3d-8972-4b53-8213-c0733b7430e9,0|1|2|3|4|5|6|7|8|9|10|11|12|13|16|14|18|20|21|22|19|17|15,fast,0.773,0.773
9,1dbbbc11-924f-416a-9f64-73398347e369,0|1|2|3|4|5|6|7|8|9|10|11|12|13|18|21|15|16|14|22|19|20|17,fast,0.742,0.742
10,90c510fa-6c9b-45f1-bb9d-90c030fe0135,0|1|2|3|4|5|6|7|8|9|10|11|12|13|20|14|15|21|18|19|16|17|22,fast,0.752,0.752
11,f94be910-58a1-41bb-801c-bf597b1138e9,0|1|2|3|4|5|6|7|8|9|10|11|12|13|17|20|16|19|15|18|14|22|21,fast,0.733,0.733
12,a79f7d74-42fe-4681-bcbc-44b63e48a656,0|1|2|3|4|5|6|7|8|9|10|11|12|13|19|20|21|17|16|15|18|14|22,fast,0.738,0.738
13,67bcf925-d7d9-40bf-9e20-f1422740c9be,0|1|2|3|4|5|6|7|8|9|10|11|12|13|17|21|16|20|18|19|15|14|22,fast,0.738,0.738
14,646029b8-78e2-4d3b-be0a-4ea81d395c9c,0|1|2|3|4|5|6|7|8|9|10|11|12|13|15|17|14|19|22|18|16|21|20,fast,0.731,0.731
15,0278b6ac-83ac-4d10-aec9-a1405f218e87,0|1|2|3|4|5|6|7|8|9|10|11|12|13|19|20|22|21|17|18|14|15|16,fast,0.744,0.744
16,42e96d26-a250-4d10-b2ab-2a7bbc3f7bd7,0|1|2|3|4|5|6|7|8|9|10|11|12|13|20|16|14|19|17|18|21|22|15,fast,0.779,0.779
17,c65528eb-03cb-4ff7-8044-cb91db5eb595,0|1|2|3|4|5|6|7|8|9|10|11|12|13|17|21|16|22|14|15|18|19|20,fast,0.737,0.737
18,827c0005-3198-4dcd-97ff-5c21e237ba9b,0|1|2|3|4|5|6|7|8|9|10|11|12|13|22|19|17|20|15|21|16|14|18,fast,0.831,0.831
19,995fb2d6-645a-4ad2-9505-d77dbe089a88,0|1|2|3|4|5|6|7|8|9|10|11|12|13|20|15|14|18|16|17|19|21|22,fast,0.766,0.766
20,c13a47ed-067f-427d-895f-564abf675298,0|1|2|3|4|5|6|7|8|9|10|11|12|13|15|20|18|16|17|19|14|22|21,fast,0.775,0.775
21,bb937467-0bff-453d-9542-2a9bc2bab290,0|1|2|3|4|5|6|7|8|9|10|11|12|13|18|14|20|22|15|17|16|19|21,fast,0.744,0.744
22,08d12e6e-c767-47df-b06d-bbf39c5f0cee,0|1|2|3|4|5|6|7|8|9|10|11|12|13|19|17|20|18|21|22|16|14|15,fast,0.739,0.739
23,292bd1b1-2600-4cf3-affe-25cb7a49700a,0|1|2|3|4|5|6|7|8|9|10|11|12|13|18|17|20|16|22|21|15|19|14,fast,0.743,0.743
24,274a62bb-848c-424b-8b8b-212f0be79275,0|1|2|3|4|5|6|7|8|9|10|11|12|13|21|15|18|14|20|19|17|22|16,fast,0.746,0.746
25,f8770433-e53e-4ce8-9a49-e06a2f85e0e0,0|1|2|3|4|5|6|7|8|9|10|11|12|13|22|19|14|15|16|18|17|20|21,fast,0.732,0.732
26,43e417fb-4936-40a3-9281-6eda40ada692,0|1|2|3|4|5|6|7|8|9|10|11|12|13|16|18|20|17|14|21|15|22|19,fast,0.736,0.736
27,d67fb72a-6a77-4894-b90a-fdccd629505c,0|1|2|3|4|5|6|7|8|9|10|11|12|13|18|14|21|17|16|22|20|19|15,fast,0.743,0.743
28,cd09ef8c-f68d-4ec9-9bc5-7e5a794286b4,0|1|2|3|4|5|6|7|8|9|10|11|12|13|17|14|16|15|19|21|22|20|18,fast,0.746,0.746
29,c85e9bab-74e6-4b55-807c-19a1d2aac8c1,0|1|2|3|4|5|6|7|8|9|10|11|12|13|15|19|22|16|14|20|17|21|18,fast,0.75,0.75
30,b4786743-23f2-43d0-8776-e2adc32dc9ad,0|1|2|3|4|5|6|7|8|9|10|11|12|13|15|20|21|17|18|14|22|19|16,fast,0.735,0.735
31,60c284bb-9c62-42a5-a81d-90e39a62c7bb,0|1|2|3|4|5|6|7|8|9|10|11|12|13|19|22|18|15|20|17|16|14|21,fast,0.752,0.752
32,4edd4ae0-b155-4ffe-a0e3-401c9689053a,0|1|2|3|4|5|6|7|8|9|10|11|12|13|22|14|15|21|20|17|19|18|16,fast,0.747,0.747
33,5bf349ee-b119-4415-9cba-3238f5946fd6,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|17|18|21|22|20|15|19|16,fast,0.76,0.76
34,9c4be43f-3562-42f6-9bc5-ae9123cdb060,0|1|2|3|4|5|6|7|8|9|10|11|12|13|22|16|15|17|18|14|19|20|21,fast,0.729,0.729
35,bf408fa9-9b98-4641-9bd9-043e41c595d0,0|1|2|3|4|5|6|7|8|9|10|11|12|13|16|22|18|14|21|17|20|19|15,fast,0.731,0.731
36,8e6a17fa-362a-4c5a-b569-da55024f656a,0|1|2|3|4|5|6|7|8|9|10|11|12|13|18|22|14|15|19|16|21|17|20,fast,0.733,0.733
37,8bbe96e7-455a-4823-86de-158da783b20c,0|1|2|3|4|5|6|7|8|9|10|11|12|13|20|14|16|22|15|18|17|21|19,fast,0.73,0.73
38,2207b544-de6d-4e50-877a-6c63f1d49857,0|1|2|3|4|5|6|7|8|9|10|11|12|13|16|17|22|19|15|20|14|18|21,fast,0.727,0.727
39,7b5734d6-45d6-4e96-aab0-25eaa2432e7e,0|1|2|3|4|5|6|7|8|9|10|11|12|13|20|17|18|21|14|15|16|19|22,fast,0.731,0.731
40,acf8bf0a-defb-48db-bb91-96f7ff24c800,0|1|2|3|4|5|6|7|8|9|10|11|12|13|16|19|20|21|22|15|14|17|18,fast,0.757,0.757
41,d323da63-b977-42ac-adfe-19175604f5c3,0|1|2|3|4|5|6|7|8|9|10|11|12|13|18|15|19|16|17|22|14|20|21,fast,0.735,0.735
42,bcb14432-8706-424b-a2da-d7cff14ec953,0|1|2|3|4|5|6|7|8|9|10|11|12|13|22|19|18|16|20|17|15|14|21,fast,0.744,0.744
43,a7916390-ec54-4999-b577-5d590406275d,0|1|2|3|4|5|6|7|8|9|10|11|12|13|21|22|15|18|14|16|17|20|19,fast,0.748,0.748
44,9ec84bdd-0396-4f49-aa18-fbf09f610b70,0|1|2|3|4|5|6|7|8|9|10|11|12|13|16|17|15|18|22|20|14|21|19,fast,0.741,0.741
45,74f4653a-b204-47dc-93ae-725c8709fe35,0|1|2|3|4|5|6|7|8|9|10|11|12|13|22|15|18|16|17|20|21|19|14,fast,0.752,0.752
46,b5692a06-5dc9-47c4-a715-1dfa8d184bf6,0|1|2|3|4|5|6|7|8|9|10|11|12|13|19|21|14|20|22|16|17|18|15,fast,0.756,0.756
47,1d423b2e-f028-423f-86c1-4775cf83a545,0|1|2|3|4|5|6|7|8|9|10|11|12|13|17|21|14|20|15|22|16|18|19,fast,0.742,0.742
48,10507a23-21ba-4dbe-a8dd-41c27d381bd1,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|19|18|22|16|15|21|20|17,fast,0.745,0.745
49,0154c388-8b19-4f19-8e34-313c310bab54,0|1|2|3|4|5|6|7|8|9|10|11|12|13|15|19|17|21|14|18|20|22|16,fast,0.741,0.741
50,5d1d92a3-d17b-4518-b8a2-d11a92c84f53,0|1|2|3|4|5|6|7|8|9|10|11|12|13|17|15|14|22|16|21|19|18|20,fast,0.734,0.734
51,80f3273e-d773-4b73-ba07-66cc74385188,0|1|2|3|4|5|6|7|8|9|10|11|12|13|15|22|18|20|21|16|19|14|17,fast,0.739,0.739
52,2da706e3-696c-4fcf-bdf4-31e53a6aaeed,0|1|2|3|4|5|6|7|8|9|10|11|12|13|19|20|16|17|18|22|21|15|14,fast,0.739,0.739
