,ID,Phase,Mode,Runtime,Elapsed_Time
0,4d18928b-40c6-41b1-8900-f90cfb223ee4,0|1|2|3|4|5|6|7|8|9|10|11|12|13|22|18|21|16|19|14|15|20|17,fast,0.662,0.662
1,ea0a30bc-c87b-40fb-88bd-1b052e818b01,0|1|2|3|4|5|6|7|8|9|10|11|12|13|22|16|21|14|17|18|19|20|15,fast,0.669,0.669
2,6a591117-6e63-46db-af9c-720d963a1347,0|1|2|3|4|5|6|7|8|9|10|11|12|13|17|19|18|15|14|20|21|16|22,fast,0.67,0.67
3,823a3559-68ea-44b7-8978-a1e08832c95c,0|1|2|3|4|5|6|7|8|9|10|11|12|13|15|21|19|22|16|20|14|17|18,fast,0.676,0.676
4,e01cb606-1255-44cc-b2b6-8683176ac87c,0|1|2|3|4|5|6|7|8|9|10|11|12|13|18|21|14|19|20|16|17|15|22,fast,0.668,0.668
5,c8c2b4cf-a1fa-4c05-b5e0-a1645637a9a4,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|18|19|22|20|16|17|21|15,fast,0.68,0.68
6,944d7ce1-a216-4324-bae5-0a9365d950b1,0|1|2|3|4|5|6|7|8|9|10|11|12|13|22|14|17|19|21|20|18|15|16,fast,0.676,0.676
7,19fab475-7eac-4890-b69c-772c46f1182c,0|1|2|3|4|5|6|7|8|9|10|11|12|13|19|21|15|14|22|20|16|18|17,fast,0.68,0.68
8,686bc5ec-b0b1-4dcc-a479-9eb826f494ce,0|1|2|3|4|5|6|7|8|9|10|11|12|13|21|17|15|16|19|22|18|20|14,fast,0.673,0.673
9,3c85a0be-2280-44c3-8b9b-28a6deefdf90,0|1|2|3|4|5|6|7|8|9|10|11|12|13|19|21|17|18|16|20|14|15|22,fast,0.699,0.699
10,318dbc2e-3634-4406-9e74-dcb5effaed49,0|1|2|3|4|5|6|7|8|9|10|11|12|13|22|21|17|14|20|15|19|16|18,fast,0.692,0.692
11,f97c9ea2-7d1f-4fa6-ba4d-c3b5b945bd71,0|1|2|3|4|5|6|7|8|9|10|11|12|13|22|20|14|21|18|16|19|15|17,fast,0.69,0.69
12,53b3d7c7-4ff9-46ca-8e35-25dd07b49758,0|1|2|3|4|5|6|7|8|9|10|11|12|13|17|21|22|20|16|14|19|18|15,fast,0.682,0.682
13,5af179d6-40c7-4511-a5e8-8bf5ac13bcf0,0|1|2|3|4|5|6|7|8|9|10|11|12|13|22|19|17|14|16|20|18|15|21,fast,0.706,0.706
14,d7841b68-2f5d-45d2-ab76-584d55b3aa4a,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|21|17|19|20|16|18|22|15,fast,0.725,0.725
15,2c4e371f-8b24-4af4-8f18-68e218ea1d8a,0|1|2|3|4|5|6|7|8|9|10|11|12|13|20|21|17|15|14|18|19|16|22,fast,0.695,0.695
