,ID,Mode,Phase,Runtime,Iteration,Best
0,6079f819-9e6c-4945-98bc-c907c43f0f34,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|18|15|21|22|19|20|17|16,0.144,0,False
1,1c051b60-f5a1-4487-8683-17557430d0e5,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|13|15|18|17|14|21|22|16|19|20,0.145,0,False
2,e4500b72-4356-4e88-a5c8-7a001aa107ba,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|13|15|16|21|14|18|19|22|20|17,0.145,0,False
3,e7d100c5-9d2a-4b4b-a773-fc33fc124789,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|13|22|18|20|16|15|17|19|14|21,0.146,0,False
4,c4bde372-5aa0-4680-9466-f8ec5a144003,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|13|19|14|16|21|20|18|15|22|17,0.143,0,False
5,7c398989-86a3-4134-b8f2-5c09775412ed,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|13|22|18|20|21|17|19|16|15|14,0.143,0,False
6,b0001eb5-0cc0-42ba-91eb-c24056e978b3,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|13|22|18|14|19|21|15|20|16|17,0.143,0,False
7,d848c202-a7d0-4a75-b587-13e89d5a625a,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|13|15|18|20|22|14|17|21|16|19,0.146,0,False
8,dfc64d22-d978-4fb5-96e6-a5598921b112,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|13|18|22|21|15|20|14|17|19|16,0.143,0,False
9,086fce10-1301-487d-9b33-d5bd9387c3f4,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|13|15|20|17|18|21|22|14|19|16,0.144,0,False
10,f55002b8-f1c8-44bb-bcf9-a676256b8700,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|16|22|21|19|20|17|14|13|15|18,0.142,0,False
11,7b935967-584a-45c4-b34b-298e1a46a77d,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|17|18|22|13|20|15|14|16|21|19,0.144,1,False
12,89131f56-a664-468a-8c4e-608d0fb3849b,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|20|21|13|17|18|22|15|19|16|14,0.146,2,False
13,88217540-7467-43ce-b505-5a77c2369855,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|17|22|19|21|16|20|18|13|15|14,0.142,3,False
14,c13cf4bc-b184-460a-962e-b2aed6dad880,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|20|21|22|14|17|15|16|13|19|18,0.146,4,False
15,71129578-5628-48d8-9370-67c625c96d91,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|15|21|20|19|16|13|17|18|22|14,0.144,5,False
16,77d3252e-b617-4046-b1a7-8ceac05ad462,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|20|19|14|21|22|16|15|17|18|13,0.142,6,False
17,56c8013d-2564-4c58-8f14-0e1e611807d7,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|22|21|15|19|13|18|14|17|20|16,0.142,7,False
