,ID,Mode,Phase,Runtime,Iteration,Best
0,2abc828b-f277-4c9f-8a98-4500e7ad26bc,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|13|22|16|14|19|18|17|15|20|21,0.145,0,False
1,aa542b5f-d0df-4175-a2b9-cdc8cd778b3f,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|13|22|21|14|19|18|20|16|15|17,0.142,0,False
2,8decde4d-2f5a-41c5-807b-43bc29272394,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|19|22|18|15|17|20|16|21,0.144,0,False
3,fe398ee5-e184-446b-a7c5-2c1947d26bce,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|13|22|19|17|15|18|21|16|20|14,0.144,0,False
4,01ef7853-b385-43ed-bd7b-a3821d12e52a,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|13|18|15|20|17|19|14|21|16|22,0.144,0,False
5,577b03fe-6c90-46f3-acf0-860b0c911fae,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|21|17|14|15|22|19|20|18|13|16,0.145,0,False
6,0b5d199e-dbce-4ed7-8491-5805a0be426f,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|16|21|22|15|13|17|19|20|14|18,0.151,1,False
7,699f6a8b-39d9-4d08-a04f-ce4e850fa31e,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|14|20|22|21|16|19|15|17|13|18,0.144,2,False
8,4d2a9149-a88b-4e07-a7bf-115b1e69728c,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|19|13|22|15|21|16|20|14|17|18,0.145,3,False
9,319ed0e8-0a2d-46a9-bbc2-52ad6fc45b63,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|17|19|20|14|21|16|22|13|18|15,0.145,4,False
10,caf647e5-3e19-4551-83af-7527e55df864,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|18|16|20|15|19|21|22|17|14|13,0.148,5,False
11,a0c74c3e-4d0b-448c-b2bb-a10a929d68d6,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|13|21|22|20|18|19|16|17|14|15,0.146,6,False
12,540ca3ca-d671-4861-8a7e-368ddc7ef797,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|13|22|18|20|15|19|17|14|21|16,0.146,7,False
13,bc054f3e-84f8-4885-bf44-b0d34154ce8a,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|17|14|13|18|15|19|20|21|16|22,0.148,8,False
14,5dbcf1cc-b8f3-4f82-bd90-56501e4e36da,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|17|19|22|18|21|15|16|20|14|13,0.146,9,False
15,7353d0e0-e6a3-4395-8503-bb794e6f1fbf,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|13|18|21|17|14|15|16|19|22|20,0.147,10,False
16,68089c01-308b-46cd-b329-16e92448e250,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|13|18|22|19|15|16|17|21|14|20,0.145,11,False
17,51773b70-e02d-4e25-b38a-fe9362f75fe1,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|14|21|17|16|15|18|19|22|13|20,0.145,12,False
