,ID,Mode,Phase,Runtime,Iteration,Best
0,25f142d4-598f-4a12-b338-41f3ebe36850,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|13|21|19|18|15|14|20|17|16|22,0.148,0,False
1,fd3a2882-ba18-449c-a40f-cb6dbe024fd8,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|13|21|18|14|15|16|20|17|19|22,0.149,0,False
2,d47b9bfd-48bd-4ca6-bb21-a2d3ac47bc54,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|13|17|22|18|16|20|14|21|19|15,0.148,0,False
3,19aa07af-39bb-4518-9231-d8dec8d78a17,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|13|15|17|22|21|20|18|16|14|19,0.148,0,False
4,c3576481-5d97-4081-85e9-d1ac92de0816,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|13|16|14|18|15|22|21|19|20|17,0.147,0,False
5,09f9e0e6-8767-4831-b198-19a0120f4cec,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|14|21|13|15|18|20|17|19|22|16,0.15,0,False
6,ec7f56db-d407-40a1-bf5e-a73c4343e812,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|17|18|14|19|16|15|22|20|21|13,0.147,0,False
7,e7f8417f-984f-416d-84b0-c4c342882aed,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|17|22|14|19|13|16|21|20|15|18,0.15,0,False
8,d2cd3df9-a963-4511-a06c-aca34cc33c5b,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|14|13|15|20|22|16|21|17|18|19,0.155,0,False
9,e277a165-f282-4138-ab57-2f4fd0726911,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|14|17|13|22|21|18|15|20|16|19,0.148,0,False
10,0d1ee551-ffe9-4686-8b7b-13079d914ba5,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|14|15|17|22|13|21|20|16|18|19,0.149,0,False
11,e3ea6c7d-f62e-4926-b944-a6ad8f1e80ad,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|18|19|14|13|20|16|21|22|17|15,0.148,0,False
12,6f870cfb-20d0-44a7-961b-001dbf0c9822,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|15|17|18|22|16|14|19|13|21|20,0.146,0,False
13,45614d2d-dc00-4a92-897f-2aaf97bfa58c,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|21|20|18|22|16|13|15|14|19|17,0.15,0,False
14,a2d8dc6c-65cc-4982-b907-77734b3cafc6,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|16|17|20|18|21|14|15|13|22|19,0.147,0,False
15,7beb43ab-337b-4d68-9247-9670f1d9cde1,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|14|18|17|19|21|13|15|16|22|20,0.148,0,False
16,16918f2b-c2c0-45d5-aaf8-b3fc7aec05b4,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|16|13|20|17|21|14|15|19|22|18,0.149,0,False
17,3358e46f-112d-41ab-80bd-6855c7ae1b7e,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|20|14|18|16|22|13|21|17|19|15,0.147,0,False
18,75808bd3-4951-4db7-bf62-9118a28049df,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|16|19|22|20|21|18|13|15|14|17,0.149,0,False
19,38e15b97-26b9-484f-afff-520581129a70,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|17|13|15|14|19|22|21|18|20|16,0.145,0,False
20,cc8f1279-3481-4449-a077-9906290c4d94,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|21|15|16|14|13|18|19|17|20|22,0.149,0,False
21,48cb5c31-cc47-4b86-9fc8-9cdd41fc45bf,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|20|13|18|16|19|21|22|15|14|17,0.147,0,False
22,46372386-f26b-4d0c-8072-889db94bb80d,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|21|14|13|20|16|19|18|15|22|17,0.147,0,False
23,556d7732-ca7b-4c7d-8144-76dc39e6cd1a,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|16|13|17|19|21|18|22|14|20|15,0.147,0,False
24,13bed63c-6bdb-4631-8887-600f92430099,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|20|13|17|19|22|18|21|14|15|16,0.147,0,False
25,4d2893a8-9a32-47e9-ad96-af65ece2b921,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|20|14|19|13|15|18|21|22|16|17,0.149,0,False
26,28a802ce-a0a8-45c2-af5e-56c187c790de,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|18|13|19|16|20|14|21|15|17|22,0.147,0,False
27,56af2a42-792b-40b2-bb1e-2eb3682975fe,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|15|13|21|14|16|19|20|17|22|18,0.149,0,False
28,34765a5c-fbb8-4a36-b7f3-199cde3fee5b,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|19|16|15|22|14|17|20|13|21|18,0.147,0,False
29,8464840e-33af-4e9d-b934-ca3324c420b0,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|15|17|20|14|21|19|18|13|22|16,0.147,0,False
30,27d0d1f4-7a54-41d0-8b3a-e88d4362aba4,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|16|18|21|15|22|20|19|17,0.145,0,False
31,6e449d4f-a7da-4de0-9e37-7c8428e77f35,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|19|16|14|20|13|15|21|22|18|17,0.147,0,False
32,d7642e2e-bad2-4e51-913c-d5616beac9c7,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|14|18|13|17|20|16|22|15|19|21,0.145,0,False
33,7b969b42-a646-41e4-a942-50f76e7d3fb6,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|13|16|20|18|22|17|21|19|15|14,0.147,0,False
34,9d3d9a3f-c2c0-4ee3-a652-b042855db356,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|14|17|15|13|19|16|22|18|20|21,0.146,0,False
35,ea3c0752-7dd4-4d8a-9c0d-4c2570975a84,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|18|20|15|19|17|13|22|16|21|14,0.147,0,False
36,f43d7d52-804a-4aa7-b2c7-0f290ada62bb,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|15|13|16|18|17|20|19|22|14|21,0.146,0,False
37,1b60fd93-8fe6-49c5-860f-bbf5f432760b,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|13|15|20|14|17|18|19|16|21|22,0.147,0,False
38,6104c26c-e403-40b3-b416-e1e20f7fa0b3,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|14|15|18|20|21|16|17|22|13|19,0.147,0,False
39,1feccc83-78a7-4f16-8a9f-b6c060413e70,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|20|17|15|16|19|21|14|13|18|22,0.146,0,False
40,9f3f197d-63f3-4e3e-a891-7bbeba2f67a0,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|22|16|14|17|20|19|13|15|18|21,0.148,0,False
41,23298ce4-a129-4157-838c-89b150f09141,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|15|16|14|20|18|13|21|17|22|19,0.148,0,False
42,5e89b7c7-26b0-4eff-a37c-a2f85fef000a,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|21|17|18|16|20|13|19|14|15|22,0.147,0,False
43,e93fd8e2-5deb-4034-8ea8-ae53667e0ec3,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|18|22|13|15|17|19|20|21|14|16,0.147,0,False
44,a94f9627-7a15-46d8-b389-2b21150d058f,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|18|13|14|19|21|15|17|16|20|22,0.148,0,False
45,dee3a32d-f437-462f-998d-b8c95e7d5da6,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|15|17|13|22|20|18|21|16|19|14,0.148,0,False
46,75412eab-3128-4ddd-b530-0724dbd0e5ed,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|15|14|17|21|22|19|18|13|20|16,0.146,0,False
47,a8d2df6c-e661-4fde-ad33-d516d51210d9,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|16|15|17|13|19|20|18|14|21|22,0.146,0,False
48,1352b324-5ba5-4218-89ba-a53f6365c08f,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|15|13|16|17|22|18|20|21|19|14,0.145,0,False
49,c7448599-90ca-469f-9ff1-2aa37ad0080d,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|18|14|13|15|21|16|22|19|17|20,0.144,0,True
50,0fd66550-34ac-48d2-8feb-bb35a256945e,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|18|15|22|17|19|16|20|21,0.145,0,False
51,0b269c99-312b-4c1e-9ddf-362aef218708,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|15|14|13|17|22|21|20|16|18|19,0.146,0,False
52,f5d40911-e9f2-43cf-a9a1-9768f6859146,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|13|16|15|19|20|22|21|18|17|14,0.147,0,False
53,00154ba8-a144-4d25-af76-44f0679c793f,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|19|20|15|17|22|14|21|16|13|18,0.145,0,False
