,ID,Phase,Mode,Runtime,Elapsed_Time
0,9b8cff63-8872-4748-95b6-f95c7677cfd1,0|1|2|3|4|5|6|7|8|9|10|11|12|13|17|23|22|14|15|20|18|19|21|16|,fast,0.144,0.144
1,17d404e0-0471-4e87-966f-ba3f3d79d841,0|1|2|3|4|5|6|7|8|9|10|11|12|13|15|19|17|16|21|14|20|22|23|18|,fast,0.146,0.146
2,92d37310-db96-4e41-995b-07786c20c3e2,0|1|2|3|4|5|6|7|8|9|10|11|12|13|21|14|20|22|15|17|23|16|19|18|,fast,0.145,0.145
3,9172f975-9377-4ace-91f6-78b4cacbb9ae,0|1|2|3|4|5|6|7|8|9|10|11|12|13|21|18|22|17|19|20|16|14|15|23|,fast,0.145,0.145
4,e2be6d56-b8e7-4964-a884-cccacd008feb,0|1|2|3|4|5|6|7|8|9|10|11|12|13|23|20|22|15|21|18|17|19|14|16|,fast,0.146,0.146
5,ce756808-8847-4c81-a90e-face92e0b5e3,0|1|2|3|4|5|6|7|8|9|10|11|12|13|19|22|15|23|20|17|14|18|16|21|,fast,0.146,0.146
6,6173e09d-fd13-4c2a-ab76-c23613f750b1,0|1|2|3|4|5|6|7|8|9|10|11|12|13|23|19|20|14|15|18|21|22|16|17|,fast,0.146,0.146
7,e803228c-8194-4e6f-81c6-d86c9ed90ab0,0|1|2|3|4|5|6|7|8|9|10|11|12|13|21|22|17|16|23|20|15|19|14|18|,fast,0.145,0.145
8,753acfe3-5d05-4ce8-9a8f-a1a1deb17d47,0|1|2|3|4|5|6|7|8|9|10|11|12|13|17|19|15|21|14|18|20|22|16|23|,fast,0.145,0.145
9,0ac7beec-c05d-430d-a954-fb1c28413b4c,0|1|2|3|4|5|6|7|8|9|10|11|12|13|22|18|15|19|17|16|21|20|14|23|,fast,0.145,0.145
10,fa51d9a4-cfd4-4106-8fe8-c239fe8ee477,0|1|2|3|4|5|6|7|8|9|10|11|12|13|20|22|16|15|19|17|18|23|14|21|,fast,0.146,0.146
11,f699fa3c-64e8-4d58-b3e0-f52890032ff5,0|1|2|3|4|5|6|7|8|9|10|11|12|13|22|15|14|19|20|21|16|18|23|17|,fast,0.148,0.148
12,31695ec3-aee9-474d-af69-70d70d909f9c,0|1|2|3|4|5|6|7|8|9|10|11|12|13|16|21|22|17|19|14|15|23|18|20|,fast,0.146,0.146
13,7c47f08b-da4b-4d29-8f8c-06e6e24e9275,0|1|2|3|4|5|6|7|8|9|10|11|12|13|18|20|22|14|23|21|19|16|15|17|,fast,0.146,0.146
14,0145d53c-54f7-47d5-a441-3bb0062d68f3,0|1|2|3|4|5|6|7|8|9|10|11|12|13|19|16|23|20|15|17|14|22|18|21|,fast,0.147,0.147
15,0c01b12b-2fed-4aa3-8eb1-789cbc01a026,0|1|2|3|4|5|6|7|8|9|10|11|12|13|21|19|15|23|22|17|16|18|14|20|,fast,0.147,0.147
