,ID,Phase,Mode,Runtime,Elapsed_Time
0,6dd1ada5-54f6-4d23-b0f7-82c2fa106588,0|1|2|3|4|5|6|7|8|9|10|11|12|14|22|24|21|18|15|19|16|17|25|20|13|23,fast,0.155,0.155
1,a2fd15c3-b98b-468b-9cfe-bd34fa046d33,0|1|2|3|4|5|6|7|8|9|10|11|12|19|13|16|14|21|22|23|17|15|20|24|18|25,fast,0.152,0.152
2,34c11e74-3573-4706-95eb-d58df57c7c51,0|1|2|3|4|5|6|7|8|9|10|11|12|18|17|15|16|14|23|21|19|13|24|22|20|25,fast,0.153,0.153
3,f9831981-7052-4e6d-9bb0-29419f83d28b,0|1|2|3|4|5|6|7|8|9|10|11|12|13|20|23|21|16|22|14|17|25|18|19|15|24,fast,0.154,0.154
4,9924f9f3-8bf7-4acb-ae5b-ab7fec42c9b6,0|1|2|3|4|5|6|7|8|9|10|11|12|24|22|25|19|20|21|17|15|18|13|16|23|14,fast,0.156,0.156
5,190a521d-c363-4d32-b2f5-97bd16fd9a94,0|1|2|3|4|5|6|7|8|9|10|11|12|14|18|19|24|15|25|22|20|13|16|21|23|17,fast,0.152,0.152
6,4a12cd16-5ad1-4096-851b-4a358d4fdf96,0|1|2|3|4|5|6|7|8|9|10|11|12|22|21|16|18|23|19|17|20|15|14|24|25|13,fast,0.154,0.154
7,331c8a67-570a-47e0-99be-eb59db2038d4,0|1|2|3|4|5|6|7|8|9|10|11|12|16|17|13|18|15|22|19|20|24|23|25|14|21,fast,0.153,0.153
8,eeaa4c29-5f8d-4575-976c-79449ebb6b39,0|1|2|3|4|5|6|7|8|9|10|11|12|21|14|18|22|20|13|23|19|15|25|17|16|24,fast,0.153,0.153
9,41f7a9e0-6475-4553-b49d-b77cb1c460a7,0|1|2|3|4|5|6|7|8|9|10|11|12|16|21|20|14|22|23|19|13|15|17|25|24|18,fast,0.154,0.154
