,ID,Phase,Mode,Runtime,Elapsed_Time
0,c9fcdf3f-9353-4440-ac3b-b950438af460,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|21|18|16|22|24|23|15|25|20|19|17,fast,0.285,0.285
1,a891a00a-dbfc-4d3d-97f5-d7f30c997a69,0|1|2|3|4|5|6|7|8|9|10|11|12|13|23|20|25|15|14|18|16|22|19|17|24|21,fast,0.279,0.279
2,1ea45165-e7a0-4b16-b129-46703597c8c7,0|1|2|3|4|5|6|7|8|9|10|11|12|14|17|21|25|16|22|20|13|24|18|23|15|19,fast,0.283,0.283
3,5d4a2830-bba9-4cf9-b0fa-cc16966738bc,0|1|2|3|4|5|6|7|8|9|10|11|12|24|23|16|17|19|22|13|18|14|20|15|25|21,fast,0.279,0.279
4,d727adcd-669b-4e03-a9f1-ca4e1d7f9bc3,0|1|2|3|4|5|6|7|8|9|10|11|12|21|25|14|20|23|17|18|13|15|19|24|16|22,fast,0.27,0.27
5,92a12be6-2a5d-4e7e-a374-3bbcf5479aee,0|1|2|3|4|5|6|7|8|9|10|11|12|25|22|21|23|24|16|20|14|18|13|15|19|17,fast,0.266,0.266
6,fa449c22-ea88-410f-82c1-9ed253f6366b,0|1|2|3|4|5|6|7|8|9|10|11|12|24|16|19|17|18|25|21|20|22|15|13|23|14,fast,0.245,0.245
7,2c6ac808-3259-4480-a3b6-106f8ab7fe8b,0|1|2|3|4|5|6|7|8|9|10|11|12|18|14|21|17|20|23|15|19|25|22|13|16|24,fast,0.275,0.275
8,33e8baa6-c77a-42bb-8c0b-f7a275ee8bba,0|1|2|3|4|5|6|7|8|9|10|11|12|14|15|16|24|18|13|19|20|17|21|25|23|22,fast,0.274,0.274
9,32328cbb-37d4-46bc-8780-4ba28ba662da,0|1|2|3|4|5|6|7|8|9|10|11|12|17|15|18|13|20|14|23|16|25|21|22|19|24,fast,0.284,0.284
10,7e4b4981-eec7-4949-8a7f-8d3b00f07e08,0|1|2|3|4|5|6|7|8|9|10|11|12|18|14|25|24|21|20|17|22|19|15|23|16|13,fast,0.282,0.282
11,2342adb1-3e34-49d1-9e15-602c7f74bcbe,0|1|2|3|4|5|6|7|8|9|10|11|12|18|19|20|16|21|25|24|22|14|17|23|13|15,fast,0.284,0.284
12,db950508-638f-48d2-a16f-8702a72cd350,0|1|2|3|4|5|6|7|8|9|10|11|12|17|25|14|24|15|16|21|23|18|22|20|19|13,fast,0.269,0.269
13,fc350325-a071-4a22-bada-4f76ffcfb33f,0|1|2|3|4|5|6|7|8|9|10|11|12|19|18|17|21|15|24|23|14|25|13|22|20|16,fast,0.284,0.284
14,d6c8a7d0-19ee-490e-ba70-aa1002a50bc4,0|1|2|3|4|5|6|7|8|9|10|11|12|15|13|21|22|23|16|18|20|14|25|24|17|19,fast,0.278,0.278
15,8b20577a-1930-44b8-9a9c-d854bfdcee3d,0|1|2|3|4|5|6|7|8|9|10|11|12|21|14|18|17|16|23|20|15|19|13|22|24|25,fast,0.277,0.277
16,946cd59f-2a34-40e3-8614-f1e1a4a7f6b4,0|1|2|3|4|5|6|7|8|9|10|11|12|22|23|17|21|13|19|14|18|25|16|20|24|15,fast,0.255,0.255
17,49b9816c-71c4-4660-acb9-b24104bf20a2,0|1|2|3|4|5|6|7|8|9|10|11|12|24|25|23|17|19|20|22|14|13|21|15|18|16,fast,0.274,0.274
18,07dc89ba-a946-497b-9e00-c08b37d3f7ad,0|1|2|3|4|5|6|7|8|9|10|11|12|17|16|20|21|13|25|19|22|14|23|24|18|15,fast,0.279,0.279
19,a5ddfe49-1ad5-4cea-b6e4-7edfd36b7126,0|1|2|3|4|5|6|7|8|9|10|11|12|14|16|17|23|25|19|18|21|13|24|15|22|20,fast,0.276,0.276
20,ddeb81a3-ff4a-4a94-98e3-f5d197e91118,0|1|2|3|4|5|6|7|8|9|10|11|12|25|24|15|23|20|14|13|21|16|22|19|18|17,fast,0.279,0.279
21,7d12c5bd-dfce-4081-86a1-8e601822861d,0|1|2|3|4|5|6|7|8|9|10|11|12|17|24|21|18|19|25|16|15|13|20|22|23|14,fast,0.284,0.284
22,ba177010-6e25-4b50-862f-afca05088d00,0|1|2|3|4|5|6|7|8|9|10|11|12|18|20|24|15|23|17|16|22|19|14|21|13|25,fast,0.282,0.282
23,8271f2d0-c0db-4979-82c6-cc3a22553881,0|1|2|3|4|5|6|7|8|9|10|11|12|20|16|23|18|21|14|13|25|17|24|19|15|22,fast,0.265,0.265
