,ID,Phase,Mode,Runtime,Elapsed_Time
0,5d08cd60-f6d8-45fa-a64e-1a6871c23eff,0|1|2|3|4|5|6|7|8|9|10|11|12|13|17|15|14|18|21|22|20|16|19,fast,0.145,0.145
1,bbc90cc7-17c3-4278-8b7a-39818a0712b0,0|1|2|3|4|5|6|7|8|9|10|11|12|13|16|21|22|20|18|17|14|15|19,fast,0.146,0.146
2,c940e877-655d-41b1-9bc2-10c8f25c101a,0|1|2|3|4|5|6|7|8|9|10|11|12|13|16|18|14|20|21|19|17|15|22,fast,0.148,0.148
3,b0e0848e-b5a4-4853-b513-e51f48620826,0|1|2|3|4|5|6|7|8|9|10|11|12|13|19|16|15|17|20|18|14|22|21,fast,0.147,0.147
4,a55b3543-00d2-42e5-a40d-5edfa8242d41,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|19|15|17|22|16|21|20|18,fast,0.146,0.146
5,eb6cd536-974f-4308-9a59-0792dfddb566,0|1|2|3|4|5|6|7|8|9|10|11|12|13|22|18|15|17|19|16|21|20|14,fast,0.146,0.146
6,32d667eb-4558-4463-bec6-71604d4bfc6b,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|22|15|16|19|21|20|18|17,fast,0.149,0.149
7,707fdea8-a00a-46a4-ae77-2167f0dd5f9a,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|19|16|20|22|21|18|15|17,fast,0.147,0.147
8,b2b1d705-aa8f-4e06-8476-aace6d957202,0|1|2|3|4|5|6|7|8|9|10|11|12|13|20|15|18|16|14|19|22|21|17,fast,0.146,0.146
9,fd90e7ff-8385-4fcd-8999-f966079db9c1,0|1|2|3|4|5|6|7|8|9|10|11|12|13|19|14|15|18|20|21|22|17|16,fast,0.146,0.146
10,cd3b054b-c7fd-47de-b276-367d80143ebf,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|22|16|18|17|21|19|15|20,fast,0.15,0.15
11,ea619cf0-0a3d-42dd-8c7a-575fb673153f,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|18|22|16|15|21|20|19|17,fast,0.148,0.148
12,f5c1c122-8d7a-4dc5-8e6e-d0f3b601b6b0,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|18|21|20|16|17|15|22|19,fast,0.147,0.147
