,ID,Phase,Mode,Runtime,Elapsed_Time
0,5bd72853-9e89-4047-841e-404742cb7fad,0|1|2|3|4|5|6|7|8|9|10|11|12|13|15|16|20|18|19|21|17|22|14,fast,0.155,0.155
1,abb3903b-2a95-45fa-992e-efe777d37c36,0|1|2|3|4|5|6|7|8|9|10|11|12|13|21|22|14|16|17|18|15|19|20,fast,0.154,0.154
2,00e721ee-f1f7-4e57-8b9b-5f709b815af8,0|1|2|3|4|5|6|7|8|9|10|11|12|13|22|16|15|18|17|19|20|21|14,fast,0.154,0.154
3,260b6da9-7b6c-4fd4-ae22-dec4ff68ada8,0|1|2|3|4|5|6|7|8|9|10|11|12|13|22|21|15|14|20|18|17|19|16,fast,0.154,0.154
4,d8af7218-82a8-4958-904b-c71f854932f3,0|1|2|3|4|5|6|7|8|9|10|11|12|13|17|20|18|21|19|14|22|15|16,fast,0.153,0.153
5,e1282e18-4c17-4da9-92fc-d29dd5e8bec7,0|1|2|3|4|5|6|7|8|9|10|11|12|13|16|18|20|21|19|22|17|15|14,fast,0.156,0.156
6,fdd6614d-a331-463a-a95a-55bc7b712415,0|1|2|3|4|5|6|7|8|9|10|11|12|13|16|20|17|15|21|18|22|19|14,fast,0.156,0.156
7,f6c4cdfa-cd7a-4afd-9f3b-5c5a72824d9d,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|16|19|18|22|17|15|21|20,fast,0.154,0.154
8,7573970c-983c-4006-93e3-f6f782340012,0|1|2|3|4|5|6|7|8|9|10|11|12|13|18|21|17|15|22|19|20|14|16,fast,0.153,0.153
9,aa83b66b-9777-4a8e-af60-15d61767f035,0|1|2|3|4|5|6|7|8|9|10|11|12|13|17|16|14|20|21|19|18|22|15,fast,0.154,0.154
10,96a4ac18-5697-4bef-9bde-74ccbc116360,0|1|2|3|4|5|6|7|8|9|10|11|12|13|22|16|17|14|18|21|19|15|20,fast,0.153,0.153
11,696fd96a-b415-4a85-953a-3b67ae947e86,0|1|2|3|4|5|6|7|8|9|10|11|12|13|17|16|18|21|20|19|15|22|14,fast,0.153,0.153
12,58f31c0e-319e-40d8-ae9d-625562f23ddd,0|1|2|3|4|5|6|7|8|9|10|11|12|13|19|15|18|20|16|21|14|22|17,fast,0.154,0.154
13,c6655f57-c33b-4e93-bc64-7b07283f4257,0|1|2|3|4|5|6|7|8|9|10|11|12|13|18|15|14|20|19|21|16|17|22,fast,0.153,0.153
14,aa02efcc-40a0-4b55-a2eb-a0dc852fd190,0|1|2|3|4|5|6|7|8|9|10|11|12|13|18|20|22|16|15|17|19|14|21,fast,0.154,0.154
15,008e3607-6512-4e72-b0b4-d1626f86b04c,0|1|2|3|4|5|6|7|8|9|10|11|12|13|21|14|16|15|17|19|22|18|20,fast,0.155,0.155
16,ba9b2e38-7a98-4d46-bf86-bb032875873f,0|1|2|3|4|5|6|7|8|9|10|11|12|13|18|14|19|17|21|16|15|22|20,fast,0.154,0.154
17,fd35c897-eb1b-47b0-a1b2-69c9439c8f74,0|1|2|3|4|5|6|7|8|9|10|11|12|13|20|16|19|15|21|14|22|18|17,fast,0.158,0.158
18,0af9af25-99b2-4782-b422-14c200772070,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|19|21|22|15|18|20|16|17,fast,0.155,0.155
19,d75a259d-7d23-487e-9db6-dd92ac0a5dcc,0|1|2|3|4|5|6|7|8|9|10|11|12|13|16|19|20|17|21|15|22|18|14,fast,0.152,0.152
20,dd92e66f-6b41-4089-8f9b-6063ad137d3f,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|22|20|15|18|16|19|17|21,fast,0.153,0.153
21,6d3ddd13-035a-4d06-9f39-94fa7bd19630,0|1|2|3|4|5|6|7|8|9|10|11|12|13|20|16|17|14|15|18|19|21|22,fast,0.153,0.153
22,4647fefc-1bf3-40e3-a5a6-9e585810801b,0|1|2|3|4|5|6|7|8|9|10|11|12|13|21|19|15|17|20|16|14|18|22,fast,0.153,0.153
23,5b3186aa-ddff-4e0b-8fab-403166e1c4b1,0|1|2|3|4|5|6|7|8|9|10|11|12|13|21|16|22|15|19|14|20|17|18,fast,0.154,0.154
24,439ccbd7-4e50-4eb3-90d6-e72e55ed167c,0|1|2|3|4|5|6|7|8|9|10|11|12|13|15|20|18|14|22|16|21|17|19,fast,0.155,0.155
25,ce8cfd4e-d3a2-40db-82df-ee7af6cedf9e,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|22|21|17|16|19|20|18,fast,0.155,0.155
26,2cfdb279-b10b-44fd-9480-770da8ef3b86,0|1|2|3|4|5|6|7|8|9|10|11|12|13|18|22|21|20|16|14|17|15|19,fast,0.154,0.154
27,e401b698-2b24-4400-8197-638530214db4,0|1|2|3|4|5|6|7|8|9|10|11|12|13|22|18|21|14|16|15|20|17|19,fast,0.154,0.154
28,15d11083-9100-415f-85fd-387a55cb7042,0|1|2|3|4|5|6|7|8|9|10|11|12|13|22|20|18|17|19|16|14|15|21,fast,0.154,0.154
29,e8b524b6-d3b6-4f01-9624-43bc00cea06c,0|1|2|3|4|5|6|7|8|9|10|11|12|13|22|17|14|21|16|19|20|15|18,fast,0.153,0.153
30,acf896fe-6fe0-4546-bad0-92de7286694f,0|1|2|3|4|5|6|7|8|9|10|11|12|13|15|17|20|19|16|14|21|22|18,fast,0.152,0.152
31,7d43b686-04aa-421e-a294-25f242d26cfd,0|1|2|3|4|5|6|7|8|9|10|11|12|13|17|18|21|14|15|20|22|19|16,fast,0.153,0.153
32,df5b4065-77eb-41e8-93cb-e5f7cac04f79,0|1|2|3|4|5|6|7|8|9|10|11|12|13|19|15|18|17|21|14|20|16|22,fast,0.155,0.155
33,2c6b39d5-19d6-4c84-b963-bcc3df204663,0|1|2|3|4|5|6|7|8|9|10|11|12|13|18|22|21|16|19|15|17|14|20,fast,0.154,0.154
34,43dca16f-6afe-43da-857b-51f2b8e1a97c,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|18|22|21|15|20|19|17|16,fast,0.153,0.153
35,ddf3edf3-d919-418f-80e3-b90347be8f5b,0|1|2|3|4|5|6|7|8|9|10|11|12|13|16|21|18|14|17|20|15|19|22,fast,0.153,0.153
36,7d0db5bb-dfff-48db-9027-73b2ec17d50f,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|16|21|19|18|20|22|15|17,fast,0.155,0.155
37,83080df9-b1ca-4737-8b69-ae8e3b759ca8,0|1|2|3|4|5|6|7|8|9|10|11|12|13|17|20|19|14|16|21|22|18|15,fast,0.155,0.155
38,dc971fa1-6ead-425a-87e7-410ef6e5ec16,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|21|15|17|18|20|22|19|16,fast,0.153,0.153
39,f9c70d2c-c19a-474f-908a-f89834ad5aab,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|17|22|19|21|15|16|18|20,fast,0.153,0.153
40,01726996-87d4-4841-9b36-1b2bff9120a1,0|1|2|3|4|5|6|7|8|9|10|11|12|13|17|21|14|18|22|15|19|20|16,fast,0.153,0.153
41,e7f1255a-8151-4534-93b4-40b61111b90b,0|1|2|3|4|5|6|7|8|9|10|11|12|13|21|16|19|14|20|22|18|15|17,fast,0.153,0.153
42,8d8cfc7d-ce19-4a41-a01d-5e5cabcc828d,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|17|15|16|21|20|22|18|19,fast,0.153,0.153
43,56b84ce6-67a7-4c8f-a96d-197d1c0a1dbb,0|1|2|3|4|5|6|7|8|9|10|11|12|13|20|18|16|17|15|21|22|19|14,fast,0.153,0.153
44,35e2ac2f-5ef2-4bd8-a666-e028d5e8ddcf,0|1|2|3|4|5|6|7|8|9|10|11|12|13|20|21|18|14|16|19|22|15|17,fast,0.154,0.154
45,5905f60e-6ea6-4bb7-ae6f-761eb18a5124,0|1|2|3|4|5|6|7|8|9|10|11|12|13|16|17|19|22|14|20|21|18|15,fast,0.155,0.155
46,020f6155-b948-439b-8ac1-ae7fed2ad7d5,0|1|2|3|4|5|6|7|8|9|10|11|12|13|17|16|21|15|19|20|22|14|18,fast,0.154,0.154
47,ff4a9330-e67d-46a7-8d33-a9d333efb1b2,0|1|2|3|4|5|6|7|8|9|10|11|12|13|19|16|14|20|15|21|22|18|17,fast,0.154,0.154
48,e843317f-c134-46bf-96a4-f43bd7a7d74e,0|1|2|3|4|5|6|7|8|9|10|11|12|13|16|19|14|22|18|17|15|21|20,fast,0.155,0.155
49,c5897dd2-de97-46ff-a0ac-951a6e4a8fc1,0|1|2|3|4|5|6|7|8|9|10|11|12|13|18|15|16|19|21|20|14|17|22,fast,0.154,0.154
50,03aa6b35-390c-487b-882d-32e891d75cd5,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|22|19|17|20|18|21,fast,0.155,0.155
51,d03c3233-5f2e-42f7-a506-118f913a061c,0|1|2|3|4|5|6|7|8|9|10|11|12|13|16|15|20|14|21|18|19|17|22,fast,0.155,0.155
52,9a3bbc24-4144-4465-b2ae-4c5f97f18d7b,0|1|2|3|4|5|6|7|8|9|10|11|12|13|22|18|15|14|21|19|20|16|17,fast,0.153,0.153
53,245a3443-0305-4a82-83b0-d1575a00248e,0|1|2|3|4|5|6|7|8|9|10|11|12|13|22|20|21|16|18|14|19|17|15,fast,0.152,0.152
54,37f3e246-6071-434b-b830-f80270e7bf90,0|1|2|3|4|5|6|7|8|9|10|11|12|13|20|17|21|15|16|14|19|22|18,fast,0.154,0.154
55,dfd51dea-675b-49e0-9f4d-da81035150fd,0|1|2|3|4|5|6|7|8|9|10|11|12|13|20|22|16|21|19|18|17|14|15,fast,0.153,0.153
56,1a1e37f1-a6c3-40c4-85f7-75f61ed0dc2a,0|1|2|3|4|5|6|7|8|9|10|11|12|13|21|16|17|15|19|22|20|14|18,fast,0.153,0.153
57,8ed11c66-4aaa-4ce6-8ad4-f72e83c17a90,0|1|2|3|4|5|6|7|8|9|10|11|12|13|21|22|16|19|17|20|14|15|18,fast,0.154,0.154
58,4b834a3f-e8b1-41d6-84bd-76e53ca0889d,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|22|20|18|21|19|16|17,fast,0.153,0.153
59,788f1398-a5fa-4b9f-8984-fd291703a761,0|1|2|3|4|5|6|7|8|9|10|11|12|13|16|14|19|22|18|15|20|21|17,fast,0.153,0.153
60,b43b3274-6a94-4a21-8d4f-910bb871d7e1,0|1|2|3|4|5|6|7|8|9|10|11|12|13|22|17|19|16|15|18|21|14|20,fast,0.154,0.154
61,ee02e8ae-3838-40d4-97a8-3c8fd8dc12a6,0|1|2|3|4|5|6|7|8|9|10|11|12|13|21|14|15|16|18|17|22|19|20,fast,0.154,0.154
62,1cb0b189-a537-4244-8912-aafc79bd7cea,0|1|2|3|4|5|6|7|8|9|10|11|12|13|15|20|16|17|18|19|21|22|14,fast,0.154,0.154
63,51014e93-93c1-4401-848b-076d9bdf925b,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|22|19|18|16|20|21|17|15,fast,0.154,0.154
64,8699e942-1dff-4470-96d5-c933cd03259d,0|1|2|3|4|5|6|7|8|9|10|11|12|13|18|17|15|19|20|16|21|22|14,fast,0.153,0.153
65,0c33fa80-3541-4773-b104-76d200905bc2,0|1|2|3|4|5|6|7|8|9|10|11|12|13|18|14|21|15|20|16|17|19|22,fast,0.153,0.153
66,5928d49e-831a-412a-8b6f-3fd1f43cb023,0|1|2|3|4|5|6|7|8|9|10|11|12|13|22|19|14|21|17|16|20|18|15,fast,0.154,0.154
67,ccad2ca4-7775-431f-b5f9-ba60758aae61,0|1|2|3|4|5|6|7|8|9|10|11|12|13|15|20|14|22|19|18|16|21|17,fast,0.153,0.153
68,e7b322b0-45d6-4fcc-939f-3f569996176f,0|1|2|3|4|5|6|7|8|9|10|11|12|13|22|21|17|16|18|20|19|14|15,fast,0.154,0.154
69,fcc6c480-32f4-4249-a17b-059e2f9832b3,0|1|2|3|4|5|6|7|8|9|10|11|12|13|17|19|18|14|15|22|21|20|16,fast,0.153,0.153
70,ebad2c10-b2f7-4510-b7a7-813918906360,0|1|2|3|4|5|6|7|8|9|10|11|12|13|22|14|17|20|16|15|19|18|21,fast,0.154,0.154
71,f2a719cf-717c-47ba-b9fd-13eb0166322c,0|1|2|3|4|5|6|7|8|9|10|11|12|13|17|20|21|18|14|16|15|19|22,fast,0.154,0.154
72,848d02f9-ee26-41c8-885b-653bd14e5885,0|1|2|3|4|5|6|7|8|9|10|11|12|13|17|14|18|15|22|21|20|19|16,fast,0.154,0.154
73,b899f504-8c64-4a23-ba11-66422ee93f90,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|21|18|20|16|19|15|22|17,fast,0.157,0.157
74,3525d16f-329d-49ec-b3ae-a8485f314d8c,0|1|2|3|4|5|6|7|8|9|10|11|12|13|21|19|17|16|22|18|14|20|15,fast,0.156,0.156
75,c5553d4e-3f46-4e1c-a5c5-3fdabf563f55,0|1|2|3|4|5|6|7|8|9|10|11|12|13|16|21|19|22|18|14|20|17|15,fast,0.159,0.159
76,11bbc66b-09be-4187-851b-31aed82f9915,0|1|2|3|4|5|6|7|8|9|10|11|12|13|15|21|17|16|18|19|20|14|22,fast,0.158,0.158
77,fca8b8f8-a696-4041-bbad-ad2d24f81454,0|1|2|3|4|5|6|7|8|9|10|11|12|13|21|19|14|18|20|15|22|16|17,fast,0.156,0.156
78,2e54bea1-ad43-430f-98ff-e9f435604bc3,0|1|2|3|4|5|6|7|8|9|10|11|12|13|17|18|21|19|22|14|20|16|15,fast,0.157,0.157
79,23712b91-3cb3-42ce-be69-42ecaf326dbb,0|1|2|3|4|5|6|7|8|9|10|11|12|13|16|14|22|21|20|18|19|15|17,fast,0.155,0.155
80,0ac6080e-b0c4-477c-a35b-77330a8d7cbd,0|1|2|3|4|5|6|7|8|9|10|11|12|13|19|16|22|21|20|15|18|14|17,fast,0.154,0.154
81,df60e15c-b5ca-4fcd-97cd-7b1d16674d23,0|1|2|3|4|5|6|7|8|9|10|11|12|13|16|18|22|17|21|20|19|14|15,fast,0.154,0.154
82,f25a71eb-999d-4cf9-9c09-e9547556b3d2,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|19|20|22|18|17|21|16|15,fast,0.154,0.154
83,4dd9e45c-e148-4000-b4c2-a2de8647b5ad,0|1|2|3|4|5|6|7|8|9|10|11|12|13|18|20|21|19|17|15|16|22|14,fast,0.153,0.153
