,ID,Phase,Mode,Runtime,Elapsed_Time
0,1997a08c-b646-4951-921a-1465a30b9f3c,0|1|2|3|4|5|6|7|8|9|10|11|12|13|20|17|14|16|18|15|22|23|21|19,fast,0.112,0.112
1,b724e2ce-aee7-4902-9167-75771d8942b3,0|1|2|3|4|5|6|7|8|9|10|11|12|13|17|14|16|22|15|20|23|18|19|21,fast,0.112,0.112
2,61ade4ff-5569-4a43-a011-8c3f40884212,0|1|2|3|4|5|6|7|8|9|10|11|12|13|15|23|19|22|16|14|17|18|20|21,fast,0.112,0.112
3,1d940257-90cc-4766-a51a-76a4babbf984,0|1|2|3|4|5|6|7|8|9|10|11|12|13|23|19|21|15|22|17|14|20|18|16,fast,0.113,0.113
4,a49a0822-1288-4709-8ba1-7ed38c49a320,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|21|19|15|17|18|16|22|20|23,fast,0.112,0.112
5,b62f3add-442e-42dc-a7fc-320108a88812,0|1|2|3|4|5|6|7|8|9|10|11|12|13|20|16|23|18|22|19|14|21|17|15,fast,0.113,0.113
6,68ca1a13-b212-46cf-b01b-875f005cdb74,0|1|2|3|4|5|6|7|8|9|10|11|12|13|23|16|17|15|19|22|18|20|21|14,fast,0.113,0.113
7,0c87d6e8-46be-462d-860b-362b5ec19fdd,0|1|2|3|4|5|6|7|8|9|10|11|12|13|21|20|15|22|23|16|17|19|18|14,fast,0.113,0.113
8,77ed9297-861e-412f-9440-be2a1da956a9,0|1|2|3|4|5|6|7|8|9|10|11|12|13|19|15|22|23|16|14|17|20|18|21,fast,0.112,0.112
9,dab7e071-f0e3-4428-82a8-c5433c5e9c0d,0|1|2|3|4|5|6|7|8|9|10|11|12|13|23|22|21|19|16|15|14|17|20|18,fast,0.112,0.112
10,6f985a03-5581-4601-9d9e-d8c61dabc623,0|1|2|3|4|5|6|7|8|9|10|11|12|13|17|20|22|14|18|16|23|15|21|19,fast,0.113,0.113
11,f3796efc-fcc1-4076-affe-7ab28dcb35a6,0|1|2|3|4|5|6|7|8|9|10|11|12|13|21|15|18|17|20|14|23|19|16|22,fast,0.113,0.113
12,4372647f-d366-4270-8200-80158c9c11dc,0|1|2|3|4|5|6|7|8|9|10|11|12|13|23|16|21|15|22|20|14|19|17|18,fast,0.112,0.112
13,926bc7b6-5ace-4f40-b5fd-d10859600e5c,0|1|2|3|4|5|6|7|8|9|10|11|12|13|15|22|21|16|17|14|20|19|23|18,fast,0.113,0.113
14,9e27ebe4-d397-4e7d-91fb-082ea4b8db7f,0|1|2|3|4|5|6|7|8|9|10|11|12|13|21|22|14|18|19|17|16|23|15|20,fast,0.112,0.112
15,9cfb161c-8f71-4c68-b7fa-8bc2079d87fc,0|1|2|3|4|5|6|7|8|9|10|11|12|13|22|20|15|16|14|23|21|17|18|19,fast,0.113,0.113
16,7b29f7b6-1229-4771-92ed-a9069aed24ec,0|1|2|3|4|5|6|7|8|9|10|11|12|13|21|20|18|23|19|22|15|14|16|17,fast,0.112,0.112
