,ID,Mode,Flags,Runtime,Iteration,Best
0,-O0,fast,-O0,0.342,0,False
1,-O2,fast,-O2,0.342,0,False
2,7ac46947-988e-4154-b9dc-67c8e5593a62,fast,"['-O0', '-fvectorisation-avoidance', '-floopification', '-fomit-yields', '-fno-state-hack', '-fcmm-sink', '-funfolding-keeness-factor=1.5', '-fmax-worker-args=10', '-fcall-arity', '-fignore-asserts', '-fmax-simplifier-iterations=4', '-fcpr-anal', '-fmax-inline-memcpy-insns=32', '-fstatic-argument-transformation', '-ffloat-in', '-funfolding-use-threshold=60', '-fexpose-all-unfoldings', '-fliberate-case', '-fsimplifier-phases=2', '-feager-blackholing', '-fcase-merge', '-fspec-constr-count=3', '-funbox-strict-fields', '-fworker-wrapper', '-fpedantic-bottoms', '-fno-opt-coercion', '-fcmm-elim-common-blocks', '-fvectorise', '-fcross-module-specialise', '-fcse', '-ffun-to-thunk', '-fspec-constr', '-fregs-iterative', '-fdicts-cheap', '-funfolding-dict-discount=30', '-fregs-graph', '-fmax-inline-memset-insns=32', '-funbox-small-strict-fields', '-fsimpl-tick-factor=100', '-flate-dmd-anal', '-fspecialise', '-fmax-inline-alloc-size=128', '-fdicts-strict', '-fenable-rewrite-rules']",0.351,0,False
3,a4cdfdeb-6f46-43ad-af27-500accbdfc5b,fast,"['-O0', '-foptimal-applicative-do', '-fmax-relevant-binds=6', '-fenable-rewrite-rules', '-fsimplifier-phases=2', '-fsimpl-tick-factor=100', '-fdo-lambda-eta-expansion', '-fignore-interface-pragmas', '-floopification', '-fno-opt-coercion', '-ffull-laziness', '-fdmd-tx-dict-sel', '-fstatic-argument-transformation', '-fcmm-elim-common-blocks', '-fexcess-precision', '-fno-state-hack', '-fvectorisation-avoidance', '-fliberate-case-threshold=2000', '-fomit-interface-pragmas', '-fstrictness-before=1', '-funfolding-keeness-factor=1.5', '-fmax-inline-alloc-size=128', '-fcross-module-specialise', '-funfolding-dict-discount=30', '-fmax-inline-memcpy-insns=32', '-flate-dmd-anal', '-fdo-eta-reduction', '-funbox-small-strict-fields', '-fworker-wrapper', '-fpedantic-bottoms', '-funfolding-use-threshold=60', '-fvectorise', '-funbox-strict-fields', '-fcall-arity', '-fmax-worker-args=10', '-ffun-to-thunk', '-fspecialise', '-fdicts-cheap', '-fcse', '-fdicts-strict', '-fno-pre-inlining']",0.359,0,False
4,1d84519d-f8a2-45ab-b415-c26431350cf8,fast,"['-O0', '-floopification', '-fomit-yields', '-fvectorise', '-fmax-relevant-binds=6', '-fspecialise', '-fdo-eta-reduction', '-ffloat-in', '-fenable-rewrite-rules', '-funbox-small-strict-fields', '-fliberate-case-threshold=2000', '-fpedantic-bottoms']",0.353,0,False
5,0baba97d-d262-4b9e-801b-d48c7a63c88d,fast,"['-O0', '-fignore-interface-pragmas', '-fcross-module-specialise', '-fvectorise', '-fno-opt-coercion', '-fignore-asserts', '-fdo-eta-reduction', '-fexpose-all-unfoldings', '-floopification', '-fspec-constr-threshold=2000', '-fpedantic-bottoms', '-fomit-yields', '-funfolding-dict-discount=30', '-funfolding-creation-threshold=750', '-funfolding-keeness-factor=1.5', '-fdicts-cheap', '-funbox-strict-fields', '-fmax-simplifier-iterations=4', '-fregs-graph', '-fspec-constr', '-ffloat-in', '-feager-blackholing']",0.345,0,False
6,2b04e77d-fd91-4871-9c0c-2c201efa4b82,fast,"['-O0', '-fcpr-anal', '-fcmm-sink', '-fdicts-cheap', '-foptimal-applicative-do', '-floopification', '-fcmm-elim-common-blocks', '-fliberate-case-threshold=2000', '-fexcess-precision', '-fmax-worker-args=10', '-fdmd-tx-dict-sel', '-fspec-constr-threshold=2000', '-funfolding-fun-discount=60', '-fworker-wrapper', '-fcall-arity', '-flate-dmd-anal', '-fmax-simplifier-iterations=4', '-fdo-eta-reduction', '-funfolding-keeness-factor=1.5', '-ffloat-in', '-fregs-iterative', '-fmax-inline-alloc-size=128', '-fomit-yields', '-ffun-to-thunk', '-ffull-laziness', '-fstatic-argument-transformation', '-fliberate-case', '-fdo-lambda-eta-expansion', '-fomit-interface-pragmas', '-fspec-constr-count=3']",0.341,0,False
7,b669275d-7176-4d4d-ab96-842044166bc4,fast,"['-O0', '-fvectorisation-avoidance', '-funfolding-keeness-factor=1.5', '-fdo-lambda-eta-expansion', '-fstrictness-before=1', '-fno-pre-inlining', '-fenable-rewrite-rules', '-fexcess-precision', '-ffull-laziness', '-fmax-relevant-binds=6', '-fdicts-cheap', '-fdicts-strict', '-fvectorise', '-fliberate-case-threshold=2000', '-fspec-constr-count=3', '-fsimpl-tick-factor=100', '-funfolding-use-threshold=60', '-fomit-yields', '-fliberate-case', '-fstrictness', '-fcmm-elim-common-blocks', '-ffloat-in', '-fdmd-tx-dict-sel', '-fmax-inline-memcpy-insns=32', '-fno-state-hack', '-fmax-inline-alloc-size=128', '-feager-blackholing', '-fmax-inline-memset-insns=32', '-fcase-merge', '-fdo-eta-reduction', '-fstatic-argument-transformation', '-floopification']",0.341,0,False
8,8b8d89ed-c5a4-420d-9f3b-a7f8ee165f8e,fast,"['-O0', '-ffull-laziness', '-funbox-small-strict-fields', '-fregs-graph', '-floopification', '-fstatic-argument-transformation', '-fworker-wrapper', '-fcross-module-specialise', '-fdicts-cheap', '-fvectorise', '-fcmm-sink', '-funfolding-use-threshold=60', '-fmax-relevant-binds=6']",0.35,0,False
9,f81e2a32-2321-4346-9082-1ab798bba444,fast,"['-O0', '-fcross-module-specialise', '-fdo-eta-reduction', '-funbox-strict-fields', '-fmax-inline-alloc-size=128', '-fno-pre-inlining', '-fvectorisation-avoidance', '-fpedantic-bottoms', '-foptimal-applicative-do', '-fmax-worker-args=10', '-fvectorise', '-fno-opt-coercion', '-funfolding-creation-threshold=750', '-fmax-inline-memcpy-insns=32', '-fdo-lambda-eta-expansion', '-funfolding-use-threshold=60', '-fomit-yields', '-funfolding-keeness-factor=1.5', '-fworker-wrapper', '-fdmd-tx-dict-sel', '-fmax-inline-memset-insns=32', '-funfolding-fun-discount=60', '-fcmm-elim-common-blocks', '-fenable-rewrite-rules', '-fspec-constr-threshold=2000', '-fno-state-hack', '-fspecialise', '-fstrictness-before=1', '-fliberate-case-threshold=2000', '-fcmm-sink', '-fexcess-precision', '-fignore-asserts', '-ffloat-in', '-fregs-iterative', '-fsimpl-tick-factor=100', '-fregs-graph', '-fsimplifier-phases=2', '-fcall-arity', '-ffun-to-thunk', '-fspec-constr', '-fstatic-argument-transformation', '-funbox-small-strict-fields', '-fcse', '-fspec-constr-count=3', '-fdicts-strict', '-fomit-interface-pragmas', '-fignore-interface-pragmas', '-fmax-relevant-binds=6']",0.344,0,False
10,66e0a03b-df92-440d-82f7-73b6da990bb7,fast,"['-O0', '-fvectorisation-avoidance', '-fliberate-case', '-fpedantic-bottoms', '-fomit-interface-pragmas', '-fmax-relevant-binds=6', '-fstrictness', '-fexcess-precision', '-feager-blackholing', '-fspecialise', '-ffun-to-thunk', '-fmax-inline-memset-insns=32', '-ffull-laziness', '-fspec-constr-count=3', '-fcmm-elim-common-blocks', '-fno-opt-coercion', '-flate-dmd-anal', '-fstatic-argument-transformation', '-fstrictness-before=1', '-fcross-module-specialise', '-foptimal-applicative-do', '-funfolding-use-threshold=60', '-fsimplifier-phases=2', '-funbox-strict-fields', '-floopification', '-fmax-simplifier-iterations=4', '-fcmm-sink', '-fdo-eta-reduction', '-fexpose-all-unfoldings', '-fignore-interface-pragmas', '-fvectorise', '-fcse', '-fmax-worker-args=10', '-funfolding-dict-discount=30']",0.341,0,False
11,fffc6c2d-1acf-40a9-94df-09f3b2fa876e,fast,"['-O0', '-feager-blackholing', '-fmax-simplifier-iterations=4', '-fcmm-elim-common-blocks', '-fno-opt-coercion', '-funfolding-dict-discount=30', '-fdo-eta-reduction', '-fdmd-tx-dict-sel', '-fstrictness', '-fomit-interface-pragmas', '-fspec-constr-count=3', '-fpedantic-bottoms', '-fmax-inline-alloc-size=128', '-funbox-strict-fields', '-fno-state-hack', '-foptimal-applicative-do', '-fdicts-cheap', '-fignore-asserts', '-ffull-laziness', '-fsimplifier-phases=2', '-fcpr-anal', '-ffloat-in', '-fdo-lambda-eta-expansion', '-fliberate-case', '-fstrictness-before=1', '-fmax-inline-memset-insns=32', '-fcross-module-specialise', '-fstatic-argument-transformation', '-fmax-inline-memcpy-insns=32', '-fworker-wrapper', '-funfolding-creation-threshold=750', '-fcmm-sink', '-fregs-graph', '-fcase-merge', '-fvectorisation-avoidance', '-funfolding-use-threshold=60', '-fvectorise', '-fspec-constr-threshold=2000', '-fregs-iterative', '-fexcess-precision', '-flate-dmd-anal', '-fexpose-all-unfoldings', '-fdicts-strict', '-ffun-to-thunk']",0.344,0,False
12,1350ce0f-e988-4e5f-9478-e31c012e74ba,fast,"['-O0', '-feager-blackholing', '-fmax-relevant-binds=6', '-foptimal-applicative-do', '-fcpr-anal', '-funfolding-use-threshold=60', '-fno-state-hack', '-fignore-interface-pragmas', '-fspec-constr-threshold=2000', '-ffloat-in', '-ffull-laziness', '-fcse', '-fdicts-cheap', '-fspec-constr', '-fcase-merge', '-fdo-lambda-eta-expansion', '-fenable-rewrite-rules', '-funfolding-keeness-factor=1.5', '-fmax-inline-memcpy-insns=32', '-fno-pre-inlining']",0.343,0,False
13,fb46f506-0de6-4aa5-a6e8-064d9e24c292,fast,"['-O0', '-fexpose-all-unfoldings', '-fspec-constr-count=3', '-fspec-constr-threshold=2000', '-flate-dmd-anal', '-ffull-laziness', '-funfolding-creation-threshold=750', '-fcse', '-ffun-to-thunk', '-fomit-interface-pragmas', '-fcross-module-specialise', '-foptimal-applicative-do', '-fstatic-argument-transformation', '-fliberate-case-threshold=2000', '-ffloat-in', '-feager-blackholing', '-fcmm-sink', '-fcpr-anal', '-floopification']",0.352,0,False
14,346887a1-2341-4e02-b637-a045d6dc00b4,fast,"['-O0', '-ffull-laziness', '-fignore-asserts', '-fno-pre-inlining', '-flate-dmd-anal', '-fmax-inline-memcpy-insns=32', '-fspec-constr-threshold=2000', '-fcse', '-fignore-interface-pragmas', '-fsimpl-tick-factor=100', '-fcmm-sink', '-fstrictness', '-fdo-eta-reduction']",0.342,0,False
15,5dee75cb-1bc6-4334-ac7a-035754c60793,fast,"['-O0', '-fliberate-case', '-fworker-wrapper', '-fdo-lambda-eta-expansion', '-fdicts-cheap', '-ffull-laziness', '-fexcess-precision', '-fsimplifier-phases=2', '-fliberate-case-threshold=2000', '-fcmm-sink', '-fspecialise', '-fvectorisation-avoidance', '-fspec-constr-threshold=2000', '-fspec-constr', '-fvectorise', '-fregs-iterative', '-fstrictness-before=1', '-fstrictness', '-fdicts-strict', '-funfolding-dict-discount=30', '-fdmd-tx-dict-sel', '-fomit-yields', '-funbox-strict-fields', '-funfolding-creation-threshold=750', '-fspec-constr-count=3', '-fmax-inline-memcpy-insns=32', '-fignore-interface-pragmas', '-ffun-to-thunk', '-fmax-inline-memset-insns=32', '-fignore-asserts', '-fenable-rewrite-rules', '-fmax-inline-alloc-size=128', '-fexpose-all-unfoldings', '-fno-pre-inlining', '-funfolding-keeness-factor=1.5', '-feager-blackholing', '-floopification', '-flate-dmd-anal', '-fstatic-argument-transformation', '-fmax-relevant-binds=6', '-fcse', '-fmax-worker-args=10', '-fcpr-anal', '-ffloat-in', '-fno-state-hack', '-fsimpl-tick-factor=100', '-fmax-simplifier-iterations=4', '-fcall-arity', '-funbox-small-strict-fields', '-fomit-interface-pragmas', '-fcase-merge', '-fdo-eta-reduction', '-funfolding-use-threshold=60', '-fcmm-elim-common-blocks']",0.346,0,False
16,ef2fd6e3-b829-4b37-a3e6-379e62f21547,fast,"['-O0', '-fcross-module-specialise', '-fmax-relevant-binds=6', '-fmax-simplifier-iterations=4']",0.349,0,False
17,40c44cbd-9a4d-4770-a6af-9e5f468fa001,fast,"['-O0', '-fcross-module-specialise', '-ffull-laziness', '-funbox-small-strict-fields', '-fstrictness-before=1', '-fexpose-all-unfoldings', '-fliberate-case', '-fcall-arity', '-fregs-graph', '-funfolding-use-threshold=60', '-fmax-inline-memset-insns=32', '-fspec-constr', '-fliberate-case-threshold=2000', '-fenable-rewrite-rules', '-fcse', '-fignore-interface-pragmas', '-foptimal-applicative-do', '-fregs-iterative', '-funbox-strict-fields', '-fno-state-hack', '-fmax-inline-memcpy-insns=32', '-fomit-interface-pragmas', '-flate-dmd-anal', '-fomit-yields', '-fdicts-strict', '-fspec-constr-count=3', '-fworker-wrapper', '-fignore-asserts', '-fspec-constr-threshold=2000', '-fcase-merge', '-fmax-worker-args=10', '-fvectorise', '-fcmm-elim-common-blocks', '-ffloat-in', '-fno-opt-coercion', '-fmax-simplifier-iterations=4', '-funfolding-keeness-factor=1.5']",0.348,0,False
