,ID,Flags,Mode,Runtime,Elapsed_Time
0,-O0,['-O0'],fast,0.44,0.44
1,-O2,['-O2'],fast,0.439,0.439
2,1c19d85f-f298-41c9-abf0-beb6c1715b32,"['-O0' '-ffun-to-thunk' '-feager-blackholing'
 '-funfolding-dict-discount=30' '-fdicts-cheap' '-fspec-constr'
 '-funbox-small-strict-fields' '-fdicts-cheap' '-fcmm-elim-common-blocks'
 '-fspec-constr' '-fliberate-case-threshold=2000' '-fno-opt-coercion'
 '-fcall-arity' '-ffun-to-thunk' '-fno-state-hack' '-ffun-to-thunk'
 '-flate-dmd-anal' '-fdicts-cheap' '-fvectorise' '-ffull-laziness'
 '-fcpr-anal' '-fspec-constr-threshold=2000' '-funbox-small-strict-fields'
 '-fmax-inline-memcpy-insns=32' '-fspecialise' '-fspec-constr'
 '-ffloat-in' '-fvectorise' '-fexcess-precision' '-fpedantic-bottoms'
 '-fignore-interface-pragmas' '-fcase-merge' '-fspecialise'
 '-fspec-constr' '-feager-blackholing' '-fspec-constr-count=3'
 '-fno-pre-inlining' '-fworker-wrapper' '-fenable-rewrite-rules'
 '-fpedantic-bottoms' '-fspec-constr-count=3' '-fregs-iterative'
 '-fpedantic-bottoms' '-fstrictness' '-fmax-inline-memcpy-insns=32'
 '-fdicts-cheap' '-fexcess-precision' '-fdo-lambda-eta-expansion'
 '-funbox-strict-fields' '-fcall-arity' '-fregs-iterative'
 '-fmax-worker-args=10' '-fomit-yields' '-fworker-wrapper'
 '-funfolding-use-threshold=60' '-ffloat-in' '-fexcess-precision'
 '-funfolding-creation-threshold=750']",fast,0.439,0.439
3,5d324fb6-3250-472b-9c4f-884c8ee2449d,"['-O0' '-flate-dmd-anal' '-fsimpl-tick-factor=100' '-fignore-asserts'
 '-fcmm-elim-common-blocks' '-funbox-small-strict-fields'
 '-funfolding-use-threshold=60' '-ffun-to-thunk' '-fdicts-strict'
 '-fspec-constr-count=3' '-fdicts-cheap' '-fliberate-case-threshold=2000'
 '-fno-pre-inlining' '-fspec-constr-count=3' '-funfolding-fun-discount=60'
 '-fmax-relevant-binds=6' '-feager-blackholing' '-fmax-relevant-binds=6'
 '-funbox-small-strict-fields' '-fexcess-precision' '-fcpr-anal'
 '-fexpose-all-unfoldings' '-fspecialise' '-fcall-arity'
 '-fdo-eta-reduction' '-fomit-yields' '-funfolding-use-threshold=60'
 '-fmax-relevant-binds=6' '-fliberate-case-threshold=2000' '-fvectorise'
 '-fcall-arity' '-fomit-yields' '-fpedantic-bottoms'
 '-funfolding-dict-discount=30' '-feager-blackholing'
 '-funfolding-fun-discount=60' '-fdicts-cheap' '-fdo-eta-reduction'
 '-fmax-inline-memcpy-insns=32' '-fstrictness' '-fenable-rewrite-rules'
 '-fstatic-argument-transformation' '-fdo-eta-reduction'
 '-fspec-constr-threshold=2000' '-fsimpl-tick-factor=100'
 '-fsimpl-tick-factor=100' '-fmax-inline-memcpy-insns=32' '-fcase-merge'
 '-fcall-arity' '-fcross-module-specialise' '-funfolding-use-threshold=60'
 '-fcross-module-specialise' '-fcpr-anal' '-fmax-worker-args=10'
 '-fvectorise' '-feager-blackholing' '-fregs-graph'
 '-fmax-inline-memset-insns=32']",fast,0.443,0.443
4,dcaeeab0-2e91-413a-bc67-64be599a5195,"['-O0' '-fstrictness-before=1' '-floopification' '-fdicts-strict'
 '-funfolding-fun-discount=60' '-funfolding-keeness-factor=1.5'
 '-fenable-rewrite-rules' '-flate-dmd-anal' '-fcmm-elim-common-blocks'
 '-fcmm-sink' '-fdo-lambda-eta-expansion' '-fdmd-tx-dict-sel'
 '-funfolding-dict-discount=30' '-fliberate-case' '-fdo-eta-reduction'
 '-fvectorise' '-fcase-merge' '-fspecialise' '-fexpose-all-unfoldings'
 '-foptimal-applicative-do' '-fomit-yields' '-fregs-graph'
 '-fno-pre-inlining' '-funfolding-fun-discount=60'
 '-fdo-lambda-eta-expansion' '-fcross-module-specialise'
 '-fstatic-argument-transformation' '-ffloat-in' '-flate-dmd-anal'
 '-fignore-interface-pragmas' '-fcse' '-fmax-relevant-binds=6' '-fcse'
 '-fdo-eta-reduction' '-fstrictness-before=1' '-fvectorise'
 '-fdmd-tx-dict-sel' '-funfolding-dict-discount=30'
 '-fstatic-argument-transformation' '-fliberate-case'
 '-fenable-rewrite-rules' '-funfolding-use-threshold=60'
 '-fmax-relevant-binds=6' '-funfolding-use-threshold=60' '-flate-dmd-anal'
 '-fno-opt-coercion' '-funfolding-dict-discount=30'
 '-fmax-inline-memset-insns=32' '-fstrictness'
 '-fliberate-case-threshold=2000' '-fdo-eta-reduction'
 '-fsimpl-tick-factor=100' '-fignore-interface-pragmas' '-fstrictness'
 '-fmax-worker-args=10' '-fmax-inline-alloc-size=128'
 '-funfolding-keeness-factor=1.5' '-fcross-module-specialise']",fast,0.439,0.439
5,c06ea227-e1cf-47b8-898a-392eeb51f4fd,"['-O0' '-fenable-rewrite-rules' '-fspec-constr'
 '-fmax-inline-alloc-size=128' '-fcmm-sink' '-fregs-iterative'
 '-fdo-eta-reduction' '-fcross-module-specialise' '-ffun-to-thunk'
 '-fignore-interface-pragmas' '-fcmm-sink' '-fomit-yields' '-fspecialise'
 '-funbox-strict-fields' '-fomit-yields' '-fspec-constr' '-fdicts-cheap'
 '-fmax-relevant-binds=6' '-fspecialise' '-feager-blackholing'
 '-fignore-asserts' '-fstrictness' '-fno-state-hack'
 '-funfolding-use-threshold=60' '-fspec-constr-threshold=2000'
 '-fenable-rewrite-rules' '-fdo-eta-reduction' '-fvectorisation-avoidance'
 '-fstrictness' '-fliberate-case-threshold=2000' '-fdmd-tx-dict-sel'
 '-fcmm-elim-common-blocks' '-fdmd-tx-dict-sel'
 '-funbox-small-strict-fields' '-fworker-wrapper' '-fstrictness-before=1'
 '-fregs-iterative' '-fvectorise' '-funfolding-fun-discount=60'
 '-fpedantic-bottoms' '-fworker-wrapper' '-fmax-inline-alloc-size=128'
 '-fspecialise' '-feager-blackholing' '-fomit-interface-pragmas'
 '-fdo-eta-reduction' '-fignore-asserts'
 '-fstatic-argument-transformation' '-fworker-wrapper'
 '-fmax-worker-args=10' '-fcase-merge' '-ffun-to-thunk'
 '-fspec-constr-threshold=2000' '-fignore-interface-pragmas'
 '-fdo-eta-reduction' '-fcse' '-fcase-merge' '-fvectorise']",fast,0.44,0.44
6,79222f2a-6431-4364-95b7-64fb8f058ec1,"['-O0' '-fdicts-cheap' '-funbox-small-strict-fields'
 '-fliberate-case-threshold=2000' '-fcall-arity'
 '-fstatic-argument-transformation' '-funfolding-creation-threshold=750'
 '-fvectorisation-avoidance' '-fstatic-argument-transformation'
 '-fpedantic-bottoms' '-fmax-inline-memset-insns=32' '-fcmm-sink'
 '-funfolding-use-threshold=60' '-fomit-interface-pragmas'
 '-feager-blackholing' '-ffull-laziness' '-fexpose-all-unfoldings'
 '-fsimplifier-phases=2' '-fstrictness' '-fmax-inline-memcpy-insns=32'
 '-fmax-inline-memcpy-insns=32' '-flate-dmd-anal' '-fno-pre-inlining'
 '-fpedantic-bottoms' '-fcmm-elim-common-blocks'
 '-fmax-inline-alloc-size=128' '-foptimal-applicative-do'
 '-floopification' '-fregs-graph' '-fcpr-anal' '-fomit-interface-pragmas'
 '-fomit-yields' '-fmax-relevant-binds=6' '-fexcess-precision'
 '-fmax-worker-args=10' '-fcase-merge' '-fvectorisation-avoidance'
 '-fvectorise' '-fdo-eta-reduction' '-fno-state-hack'
 '-fenable-rewrite-rules' '-flate-dmd-anal' '-fregs-iterative'
 '-funfolding-fun-discount=60' '-fvectorisation-avoidance' '-fcpr-anal'
 '-fomit-interface-pragmas' '-ffull-laziness' '-fpedantic-bottoms'
 '-fsimpl-tick-factor=100' '-fno-opt-coercion' '-fsimpl-tick-factor=100'
 '-fomit-yields' '-funfolding-fun-discount=60' '-fcase-merge'
 '-fomit-interface-pragmas' '-ffloat-in' '-feager-blackholing']",fast,0.441,0.441
7,3b51bd8a-9165-4d64-a399-a96ae153a1d4,"['-O0' '-feager-blackholing' '-fdo-eta-reduction' '-fvectorise'
 '-fmax-inline-alloc-size=128' '-fstrictness-before=1'
 '-fmax-worker-args=10' '-fno-pre-inlining' '-fomit-yields'
 '-funfolding-fun-discount=60' '-fvectorisation-avoidance'
 '-funfolding-fun-discount=60' '-fworker-wrapper'
 '-fignore-interface-pragmas' '-fmax-inline-memset-insns=32'
 '-fno-state-hack' '-fmax-simplifier-iterations=4' '-fpedantic-bottoms'
 '-fregs-iterative' '-fignore-interface-pragmas' '-fstrictness'
 '-fstrictness-before=1' '-fomit-interface-pragmas'
 '-fsimpl-tick-factor=100' '-fdicts-cheap' '-fmax-simplifier-iterations=4'
 '-ffun-to-thunk' '-fno-state-hack' '-fcall-arity'
 '-funfolding-keeness-factor=1.5' '-ffloat-in'
 '-fmax-simplifier-iterations=4' '-fomit-yields' '-fstrictness-before=1'
 '-fno-pre-inlining' '-funfolding-dict-discount=30'
 '-funfolding-dict-discount=30' '-fmax-relevant-binds=6'
 '-fdo-lambda-eta-expansion' '-fdicts-cheap' '-fcall-arity' '-fvectorise'
 '-fdo-lambda-eta-expansion' '-fexcess-precision' '-fenable-rewrite-rules'
 '-fstrictness' '-fpedantic-bottoms' '-fsimplifier-phases=2'
 '-fcmm-elim-common-blocks' '-fstrictness-before=1' '-fmax-worker-args=10'
 '-funfolding-use-threshold=60' '-ffull-laziness' '-fstrictness-before=1'
 '-fliberate-case-threshold=2000' '-fstrictness'
 '-fstatic-argument-transformation' '-fregs-iterative']",fast,0.442,0.442
8,a9bf7888-0898-4b4e-ae5f-51fcd6043618,"['-O0' '-fdicts-strict' '-fspec-constr-count=3' '-fsimplifier-phases=2'
 '-funfolding-dict-discount=30' '-fexpose-all-unfoldings'
 '-funfolding-dict-discount=30' '-fliberate-case'
 '-funbox-small-strict-fields' '-fvectorise' '-fno-state-hack'
 '-funbox-small-strict-fields' '-feager-blackholing' '-ffloat-in'
 '-ffun-to-thunk' '-fcse' '-fdo-eta-reduction' '-fdicts-cheap'
 '-fcase-merge' '-fsimplifier-phases=2' '-fcross-module-specialise'
 '-funfolding-keeness-factor=1.5' '-floopification'
 '-fsimpl-tick-factor=100' '-funbox-small-strict-fields'
 '-fdo-lambda-eta-expansion' '-funfolding-creation-threshold=750'
 '-fstrictness-before=1' '-fsimpl-tick-factor=100'
 '-funfolding-dict-discount=30' '-fmax-inline-memcpy-insns=32'
 '-fno-pre-inlining' '-floopification' '-fcmm-sink' '-fdicts-cheap'
 '-funfolding-dict-discount=30' '-fmax-simplifier-iterations=4'
 '-fcmm-sink' '-fvectorisation-avoidance' '-fexcess-precision'
 '-fspec-constr-count=3' '-funfolding-fun-discount=60' '-flate-dmd-anal'
 '-fmax-inline-alloc-size=128' '-fliberate-case-threshold=2000'
 '-floopification' '-funbox-small-strict-fields' '-fcall-arity'
 '-ffloat-in' '-ffun-to-thunk' '-fcase-merge' '-fdmd-tx-dict-sel'
 '-fsimplifier-phases=2' '-fcse' '-fcross-module-specialise'
 '-fexcess-precision' '-fno-state-hack' '-fspec-constr']",fast,0.437,0.437
9,35ada567-d27c-40fe-8c0a-a8be8b7463b0,"['-O0' '-fspec-constr-threshold=2000' '-fvectorise' '-fregs-iterative'
 '-fsimplifier-phases=2' '-fexpose-all-unfoldings' '-fsimplifier-phases=2'
 '-fcross-module-specialise' '-fvectorisation-avoidance'
 '-funbox-strict-fields' '-fcmm-elim-common-blocks'
 '-funfolding-creation-threshold=750' '-funfolding-fun-discount=60'
 '-fcase-merge' '-fcross-module-specialise' '-ffun-to-thunk' '-ffloat-in'
 '-fspec-constr' '-fignore-asserts' '-fexcess-precision'
 '-fsimplifier-phases=2' '-funfolding-dict-discount=30' '-fcmm-sink'
 '-fsimpl-tick-factor=100' '-feager-blackholing' '-fno-state-hack'
 '-fcmm-sink' '-fignore-interface-pragmas' '-fomit-yields'
 '-fignore-interface-pragmas' '-funfolding-use-threshold=60'
 '-fsimplifier-phases=2' '-fworker-wrapper' '-fcase-merge'
 '-foptimal-applicative-do' '-funfolding-creation-threshold=750' '-fcse'
 '-floopification' '-fcall-arity' '-funfolding-use-threshold=60'
 '-fspec-constr-threshold=2000' '-fcpr-anal' '-funfolding-fun-discount=60'
 '-fmax-inline-memset-insns=32' '-fpedantic-bottoms'
 '-fsimpl-tick-factor=100' '-fliberate-case'
 '-fmax-simplifier-iterations=4' '-fregs-graph'
 '-fliberate-case-threshold=2000' '-funfolding-fun-discount=60'
 '-fworker-wrapper' '-fdicts-cheap' '-funfolding-use-threshold=60'
 '-fliberate-case-threshold=2000' '-fmax-inline-alloc-size=128'
 '-fstrictness-before=1' '-foptimal-applicative-do']",fast,0.442,0.442
