,ID,Flags,Mode,Runtime,Elapsed_Time
0,-O0,['-O0'],fast,0.514,0.514
1,-O2,['-O2'],fast,0.51,0.51
2,dbef69fa-1c7c-4e0e-934b-75b95cb630e4,"['-O0' '-fvectorise' '-fcase-merge' '-fcmm-sink' '-fenable-rewrite-rules'
 '-floopification' '-fexcess-precision' '-fexpose-all-unfoldings'
 '-fcpr-anal' '-fliberate-case-threshold=2000' '-fregs-iterative'
 '-floopification' '-flate-dmd-anal' '-flate-dmd-anal'
 '-fsimpl-tick-factor=100' '-fregs-graph' '-fno-opt-coercion'
 '-fvectorise' '-fspec-constr' '-fspec-constr-count=3'
 '-fdo-eta-reduction' '-fcpr-anal' '-fno-pre-inlining'
 '-fsimplifier-phases=2' '-ffloat-in' '-fvectorise' '-fstrictness'
 '-fspec-constr-threshold=2000']",fast,0.514,0.514
3,99712373-0045-441a-afa0-39e261348650,"['-O0' '-fdo-lambda-eta-expansion' '-fspec-constr'
 '-fstatic-argument-transformation' '-fno-state-hack'
 '-fignore-interface-pragmas' '-funfolding-keeness-factor=1.5'
 '-fdicts-cheap' '-fomit-yields' '-fignore-asserts'
 '-fstatic-argument-transformation' '-fexpose-all-unfoldings'
 '-fomit-yields' '-fstatic-argument-transformation' '-fstrictness'
 '-fmax-relevant-binds=6' '-fenable-rewrite-rules' '-fdicts-cheap'
 '-fspecialise' '-fspec-constr' '-fno-pre-inlining'
 '-fstrictness-before=1' '-fsimplifier-phases=2'
 '-fspec-constr-threshold=2000' '-fvectorise'
 '-funfolding-use-threshold=60' '-fmax-inline-alloc-size=128'
 '-fno-state-hack']",fast,0.516,0.516
4,a424bda9-5297-45df-98c4-d910c2b68a1a,"['-O0' '-fmax-worker-args=10' '-fcase-merge' '-fomit-interface-pragmas'
 '-fmax-inline-memcpy-insns=32' '-fno-pre-inlining'
 '-fsimplifier-phases=2' '-fworker-wrapper' '-fspec-constr-threshold=2000'
 '-fvectorise' '-floopification' '-funfolding-dict-discount=30'
 '-fno-state-hack' '-fexpose-all-unfoldings' '-fsimplifier-phases=2'
 '-fmax-inline-alloc-size=128' '-funfolding-creation-threshold=750'
 '-fno-state-hack' '-fcall-arity' '-fsimplifier-phases=2'
 '-fmax-inline-alloc-size=128' '-funfolding-dict-discount=30'
 '-fmax-inline-memcpy-insns=32' '-fcmm-elim-common-blocks'
 '-fmax-worker-args=10' '-fignore-asserts' '-fspec-constr'
 '-fcross-module-specialise']",fast,0.512,0.512
5,ab88787c-70d5-48e3-9d34-742ba368302a,"['-O0' '-fmax-inline-alloc-size=128' '-funfolding-use-threshold=60'
 '-funfolding-creation-threshold=750' '-fmax-relevant-binds=6'
 '-feager-blackholing' '-fdmd-tx-dict-sel' '-fvectorise' '-ffull-laziness'
 '-fspecialise' '-fspec-constr' '-fenable-rewrite-rules'
 '-funbox-small-strict-fields' '-funfolding-creation-threshold=750'
 '-fignore-interface-pragmas' '-fcse' '-funfolding-fun-discount=60'
 '-fignore-interface-pragmas' '-fmax-inline-alloc-size=128'
 '-fdo-eta-reduction' '-funfolding-dict-discount=30' '-ffull-laziness'
 '-fmax-worker-args=10' '-fdo-lambda-eta-expansion'
 '-funfolding-creation-threshold=750' '-fmax-inline-memcpy-insns=32'
 '-funfolding-keeness-factor=1.5' '-funbox-small-strict-fields']",fast,0.518,0.518
6,1445895f-241b-4ff9-b2cd-ba96b5e18078,"['-O0' '-fcpr-anal' '-fspecialise' '-fenable-rewrite-rules'
 '-flate-dmd-anal' '-fstatic-argument-transformation' '-fcse' '-fcse'
 '-ffloat-in' '-funfolding-keeness-factor=1.5' '-fcross-module-specialise'
 '-fno-opt-coercion' '-fdo-lambda-eta-expansion'
 '-fcross-module-specialise' '-fomit-yields'
 '-fspec-constr-threshold=2000' '-ffun-to-thunk'
 '-fliberate-case-threshold=2000' '-fomit-interface-pragmas'
 '-fsimpl-tick-factor=100' '-fspec-constr-threshold=2000'
 '-fvectorisation-avoidance' '-funfolding-dict-discount=30'
 '-fomit-interface-pragmas' '-fcase-merge' '-fdo-lambda-eta-expansion'
 '-funbox-small-strict-fields' '-fmax-relevant-binds=6']",fast,0.514,0.514
7,3a17901a-f51c-4b45-a003-b5caf5b211b2,"['-O0' '-funbox-small-strict-fields' '-fworker-wrapper' '-fdicts-cheap'
 '-fspec-constr-count=3' '-fexcess-precision' '-fcmm-elim-common-blocks'
 '-fliberate-case' '-fno-opt-coercion' '-fregs-graph' '-fliberate-case'
 '-funfolding-keeness-factor=1.5' '-fpedantic-bottoms' '-fcmm-sink'
 '-fsimplifier-phases=2' '-fenable-rewrite-rules'
 '-fexpose-all-unfoldings' '-floopification' '-fenable-rewrite-rules'
 '-fdo-lambda-eta-expansion' '-fsimpl-tick-factor=100' '-fignore-asserts'
 '-fregs-iterative' '-fregs-iterative' '-fvectorisation-avoidance'
 '-funfolding-fun-discount=60' '-feager-blackholing'
 '-fomit-interface-pragmas']",fast,0.513,0.513
8,174b55b9-40bb-4216-8f5c-c9dfb5bc4c64,"['-O0' '-funfolding-keeness-factor=1.5' '-foptimal-applicative-do'
 '-fspec-constr-count=3' '-fexcess-precision' '-fdmd-tx-dict-sel'
 '-fcmm-sink' '-fmax-inline-alloc-size=128' '-fdicts-cheap'
 '-fregs-iterative' '-fspec-constr' '-fcross-module-specialise'
 '-feager-blackholing' '-fno-opt-coercion' '-fomit-yields'
 '-fmax-simplifier-iterations=4' '-fspecialise'
 '-funfolding-fun-discount=60' '-fignore-asserts' '-fno-state-hack'
 '-fcse' '-fdicts-strict' '-fdicts-cheap' '-flate-dmd-anal'
 '-fdo-lambda-eta-expansion' '-funfolding-creation-threshold=750'
 '-fstrictness' '-fmax-relevant-binds=6']",fast,0.518,0.518
9,d01ac26d-1b2b-450a-af6b-f23df7707f2d,"['-O0' '-fno-pre-inlining' '-funbox-strict-fields'
 '-funbox-small-strict-fields' '-funfolding-dict-discount=30'
 '-fregs-graph' '-fdicts-strict' '-funbox-strict-fields'
 '-fcross-module-specialise' '-flate-dmd-anal' '-floopification'
 '-fdicts-strict' '-fcse' '-fvectorisation-avoidance'
 '-fmax-inline-memcpy-insns=32' '-fvectorise' '-fcase-merge'
 '-fmax-inline-memset-insns=32' '-fignore-interface-pragmas'
 '-fliberate-case' '-fmax-worker-args=10' '-funbox-strict-fields'
 '-fregs-iterative' '-fignore-interface-pragmas' '-fcpr-anal'
 '-fworker-wrapper' '-fstrictness' '-fcase-merge']",fast,0.514,0.514
