,ID,Flags,Mode,Runtime,Elapsed_Time
0,-O0,['-O0'],fast,0.541,0.541
1,-O2,['-O2'],fast,0.541,0.541
2,56b99576-d30a-4857-b8a3-90b3c8981b23,"['-O0' '-fomit-interface-pragmas' '-funfolding-fun-discount=60'
 '-fspec-constr-count=3' '-fvectorise' '-fliberate-case'
 '-fno-pre-inlining' '-fstrictness' '-floopification'
 '-fcmm-elim-common-blocks' '-feager-blackholing' '-fpedantic-bottoms'
 '-funbox-small-strict-fields' '-funfolding-dict-discount=30'
 '-funfolding-keeness-factor=1.5' '-fsimpl-tick-factor=100' '-fcall-arity'
 '-ffun-to-thunk' '-fliberate-case-threshold=2000' '-fexcess-precision'
 '-ffloat-in' '-feager-blackholing' '-ffloat-in' '-fenable-rewrite-rules'
 '-fcross-module-specialise' '-fmax-simplifier-iterations=4'
 '-funfolding-keeness-factor=1.5' '-funbox-small-strict-fields'
 '-fliberate-case-threshold=2000' '-fmax-inline-alloc-size=128'
 '-fenable-rewrite-rules' '-fstrictness' '-ffun-to-thunk'
 '-fspec-constr-threshold=2000' '-ffloat-in'
 '-fspec-constr-threshold=2000' '-fworker-wrapper' '-fno-state-hack'
 '-fvectorisation-avoidance' '-fno-pre-inlining' '-fpedantic-bottoms']",fast,0.534,0.534
3,a7ed29f7-95ee-457d-8b55-d0d54f8646a1,"['-O0' '-funfolding-fun-discount=60' '-fstrictness' '-ffloat-in'
 '-fliberate-case' '-fexcess-precision' '-fmax-simplifier-iterations=4'
 '-fregs-iterative' '-fspec-constr-threshold=2000' '-funbox-strict-fields'
 '-fspec-constr-threshold=2000' '-fdmd-tx-dict-sel' '-fdmd-tx-dict-sel'
 '-fspec-constr' '-fspecialise' '-fstrictness-before=1'
 '-fdo-eta-reduction' '-fdo-lambda-eta-expansion' '-ffull-laziness'
 '-ffun-to-thunk' '-fno-pre-inlining' '-ffull-laziness' '-ffull-laziness'
 '-funfolding-dict-discount=30' '-fexcess-precision' '-fignore-asserts'
 '-fpedantic-bottoms' '-fno-state-hack' '-fomit-interface-pragmas'
 '-fstrictness' '-ffull-laziness' '-fomit-interface-pragmas'
 '-fsimplifier-phases=2' '-fworker-wrapper' '-fvectorise'
 '-fmax-inline-memcpy-insns=32' '-fignore-interface-pragmas'
 '-fliberate-case' '-fspec-constr-threshold=2000' '-fpedantic-bottoms'
 '-foptimal-applicative-do']",fast,0.529,0.529
4,55f23fc2-8404-44f8-ad0b-8efebd48c1fe,"['-O0' '-fcmm-sink' '-floopification' '-fsimpl-tick-factor=100'
 '-fspec-constr' '-fsimplifier-phases=2' '-fdicts-strict'
 '-ffull-laziness' '-fcross-module-specialise' '-fregs-graph'
 '-fstrictness-before=1' '-fsimplifier-phases=2'
 '-fspec-constr-threshold=2000' '-ffull-laziness'
 '-fcmm-elim-common-blocks' '-fmax-simplifier-iterations=4'
 '-fsimplifier-phases=2' '-fliberate-case-threshold=2000'
 '-fdo-eta-reduction' '-fmax-inline-alloc-size=128' '-fdmd-tx-dict-sel'
 '-fcase-merge' '-funfolding-creation-threshold=750' '-fdicts-cheap'
 '-fcmm-sink' '-fmax-simplifier-iterations=4' '-fvectorisation-avoidance'
 '-fno-state-hack' '-fignore-interface-pragmas' '-fcpr-anal'
 '-fomit-interface-pragmas' '-fworker-wrapper'
 '-fstatic-argument-transformation' '-fspecialise' '-fregs-graph'
 '-fregs-graph' '-fregs-iterative' '-fno-pre-inlining' '-fcase-merge'
 '-fspec-constr-count=3' '-fno-pre-inlining']",fast,0.533,0.533
5,b90c0f89-b53c-47ba-9547-9970d57aaadc,"['-O0' '-fomit-interface-pragmas' '-fdmd-tx-dict-sel'
 '-fliberate-case-threshold=2000' '-funbox-strict-fields'
 '-fmax-simplifier-iterations=4' '-funfolding-use-threshold=60'
 '-fmax-inline-memset-insns=32' '-fregs-iterative'
 '-fmax-inline-memcpy-insns=32' '-funfolding-dict-discount=30'
 '-fvectorisation-avoidance' '-floopification' '-fexcess-precision'
 '-fdmd-tx-dict-sel' '-fcmm-elim-common-blocks'
 '-fliberate-case-threshold=2000' '-funfolding-use-threshold=60'
 '-fignore-interface-pragmas' '-fno-pre-inlining' '-fno-pre-inlining'
 '-fno-pre-inlining' '-fspec-constr' '-floopification' '-fcase-merge'
 '-fstrictness-before=1' '-fno-state-hack' '-fcse' '-fvectorise'
 '-fomit-yields' '-funfolding-use-threshold=60' '-fignore-asserts'
 '-fcpr-anal' '-fignore-asserts' '-fignore-interface-pragmas'
 '-ffun-to-thunk' '-funfolding-dict-discount=30' '-floopification'
 '-fcase-merge' '-funbox-small-strict-fields' '-fignore-asserts']",fast,0.528,0.528
6,6672d296-6163-48e8-b930-e7bce33a06f9,"['-O0' '-fdicts-strict' '-funfolding-use-threshold=60'
 '-fenable-rewrite-rules' '-fomit-yields' '-ffun-to-thunk'
 '-funfolding-creation-threshold=750' '-fcmm-sink'
 '-foptimal-applicative-do' '-fspecialise' '-fstrictness-before=1'
 '-fcpr-anal' '-fcmm-elim-common-blocks' '-funbox-strict-fields'
 '-fno-pre-inlining' '-fignore-asserts' '-fspec-constr' '-fdicts-strict'
 '-funfolding-fun-discount=60' '-fspec-constr-count=3' '-fcse'
 '-fspec-constr-threshold=2000' '-fcmm-sink' '-fomit-interface-pragmas'
 '-fcase-merge' '-funfolding-fun-discount=60' '-feager-blackholing'
 '-fexpose-all-unfoldings' '-fspec-constr' '-fsimplifier-phases=2'
 '-fspec-constr-threshold=2000' '-fomit-yields' '-fdicts-cheap'
 '-funbox-small-strict-fields' '-fenable-rewrite-rules'
 '-foptimal-applicative-do' '-fliberate-case' '-fno-state-hack'
 '-flate-dmd-anal' '-fregs-iterative' '-fstrictness-before=1']",fast,0.532,0.532
7,1304c5ae-17d3-4acf-a974-b321bd591232,"['-O0' '-fspec-constr-count=3' '-fignore-interface-pragmas'
 '-funfolding-creation-threshold=750' '-funfolding-keeness-factor=1.5'
 '-fstatic-argument-transformation' '-fomit-yields'
 '-funfolding-keeness-factor=1.5' '-fmax-inline-memset-insns=32'
 '-fmax-relevant-binds=6' '-fspec-constr-threshold=2000'
 '-fspec-constr-count=3' '-fcase-merge' '-fvectorise'
 '-fcmm-elim-common-blocks' '-fcpr-anal' '-fspecialise' '-floopification'
 '-fspec-constr-threshold=2000' '-fomit-interface-pragmas'
 '-fexcess-precision' '-fno-pre-inlining' '-fdo-lambda-eta-expansion'
 '-fignore-interface-pragmas' '-fliberate-case-threshold=2000'
 '-feager-blackholing' '-fomit-yields' '-fliberate-case-threshold=2000'
 '-fignore-asserts' '-fmax-simplifier-iterations=4' '-fdmd-tx-dict-sel'
 '-ffloat-in' '-fspecialise' '-fignore-asserts' '-fcse' '-fcmm-sink'
 '-fomit-interface-pragmas' '-fmax-inline-alloc-size=128'
 '-fworker-wrapper' '-fcase-merge' '-fcpr-anal']",fast,0.525,0.525
8,29b8f385-f367-4a50-8694-a9bd2b9a7d50,"['-O0' '-fspecialise' '-fsimpl-tick-factor=100'
 '-fdo-lambda-eta-expansion' '-foptimal-applicative-do'
 '-funbox-small-strict-fields' '-fomit-interface-pragmas'
 '-fmax-inline-memset-insns=32' '-fno-state-hack' '-fliberate-case'
 '-fregs-iterative' '-funfolding-keeness-factor=1.5'
 '-fmax-worker-args=10' '-fvectorisation-avoidance' '-fcall-arity'
 '-fignore-asserts' '-fdmd-tx-dict-sel' '-fsimplifier-phases=2'
 '-funfolding-fun-discount=60' '-funbox-strict-fields' '-fno-pre-inlining'
 '-fexpose-all-unfoldings' '-fcall-arity' '-fvectorise'
 '-fsimpl-tick-factor=100' '-fdicts-cheap' '-fspec-constr'
 '-fexpose-all-unfoldings' '-fcmm-elim-common-blocks'
 '-fmax-inline-memcpy-insns=32' '-fno-pre-inlining'
 '-funfolding-fun-discount=60' '-fenable-rewrite-rules' '-fdicts-strict'
 '-fmax-relevant-binds=6' '-fstatic-argument-transformation'
 '-fliberate-case' '-fcross-module-specialise'
 '-fmax-inline-memcpy-insns=32' '-fstatic-argument-transformation'
 '-fstrictness']",fast,0.525,0.525
9,23ada84f-88fa-487b-9e1c-cd95b5b55973,"['-O0' '-fcmm-sink' '-fomit-interface-pragmas' '-ffun-to-thunk'
 '-funfolding-keeness-factor=1.5' '-fmax-inline-memset-insns=32'
 '-fsimpl-tick-factor=100' '-fcse' '-funbox-strict-fields'
 '-fsimplifier-phases=2' '-funfolding-keeness-factor=1.5' '-fomit-yields'
 '-foptimal-applicative-do' '-funfolding-keeness-factor=1.5'
 '-fliberate-case' '-fmax-worker-args=10' '-feager-blackholing'
 '-fno-pre-inlining' '-fpedantic-bottoms' '-fignore-interface-pragmas'
 '-fliberate-case-threshold=2000' '-fignore-interface-pragmas'
 '-fmax-relevant-binds=6' '-funfolding-keeness-factor=1.5'
 '-fsimpl-tick-factor=100' '-fdicts-cheap' '-fmax-relevant-binds=6'
 '-fmax-simplifier-iterations=4' '-funfolding-keeness-factor=1.5'
 '-fliberate-case-threshold=2000' '-fmax-inline-memcpy-insns=32'
 '-fliberate-case' '-funbox-small-strict-fields'
 '-fvectorisation-avoidance' '-ffull-laziness' '-fcmm-elim-common-blocks'
 '-fregs-iterative' '-ffloat-in' '-fexcess-precision'
 '-fignore-interface-pragmas' '-fsimpl-tick-factor=100']",fast,0.525,0.525
