,ID,Mode,Flags,Fitness
0,-O0,fast,-O0,0.211
1,-O2,fast,-O2,0.211
33,272b5080-c39a-43d5-87fc-334cc2a2de53,fast,"['-O0', '-fcall-arity', '-fdicts-cheap', '-fdicts-strict', '-fdo-lambda-eta-expansion', '-fenable-rewrite-rules', '-fexpose-all-unfoldings', '-ffull-laziness', '-fignore-asserts', '-fignore-interface-pragmas', '-floopification', '-fmax-inline-memcpy-insns=32', '-fmax-inline-memset-insns=32', '-fmax-simplifier-iterations=4', '-fmax-worker-args=10', '-fno-opt-coercion', '-fno-pre-inlining', '-fno-state-hack', '-fomit-interface-pragmas', '-fpedantic-bottoms', '-fregs-iterative', '-fsimplifier-phases=2', '-fspec-constr-threshold=2000', '-fcross-module-specialise', '-fstatic-argument-transformation', '-fstrictness', '-fstrictness-before=1', '-funfolding-keeness-factor=1.5', '-fvectorisation-avoidance', '-fvectorise', '-fworker-wrapper']",0.207
34,16cd23cf-f3ba-43ef-beda-f585087d39c6,fast,"['-O0', '-fdmd-tx-dict-sel', '-fexcess-precision', '-fexpose-all-unfoldings', '-ffull-laziness', '-fignore-asserts', '-flate-dmd-anal', '-fliberate-case', '-fliberate-case-threshold=2000', '-fmax-inline-alloc-size=128', '-fno-opt-coercion', '-fno-pre-inlining', '-fomit-interface-pragmas', '-fomit-yields', '-fregs-graph', '-fregs-iterative', '-fsimpl-tick-factor=100', '-fspecialise', '-fcross-module-specialise', '-fstrictness', '-fstrictness-before=1', '-funbox-small-strict-fields', '-funfolding-dict-discount=30', '-funfolding-use-threshold=60']",0.207
35,37c09155-c422-4706-bc67-66668164cb27,fast,"['-O0', '-fcmm-sink', '-fdo-eta-reduction', '-fenable-rewrite-rules', '-ffloat-in', '-ffull-laziness', '-ffun-to-thunk', '-fmax-inline-memcpy-insns=32', '-fmax-inline-memset-insns=32', '-fmax-worker-args=10', '-fno-state-hack', '-fomit-interface-pragmas', '-fomit-yields', '-fpedantic-bottoms', '-fregs-graph', '-fregs-iterative', '-fsimplifier-phases=2', '-fcross-module-specialise', '-fstrictness', '-funfolding-dict-discount=30', '-funfolding-fun-discount=60', '-funfolding-keeness-factor=1.5', '-funfolding-use-threshold=60', '-fworker-wrapper']",0.207
36,486c4d56-41da-4e0b-93b9-318692fcc30d,fast,"['-O0', '-fcall-arity', '-fcase-merge', '-fcmm-elim-common-blocks', '-fcpr-anal', '-fcse', '-fdicts-cheap', '-fdo-eta-reduction', '-fenable-rewrite-rules', '-fexpose-all-unfoldings', '-ffloat-in', '-ffun-to-thunk', '-fignore-asserts', '-fmax-simplifier-iterations=4', '-fno-opt-coercion', '-fno-pre-inlining', '-fno-state-hack', '-fomit-yields', '-fsimplifier-phases=2', '-fspec-constr-count=3', '-fspec-constr-threshold=2000', '-fcross-module-specialise', '-fstatic-argument-transformation', '-funbox-small-strict-fields', '-funfolding-use-threshold=60', '-fvectorisation-avoidance']",0.207
37,6656faeb-6cb1-4c22-bcf6-21d8b3781a41,fast,"['-O0', '-fcmm-elim-common-blocks', '-fdicts-strict', '-fdo-eta-reduction', '-fdo-lambda-eta-expansion', '-feager-blackholing', '-fexcess-precision', '-ffloat-in', '-fignore-asserts', '-fignore-interface-pragmas', '-flate-dmd-anal', '-fliberate-case', '-fmax-inline-alloc-size=128', '-fmax-inline-memset-insns=32', '-fmax-relevant-binds=6', '-fmax-simplifier-iterations=4', '-fno-opt-coercion', '-fno-pre-inlining', '-fno-state-hack', '-fomit-interface-pragmas', '-fomit-yields', '-foptimal-applicative-do', '-fpedantic-bottoms', '-fsimplifier-phases=2', '-fspec-constr', '-fspecialise', '-fcross-module-specialise', '-fstrictness', '-funfolding-dict-discount=30', '-funfolding-fun-discount=60', '-funfolding-keeness-factor=1.5', '-funfolding-use-threshold=60', '-fvectorise', '-fworker-wrapper']",0.207
38,8ab9bcac-c908-418f-a452-2479a8fd0d9e,fast,"['-O0', '-fcall-arity', '-fcase-merge', '-fcmm-elim-common-blocks', '-fcpr-anal', '-fdicts-cheap', '-fdicts-strict', '-fdo-lambda-eta-expansion', '-fenable-rewrite-rules', '-fexcess-precision', '-ffloat-in', '-ffun-to-thunk', '-fliberate-case', '-floopification', '-fmax-inline-memset-insns=32', '-fmax-simplifier-iterations=4', '-fmax-worker-args=10', '-fno-opt-coercion', '-fno-state-hack', '-fomit-interface-pragmas', '-fregs-iterative', '-fsimplifier-phases=2', '-fstatic-argument-transformation', '-funbox-small-strict-fields', '-funfolding-creation-threshold=750', '-funfolding-fun-discount=60', '-funfolding-use-threshold=60', '-fvectorisation-avoidance', '-fworker-wrapper']",0.207
39,b0516a56-2ed3-4bac-a32b-d9c0e58e5834,fast,"['-O0', '-fcall-arity', '-fcmm-elim-common-blocks', '-fcmm-sink', '-fdicts-strict', '-fdo-eta-reduction', '-fenable-rewrite-rules', '-fexcess-precision', '-fexpose-all-unfoldings', '-ffloat-in', '-ffull-laziness', '-ffun-to-thunk', '-fignore-interface-pragmas', '-flate-dmd-anal', '-floopification', '-fmax-inline-memcpy-insns=32', '-fmax-inline-memset-insns=32', '-fmax-relevant-binds=6', '-fmax-simplifier-iterations=4', '-fmax-worker-args=10', '-fno-pre-inlining', '-fno-state-hack', '-fpedantic-bottoms', '-fregs-iterative', '-fsimplifier-phases=2', '-fsimpl-tick-factor=100', '-fspec-constr-count=3', '-fspec-constr-threshold=2000', '-fspecialise', '-fstatic-argument-transformation', '-funbox-strict-fields', '-funfolding-creation-threshold=750', '-funfolding-dict-discount=30', '-funfolding-fun-discount=60', '-fvectorise', '-fworker-wrapper']",0.207
40,2b5ec174-4bbd-4802-961e-ea400ee2ae44,fast,"['-O0', '-fcase-merge', '-fcmm-sink', '-fcpr-anal', '-fcse', '-fdicts-cheap', '-fdicts-strict', '-fdmd-tx-dict-sel', '-fdo-eta-reduction', '-feager-blackholing', '-fenable-rewrite-rules', '-fexpose-all-unfoldings', '-ffloat-in', '-ffull-laziness', '-flate-dmd-anal', '-fliberate-case', '-floopification', '-fmax-inline-memcpy-insns=32', '-fmax-relevant-binds=6', '-fmax-simplifier-iterations=4', '-fmax-worker-args=10', '-fno-opt-coercion', '-fno-pre-inlining', '-fno-state-hack', '-fomit-interface-pragmas', '-fomit-yields', '-foptimal-applicative-do', '-fregs-graph', '-fsimplifier-phases=2', '-fsimpl-tick-factor=100', '-fspecialise', '-fstrictness-before=1', '-funbox-small-strict-fields', '-funbox-strict-fields', '-funfolding-dict-discount=30', '-funfolding-fun-discount=60', '-funfolding-keeness-factor=1.5', '-fvectorise']",0.207
41,fefacd1b-ed4f-4032-aad6-0798671b421a,fast,"['-O0', '-fcase-merge', '-fcmm-elim-common-blocks', '-fcmm-sink', '-fcse', '-fdicts-cheap', '-fdicts-strict', '-fdo-eta-reduction', '-fdo-lambda-eta-expansion', '-feager-blackholing', '-fexcess-precision', '-ffloat-in', '-ffull-laziness', '-flate-dmd-anal', '-fliberate-case', '-fliberate-case-threshold=2000', '-floopification', '-fmax-inline-memset-insns=32', '-fmax-relevant-binds=6', '-fmax-simplifier-iterations=4', '-fomit-interface-pragmas', '-fomit-yields', '-fregs-iterative', '-fsimpl-tick-factor=100', '-fspec-constr-threshold=2000', '-fspecialise', '-fstatic-argument-transformation', '-funbox-strict-fields', '-funfolding-creation-threshold=750', '-funfolding-dict-discount=30', '-fvectorisation-avoidance']",0.207
42,0beadfc1-fd10-4a60-89e6-ba52468bdbf9,fast,"['-O0', '-fcall-arity', '-fcase-merge', '-fcmm-elim-common-blocks', '-fcmm-sink', '-fcpr-anal', '-fcse', '-fdicts-cheap', '-fdmd-tx-dict-sel', '-fdo-eta-reduction', '-fdo-lambda-eta-expansion', '-feager-blackholing', '-fenable-rewrite-rules', '-ffloat-in', '-ffull-laziness', '-fignore-asserts', '-fignore-interface-pragmas', '-flate-dmd-anal', '-fliberate-case-threshold=2000', '-fmax-inline-memset-insns=32', '-fmax-relevant-binds=6', '-fmax-simplifier-iterations=4', '-fmax-worker-args=10', '-fno-state-hack', '-fomit-interface-pragmas', '-fomit-yields', '-fregs-graph', '-fregs-iterative', '-fspec-constr-count=3', '-fstrictness', '-fstrictness-before=1', '-funbox-small-strict-fields', '-funbox-strict-fields', '-funfolding-dict-discount=30', '-funfolding-fun-discount=60', '-funfolding-use-threshold=60', '-fvectorisation-avoidance', '-fvectorise', '-fworker-wrapper']",0.207
43,53112c6f-992e-46d5-8ce7-fb94ea6c7e7d,fast,"['-O0', '-fcase-merge', '-fcmm-elim-common-blocks', '-fcpr-anal', '-fcse', '-fdicts-cheap', '-fdicts-strict', '-fdmd-tx-dict-sel', '-fdo-eta-reduction', '-fenable-rewrite-rules', '-fexcess-precision', '-ffull-laziness', '-fignore-asserts', '-fignore-interface-pragmas', '-flate-dmd-anal', '-fliberate-case', '-fmax-inline-alloc-size=128', '-fmax-inline-memcpy-insns=32', '-fmax-inline-memset-insns=32', '-fmax-relevant-binds=6', '-fmax-simplifier-iterations=4', '-fno-opt-coercion', '-fno-pre-inlining', '-fomit-yields', '-fsimplifier-phases=2', '-fspec-constr-count=3', '-fspecialise', '-fcross-module-specialise', '-fstatic-argument-transformation', '-fstrictness', '-fstrictness-before=1', '-funbox-small-strict-fields', '-funbox-strict-fields', '-funfolding-creation-threshold=750', '-funfolding-fun-discount=60', '-funfolding-keeness-factor=1.5', '-fvectorise', '-fworker-wrapper']",0.207
