,ID,Flags,Mode,Runtime,Elapsed_Time
0,-O0,['-O0'],fast,0.211,0.211
1,-O2,['-O2'],fast,0.21,0.21
2,19b350da-d811-49fc-85c9-6d096a7bbf05,['-O0' '-fpedantic-bottoms'],fast,0.209,0.209
3,2e691a22-9013-4a29-a653-63d6da1941d9,['-O0' '-fsimplifier-phases=2'],fast,0.213,0.213
4,bf98bd3e-6411-407a-8e21-b1b7471e97f3,['-O0' '-fstrictness-before=1'],fast,0.21,0.21
5,f9ef0c51-6ad0-458b-b5cb-cddb8c767c38,['-O0' '-funfolding-use-threshold=60'],fast,0.21,0.21
6,56ec8b33-5fd4-4a14-96d0-828b097920ee,['-O0' '-foptimal-applicative-do'],fast,0.212,0.212
7,feb39fbe-36f2-4e7e-b37f-d3e2f7b6208d,['-O0' '-fworker-wrapper'],fast,0.213,0.213
8,8e6cc30c-aa0b-4937-9246-a6872223ee28,['-O0' '-funfolding-creation-threshold=750'],fast,0.211,0.211
9,063bf331-d5e3-40da-96b0-39eb02b54dc8,['-O0' '-fmax-simplifier-iterations=4'],fast,0.211,0.211
10,56563b7d-6a3c-49ad-959f-90e6b689ed06,['-O0' '-fmax-relevant-binds=6'],fast,0.21,0.21
11,63c19d20-88bb-4bce-8d2d-6f3f5f161a52,['-O0' '-fignore-interface-pragmas'],fast,0.21,0.21
12,c67014cf-982c-4d01-a5ea-9ba6d7ff68f7,['-O0' '-funbox-small-strict-fields'],fast,0.21,0.21
13,0069ff40-413f-4ead-8d5d-ad7e938eb204,['-O0' '-fexcess-precision'],fast,0.209,0.209
14,c669f92a-d5cb-40a0-9db4-394a4742e7fe,['-O0' '-fdo-eta-reduction'],fast,0.21,0.21
15,f167d58b-be82-4df3-99dd-d793f9e65721,['-O0' '-fregs-iterative'],fast,0.209,0.209
16,4d475032-dbbf-4a7b-9065-ba16eb490ead,['-O0' '-flate-dmd-anal'],fast,0.211,0.211
17,a2afcb1c-7ebf-4def-8033-3915bfa896f0,['-O0' '-fomit-interface-pragmas'],fast,0.21,0.21
18,fc39baa4-8931-4df0-991d-7412999b6eca,['-O0' '-feager-blackholing'],fast,0.21,0.21
19,b44c3889-0336-459d-8a86-a62f6f8df158,['-O0' '-fmax-inline-memcpy-insns=32'],fast,0.208,0.208
20,ec3a4200-f8b4-435e-92b8-2dee96397e34,['-O0' '-fdmd-tx-dict-sel'],fast,0.208,0.208
21,216a95b7-adf7-4475-8de0-74cf02dc7e6f,['-O0' '-fvectorise'],fast,0.209,0.209
22,34a4a4b0-a687-45e0-be09-62c430fc4a55,['-O0' '-fspec-constr-threshold=2000'],fast,0.212,0.212
23,3ee1ba9e-9406-4b3b-b73b-7034c08be974,['-O0' '-fomit-yields'],fast,0.21,0.21
24,c217f364-700d-4f1f-b3a3-eb01f4ac52a0,['-O0' '-fspec-constr-count=3'],fast,0.21,0.21
25,ce36e9cd-9dc0-4b69-bc74-a6e2362d0b72,['-O0' '-fdo-lambda-eta-expansion'],fast,0.21,0.21
26,9a70bedf-75f7-4436-863c-6121e5d0ce01,['-O0' '-fdicts-cheap'],fast,0.211,0.211
27,d8c7a8ec-271d-4f2e-986d-38818f8820e7,['-O0' '-funfolding-dict-discount=30'],fast,0.212,0.212
