,ID,Phase,Mode,Runtime,Elapsed_Time
0,dfa84e7f-1263-45dd-9936-074e60b9a935,0|1|2|3|4|5|6|7|8|9|10|11|12|13|20|21|15|19|23|18|14|16|17|22,fast,0.126,0.126
1,9d32711c-520f-4711-acb5-d45e72f4d8da,0|1|2|3|4|5|6|7|8|9|10|11|12|13|21|14|18|15|23|16|22|20|17|19,fast,0.126,0.126
2,1675a4cf-0d76-4907-b787-ae29fcdabf5a,0|1|2|3|4|5|6|7|8|9|10|11|12|13|17|18|20|22|15|21|23|16|19|14,fast,0.125,0.125
3,501e650a-a9bc-4582-9cf3-266f4f391d95,0|1|2|3|4|5|6|7|8|9|10|11|12|13|23|16|22|18|21|19|20|14|17|15,fast,0.125,0.125
4,6621833e-5681-4238-9f27-117e58a97d7c,0|1|2|3|4|5|6|7|8|9|10|11|12|13|16|15|23|20|22|17|21|18|19|14,fast,0.126,0.126
5,38f9319d-dd9e-4a1e-86d6-0a8d46aa87eb,0|1|2|3|4|5|6|7|8|9|10|11|12|13|15|20|21|23|19|16|22|17|14|18,fast,0.126,0.126
6,65efc4f5-3308-43bb-b9e3-530b1ea49c8f,0|1|2|3|4|5|6|7|8|9|10|11|12|13|16|15|23|14|19|18|17|20|22|21,fast,0.126,0.126
7,35f5e348-aa37-4638-a563-c780a922c557,0|1|2|3|4|5|6|7|8|9|10|11|12|13|20|21|15|18|16|22|14|19|23|17,fast,0.126,0.126
8,ca8b50d8-d6aa-44ca-a638-5d6a4b4dded5,0|1|2|3|4|5|6|7|8|9|10|11|12|13|22|18|15|17|20|14|19|21|16|23,fast,0.125,0.125
9,75d512eb-221a-47c3-a966-d63be945173a,0|1|2|3|4|5|6|7|8|9|10|11|12|13|18|23|19|15|14|20|16|21|17|22,fast,0.126,0.126
10,486a5ccb-ba34-4944-a006-5f43bdbdcf6c,0|1|2|3|4|5|6|7|8|9|10|11|12|13|19|21|15|14|16|23|18|20|22|17,fast,0.126,0.126
11,ec7631a1-317b-4e3c-939c-0c88facdd1ac,0|1|2|3|4|5|6|7|8|9|10|11|12|13|19|15|14|21|23|20|22|18|16|17,fast,0.125,0.125
12,893f9975-b292-47c4-92f2-e58adeb84857,0|1|2|3|4|5|6|7|8|9|10|11|12|13|16|17|22|23|19|18|21|15|14|20,fast,0.126,0.126
13,0664125e-8acd-44ab-8c13-2743e1c83897,0|1|2|3|4|5|6|7|8|9|10|11|12|13|21|17|23|22|15|20|14|16|19|18,fast,0.125,0.125
14,6ae21f48-5254-4734-9c77-39853b13ffe9,0|1|2|3|4|5|6|7|8|9|10|11|12|13|22|17|15|23|18|21|20|14|16|19,fast,0.125,0.125
15,05bbb19a-6d7c-4623-be67-f4abc507e4a4,0|1|2|3|4|5|6|7|8|9|10|11|12|13|20|16|23|17|15|18|19|21|14|22,fast,0.127,0.127
16,f59ee80f-074d-4cb1-a7e5-9a4dec984f96,0|1|2|3|4|5|6|7|8|9|10|11|12|13|17|16|20|21|23|19|15|14|22|18,fast,0.126,0.126
17,316b1dcc-e57f-4e6b-8c59-a85c185e48ae,0|1|2|3|4|5|6|7|8|9|10|11|12|13|23|22|19|17|16|20|21|15|14|18,fast,0.126,0.126
18,afdaff98-f0ae-47a5-a387-1f6ecc76d41f,0|1|2|3|4|5|6|7|8|9|10|11|12|13|20|19|17|21|18|15|23|16|14|22,fast,0.126,0.126
19,92a914d4-c487-4d28-a01d-3205d97266f5,0|1|2|3|4|5|6|7|8|9|10|11|12|13|22|20|15|14|16|19|21|23|18|17,fast,0.125,0.125
