,ID,Mode,Flags,Runtime,Iteration,Best
0,-O0,fast,-O0,0.818,0,False
1,-O2,fast,-O2,0.818,0,False
2,0650ffd8-bb77-4444-b206-0e32eb1be289,fast,"['-O0', '-fstrictness', '-fregs-graph', '-fmax-inline-memcpy-insns=32', '-fstrictness-before=1', '-fregs-iterative', '-fmax-inline-alloc-size=128', '-fdo-eta-reduction', '-funfolding-use-threshold=60', '-fmax-worker-args=10', '-ffull-laziness', '-fpedantic-bottoms', '-fspecialise', '-funbox-strict-fields', '-funfolding-fun-discount=60', '-fdicts-cheap', '-ffun-to-thunk', '-fvectorise', '-fcase-merge', '-fspec-constr', '-fspec-constr-threshold=2000', '-fcross-module-specialise', '-fliberate-case', '-fmax-inline-memset-insns=32', '-fomit-interface-pragmas', '-fno-state-hack', '-foptimal-applicative-do', '-fdo-lambda-eta-expansion', '-fmax-simplifier-iterations=4', '-fno-pre-inlining', '-funfolding-dict-discount=30', '-feager-blackholing', '-fworker-wrapper', '-funfolding-keeness-factor=1.5', '-floopification', '-fdicts-strict', '-flate-dmd-anal', '-fsimpl-tick-factor=100']",0.862,0,False
3,2ff0439a-8e17-4f52-b0dc-1705744030c3,fast,"['-O0', '-fregs-iterative', '-flate-dmd-anal', '-ffloat-in', '-fcase-merge', '-fcpr-anal', '-fmax-simplifier-iterations=4', '-fomit-interface-pragmas', '-fenable-rewrite-rules', '-funbox-small-strict-fields', '-fworker-wrapper', '-fdo-lambda-eta-expansion', '-fmax-worker-args=10', '-funfolding-keeness-factor=1.5', '-fsimplifier-phases=2', '-fexcess-precision', '-fdo-eta-reduction', '-fliberate-case', '-fcmm-elim-common-blocks', '-feager-blackholing', '-fdmd-tx-dict-sel', '-ffull-laziness', '-fregs-graph', '-fsimpl-tick-factor=100', '-fliberate-case-threshold=2000', '-fstrictness', '-fno-opt-coercion', '-fmax-relevant-binds=6', '-funfolding-use-threshold=60', '-foptimal-applicative-do', '-fvectorise', '-fstatic-argument-transformation', '-fspec-constr-threshold=2000', '-fcmm-sink', '-fdicts-strict', '-fspec-constr', '-fstrictness-before=1', '-floopification', '-fmax-inline-alloc-size=128', '-fignore-asserts', '-fcross-module-specialise', '-fno-pre-inlining', '-funfolding-dict-discount=30']",0.918,0,False
4,517530b5-486d-4170-ac23-f627d5014997,fast,"['-O0', '-fno-opt-coercion', '-fregs-graph', '-fpedantic-bottoms', '-flate-dmd-anal', '-ffun-to-thunk', '-floopification', '-fdo-eta-reduction', '-fspec-constr-count=3', '-fdicts-strict', '-fcall-arity', '-fexpose-all-unfoldings', '-fmax-inline-memcpy-insns=32', '-fliberate-case', '-fliberate-case-threshold=2000', '-funfolding-fun-discount=60', '-fspecialise', '-fcpr-anal', '-fregs-iterative']",0.849,0,False
5,528b3b6f-a10a-44df-b483-6d1ba7d9ae31,fast,"['-O0', '-fliberate-case', '-funfolding-fun-discount=60', '-fspecialise', '-fsimpl-tick-factor=100', '-fdicts-strict', '-fsimplifier-phases=2', '-fregs-iterative', '-fmax-inline-alloc-size=128', '-fdo-eta-reduction', '-fliberate-case-threshold=2000', '-fpedantic-bottoms', '-fstrictness', '-fspec-constr-threshold=2000', '-fignore-interface-pragmas', '-fmax-worker-args=10']",0.694,0,False
6,898dd115-a5f5-4130-a0e9-a249a2d52527,fast,"['-O0', '-funfolding-keeness-factor=1.5', '-fcse', '-fstrictness-before=1', '-fexcess-precision', '-fmax-relevant-binds=6', '-fregs-graph', '-fliberate-case-threshold=2000', '-funfolding-fun-discount=60', '-fliberate-case', '-fsimplifier-phases=2', '-fpedantic-bottoms', '-fcall-arity', '-fspec-constr', '-fcmm-elim-common-blocks', '-feager-blackholing', '-fstatic-argument-transformation', '-fdmd-tx-dict-sel', '-fspec-constr-count=3', '-fignore-asserts', '-ffull-laziness', '-fspec-constr-threshold=2000', '-fvectorisation-avoidance', '-fcross-module-specialise', '-fomit-yields', '-fstrictness', '-fspecialise', '-fcase-merge', '-fno-pre-inlining']",0.598,0,False
7,dd375827-1c14-4db4-92fc-485ef1764445,fast,"['-O0', '-funfolding-keeness-factor=1.5', '-flate-dmd-anal', '-fmax-relevant-binds=6', '-fdo-lambda-eta-expansion', '-fcmm-elim-common-blocks', '-fregs-graph', '-fstatic-argument-transformation', '-fcross-module-specialise', '-fcmm-sink', '-fstrictness', '-fmax-inline-memcpy-insns=32', '-funbox-small-strict-fields', '-fexpose-all-unfoldings', '-funbox-strict-fields', '-fdicts-strict', '-fworker-wrapper', '-fsimpl-tick-factor=100']",0.758,0,False
8,3ca559d0-57cb-4a48-a416-96d1e0db2e53,fast,"['-O0', '-funfolding-keeness-factor=1.5', '-fmax-relevant-binds=6', '-floopification', '-flate-dmd-anal', '-ffull-laziness', '-fcmm-sink', '-fdo-eta-reduction', '-fregs-graph', '-ffloat-in', '-fmax-inline-memset-insns=32']",0.915,0,False
9,d24eed6b-8a6d-4a7c-bea1-2a5a45e3d0e7,fast,"['-O0', '-fcpr-anal', '-funfolding-fun-discount=60', '-funfolding-dict-discount=30', '-fdicts-strict', '-fworker-wrapper']",0.83,0,False
10,8c080c35-ccd5-42f8-a7b1-0b019321c3dd,fast,"['-O0', '-fworker-wrapper', '-fspec-constr-count=3', '-funbox-strict-fields', '-fstrictness', '-fno-state-hack', '-ffull-laziness', '-fmax-worker-args=10', '-fregs-graph', '-fmax-relevant-binds=6', '-funbox-small-strict-fields', '-fvectorise', '-ffun-to-thunk', '-fspec-constr', '-fno-opt-coercion', '-fexcess-precision', '-fsimplifier-phases=2', '-fmax-simplifier-iterations=4', '-foptimal-applicative-do', '-fdo-eta-reduction']",0.917,0,False
11,9fc8d642-4963-4642-bb87-20fffa21ce95,fast,"['-O0', '-fstrictness', '-fstatic-argument-transformation', '-fmax-worker-args=10', '-fspec-constr-count=3', '-flate-dmd-anal', '-fdicts-cheap', '-fsimpl-tick-factor=100', '-fsimplifier-phases=2', '-fmax-inline-memset-insns=32', '-fdo-lambda-eta-expansion', '-fpedantic-bottoms', '-fno-opt-coercion', '-funfolding-fun-discount=60', '-floopification', '-fdicts-strict', '-fworker-wrapper', '-funfolding-dict-discount=30', '-ffun-to-thunk', '-fexpose-all-unfoldings', '-funfolding-use-threshold=60', '-fdmd-tx-dict-sel', '-fmax-inline-alloc-size=128', '-fcpr-anal', '-fexcess-precision', '-fspecialise', '-fliberate-case', '-fno-state-hack', '-fliberate-case-threshold=2000', '-fomit-interface-pragmas', '-fregs-iterative', '-ffull-laziness', '-fcse', '-fomit-yields', '-fcall-arity', '-fcross-module-specialise', '-fstrictness-before=1', '-funbox-strict-fields', '-fvectorisation-avoidance', '-fcmm-elim-common-blocks', '-fcmm-sink', '-funbox-small-strict-fields', '-fmax-simplifier-iterations=4', '-fenable-rewrite-rules', '-fno-pre-inlining', '-fregs-graph', '-fspec-constr']",0.833,0,False
12,30ef475e-d7fd-45a5-a1ee-79fca9125437,fast,"['-O0', '-fexpose-all-unfoldings', '-fno-pre-inlining', '-fpedantic-bottoms', '-funfolding-use-threshold=60', '-fworker-wrapper', '-fsimpl-tick-factor=100', '-fmax-inline-memcpy-insns=32', '-fstrictness', '-fcase-merge', '-fsimplifier-phases=2', '-fvectorisation-avoidance', '-fexcess-precision', '-funfolding-keeness-factor=1.5', '-ffloat-in', '-fno-state-hack', '-fdo-eta-reduction', '-funfolding-dict-discount=30', '-fomit-interface-pragmas', '-fmax-worker-args=10', '-flate-dmd-anal', '-fignore-asserts', '-floopification', '-fignore-interface-pragmas', '-fspec-constr-count=3', '-fregs-graph', '-fcall-arity', '-funfolding-fun-discount=60', '-foptimal-applicative-do']",0.861,0,False
