,ID,Phase,Mode,Runtime,Elapsed_Time
0,ab5d54d7-1168-4def-a1f8-489a3bc1062f,0|1|2|3|4|5|6|7|8|9|10|11|12|13|20|21|14|23|18|16|17|19|22|15,fast,0.597,0.597
1,f5a371ab-e283-4782-a232-34a13efc7fa3,0|1|2|3|4|5|6|7|8|9|10|11|12|13|23|21|18|20|15|14|17|16|22|19,fast,0.621,0.621
2,ea85d7d9-ec94-41e6-967d-ebba92d60f3d,0|1|2|3|4|5|6|7|8|9|10|11|12|13|17|19|20|15|18|23|21|16|22|14,fast,0.591,0.591
3,b7ffadfc-9678-4adb-978b-a6982fb50a6c,0|1|2|3|4|5|6|7|8|9|10|11|12|13|19|21|22|17|16|18|23|15|20|14,fast,0.587,0.587
4,8f7540d5-668a-4695-afd6-8d9da9cc126b,0|1|2|3|4|5|6|7|8|9|10|11|12|13|17|20|22|18|15|21|16|23|19|14,fast,0.593,0.593
5,ad45947c-6c10-4068-b968-f25f0d6a8447,0|1|2|3|4|5|6|7|8|9|10|11|12|13|15|18|20|17|23|21|19|22|14|16,fast,0.608,0.608
6,25a90bfa-2c1e-4b24-9165-713a0c110830,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|17|23|21|22|20|16|19|18,fast,0.604,0.604
7,540ef243-725d-47d8-bfb6-d22e0bf3e265,0|1|2|3|4|5|6|7|8|9|10|11|12|13|18|23|14|16|15|19|22|20|17|21,fast,0.596,0.596
8,7202d9df-e416-4839-b40a-34aaa7c78f87,0|1|2|3|4|5|6|7|8|9|10|11|12|13|18|21|22|17|19|16|23|20|14|15,fast,0.597,0.597
9,9391d1eb-6d64-4668-b4e7-673b5520eebc,0|1|2|3|4|5|6|7|8|9|10|11|12|13|16|18|19|23|17|15|20|21|14|22,fast,0.593,0.593
10,ac50c53e-f3d8-4a3b-b50f-6f1f36c64d35,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|21|23|22|17|20|15|19|16|18,fast,0.629,0.629
11,21d319e1-1955-4637-a85b-66cfd408e11a,0|1|2|3|4|5|6|7|8|9|10|11|12|13|16|22|23|17|21|20|15|14|18|19,fast,0.591,0.591
12,5fdf28cf-8179-4a46-be82-2c5ebace57b9,0|1|2|3|4|5|6|7|8|9|10|11|12|13|23|18|20|17|19|21|16|22|14|15,fast,0.595,0.595
13,59c9a578-252b-413f-ac0a-2a17706c7ec1,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|23|15|22|21|17|18|19|16|20,fast,0.584,0.584
14,a7cd5477-b612-470a-bb19-2d434b2c7dd1,0|1|2|3|4|5|6|7|8|9|10|11|12|13|16|17|18|20|14|23|21|15|19|22,fast,0.592,0.592
15,510795f0-fbc0-4472-a3ba-5da7d4221f4a,0|1|2|3|4|5|6|7|8|9|10|11|12|13|15|21|19|20|23|16|14|17|22|18,fast,0.64,0.64
16,c4ed94de-a70c-4ddf-9d8a-8c6056277d46,0|1|2|3|4|5|6|7|8|9|10|11|12|13|21|15|18|16|17|23|20|19|22|14,fast,0.594,0.594
17,736f7753-6819-4bde-aa73-070b188cb37a,0|1|2|3|4|5|6|7|8|9|10|11|12|13|23|16|17|19|20|15|21|14|18|22,fast,0.603,0.603
