,ID,Phase,Mode,Runtime,Elapsed_Time
0,4172bf2c-142c-4378-8187-c1e74aa23acc,0|1|2|3|4|5|6|7|8|9|10|11|12|21|15|14|23|17|13|25|18|19|16|20|24|22,fast,0.23,0.23
1,8a35bdeb-7bc3-4d48-b544-fb08720ce851,0|1|2|3|4|5|6|7|8|9|10|11|12|25|20|17|24|23|13|21|14|22|15|19|18|16,fast,0.235,0.235
2,26b52edc-e4c3-4c8a-82b6-5433a5f91c0c,0|1|2|3|4|5|6|7|8|9|10|11|12|14|23|16|19|13|22|21|18|15|20|17|25|24,fast,0.237,0.237
3,5996d768-ca4e-4e37-9c2a-7493456808ca,0|1|2|3|4|5|6|7|8|9|10|11|12|19|17|20|23|16|14|21|24|13|25|15|22|18,fast,0.234,0.234
4,10dded09-dbc5-4ed1-81d9-3000cbdf5a40,0|1|2|3|4|5|6|7|8|9|10|11|12|13|18|17|16|24|23|22|25|19|21|20|15|14,fast,0.235,0.235
5,ae1c1c4d-65cf-4982-824d-37b91080e54e,0|1|2|3|4|5|6|7|8|9|10|11|12|17|15|25|19|23|18|16|20|24|21|22|14|13,fast,0.238,0.238
6,039eef78-70ff-4635-a2c3-a79890f6fc68,0|1|2|3|4|5|6|7|8|9|10|11|12|18|24|25|21|13|16|15|14|20|23|17|22|19,fast,0.238,0.238
7,ef612eb2-1753-4465-a3d5-12b062d8f9fd,0|1|2|3|4|5|6|7|8|9|10|11|12|19|17|20|16|23|21|13|14|15|24|18|22|25,fast,0.212,0.212
8,e75c11aa-c53a-4d7a-bde0-2c6cc7bd7956,0|1|2|3|4|5|6|7|8|9|10|11|12|20|19|24|16|21|18|23|25|15|14|13|22|17,fast,0.216,0.216
9,ef8cb878-aa15-491e-8e96-0f8c70d8fae6,0|1|2|3|4|5|6|7|8|9|10|11|12|13|25|18|24|21|16|15|23|19|20|17|14|22,fast,0.207,0.207
10,a446afe2-fbcc-40b2-84bd-54918741dba0,0|1|2|3|4|5|6|7|8|9|10|11|12|20|15|21|16|18|25|22|23|17|19|13|24|14,fast,0.202,0.202
11,4e305edd-5fa4-4d82-8653-64f3fc741d6c,0|1|2|3|4|5|6|7|8|9|10|11|12|19|14|17|20|18|16|25|23|22|15|13|21|24,fast,0.236,0.236
12,ee57dd48-f88e-443e-be08-3825ec0a3424,0|1|2|3|4|5|6|7|8|9|10|11|12|13|23|15|22|20|21|25|18|16|19|17|14|24,fast,0.203,0.203
13,cf14de5e-3c98-4b66-b36a-3bb70db123a3,0|1|2|3|4|5|6|7|8|9|10|11|12|21|15|18|24|16|17|23|19|22|13|20|25|14,fast,0.238,0.238
