,ID,Phase,Mode,Runtime,Elapsed_Time
0,b271b118-b81e-4740-96ac-3f67f8cf8554,0|1|2|3|4|5|6|7|8|9|10|11|12|13|15|22|19|14|16|18|17|20|21,fast,0.117,0.117
1,d6eb0f94-4b04-4253-8048-d17df49098a0,0|1|2|3|4|5|6|7|8|9|10|11|12|13|22|16|21|20|15|18|19|14|17,fast,0.115,0.115
2,69f98dc0-409c-4ebb-b362-0e23f13bd85d,0|1|2|3|4|5|6|7|8|9|10|11|12|13|18|22|17|21|14|20|19|16|15,fast,0.117,0.117
3,774697d4-a9c0-47ed-aa2c-4152a074c7e8,0|1|2|3|4|5|6|7|8|9|10|11|12|13|21|15|17|14|22|18|20|16|19,fast,0.117,0.117
4,108b41bb-cd00-43b1-aa55-f657fd1af5a7,0|1|2|3|4|5|6|7|8|9|10|11|12|13|17|20|14|21|22|15|19|16|18,fast,0.118,0.118
5,5ebad35c-3b8c-4e6d-bc10-3c6bbd0eb485,0|1|2|3|4|5|6|7|8|9|10|11|12|13|20|16|19|21|18|22|14|15|17,fast,0.116,0.116
6,755436b7-a27e-406e-9477-a77456d9ef18,0|1|2|3|4|5|6|7|8|9|10|11|12|13|21|19|15|14|16|17|20|22|18,fast,0.115,0.115
7,f67d07f1-9ea3-442d-8cd8-d57e249f05a5,0|1|2|3|4|5|6|7|8|9|10|11|12|13|19|14|21|17|18|15|16|20|22,fast,0.114,0.114
8,12473868-ae4d-4bb6-a895-29863d4e3c77,0|1|2|3|4|5|6|7|8|9|10|11|12|13|17|21|22|20|18|19|14|16|15,fast,0.115,0.115
9,188abe8c-68ff-4742-9ff2-765a9868213d,0|1|2|3|4|5|6|7|8|9|10|11|12|13|21|14|15|20|17|18|19|22|16,fast,0.115,0.115
10,fb1ddcdf-2b5b-4fc5-86da-9f8c92deb23d,0|1|2|3|4|5|6|7|8|9|10|11|12|13|16|15|14|18|22|20|19|21|17,fast,0.115,0.115
11,a2c3d1af-f0de-4798-8eb2-927f01e83f13,0|1|2|3|4|5|6|7|8|9|10|11|12|13|18|17|19|21|20|16|22|15|14,fast,0.114,0.114
12,8479a627-bdb7-487b-8d06-33424e47edbb,0|1|2|3|4|5|6|7|8|9|10|11|12|13|18|16|14|17|19|22|20|21|15,fast,0.115,0.115
13,73b02ed1-4577-473f-af26-1c8c00f8887e,0|1|2|3|4|5|6|7|8|9|10|11|12|13|16|22|18|17|21|20|15|14|19,fast,0.115,0.115
14,e59fbd7a-886b-4013-85f3-df47f6c3bab6,0|1|2|3|4|5|6|7|8|9|10|11|12|13|22|18|19|21|16|14|20|15|17,fast,0.114,0.114
15,95d6b57b-8421-4fb0-8ca2-41ded2cc9e56,0|1|2|3|4|5|6|7|8|9|10|11|12|13|18|19|14|21|16|15|20|22|17,fast,0.115,0.115
16,99f0d4fa-d1aa-4a02-a4ea-3043cd1cc962,0|1|2|3|4|5|6|7|8|9|10|11|12|13|15|22|18|19|16|21|14|20|17,fast,0.116,0.116
17,d9766540-06a1-49fb-8bd8-39bbdac39312,0|1|2|3|4|5|6|7|8|9|10|11|12|13|19|18|15|20|21|14|22|16|17,fast,0.117,0.117
18,3d30d72f-1106-4e8f-adc0-3ce897837d72,0|1|2|3|4|5|6|7|8|9|10|11|12|13|22|18|20|15|21|17|14|19|16,fast,0.117,0.117
19,1dbd5a58-4fd9-4f99-8253-28300f0cc82e,0|1|2|3|4|5|6|7|8|9|10|11|12|13|18|15|22|19|20|14|17|16|21,fast,0.117,0.117
20,e6ba21c7-f27c-424d-bd24-04c17d8b6825,0|1|2|3|4|5|6|7|8|9|10|11|12|13|16|22|20|17|19|21|15|18|14,fast,0.117,0.117
21,220f5a00-895f-4ccb-943a-ead631ff0e4b,0|1|2|3|4|5|6|7|8|9|10|11|12|13|20|18|16|15|22|19|21|17|14,fast,0.115,0.115
22,6148dfc9-e95f-4f14-9c49-eed665278577,0|1|2|3|4|5|6|7|8|9|10|11|12|13|22|20|17|19|21|18|16|15|14,fast,0.115,0.115
23,facfc653-9228-4259-8fd5-fa993a430a35,0|1|2|3|4|5|6|7|8|9|10|11|12|13|22|16|19|20|14|21|18|15|17,fast,0.115,0.115
24,a058d3a7-6d9f-471d-9672-230c75bfa26b,0|1|2|3|4|5|6|7|8|9|10|11|12|13|18|22|16|14|21|15|17|19|20,fast,0.115,0.115
25,f2a9d391-7cb8-46e2-b8a8-34906d895c95,0|1|2|3|4|5|6|7|8|9|10|11|12|13|15|20|16|21|17|19|18|14|22,fast,0.116,0.116
26,da9cf1d3-399e-415e-ad77-0ec21719157a,0|1|2|3|4|5|6|7|8|9|10|11|12|13|19|20|15|17|16|14|18|22|21,fast,0.115,0.115
27,4ead8b79-9ffa-435d-803a-7ccc1bf23b10,0|1|2|3|4|5|6|7|8|9|10|11|12|13|17|15|22|19|18|14|20|21|16,fast,0.115,0.115
28,5e46b8ae-632c-4739-af2d-8d175b2a4501,0|1|2|3|4|5|6|7|8|9|10|11|12|13|15|14|19|20|18|16|22|17|21,fast,0.116,0.116
29,2c074ea1-631c-4d74-9fe3-db5b394d1c8d,0|1|2|3|4|5|6|7|8|9|10|11|12|13|19|15|16|22|14|18|20|17|21,fast,0.114,0.114
30,0f22ceb2-ecfa-4906-8fab-c69db5ff9144,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|16|22|18|20|21|19|17|15,fast,0.114,0.114
31,4e6b713d-4993-42b4-b31a-a7ef1a768d4d,0|1|2|3|4|5|6|7|8|9|10|11|12|13|20|16|19|21|14|17|15|22|18,fast,0.115,0.115
32,d4bb0e31-a7a1-4038-9a27-1d799f9c4a16,0|1|2|3|4|5|6|7|8|9|10|11|12|13|17|14|18|16|22|21|19|15|20,fast,0.115,0.115
33,1b72db8e-fd72-4bfe-8d64-9d421481cce4,0|1|2|3|4|5|6|7|8|9|10|11|12|13|17|20|19|15|16|18|22|21|14,fast,0.116,0.116
34,c34e2bbf-58fd-4efd-a764-c867c4098f23,0|1|2|3|4|5|6|7|8|9|10|11|12|13|20|19|22|17|14|15|16|21|18,fast,0.117,0.117
35,d0006473-4882-446a-bce4-29f4bc9f1bd2,0|1|2|3|4|5|6|7|8|9|10|11|12|13|15|16|22|14|19|21|18|20|17,fast,0.115,0.115
36,0294c685-2381-4d58-94be-da5cb4d84bf5,0|1|2|3|4|5|6|7|8|9|10|11|12|13|15|16|14|17|18|19|22|21|20,fast,0.116,0.116
37,81f45ed5-a144-4e9d-9395-ff4b50b5cc3f,0|1|2|3|4|5|6|7|8|9|10|11|12|13|18|14|20|15|21|19|22|16|17,fast,0.115,0.115
38,311e0f78-048d-4e9a-bc44-53a10b571751,0|1|2|3|4|5|6|7|8|9|10|11|12|13|20|19|21|22|16|15|14|17|18,fast,0.116,0.116
39,99f94c43-96cb-4b37-be3b-ee060ddd8ebb,0|1|2|3|4|5|6|7|8|9|10|11|12|13|17|14|20|16|19|21|18|15|22,fast,0.115,0.115
40,9738a30c-01e6-48b6-87c7-75e28c10124d,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|19|16|18|17|15|20|21|22,fast,0.115,0.115
41,4c2b0db5-e735-4c4e-bd14-acbf916a332c,0|1|2|3|4|5|6|7|8|9|10|11|12|13|21|18|15|16|14|22|20|19|17,fast,0.116,0.116
42,06ecd278-a89a-485e-8967-e79909fa0f64,0|1|2|3|4|5|6|7|8|9|10|11|12|13|22|21|15|18|20|17|19|16|14,fast,0.115,0.115
43,b7c05e38-ff68-43d3-a3d7-b9e76841c957,0|1|2|3|4|5|6|7|8|9|10|11|12|13|17|18|21|19|14|15|20|22|16,fast,0.115,0.115
44,a275bc7b-0d2d-40ec-b20c-7817e50e34b9,0|1|2|3|4|5|6|7|8|9|10|11|12|13|21|20|19|16|22|18|14|15|17,fast,0.116,0.116
45,9832ab43-ce43-4518-be14-eb9e352a3134,0|1|2|3|4|5|6|7|8|9|10|11|12|13|22|14|18|15|16|17|21|20|19,fast,0.116,0.116
46,61d51c40-84af-42a3-b55d-6cf769f8da18,0|1|2|3|4|5|6|7|8|9|10|11|12|13|18|14|19|15|20|22|21|17|16,fast,0.117,0.117
47,90a862cb-ae80-43df-86fb-bae6477d0a72,0|1|2|3|4|5|6|7|8|9|10|11|12|13|15|22|21|19|17|14|20|16|18,fast,0.117,0.117
48,947f0cba-df15-4191-b4c4-55a408478a65,0|1|2|3|4|5|6|7|8|9|10|11|12|13|22|18|19|16|21|20|14|15|17,fast,0.118,0.118
49,16641316-0209-4c75-9678-e235e18c5837,0|1|2|3|4|5|6|7|8|9|10|11|12|13|22|14|15|16|21|18|17|19|20,fast,0.115,0.115
50,620e7a34-4a55-490e-89aa-31f76075e728,0|1|2|3|4|5|6|7|8|9|10|11|12|13|16|20|21|17|19|22|14|18|15,fast,0.117,0.117
51,87eb6817-36c6-4a42-afca-48a935523e4c,0|1|2|3|4|5|6|7|8|9|10|11|12|13|16|20|21|18|22|15|19|17|14,fast,0.117,0.117
52,b4a70d1e-59f0-4eb3-8edb-e59932c26809,0|1|2|3|4|5|6|7|8|9|10|11|12|13|22|14|18|17|20|21|16|19|15,fast,0.117,0.117
53,4a785b65-35ba-4e99-9a07-87d2c4b6b7e0,0|1|2|3|4|5|6|7|8|9|10|11|12|13|17|20|15|22|19|18|16|14|21,fast,0.117,0.117
