,ID,Phase,Mode,Runtime,Elapsed_Time
0,f26c45ea-0214-48c7-94a0-1a73bb7fc27c,0|1|2|3|4|5|6|7|8|9|10|11|12|13|22|18|16|15|14|19|23|21|20|17,fast,0.115,0.115
1,9d848955-27e6-47c3-9369-b2f2fd8f7244,0|1|2|3|4|5|6|7|8|9|10|11|12|13|17|19|20|22|15|14|23|21|16|18,fast,0.115,0.115
2,1112e5bd-8a54-4c45-b70d-1d693668d35f,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|20|17|22|21|15|19|23|18|16,fast,0.115,0.115
3,0f9cfc66-3f67-4732-b4ea-c2173fa0d93b,0|1|2|3|4|5|6|7|8|9|10|11|12|13|19|16|22|20|17|23|21|15|18|14,fast,0.116,0.116
4,55ae32c8-7954-4414-9332-206841df7c69,0|1|2|3|4|5|6|7|8|9|10|11|12|13|15|17|20|21|22|16|14|23|18|19,fast,0.115,0.115
5,01ffc999-f50f-4efb-97ec-cd4335fa9afa,0|1|2|3|4|5|6|7|8|9|10|11|12|13|22|21|23|16|19|14|20|17|18|15,fast,0.116,0.116
6,3f9cefc3-aa4c-4072-ac97-fb95d0f843a5,0|1|2|3|4|5|6|7|8|9|10|11|12|13|19|18|16|23|22|17|15|14|21|20,fast,0.115,0.115
7,e0d23485-0e66-4276-a702-6838efb6f881,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|22|19|21|23|15|18|16|20|17,fast,0.113,0.113
8,b742bfbf-d270-4843-8306-9ac7b9584f63,0|1|2|3|4|5|6|7|8|9|10|11|12|13|21|19|16|18|15|22|17|14|20|23,fast,0.116,0.116
9,00940f1f-1c0d-470b-81e5-e522cdd12fb2,0|1|2|3|4|5|6|7|8|9|10|11|12|13|20|17|16|23|14|19|15|22|18|21,fast,0.124,0.124
10,bb22d1fc-5386-4372-89a8-c8a8ddd54f4c,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|22|20|21|17|19|18|16|23,fast,0.114,0.114
11,28c332c0-ee82-4001-acfd-1de4303b62dc,0|1|2|3|4|5|6|7|8|9|10|11|12|13|22|19|18|20|23|21|16|17|15|14,fast,0.114,0.114
12,590e8205-3f87-48b7-bec0-3222e54000b9,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|16|22|15|20|23|18|19|21|17,fast,0.113,0.113
13,37e1c498-958e-418b-9533-e881fc05ab9d,0|1|2|3|4|5|6|7|8|9|10|11|12|13|17|22|19|14|20|15|18|16|21|23,fast,0.112,0.112
14,aa4aa001-9657-43ca-b3e8-a53e91af5804,0|1|2|3|4|5|6|7|8|9|10|11|12|13|21|16|19|15|18|14|22|17|20|23,fast,0.115,0.115
15,5569c8c4-73ce-4ced-b346-3508728a6035,0|1|2|3|4|5|6|7|8|9|10|11|12|13|20|18|21|19|23|22|14|15|16|17,fast,0.113,0.113
16,019e9fcd-310a-41a2-a35d-30a4b6b02345,0|1|2|3|4|5|6|7|8|9|10|11|12|13|21|20|19|22|14|17|15|18|23|16,fast,0.114,0.114
17,5a955871-39f8-47fb-b189-119cb84454cc,0|1|2|3|4|5|6|7|8|9|10|11|12|13|20|18|17|22|23|15|19|14|16|21,fast,0.115,0.115
18,7a0fd198-8222-486c-9357-7cf1dfaf7a2d,0|1|2|3|4|5|6|7|8|9|10|11|12|13|16|14|22|15|18|21|17|23|19|20,fast,0.114,0.114
19,a7a92f5b-14a2-42df-9dae-14dac0b3bc2e,0|1|2|3|4|5|6|7|8|9|10|11|12|13|22|18|23|21|15|20|17|19|16|14,fast,0.113,0.113
