,ID,Phase,Mode,Runtime,Elapsed_Time
0,92f50896-ed7e-4807-b094-d37f1538a2f2,0|1|2|3|4|5|6|7|8|9|10|11|12|13|22|15|21|19|18|14|17|20|16,fast,0.13,0.13
1,ffd333ef-2f18-445c-bfd4-4f5b5a07d71b,0|1|2|3|4|5|6|7|8|9|10|11|12|13|15|21|22|18|20|14|16|19|17,fast,0.13,0.13
2,5bde22b3-ca7b-494c-aad4-d67e959a7e81,0|1|2|3|4|5|6|7|8|9|10|11|12|13|18|17|14|22|16|19|15|20|21,fast,0.127,0.127
3,dc00438e-55d1-4e7b-b287-db779c81deaa,0|1|2|3|4|5|6|7|8|9|10|11|12|13|20|18|14|16|17|22|21|19|15,fast,0.127,0.127
4,8c57b33c-f0b4-481c-8e43-4d2e1eb19b41,0|1|2|3|4|5|6|7|8|9|10|11|12|13|18|14|16|15|19|17|22|21|20,fast,0.126,0.126
5,48b527cd-ab99-4f22-a85b-bed701c792a2,0|1|2|3|4|5|6|7|8|9|10|11|12|13|17|19|18|15|21|20|16|22|14,fast,0.129,0.129
6,c02f2abc-3b99-4551-ac26-ef7f2667803a,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|16|19|20|18|17|15|21|22,fast,0.128,0.128
7,141257a0-88fa-406d-ae74-f63c43a6e767,0|1|2|3|4|5|6|7|8|9|10|11|12|13|22|14|21|19|20|16|17|18|15,fast,0.128,0.128
8,4cabcc87-b32d-4307-a5a2-4cb598a7d641,0|1|2|3|4|5|6|7|8|9|10|11|12|13|19|14|21|16|15|22|17|18|20,fast,0.129,0.129
9,9040ad53-dfeb-4c8e-88f0-9e97566ba0e7,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|17|22|19|16|18|21|20,fast,0.128,0.128
10,f101d663-c790-4d38-914d-e78497c73660,0|1|2|3|4|5|6|7|8|9|10|11|12|13|22|15|18|21|14|19|17|20|16,fast,0.129,0.129
11,f91ba81d-c09d-4349-9ce8-4438e037399c,0|1|2|3|4|5|6|7|8|9|10|11|12|13|19|22|18|14|17|15|16|20|21,fast,0.129,0.129
12,2d395abf-ffd4-45d9-8550-4d670da44bcf,0|1|2|3|4|5|6|7|8|9|10|11|12|13|17|20|22|15|21|18|19|16|14,fast,0.128,0.128
13,bed67f3d-1521-41f0-a9bd-462a355526c2,0|1|2|3|4|5|6|7|8|9|10|11|12|13|16|17|22|14|18|20|15|21|19,fast,0.129,0.129
14,9d043ea9-be33-414d-a82a-3fe0f2e81b7c,0|1|2|3|4|5|6|7|8|9|10|11|12|13|21|15|20|18|16|14|22|19|17,fast,0.128,0.128
15,bee60985-d4f9-4965-85d6-56019859d0c4,0|1|2|3|4|5|6|7|8|9|10|11|12|13|21|14|18|20|19|17|16|15|22,fast,0.129,0.129
16,b2aa452f-2e18-4e5f-9848-a20fa83f9f65,0|1|2|3|4|5|6|7|8|9|10|11|12|13|20|19|16|15|17|22|14|21|18,fast,0.129,0.129
17,912a03d2-920b-410e-b36a-3c7b5a0d95f5,0|1|2|3|4|5|6|7|8|9|10|11|12|13|19|18|14|20|16|15|17|21|22,fast,0.131,0.131
18,b6f14470-1890-4daa-94b8-677511531b03,0|1|2|3|4|5|6|7|8|9|10|11|12|13|19|14|18|16|20|21|15|22|17,fast,0.128,0.128
19,a37e348a-d751-4547-bc0b-cf904738c589,0|1|2|3|4|5|6|7|8|9|10|11|12|13|21|16|20|17|22|14|15|18|19,fast,0.128,0.128
20,a2302596-c47b-4b1c-823b-82e01efb46ea,0|1|2|3|4|5|6|7|8|9|10|11|12|13|19|16|22|14|15|20|21|18|17,fast,0.127,0.127
21,26e4f6dd-8719-481a-baf3-7bbf0a89841d,0|1|2|3|4|5|6|7|8|9|10|11|12|13|19|14|16|20|22|21|15|17|18,fast,0.13,0.13
22,5134b343-83ca-4d6a-9e20-afb2c84c6880,0|1|2|3|4|5|6|7|8|9|10|11|12|13|16|19|20|14|21|22|18|17|15,fast,0.129,0.129
23,df04f088-65de-4874-92d7-8c6b38c2329d,0|1|2|3|4|5|6|7|8|9|10|11|12|13|21|16|14|20|15|17|18|19|22,fast,0.127,0.127
24,eca4d0ea-c850-4ca2-9590-78f7fcfb3971,0|1|2|3|4|5|6|7|8|9|10|11|12|13|18|22|21|20|16|19|15|17|14,fast,0.128,0.128
