,ID,Phase,Mode,Runtime,Elapsed_Time
0,ae0df4ef-39ca-4eab-804f-6a78a02c0c5e,0|1|2|3|4|5|6|7|8|9|10|11|12|13|21|22|15|19|23|18|16|17|14|20,fast,0.125,0.125
1,ce073689-d980-4477-a4d2-ec820431ea2f,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|21|19|17|23|18|20|16|22|15,fast,0.127,0.127
2,a941c3fd-5f71-4a92-a9ae-d461066caaa7,0|1|2|3|4|5|6|7|8|9|10|11|12|13|20|19|21|22|14|23|15|16|17|18,fast,0.125,0.125
3,c380ba89-cc63-415b-8254-57d8f6c586f9,0|1|2|3|4|5|6|7|8|9|10|11|12|13|21|22|16|17|20|18|23|15|14|19,fast,0.125,0.125
4,6f12ac58-1844-4090-95ce-310130d92cd4,0|1|2|3|4|5|6|7|8|9|10|11|12|13|17|22|19|18|16|23|15|20|14|21,fast,0.125,0.125
5,1dcf849b-0610-4dbf-bace-54cd333fd0ce,0|1|2|3|4|5|6|7|8|9|10|11|12|13|17|21|20|16|14|18|23|19|22|15,fast,0.127,0.127
6,0ad3040e-ca42-4b4f-a5ac-6c5ac394733d,0|1|2|3|4|5|6|7|8|9|10|11|12|13|16|23|21|18|17|14|22|20|19|15,fast,0.125,0.125
7,f727af52-6d56-4577-b92b-bb1decf35e3e,0|1|2|3|4|5|6|7|8|9|10|11|12|13|23|15|20|18|14|21|16|19|17|22,fast,0.126,0.126
8,467dbbc4-87fb-4484-9337-73846db0ad0b,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|20|21|22|16|15|19|17|18|23,fast,0.126,0.126
9,c534d9da-1539-4177-8a84-f8ab92a9c6c3,0|1|2|3|4|5|6|7|8|9|10|11|12|13|15|22|21|23|14|17|18|16|19|20,fast,0.127,0.127
10,ce62bdea-b90c-44f1-977c-86716201c2e5,0|1|2|3|4|5|6|7|8|9|10|11|12|13|15|21|23|17|20|19|14|22|16|18,fast,0.126,0.126
11,405cdcef-3f8d-45fd-b322-82f10bc0fee8,0|1|2|3|4|5|6|7|8|9|10|11|12|13|18|23|17|21|20|19|15|16|22|14,fast,0.125,0.125
12,15773e5a-0579-4428-bfe8-64757ae64467,0|1|2|3|4|5|6|7|8|9|10|11|12|13|23|22|21|17|19|20|16|15|18|14,fast,0.125,0.125
13,00a7bf6b-55c1-48e6-b02e-6d77d521e4e0,0|1|2|3|4|5|6|7|8|9|10|11|12|13|18|14|19|17|20|15|23|21|16|22,fast,0.128,0.128
14,985e93a8-57cc-4b7e-a418-0af21d7cb0f9,0|1|2|3|4|5|6|7|8|9|10|11|12|13|20|17|19|21|16|22|23|18|15|14,fast,0.125,0.125
15,406a43d8-e76c-4008-af96-7fcb3e434133,0|1|2|3|4|5|6|7|8|9|10|11|12|13|17|21|18|19|14|15|16|20|22|23,fast,0.125,0.125
16,910182d5-65ad-4088-9347-cb41bb09d8af,0|1|2|3|4|5|6|7|8|9|10|11|12|13|22|15|21|18|14|20|23|19|16|17,fast,0.126,0.126
17,fd70a859-6595-43e2-bd27-aa8e5035631b,0|1|2|3|4|5|6|7|8|9|10|11|12|13|22|15|17|18|23|21|16|20|19|14,fast,0.125,0.125
18,b8a6a699-6398-432c-8544-1a1ba2e9daaf,0|1|2|3|4|5|6|7|8|9|10|11|12|13|15|14|16|23|22|19|20|17|18|21,fast,0.125,0.125
19,664858f7-d030-40fa-b06f-13a041ed53f4,0|1|2|3|4|5|6|7|8|9|10|11|12|13|20|21|14|23|19|17|16|18|15|22,fast,0.127,0.127
20,8085973f-6735-44cd-a47b-ad40b3a59c11,0|1|2|3|4|5|6|7|8|9|10|11|12|13|17|14|22|15|20|21|23|19|16|18,fast,0.125,0.125
21,efd6e3c5-88ee-4249-97a7-7ab39b372afe,0|1|2|3|4|5|6|7|8|9|10|11|12|13|18|17|15|19|22|21|14|20|23|16,fast,0.126,0.126
22,fb7e3411-215d-40f9-be08-77202483bb49,0|1|2|3|4|5|6|7|8|9|10|11|12|13|17|19|16|15|20|18|22|14|21|23,fast,0.126,0.126
23,6afd6696-c3d7-41c5-b71d-0a7c6bc9edc1,0|1|2|3|4|5|6|7|8|9|10|11|12|13|22|14|21|19|15|17|16|20|18|23,fast,0.126,0.126
24,fb4a1680-666e-46d7-be31-9325540c2924,0|1|2|3|4|5|6|7|8|9|10|11|12|13|15|20|17|19|23|18|14|21|22|16,fast,0.128,0.128
25,f3395f4f-49b6-4387-b9ab-02d8ca066dc7,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|16|15|23|19|17|21|20|18|22,fast,0.126,0.126
26,db2fb44c-e36a-4969-b1d4-3b42c4ec2901,0|1|2|3|4|5|6|7|8|9|10|11|12|13|18|15|22|17|21|23|16|20|19|14,fast,0.127,0.127
27,94841b62-d5c4-450b-8085-14da23abe441,0|1|2|3|4|5|6|7|8|9|10|11|12|13|18|17|23|19|14|16|15|20|22|21,fast,0.126,0.126
