,ID,Phase,Mode,Runtime,Elapsed_Time
0,4528d615-a261-48ba-991f-9eec672184da,0|1|2|3|4|5|6|7|8|9|10|11|12|13|17|21|22|14|18|23|16|15|19|20|,fast,0.633,0.633
1,1d4bfcb7-f597-4e14-8678-915cbb1a95a4,0|1|2|3|4|5|6|7|8|9|10|11|12|13|20|15|17|22|19|16|23|18|21|14|,fast,0.627,0.627
2,1f359e10-d4a3-41f7-b749-a7e334a0d6a9,0|1|2|3|4|5|6|7|8|9|10|11|12|13|16|23|18|20|21|17|19|22|14|15|,fast,0.636,0.636
3,427b9b09-8bd6-4039-8db2-7586b559a6b5,0|1|2|3|4|5|6|7|8|9|10|11|12|13|20|17|18|23|19|14|16|22|15|21|,fast,0.623,0.623
4,707f38fc-5af8-4bc5-a220-433bb63e904d,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|17|19|15|21|16|18|20|23|22|,fast,0.623,0.623
5,d472866a-02dc-4199-9493-75b610fe29f7,0|1|2|3|4|5|6|7|8|9|10|11|12|13|20|21|17|22|15|19|23|14|18|16|,fast,0.63,0.63
6,4af880f7-2b54-4276-8f33-240b7ca5b81d,0|1|2|3|4|5|6|7|8|9|10|11|12|13|19|16|20|15|17|18|22|21|14|23|,fast,0.63,0.63
7,f3586eee-9ddb-48f4-8957-91c367d60336,0|1|2|3|4|5|6|7|8|9|10|11|12|13|21|20|16|23|19|15|14|18|22|17|,fast,0.634,0.634
8,c75aae33-85e8-497a-ab70-fe876c92e066,0|1|2|3|4|5|6|7|8|9|10|11|12|13|16|17|21|22|20|19|23|18|15|14|,fast,0.654,0.654
9,e32b1976-6b2b-4a6c-87a5-5012f105c5aa,0|1|2|3|4|5|6|7|8|9|10|11|12|13|19|23|20|22|18|16|21|14|15|17|,fast,0.638,0.638
10,71147344-0ea3-46df-9019-19f633169f41,0|1|2|3|4|5|6|7|8|9|10|11|12|13|23|15|20|21|14|22|18|16|19|17|,fast,0.628,0.628
11,f256b77e-ac9f-4f5b-a0c0-69ad52c8b057,0|1|2|3|4|5|6|7|8|9|10|11|12|13|16|17|14|23|20|18|22|15|19|21|,fast,0.629,0.629
12,d64dd021-ddbd-4b1b-89cd-5f3756aad0e1,0|1|2|3|4|5|6|7|8|9|10|11|12|13|17|21|23|20|16|22|14|18|19|15|,fast,0.634,0.634
13,34cb75bb-a96f-44b3-86d3-81bfd27cf55a,0|1|2|3|4|5|6|7|8|9|10|11|12|13|15|16|22|21|20|14|23|18|17|19|,fast,0.636,0.636
14,e3ff4262-1555-4fb9-a4b3-ab86bc8fe619,0|1|2|3|4|5|6|7|8|9|10|11|12|13|16|15|23|19|21|22|18|14|17|20|,fast,0.631,0.631
15,ef03c996-a4dd-4e7d-a822-a031ea62b85b,0|1|2|3|4|5|6|7|8|9|10|11|12|13|21|15|20|22|18|19|23|16|17|14|,fast,0.629,0.629
16,65b63ee4-e4eb-44bb-9dc4-3a6499fb12e4,0|1|2|3|4|5|6|7|8|9|10|11|12|13|18|16|19|22|23|14|21|20|15|17|,fast,0.631,0.631
17,b5188e71-3e04-4f86-b7af-86ed6510fe02,0|1|2|3|4|5|6|7|8|9|10|11|12|13|20|19|21|14|15|23|18|17|22|16|,fast,0.629,0.629
18,c43a83dc-496e-4931-9768-c4aea5126691,0|1|2|3|4|5|6|7|8|9|10|11|12|13|15|17|18|20|19|22|23|16|21|14|,fast,0.632,0.632
19,718dddeb-fecb-4833-9388-c0a2938445d3,0|1|2|3|4|5|6|7|8|9|10|11|12|13|16|14|20|23|21|15|19|17|22|18|,fast,0.62,0.62
20,0982de31-31cd-4b41-8092-2b1a437f5b12,0|1|2|3|4|5|6|7|8|9|10|11|12|13|23|14|17|18|20|22|21|19|15|16|,fast,0.626,0.626
21,ba7c64c6-6743-48ee-878e-4eeace229515,0|1|2|3|4|5|6|7|8|9|10|11|12|13|21|23|22|16|17|15|18|14|19|20|,fast,0.62,0.62
22,d56154f7-e92b-476b-9450-e37808d80ece,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|23|19|18|15|17|16|20|22|21|,fast,0.627,0.627
23,6eda714a-b55c-4a90-8b7a-4bd729dcffe4,0|1|2|3|4|5|6|7|8|9|10|11|12|13|19|17|22|18|16|23|20|14|15|21|,fast,0.616,0.616
24,dbaf2eac-ab60-4cc9-aaa0-bef095905ca2,0|1|2|3|4|5|6|7|8|9|10|11|12|13|17|23|15|19|16|18|20|14|21|22|,fast,0.62,0.62
25,1b8e1503-0325-4e57-b667-38cd9136e217,0|1|2|3|4|5|6|7|8|9|10|11|12|13|15|14|19|20|21|16|18|22|17|23|,fast,0.621,0.621
26,41bcf5a0-ae12-4f92-8e36-e1d84de11015,0|1|2|3|4|5|6|7|8|9|10|11|12|13|23|18|19|20|22|21|16|17|15|14|,fast,0.617,0.617
27,bf5f7f41-feda-4c1a-9cb0-109cd5ecf4ce,0|1|2|3|4|5|6|7|8|9|10|11|12|13|20|19|22|17|15|23|18|16|21|14|,fast,0.622,0.622
28,781e6246-68fc-4a1b-b692-ba866bad5bc6,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|21|22|19|15|16|20|18|17|23|,fast,0.621,0.621
29,43b38fbe-6d3d-4653-86c4-62664a4cdb83,0|1|2|3|4|5|6|7|8|9|10|11|12|13|17|18|15|20|21|14|16|22|19|23|,fast,0.622,0.622
30,a64af4df-0a90-47ba-b46a-1ad12968f326,0|1|2|3|4|5|6|7|8|9|10|11|12|13|15|22|21|20|23|18|16|17|19|14|,fast,0.622,0.622
31,c510c746-89dc-4240-903f-c3ec253cad71,0|1|2|3|4|5|6|7|8|9|10|11|12|13|15|17|16|21|19|20|14|23|18|22|,fast,0.62,0.62
32,2ae384f0-b246-4edc-8b37-40acbcfa751e,0|1|2|3|4|5|6|7|8|9|10|11|12|13|15|21|17|22|19|18|16|23|20|14|,fast,0.625,0.625
33,f364cb82-29fb-4a03-a0c7-bb6871f3ccc2,0|1|2|3|4|5|6|7|8|9|10|11|12|13|22|23|16|17|14|19|15|20|21|18|,fast,0.618,0.618
34,864ef541-5f3a-4e8b-a8ee-76cc344dfd04,0|1|2|3|4|5|6|7|8|9|10|11|12|13|23|19|17|15|22|18|20|14|21|16|,fast,0.614,0.614
35,b5e210c5-2565-4487-9586-ad7ce0478d2a,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|19|16|15|17|21|18|20|23|22|,fast,0.624,0.624
36,7dfcacb3-5519-4fcb-b0d5-cdff618ea933,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|20|22|19|18|16|17|21|15|23|,fast,0.626,0.626
37,f52693ed-c0b1-4c28-a4c8-a3b42ecb3336,0|1|2|3|4|5|6|7|8|9|10|11|12|13|17|23|22|20|14|21|19|18|16|15|,fast,0.623,0.623
38,aff436b5-a8d9-41c8-918f-8d2a4d520500,0|1|2|3|4|5|6|7|8|9|10|11|12|13|16|14|17|22|19|20|18|23|21|15|,fast,0.624,0.624
39,6467e8e0-fbe6-4187-acf7-16f1a6f3631e,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|19|18|16|21|23|22|17|20|15|,fast,0.626,0.626
40,9a52ec29-2061-4dbb-b0fb-bb817a93b26f,0|1|2|3|4|5|6|7|8|9|10|11|12|13|22|21|18|17|16|23|15|14|20|19|,fast,0.621,0.621
41,d11370a1-e756-40dd-a5c2-473c00066702,0|1|2|3|4|5|6|7|8|9|10|11|12|13|21|16|14|22|18|19|23|20|17|15|,fast,0.622,0.622
42,cc4228dc-1ce9-456b-b7d8-dd2b2685e640,0|1|2|3|4|5|6|7|8|9|10|11|12|13|23|19|18|22|15|20|17|14|21|16|,fast,0.627,0.627
43,e93262f6-3f0a-4907-9e13-282365a8f01b,0|1|2|3|4|5|6|7|8|9|10|11|12|13|15|17|22|14|19|20|18|21|16|23|,fast,0.625,0.625
44,9c06dec8-20ba-4b91-9368-5936a0547895,0|1|2|3|4|5|6|7|8|9|10|11|12|13|18|23|16|15|22|14|17|19|20|21|,fast,0.635,0.635
45,ac5d06bd-6f5e-4aec-aa92-d2b43c5918eb,0|1|2|3|4|5|6|7|8|9|10|11|12|13|17|15|22|16|20|18|21|14|23|19|,fast,0.626,0.626
46,930760e6-ce98-409c-b720-4f09c4da3773,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|17|23|18|19|22|20|15|16|21|,fast,0.629,0.629
47,2c2a1adf-0e7a-40f9-947d-cc101f51f12b,0|1|2|3|4|5|6|7|8|9|10|11|12|13|20|23|21|18|14|15|19|17|16|22|,fast,0.63,0.63
48,f6abb35d-4e7b-4930-a05a-b3249622fabd,0|1|2|3|4|5|6|7|8|9|10|11|12|13|17|21|22|23|14|20|18|19|16|15|,fast,0.637,0.637
49,6cb9fbbb-6f34-44f4-95ad-2b3409a538a2,0|1|2|3|4|5|6|7|8|9|10|11|12|13|21|16|18|15|20|22|23|19|14|17|,fast,0.629,0.629
50,0801e724-ee12-4c25-b1cb-5700c3142858,0|1|2|3|4|5|6|7|8|9|10|11|12|13|17|22|15|18|20|23|21|14|16|19|,fast,0.632,0.632
51,d3f84aa1-3781-43f8-b67b-0e36c343745b,0|1|2|3|4|5|6|7|8|9|10|11|12|13|23|18|16|22|14|20|19|17|15|21|,fast,0.635,0.635
52,397897e8-c1bf-4c96-abdc-7d80c814d244,0|1|2|3|4|5|6|7|8|9|10|11|12|13|21|15|22|18|16|19|23|14|17|20|,fast,0.645,0.645
53,0efcc2ed-3141-44c6-8b25-8803eb7717b5,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|23|16|18|19|17|20|22|21|15|,fast,0.637,0.637
54,66c0d40d-55c4-4bc9-879d-06eeef8bdbe8,0|1|2|3|4|5|6|7|8|9|10|11|12|13|20|18|19|16|14|21|22|15|17|23|,fast,0.641,0.641
55,cc6080b1-c33d-4e5b-b58b-fb365d17a43f,0|1|2|3|4|5|6|7|8|9|10|11|12|13|23|15|14|18|21|20|19|22|17|16|,fast,0.642,0.642
56,a4731fb6-30a3-4366-a1ce-2f6e59b711e8,0|1|2|3|4|5|6|7|8|9|10|11|12|13|21|15|14|19|23|20|18|22|17|16|,fast,0.644,0.644
57,c68e469a-ed52-464f-9eea-3a6accf52aa7,0|1|2|3|4|5|6|7|8|9|10|11|12|13|15|22|21|16|18|20|17|23|19|14|,fast,0.64,0.64
58,09640702-9ecb-4dcf-a2a1-45a880a81636,0|1|2|3|4|5|6|7|8|9|10|11|12|13|21|20|22|23|14|18|15|19|17|16|,fast,0.62,0.62
59,19995ff5-e541-447d-9b3f-bb6594a645cf,0|1|2|3|4|5|6|7|8|9|10|11|12|13|23|14|16|18|21|19|22|20|17|15|,fast,0.62,0.62
60,8389308e-3aa6-476d-ab55-76bbcd41ce25,0|1|2|3|4|5|6|7|8|9|10|11|12|13|17|15|21|22|23|19|18|14|16|20|,fast,0.623,0.623
61,f444543c-7032-4361-87d0-4e29a7bd40ea,0|1|2|3|4|5|6|7|8|9|10|11|12|13|18|15|20|21|19|17|22|23|14|16|,fast,0.62,0.62
62,fdbc8e73-0b0b-41b1-96ae-681af44ef8ad,0|1|2|3|4|5|6|7|8|9|10|11|12|13|18|14|17|22|16|23|15|21|19|20|,fast,0.626,0.626
63,f0820743-f0a4-4b5c-a5e5-1b9f832f4a2c,0|1|2|3|4|5|6|7|8|9|10|11|12|13|18|15|20|23|17|14|19|16|22|21|,fast,0.617,0.617
64,3747c2e4-fbeb-48da-90bd-e287c36717bf,0|1|2|3|4|5|6|7|8|9|10|11|12|13|21|16|15|14|23|18|20|22|19|17|,fast,0.617,0.617
65,7973be24-0b39-4dc6-9b42-5fb4bc5fd4c6,0|1|2|3|4|5|6|7|8|9|10|11|12|13|21|23|15|19|20|22|17|14|16|18|,fast,0.628,0.628
66,53017b46-2581-495a-b75a-0a35531f26a9,0|1|2|3|4|5|6|7|8|9|10|11|12|13|17|22|18|15|19|21|23|14|20|16|,fast,0.626,0.626
67,fc609da7-9f69-4f93-b55f-beefbd5e2757,0|1|2|3|4|5|6|7|8|9|10|11|12|13|20|14|18|19|23|17|16|15|21|22|,fast,0.623,0.623
68,7386756d-a67c-46c0-a658-aa7f7898eb22,0|1|2|3|4|5|6|7|8|9|10|11|12|13|18|22|16|23|20|17|14|21|19|15|,fast,0.625,0.625
69,2c60c4b0-2d1a-41f7-8852-e5044c1925c3,0|1|2|3|4|5|6|7|8|9|10|11|12|13|21|20|23|18|22|15|17|16|14|19|,fast,0.625,0.625
