,ID,Phase,Mode,Runtime,Elapsed_Time
0,b2e5b7b6-af51-4137-89f7-e51207a84e37,0|1|2|3|4|5|6|7|8|9|10|11|12|13|16|19|15|18|20|21|17|22|14,fast,0.68,0.68
1,ef832104-c252-4b6c-ba15-d638e6eb9e84,0|1|2|3|4|5|6|7|8|9|10|11|12|13|17|22|21|18|19|15|20|16|14,fast,0.677,0.677
2,24c55baa-1fbb-487e-a719-e377c043b6d2,0|1|2|3|4|5|6|7|8|9|10|11|12|13|22|21|18|15|17|20|19|16|14,fast,0.676,0.676
3,593d1341-73ac-4973-845f-73f8af551a0b,0|1|2|3|4|5|6|7|8|9|10|11|12|13|16|14|21|20|17|22|19|18|15,fast,0.7,0.7
4,d5f857bb-b158-47bd-9847-37664f506f77,0|1|2|3|4|5|6|7|8|9|10|11|12|13|20|22|15|14|16|19|21|18|17,fast,0.687,0.687
5,94ddfa50-0a93-4812-b4cc-5d28d8963758,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|21|20|15|22|18|17|19|16,fast,0.702,0.702
6,cb5cddfa-9e2d-4977-a4c2-032561fa0cfa,0|1|2|3|4|5|6|7|8|9|10|11|12|13|16|14|21|15|19|20|22|18|17,fast,0.692,0.692
7,4ef32c7e-b17d-4b8b-8033-05e18864582a,0|1|2|3|4|5|6|7|8|9|10|11|12|13|21|20|15|19|22|16|14|17|18,fast,0.717,0.717
8,4deded65-ff34-49cc-9639-1eddf66c9644,0|1|2|3|4|5|6|7|8|9|10|11|12|13|16|17|19|14|20|18|15|22|21,fast,0.721,0.721
9,52c41516-3961-47a2-a22d-9ccfa6b56332,0|1|2|3|4|5|6|7|8|9|10|11|12|13|22|14|21|18|20|16|15|17|19,fast,0.687,0.687
10,6a2d284a-d22c-4af8-b731-3fa32b935faa,0|1|2|3|4|5|6|7|8|9|10|11|12|13|22|17|16|18|21|15|19|14|20,fast,0.679,0.679
11,544d034f-1269-4d50-b38e-582b298316ef,0|1|2|3|4|5|6|7|8|9|10|11|12|13|16|21|17|14|20|19|22|18|15,fast,0.703,0.703
