,ID,Phase,Mode,Runtime,Elapsed_Time
0,b96b1953-f9dc-4f55-89fe-5ead98412b75,0|1|2|3|4|5|6|7|8|9|10|11|12|13|17|19|20|14|15|23|22|21|18|16,fast,0.597,0.597
1,037cb61f-d1a3-425a-bbd2-7bb07ccca123,0|1|2|3|4|5|6|7|8|9|10|11|12|13|17|16|23|18|19|14|21|22|15|20,fast,0.632,0.632
2,c58aa8fc-d0a3-427b-83de-ef48e8dbf968,0|1|2|3|4|5|6|7|8|9|10|11|12|13|18|23|14|17|21|22|16|20|19|15,fast,0.586,0.586
3,0ed1c8b1-1d0f-48d2-8476-5ad643dc6bdf,0|1|2|3|4|5|6|7|8|9|10|11|12|13|19|18|22|23|20|14|17|21|16|15,fast,0.589,0.589
4,b4c96f1b-fa06-4543-8fe0-4238139bcc94,0|1|2|3|4|5|6|7|8|9|10|11|12|13|19|15|17|23|22|20|18|14|21|16,fast,0.626,0.626
5,6a45267e-ed21-41f5-9e5a-253cd8171832,0|1|2|3|4|5|6|7|8|9|10|11|12|13|22|20|15|21|16|18|14|17|23|19,fast,0.659,0.659
6,99fcc869-0232-4c73-acad-5f36a605df66,0|1|2|3|4|5|6|7|8|9|10|11|12|13|19|23|21|17|22|15|14|18|16|20,fast,0.637,0.637
7,6b16097c-224e-41f4-af28-ffbd7ebd9fea,0|1|2|3|4|5|6|7|8|9|10|11|12|13|17|21|20|18|22|15|14|23|19|16,fast,0.623,0.623
8,ac870d33-c32b-4242-a755-70e31300c00c,0|1|2|3|4|5|6|7|8|9|10|11|12|13|15|23|19|17|18|16|22|14|21|20,fast,0.594,0.594
9,59100bba-a476-46b9-85f6-4437c1d5e63f,0|1|2|3|4|5|6|7|8|9|10|11|12|13|20|14|15|16|19|21|17|18|22|23,fast,0.599,0.599
10,6b79feba-8cbc-4b52-ba5f-e09ac4339d54,0|1|2|3|4|5|6|7|8|9|10|11|12|13|15|16|17|23|14|20|19|21|22|18,fast,0.59,0.59
11,94d253ff-0926-4c56-9cb2-9623d98cade9,0|1|2|3|4|5|6|7|8|9|10|11|12|13|22|21|15|14|16|23|18|19|20|17,fast,0.59,0.59
12,e1cb0f40-b0e8-481d-bd3a-dc4154d888ae,0|1|2|3|4|5|6|7|8|9|10|11|12|13|21|18|14|23|20|16|17|22|19|15,fast,0.608,0.608
13,791e5518-b203-4e9d-8610-fb001df7cf9d,0|1|2|3|4|5|6|7|8|9|10|11|12|13|15|16|22|17|21|18|20|19|23|14,fast,0.592,0.592
14,fec9a932-44cd-4f16-9ec0-5ef153e9033a,0|1|2|3|4|5|6|7|8|9|10|11|12|13|22|18|14|16|15|20|19|23|21|17,fast,0.627,0.627
15,659c0da8-0fda-45b3-b541-ff6d2adf47fc,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|23|21|16|19|17|18|22|20,fast,0.625,0.625
16,c38cc61e-6cef-4d35-9111-924ca248caca,0|1|2|3|4|5|6|7|8|9|10|11|12|13|16|23|14|20|19|17|22|15|18|21,fast,0.619,0.619
17,b3e23945-1c87-4064-bcbd-66292a18d874,0|1|2|3|4|5|6|7|8|9|10|11|12|13|22|17|19|20|23|18|14|16|15|21,fast,0.61,0.61
18,68c981ab-0918-4fc9-b39b-babf97d94040,0|1|2|3|4|5|6|7|8|9|10|11|12|13|19|18|17|15|23|21|20|22|16|14,fast,0.596,0.596
19,a6880389-bae8-428e-975b-4944e721d740,0|1|2|3|4|5|6|7|8|9|10|11|12|13|19|14|22|23|17|16|15|20|18|21,fast,0.591,0.591
20,bacae145-9a92-496b-9568-3ce2382f35b5,0|1|2|3|4|5|6|7|8|9|10|11|12|13|15|18|23|14|20|21|17|19|16|22,fast,0.626,0.626
21,530f4363-9489-4c84-be50-e12f97d2e0ff,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|20|16|21|22|15|23|19|18|17,fast,0.628,0.628
22,5d3463e5-f246-46d5-8309-6754b76e915d,0|1|2|3|4|5|6|7|8|9|10|11|12|13|22|19|18|20|21|14|16|17|15|23,fast,0.593,0.593
23,b6b5eda3-73aa-442a-9082-7ddb06251b7f,0|1|2|3|4|5|6|7|8|9|10|11|12|13|21|15|23|16|14|20|17|18|22|19,fast,0.588,0.588
24,112343d4-44b3-48e3-9e37-3107ec4c1553,0|1|2|3|4|5|6|7|8|9|10|11|12|13|21|14|15|19|20|18|23|16|17|22,fast,0.599,0.599
25,76e3b412-4f23-4125-94de-5da141cdbf70,0|1|2|3|4|5|6|7|8|9|10|11|12|13|21|20|15|18|17|16|19|22|14|23,fast,0.629,0.629
26,5de051f5-ac70-42c7-99ec-4e20e1221746,0|1|2|3|4|5|6|7|8|9|10|11|12|13|19|18|20|17|22|15|16|14|23|21,fast,0.595,0.595
27,7dd7d340-8147-40fb-80f7-0c47109d62cd,0|1|2|3|4|5|6|7|8|9|10|11|12|13|23|21|18|19|15|17|14|20|22|16,fast,0.616,0.616
28,7ee4e35f-9a3b-46f2-aadd-b558303e35ea,0|1|2|3|4|5|6|7|8|9|10|11|12|13|19|15|23|17|18|16|22|20|14|21,fast,0.591,0.591
