,ID,Phase,Mode,Runtime,Elapsed_Time
0,52e7856e-be4b-4001-b2a2-cf8bc52a8f16,0|1|2|3|4|5|6|7|8|9|10|11|12|13|21|20|22|16|18|17|14|19|15,fast,0.152,0.152
1,fb89d625-0f69-4450-bfd9-2b4348dad7a9,0|1|2|3|4|5|6|7|8|9|10|11|12|13|18|19|14|15|21|17|20|22|16,fast,0.152,0.152
2,225affcb-5d36-4296-aeaa-118a02fb98a9,0|1|2|3|4|5|6|7|8|9|10|11|12|13|18|15|16|19|17|20|22|14|21,fast,0.153,0.153
3,aadd6f07-d4df-4e8d-b77c-4f6b59445ac2,0|1|2|3|4|5|6|7|8|9|10|11|12|13|16|22|21|18|17|14|19|15|20,fast,0.152,0.152
4,9195883a-1d86-457b-9db3-c77dfdb4807c,0|1|2|3|4|5|6|7|8|9|10|11|12|13|19|15|17|22|14|18|16|20|21,fast,0.151,0.151
5,17afc876-1050-4ae2-944f-d2195a70d524,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|17|15|20|18|16|19|21|22,fast,0.152,0.152
6,7c4dbe94-e723-4057-871a-a827f5108b82,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|21|20|22|18|16|19|15|17,fast,0.153,0.153
7,bd79e396-09b5-4b6b-9beb-82d75fc69ea2,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|18|15|17|16|19|20|22|21,fast,0.152,0.152
8,a28c4931-fc5f-425b-8afe-5bfab0f686fb,0|1|2|3|4|5|6|7|8|9|10|11|12|13|15|20|16|22|17|19|18|21|14,fast,0.152,0.152
9,591c191d-846b-49f1-acb8-b9e85c50805a,0|1|2|3|4|5|6|7|8|9|10|11|12|13|19|20|18|15|21|22|14|16|17,fast,0.152,0.152
10,69866820-17ca-4da7-9c3d-ebe3b84be99f,0|1|2|3|4|5|6|7|8|9|10|11|12|13|20|15|17|19|22|16|14|21|18,fast,0.152,0.152
11,5990ecaa-c81e-4f46-9d36-da3ae824a8e3,0|1|2|3|4|5|6|7|8|9|10|11|12|13|20|17|14|15|22|21|19|16|18,fast,0.153,0.153
12,a5d4ff41-599f-4aa1-a3d1-cc1922a4262a,0|1|2|3|4|5|6|7|8|9|10|11|12|13|19|15|18|22|14|20|17|16|21,fast,0.152,0.152
13,28d91484-b240-4c72-ba6f-5f8eeaa53283,0|1|2|3|4|5|6|7|8|9|10|11|12|13|19|20|18|21|14|17|16|15|22,fast,0.153,0.153
14,20ab019f-78fe-427d-b8ef-d8b1f1c11f84,0|1|2|3|4|5|6|7|8|9|10|11|12|13|19|18|14|17|21|20|22|15|16,fast,0.152,0.152
15,72fcdef1-b169-4fa9-a92d-d215518a3ca7,0|1|2|3|4|5|6|7|8|9|10|11|12|13|19|22|16|18|21|17|20|14|15,fast,0.152,0.152
16,a261b968-30e6-461e-a59a-70c8bd0d54af,0|1|2|3|4|5|6|7|8|9|10|11|12|13|20|17|18|15|16|14|22|21|19,fast,0.152,0.152
17,1f12abf9-f1f2-417e-b21b-c440b29e7f6e,0|1|2|3|4|5|6|7|8|9|10|11|12|13|21|19|18|17|15|16|22|14|20,fast,0.152,0.152
18,6a4f129a-d013-4d19-a62f-dab26653e513,0|1|2|3|4|5|6|7|8|9|10|11|12|13|21|17|19|18|22|14|20|15|16,fast,0.152,0.152
19,7e6120e4-f050-429e-ada0-8640b433cfa4,0|1|2|3|4|5|6|7|8|9|10|11|12|13|19|16|15|18|21|20|17|14|22,fast,0.151,0.151
20,eb8e8324-8b64-42ff-9a65-fbd6619e6cdd,0|1|2|3|4|5|6|7|8|9|10|11|12|13|20|18|17|21|19|16|14|22|15,fast,0.152,0.152
21,48985438-c510-4572-9187-39d243a8878f,0|1|2|3|4|5|6|7|8|9|10|11|12|13|15|20|21|17|22|14|16|18|19,fast,0.153,0.153
22,b940256c-89e6-4a52-a002-800dfd016883,0|1|2|3|4|5|6|7|8|9|10|11|12|13|18|22|16|15|17|21|14|20|19,fast,0.151,0.151
23,b163e9d6-5baa-4bdb-93ef-47cafc31d28e,0|1|2|3|4|5|6|7|8|9|10|11|12|13|18|17|16|14|22|19|21|15|20,fast,0.152,0.152
24,9a12eadc-f5f7-42f1-bc81-416aa7261449,0|1|2|3|4|5|6|7|8|9|10|11|12|13|17|14|16|19|20|18|21|15|22,fast,0.152,0.152
25,ba679c74-66b9-472e-9f04-63d0a0bd6936,0|1|2|3|4|5|6|7|8|9|10|11|12|13|21|16|20|17|15|22|14|18|19,fast,0.152,0.152
26,d88c2b3b-9b8d-402d-aede-922105a28646,0|1|2|3|4|5|6|7|8|9|10|11|12|13|19|15|16|21|18|17|22|14|20,fast,0.152,0.152
27,cfde9129-deac-46aa-a7ec-c146a0284fec,0|1|2|3|4|5|6|7|8|9|10|11|12|13|19|17|15|14|16|20|21|18|22,fast,0.152,0.152
28,1bf0882b-376b-4944-8a13-33189c8c2679,0|1|2|3|4|5|6|7|8|9|10|11|12|13|21|19|22|18|15|20|16|17|14,fast,0.152,0.152
29,188e4e6d-180d-4510-b461-d263a4cc8be1,0|1|2|3|4|5|6|7|8|9|10|11|12|13|22|15|14|19|17|21|16|18|20,fast,0.152,0.152
30,27ce0ac3-5d75-4f2f-95af-9dc1e1ca747a,0|1|2|3|4|5|6|7|8|9|10|11|12|13|18|16|21|20|17|22|15|19|14,fast,0.151,0.151
31,bffb69a9-d1f7-489a-a3fa-9ec71e4a2a89,0|1|2|3|4|5|6|7|8|9|10|11|12|13|16|20|15|21|19|18|14|17|22,fast,0.152,0.152
32,72c1469b-f6f8-4081-a9a7-6d80d8d564c4,0|1|2|3|4|5|6|7|8|9|10|11|12|13|21|19|18|20|15|16|17|14|22,fast,0.153,0.153
33,c7059860-f436-4216-b5cd-c47f43fc3f29,0|1|2|3|4|5|6|7|8|9|10|11|12|13|15|22|18|20|16|17|14|21|19,fast,0.153,0.153
34,6c2b44f7-8fe7-4214-8600-6df017a94d35,0|1|2|3|4|5|6|7|8|9|10|11|12|13|18|20|17|22|15|19|21|16|14,fast,0.152,0.152
35,684bcf97-8718-4c38-b517-2a699d5f518c,0|1|2|3|4|5|6|7|8|9|10|11|12|13|22|20|19|17|21|15|18|14|16,fast,0.153,0.153
36,ef7fa82a-51c7-4616-ac52-51642963cebb,0|1|2|3|4|5|6|7|8|9|10|11|12|13|17|16|19|22|15|21|20|18|14,fast,0.152,0.152
37,ad73847d-9f90-48bd-9250-f0443968bf53,0|1|2|3|4|5|6|7|8|9|10|11|12|13|18|16|19|20|15|14|22|17|21,fast,0.152,0.152
38,2fd76d8d-a99e-486c-ae43-6bafa9b32b40,0|1|2|3|4|5|6|7|8|9|10|11|12|13|15|14|17|22|16|19|21|18|20,fast,0.152,0.152
39,2d1a41fd-72eb-40a1-9e66-076dd35c7abe,0|1|2|3|4|5|6|7|8|9|10|11|12|13|18|17|19|14|20|21|15|22|16,fast,0.152,0.152
40,fbe29b8d-9370-41fd-9df7-39a4fdbb97ef,0|1|2|3|4|5|6|7|8|9|10|11|12|13|20|17|22|14|16|18|21|15|19,fast,0.154,0.154
41,f5f02d5d-8ee7-470c-aac5-0141d6fcfa3e,0|1|2|3|4|5|6|7|8|9|10|11|12|13|16|15|21|17|20|22|19|14|18,fast,0.154,0.154
42,5f64a2e3-554e-4ee7-85a4-2424897d03a0,0|1|2|3|4|5|6|7|8|9|10|11|12|13|18|15|22|16|14|21|19|20|17,fast,0.152,0.152
43,01f9706c-86a2-4e9a-b7b4-28dd1218fd54,0|1|2|3|4|5|6|7|8|9|10|11|12|13|22|15|18|14|19|21|20|17|16,fast,0.154,0.154
44,c96650a5-8d78-4c5b-960d-a01075f6823a,0|1|2|3|4|5|6|7|8|9|10|11|12|13|21|15|19|18|16|14|20|22|17,fast,0.151,0.151
45,250ab95a-a2b5-45e0-8841-706b83c195b4,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|21|18|20|19|17|22|15|16,fast,0.155,0.155
46,99d9869f-0cb5-4900-8b69-26f767de1301,0|1|2|3|4|5|6|7|8|9|10|11|12|13|21|22|19|16|14|20|18|17|15,fast,0.154,0.154
47,179be6dd-3f57-4134-8461-8fdb7125c3f8,0|1|2|3|4|5|6|7|8|9|10|11|12|13|22|21|20|17|18|19|16|15|14,fast,0.154,0.154
48,573a79e5-164f-4781-85e1-ae74553691e5,0|1|2|3|4|5|6|7|8|9|10|11|12|13|17|18|14|20|21|16|15|19|22,fast,0.154,0.154
49,2555da8f-6bd2-47b9-a10d-2234a615ac9f,0|1|2|3|4|5|6|7|8|9|10|11|12|13|20|16|22|14|21|17|19|18|15,fast,0.155,0.155
50,eb1769b6-2fdd-4f76-a8c0-c9ac9e4e29c6,0|1|2|3|4|5|6|7|8|9|10|11|12|13|22|15|17|20|18|14|16|21|19,fast,0.155,0.155
51,ed60ff17-7ee0-4cc9-95e0-ea9d9f8527b3,0|1|2|3|4|5|6|7|8|9|10|11|12|13|15|19|22|14|21|16|17|20|18,fast,0.154,0.154
52,b62fc564-5feb-42f1-a624-78286d3eead3,0|1|2|3|4|5|6|7|8|9|10|11|12|13|17|18|20|14|22|16|19|15|21,fast,0.153,0.153
53,fdce6a54-2fb0-4d3e-b6bb-8f8d4660e123,0|1|2|3|4|5|6|7|8|9|10|11|12|13|19|22|15|14|20|18|21|16|17,fast,0.154,0.154
54,cd86daac-cefc-4860-b6a1-40a07123bee2,0|1|2|3|4|5|6|7|8|9|10|11|12|13|21|18|22|20|19|16|14|15|17,fast,0.152,0.152
55,735f8693-4339-4b76-b7c4-381c41ac9f45,0|1|2|3|4|5|6|7|8|9|10|11|12|13|18|15|14|22|21|17|16|19|20,fast,0.153,0.153
56,e2e3ca66-a300-4bcf-b2c2-72e416a6a73e,0|1|2|3|4|5|6|7|8|9|10|11|12|13|15|16|20|19|22|21|14|18|17,fast,0.153,0.153
57,3a4b52b3-a3c1-4a60-a030-c088fce6584f,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|21|18|22|20|19|15|16|17,fast,0.154,0.154
58,eb0304dc-89eb-45c8-888a-8624671a7764,0|1|2|3|4|5|6|7|8|9|10|11|12|13|16|14|22|20|18|21|17|15|19,fast,0.154,0.154
59,acee7ebb-489b-44fa-a108-109fb16310be,0|1|2|3|4|5|6|7|8|9|10|11|12|13|20|15|22|17|19|14|18|16|21,fast,0.153,0.153
60,0f36ffef-ff41-4b0d-bb17-e721222bb1dd,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|20|18|22|19|17|21,fast,0.151,0.151
61,82509ef1-a649-4c1d-8f38-7f2fb3807979,0|1|2|3|4|5|6|7|8|9|10|11|12|13|18|14|20|19|16|21|17|22|15,fast,0.152,0.152
62,16dbe0c8-88d3-4756-8d4f-835dc5dcf576,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|19|18|22|17|21|20,fast,0.153,0.153
