,ID,Phase,Mode,Runtime,Elapsed_Time
0,435ef56f-4288-4fcc-868f-378eb98b5065,0|1|2|3|4|5|6|7|8|9|10|11|12|13|20|22|19|17|16|18|23|14|21|15,fast,0.14,0.14
1,709ad886-2065-4326-9e49-017014f7ea40,0|1|2|3|4|5|6|7|8|9|10|11|12|13|22|17|18|19|16|14|23|21|15|20,fast,0.141,0.141
2,36d9b29d-e766-47c2-8f9a-4517b1415eef,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|20|19|17|18|23|22|21|15|16,fast,0.144,0.144
3,5dbb552b-77d9-4d3d-af17-f202e8999b2e,0|1|2|3|4|5|6|7|8|9|10|11|12|13|17|18|16|22|15|19|21|23|20|14,fast,0.143,0.143
4,a037345c-6d4d-4469-b3a0-cc94ae0d216e,0|1|2|3|4|5|6|7|8|9|10|11|12|13|21|17|14|16|23|15|22|18|19|20,fast,0.141,0.141
5,11549413-8739-474c-89dc-234b94b1165f,0|1|2|3|4|5|6|7|8|9|10|11|12|13|20|23|17|21|14|19|16|22|18|15,fast,0.14,0.14
6,60e12775-8a2c-4be3-b900-f138a5082c60,0|1|2|3|4|5|6|7|8|9|10|11|12|13|15|16|23|14|17|19|20|18|22|21,fast,0.143,0.143
7,7f06d2bd-3170-4925-9f17-78a7a59b7500,0|1|2|3|4|5|6|7|8|9|10|11|12|13|19|21|22|14|15|20|18|16|23|17,fast,0.142,0.142
8,b3955c71-b2f8-4418-9ab4-b7cc9b29aabd,0|1|2|3|4|5|6|7|8|9|10|11|12|13|15|18|14|17|23|19|20|16|22|21,fast,0.141,0.141
9,e333e652-9301-47ad-b840-34bbb387fa42,0|1|2|3|4|5|6|7|8|9|10|11|12|13|18|17|21|20|16|14|15|23|22|19,fast,0.143,0.143
10,fecb8ad4-c230-4fcf-a8d2-5c360df2e41e,0|1|2|3|4|5|6|7|8|9|10|11|12|13|23|22|14|18|20|15|19|21|16|17,fast,0.141,0.141
11,def2d74d-dcec-4c52-a155-b69217dfb060,0|1|2|3|4|5|6|7|8|9|10|11|12|13|17|19|21|15|14|22|23|20|16|18,fast,0.142,0.142
12,61a94181-a543-48d8-800d-8940a690797c,0|1|2|3|4|5|6|7|8|9|10|11|12|13|23|18|19|17|20|14|16|21|22|15,fast,0.142,0.142
13,2aea43f8-1f5e-49ab-9457-f2b83797f59e,0|1|2|3|4|5|6|7|8|9|10|11|12|13|23|19|17|21|22|18|16|20|14|15,fast,0.14,0.14
14,af7c0f38-e477-4e17-99c3-0fd6e5597624,0|1|2|3|4|5|6|7|8|9|10|11|12|13|19|16|22|15|20|18|17|14|23|21,fast,0.141,0.141
15,7a363739-c900-4869-b22b-dd2b76b74baa,0|1|2|3|4|5|6|7|8|9|10|11|12|13|20|15|16|17|22|21|19|14|23|18,fast,0.14,0.14
16,c6934d85-ba93-4c0e-a511-3c06acb31c31,0|1|2|3|4|5|6|7|8|9|10|11|12|13|23|22|14|17|20|19|15|18|16|21,fast,0.143,0.143
17,6f64d561-2b16-4a51-aa98-24144b61d1a6,0|1|2|3|4|5|6|7|8|9|10|11|12|13|23|18|17|19|22|21|15|20|14|16,fast,0.142,0.142
18,5a0c7b40-7ca5-47f4-8958-e8dd020e9241,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|18|22|21|20|17|19|15|23|16,fast,0.142,0.142
19,5436756a-e99c-4873-83bc-ae55b59edce9,0|1|2|3|4|5|6|7|8|9|10|11|12|13|20|14|16|23|18|17|15|21|19|22,fast,0.142,0.142
20,b228cd85-8061-43c8-8e7a-075a30ff146c,0|1|2|3|4|5|6|7|8|9|10|11|12|13|15|17|14|16|21|20|18|19|23|22,fast,0.142,0.142
21,f51b37ca-8436-42f7-a184-c67b380c987f,0|1|2|3|4|5|6|7|8|9|10|11|12|13|22|23|17|16|21|19|14|15|18|20,fast,0.142,0.142
22,db85cfe2-f1b9-4d3f-a66e-7b54ec8e6625,0|1|2|3|4|5|6|7|8|9|10|11|12|13|22|21|23|16|20|17|18|15|14|19,fast,0.143,0.143
23,f3af06ce-4f22-4cf9-912e-919ece3cda38,0|1|2|3|4|5|6|7|8|9|10|11|12|13|16|19|21|14|22|20|23|17|18|15,fast,0.141,0.141
24,bbd85efc-ec71-4293-b3cb-cd3edb457e8e,0|1|2|3|4|5|6|7|8|9|10|11|12|13|17|21|20|15|18|16|22|23|14|19,fast,0.141,0.141
25,c63667b1-282b-46fb-8047-0758e17eaff2,0|1|2|3|4|5|6|7|8|9|10|11|12|13|16|18|17|19|15|20|22|14|23|21,fast,0.141,0.141
26,6867b027-7b36-4ce3-8e34-735c9784c589,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|17|18|20|21|16|22|23|15|19,fast,0.161,0.161
27,21918e42-d460-4370-9c19-1646fc028400,0|1|2|3|4|5|6|7|8|9|10|11|12|13|23|19|22|18|14|21|16|17|15|20,fast,0.142,0.142
28,c249f6f6-1aef-482a-8187-ae6c129357d4,0|1|2|3|4|5|6|7|8|9|10|11|12|13|17|14|22|16|18|15|23|19|21|20,fast,0.14,0.14
29,a1dbbc67-e26d-41f5-b091-a9bb0b160cce,0|1|2|3|4|5|6|7|8|9|10|11|12|13|22|19|14|21|20|18|23|15|16|17,fast,0.14,0.14
30,6f4c1eda-4893-4982-b583-90479a75fdce,0|1|2|3|4|5|6|7|8|9|10|11|12|13|22|18|14|16|15|21|20|23|19|17,fast,0.142,0.142
31,b3c68269-d4f6-41a8-8c37-38e88e0a8ab9,0|1|2|3|4|5|6|7|8|9|10|11|12|13|23|21|22|20|16|17|19|15|18|14,fast,0.142,0.142
32,4f7b7f80-4c75-4187-92b7-7009b53b0ca6,0|1|2|3|4|5|6|7|8|9|10|11|12|13|15|14|18|22|17|16|19|23|21|20,fast,0.141,0.141
33,fc10ddd4-d290-4090-9555-d2478210c896,0|1|2|3|4|5|6|7|8|9|10|11|12|13|22|17|18|19|20|23|21|15|14|16,fast,0.141,0.141
34,11df784f-a1c6-4e6d-8f25-94a1794aaa9e,0|1|2|3|4|5|6|7|8|9|10|11|12|13|16|17|20|14|15|23|21|19|22|18,fast,0.141,0.141
35,626461a2-2db0-4c71-89e3-def705a8c6cc,0|1|2|3|4|5|6|7|8|9|10|11|12|13|23|18|20|19|17|15|14|16|22|21,fast,0.142,0.142
36,53506b5a-327f-4c8d-a6a5-457d17247537,0|1|2|3|4|5|6|7|8|9|10|11|12|13|19|15|20|16|14|21|18|23|17|22,fast,0.141,0.141
37,e7e4defe-89c4-4288-b6ca-b47d2aaa055f,0|1|2|3|4|5|6|7|8|9|10|11|12|13|22|20|14|17|18|16|19|15|23|21,fast,0.142,0.142
38,792976fe-5be9-4e4c-9b18-f57af25b6396,0|1|2|3|4|5|6|7|8|9|10|11|12|13|21|16|22|23|17|14|19|18|15|20,fast,0.142,0.142
39,513b3b7e-93a3-4ca4-aa0f-3ecfe6652b50,0|1|2|3|4|5|6|7|8|9|10|11|12|13|18|19|21|14|22|15|20|17|23|16,fast,0.14,0.14
40,a3099c34-074a-4436-a048-3719e954f77a,0|1|2|3|4|5|6|7|8|9|10|11|12|13|15|20|16|22|17|19|18|21|23|14,fast,0.142,0.142
41,521ddfb2-b981-49ae-bee4-febf5d2cb970,0|1|2|3|4|5|6|7|8|9|10|11|12|13|21|17|15|22|16|20|23|19|14|18,fast,0.14,0.14
