,ID,Phase,Mode,Runtime,Elapsed_Time
0,2d98f916-25ee-4e59-93cc-77caa297a5a1,0|1|2|3|4|5|6|7|8|9|10|11|12|13|17|19|16|21|23|15|20|22|18|14,fast,0.141,0.141
1,170e26ad-e580-4f7c-b6fb-0ab4466bfddf,0|1|2|3|4|5|6|7|8|9|10|11|12|13|17|16|19|23|22|15|21|20|18|14,fast,0.141,0.141
2,940af509-e447-4a9d-9f3a-ce78f2229ae7,0|1|2|3|4|5|6|7|8|9|10|11|12|13|19|20|18|23|14|21|17|22|15|16,fast,0.145,0.145
3,63129bcd-3e40-4c35-8dae-55b6da2fc9e1,0|1|2|3|4|5|6|7|8|9|10|11|12|13|16|22|14|15|18|21|17|19|20|23,fast,0.142,0.142
4,b01f3b5c-9c76-4a8b-bf38-d1b1038e25fc,0|1|2|3|4|5|6|7|8|9|10|11|12|13|17|22|20|15|18|23|14|21|19|16,fast,0.142,0.142
5,8bc505cc-fdcd-4fda-88e9-598e7421f6eb,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|18|21|19|17|22|20|15|16|23,fast,0.141,0.141
6,3bb66acf-9091-4122-bcb4-6445d9795f60,0|1|2|3|4|5|6|7|8|9|10|11|12|13|16|18|21|15|23|20|17|22|14|19,fast,0.141,0.141
7,5b3fed67-4c83-4650-ba0e-52ed02f0ce3c,0|1|2|3|4|5|6|7|8|9|10|11|12|13|21|17|16|20|19|18|14|23|15|22,fast,0.143,0.143
8,13badabb-4ef6-4be8-98f5-fa115409b13f,0|1|2|3|4|5|6|7|8|9|10|11|12|13|15|20|17|16|19|14|21|23|22|18,fast,0.145,0.145
9,915a91f3-29df-4296-99b1-6ee3a263c966,0|1|2|3|4|5|6|7|8|9|10|11|12|13|16|20|17|23|22|18|19|14|15|21,fast,0.142,0.142
10,e3de4695-978d-4c38-ac07-080b111cbd96,0|1|2|3|4|5|6|7|8|9|10|11|12|13|23|18|16|21|22|19|15|14|20|17,fast,0.141,0.141
11,5fa2790f-54d6-41d9-b97c-96bdfdcbc42d,0|1|2|3|4|5|6|7|8|9|10|11|12|13|15|16|21|20|23|14|17|18|19|22,fast,0.141,0.141
12,573d946e-462c-416e-b561-901d6ab36957,0|1|2|3|4|5|6|7|8|9|10|11|12|13|15|21|19|16|14|17|22|18|20|23,fast,0.144,0.144
13,93d58173-a65f-41f4-9e66-42abce08cbbb,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|17|22|19|16|23|21|20|18|15,fast,0.141,0.141
14,414c9abd-cc49-45a2-ac92-cfc2b0144e68,0|1|2|3|4|5|6|7|8|9|10|11|12|13|16|14|15|22|20|17|21|23|19|18,fast,0.141,0.141
15,f33964db-0299-411c-a2f6-c36de18acb5c,0|1|2|3|4|5|6|7|8|9|10|11|12|13|18|19|23|16|14|21|22|15|20|17,fast,0.143,0.143
16,b07e9fc6-9e83-47c1-84fc-5586f3672488,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|18|20|22|21|15|19|17|23|16,fast,0.144,0.144
17,f930c47d-28a0-4d7c-952a-cacef34c8092,0|1|2|3|4|5|6|7|8|9|10|11|12|13|15|21|19|14|20|23|17|16|22|18,fast,0.14,0.14
18,55b33149-f253-44e5-83cb-8b73588649c3,0|1|2|3|4|5|6|7|8|9|10|11|12|13|15|21|19|16|17|18|23|22|14|20,fast,0.142,0.142
19,e8018f39-182e-4bf8-bf37-160b6128cd62,0|1|2|3|4|5|6|7|8|9|10|11|12|13|16|14|18|19|23|21|22|15|17|20,fast,0.141,0.141
20,24d681db-f695-45d1-88aa-6d1f2db13003,0|1|2|3|4|5|6|7|8|9|10|11|12|13|17|23|20|22|16|15|19|14|21|18,fast,0.142,0.142
21,474d0f4e-d3cc-4d21-b821-9c875385cfdf,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|16|19|22|18|15|23|21|20|17,fast,0.143,0.143
22,771d1fe7-fd58-40dd-ae37-561829bdba0e,0|1|2|3|4|5|6|7|8|9|10|11|12|13|17|21|14|22|19|18|16|20|23|15,fast,0.143,0.143
23,3a62782c-f222-4a30-89ec-2947e1f80d59,0|1|2|3|4|5|6|7|8|9|10|11|12|13|21|15|23|19|16|18|17|14|22|20,fast,0.143,0.143
24,95c09da4-6ec3-4dd9-9689-0545df383cba,0|1|2|3|4|5|6|7|8|9|10|11|12|13|20|17|19|18|23|21|14|16|22|15,fast,0.142,0.142
25,05eced27-7cea-454e-b136-511d5ea8ae27,0|1|2|3|4|5|6|7|8|9|10|11|12|13|20|23|14|22|17|21|16|19|18|15,fast,0.143,0.143
26,a156142c-b1ab-41ed-81b2-ab542f84e2ba,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|22|16|21|15|19|20|18|17|23,fast,0.142,0.142
27,53063e5a-12be-4471-9d5b-afbae1758184,0|1|2|3|4|5|6|7|8|9|10|11|12|13|21|17|20|16|15|18|14|22|19|23,fast,0.14,0.14
28,1a865faf-19b2-40a9-a291-14833d676cc8,0|1|2|3|4|5|6|7|8|9|10|11|12|13|23|20|19|18|17|15|21|14|16|22,fast,0.142,0.142
29,f0a258d1-1c82-444d-a78e-435cb2133445,0|1|2|3|4|5|6|7|8|9|10|11|12|13|21|16|19|17|23|22|15|14|18|20,fast,0.141,0.141
30,021918ed-b65f-4d8c-a91c-4b36b82fdac2,0|1|2|3|4|5|6|7|8|9|10|11|12|13|20|23|18|17|16|19|21|15|22|14,fast,0.145,0.145
31,678557f7-3567-4141-b496-d9241e6a7143,0|1|2|3|4|5|6|7|8|9|10|11|12|13|19|14|20|22|18|23|17|21|15|16,fast,0.143,0.143
32,e2afde81-73ca-45d1-92b6-485de30a61dd,0|1|2|3|4|5|6|7|8|9|10|11|12|13|16|14|22|21|15|18|17|19|23|20,fast,0.143,0.143
33,6973dc51-2229-4dd2-ba4a-f72f245c5cd4,0|1|2|3|4|5|6|7|8|9|10|11|12|13|19|15|20|14|22|17|21|18|23|16,fast,0.141,0.141
34,b40f4273-5bf2-476a-9581-714ac92bbb15,0|1|2|3|4|5|6|7|8|9|10|11|12|13|15|17|19|18|20|22|16|21|23|14,fast,0.141,0.141
35,8d894337-fea1-4939-bfa0-883a57d53a30,0|1|2|3|4|5|6|7|8|9|10|11|12|13|21|14|19|22|18|17|15|23|20|16,fast,0.141,0.141
36,7d9bf7f9-6d54-4cea-ab38-9faa35a7804f,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|17|15|23|16|22|20|18|19|21,fast,0.141,0.141
37,4f91ef55-67ee-4082-8294-1c83d976d4cb,0|1|2|3|4|5|6|7|8|9|10|11|12|13|21|20|19|14|15|18|22|16|17|23,fast,0.141,0.141
38,4615e1f7-470d-4237-b396-23f621fdc331,0|1|2|3|4|5|6|7|8|9|10|11|12|13|19|16|23|20|18|22|15|21|17|14,fast,0.14,0.14
39,9911a142-3cee-45eb-85df-6863f1e2d90e,0|1|2|3|4|5|6|7|8|9|10|11|12|13|22|14|23|17|21|20|18|16|15|19,fast,0.142,0.142
40,cd7c06b9-7157-4101-9f81-6908cc7bda98,0|1|2|3|4|5|6|7|8|9|10|11|12|13|16|21|22|15|17|14|19|18|23|20,fast,0.145,0.145
41,e4277167-f82c-4c3e-9d24-bc247cc7b5e4,0|1|2|3|4|5|6|7|8|9|10|11|12|13|16|20|23|14|22|15|19|17|18|21,fast,0.144,0.144
42,7038f951-5b14-484e-bd6d-03c30ef683a1,0|1|2|3|4|5|6|7|8|9|10|11|12|13|23|16|17|14|15|20|18|22|19|21,fast,0.145,0.145
43,0331e2c3-a87f-4372-96d7-8446f62f4df8,0|1|2|3|4|5|6|7|8|9|10|11|12|13|17|20|21|19|14|22|23|15|18|16,fast,0.142,0.142
44,8468f67d-6965-4deb-b040-fc9fd37cb2e3,0|1|2|3|4|5|6|7|8|9|10|11|12|13|23|15|20|22|16|18|19|14|21|17,fast,0.141,0.141
45,2317e1fa-6d89-478a-b5e5-1948215afdd4,0|1|2|3|4|5|6|7|8|9|10|11|12|13|18|21|14|17|16|19|15|22|20|23,fast,0.141,0.141
46,31d8cd74-48f2-4024-95c1-2a75c5728ace,0|1|2|3|4|5|6|7|8|9|10|11|12|13|23|21|17|18|14|15|20|19|22|16,fast,0.142,0.142
47,05776254-279a-467b-9f0f-59411e46c0ad,0|1|2|3|4|5|6|7|8|9|10|11|12|13|16|15|14|20|21|18|23|19|22|17,fast,0.14,0.14
48,0d7a6e3c-41ac-46a3-adb0-896f8a25fcbc,0|1|2|3|4|5|6|7|8|9|10|11|12|13|18|19|14|15|22|21|16|20|23|17,fast,0.142,0.142
49,50b794a5-3e2f-452c-aae9-27ba0b2e2bc2,0|1|2|3|4|5|6|7|8|9|10|11|12|13|18|15|23|22|20|14|19|21|16|17,fast,0.14,0.14
50,7eee1c52-3d24-4dc2-bb32-a9711727541a,0|1|2|3|4|5|6|7|8|9|10|11|12|13|19|21|22|23|15|16|20|17|14|18,fast,0.141,0.141
51,8a23e7bc-94d9-4826-a5c1-ab47a3c24fe5,0|1|2|3|4|5|6|7|8|9|10|11|12|13|20|17|21|14|18|16|23|19|22|15,fast,0.142,0.142
52,b2bf6095-4476-4c0d-9fe1-91c74648bfcd,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|21|16|19|18|17|23|22|20|15,fast,0.141,0.141
53,e27aea06-a54f-48d4-ae4c-aa1f51148cf6,0|1|2|3|4|5|6|7|8|9|10|11|12|13|19|23|16|21|15|14|17|22|20|18,fast,0.142,0.142
54,f6f87bf0-b2d0-48fb-8dba-f9975a473e0c,0|1|2|3|4|5|6|7|8|9|10|11|12|13|20|16|17|19|23|21|14|18|22|15,fast,0.143,0.143
55,13e86331-e5ab-4ee9-ae90-a20e1d7ad012,0|1|2|3|4|5|6|7|8|9|10|11|12|13|21|22|14|19|20|18|23|16|15|17,fast,0.142,0.142
56,27a8eb22-e53d-4bd6-9ee3-c346c17998c4,0|1|2|3|4|5|6|7|8|9|10|11|12|13|22|21|18|19|15|20|14|16|23|17,fast,0.145,0.145
57,163a973a-ecf0-4712-9a30-4c0064607a50,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|21|22|18|20|17|19|15|16|23,fast,0.142,0.142
58,3c28f8ee-2411-475b-9975-ee070b42f93d,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|21|15|16|20|23|22|17|19|18,fast,0.141,0.141
59,9f51911f-49cd-4b5c-9d44-c5bebeef046b,0|1|2|3|4|5|6|7|8|9|10|11|12|13|22|19|16|14|15|17|23|21|18|20,fast,0.143,0.143
60,bf215380-257d-4f81-bd9c-e03cc9a19003,0|1|2|3|4|5|6|7|8|9|10|11|12|13|21|18|23|17|15|20|19|16|14|22,fast,0.141,0.141
61,b793e253-7773-431b-8f6e-9c391311a404,0|1|2|3|4|5|6|7|8|9|10|11|12|13|17|23|18|20|14|21|16|15|19|22,fast,0.141,0.141
62,31f0a869-5945-4739-873e-8771886d1eea,0|1|2|3|4|5|6|7|8|9|10|11|12|13|18|15|16|20|21|14|17|23|19|22,fast,0.142,0.142
63,6de86207-2f89-405d-b267-0fe0843dd894,0|1|2|3|4|5|6|7|8|9|10|11|12|13|17|18|22|21|23|19|15|20|16|14,fast,0.141,0.141
64,fdab262f-dec7-492b-a74e-06976b49897f,0|1|2|3|4|5|6|7|8|9|10|11|12|13|20|15|17|19|21|18|16|23|14|22,fast,0.145,0.145
65,d4210992-81f0-46ff-b0b2-3c9b0bac2228,0|1|2|3|4|5|6|7|8|9|10|11|12|13|17|16|23|19|21|20|18|14|22|15,fast,0.141,0.141
66,e96ae50e-2a13-4923-b26a-2f923be71507,0|1|2|3|4|5|6|7|8|9|10|11|12|13|16|17|19|15|20|21|18|23|14|22,fast,0.141,0.141
67,9821de41-5a3a-42e1-b405-72ce20eeb133,0|1|2|3|4|5|6|7|8|9|10|11|12|13|16|18|15|21|23|17|20|19|14|22,fast,0.141,0.141
68,29af4230-75b3-4680-9702-ec0a38ef8606,0|1|2|3|4|5|6|7|8|9|10|11|12|13|17|19|14|22|18|21|23|16|15|20,fast,0.142,0.142
69,d59128b4-ea7e-47c1-ab1c-4828e7bc8b27,0|1|2|3|4|5|6|7|8|9|10|11|12|13|19|20|16|23|22|18|14|17|21|15,fast,0.142,0.142
70,67acccc0-dbc1-4be7-93ba-7eb502f1fa93,0|1|2|3|4|5|6|7|8|9|10|11|12|13|23|20|15|19|21|18|16|17|14|22,fast,0.142,0.142
71,5757de91-099e-4539-9224-80b2aa467fce,0|1|2|3|4|5|6|7|8|9|10|11|12|13|15|22|19|17|21|14|20|23|16|18,fast,0.141,0.141
72,f7f0944b-7801-4e49-9a18-fda3286b0b4e,0|1|2|3|4|5|6|7|8|9|10|11|12|13|22|18|23|21|15|20|16|14|19|17,fast,0.143,0.143
73,c516b23b-d3aa-45d4-b64f-68f0c48780e7,0|1|2|3|4|5|6|7|8|9|10|11|12|13|16|21|18|15|23|14|19|17|20|22,fast,0.143,0.143
74,0be19b32-bc12-43b7-9d0d-8f4c0a26baa6,0|1|2|3|4|5|6|7|8|9|10|11|12|13|16|22|14|19|15|23|21|18|20|17,fast,0.143,0.143
75,219bd4cb-d47f-4a1e-8a76-c4897112c20c,0|1|2|3|4|5|6|7|8|9|10|11|12|13|23|14|15|19|16|22|20|21|17|18,fast,0.14,0.14
76,f8a23dda-abc5-4b07-9d45-4f1c5b41574f,0|1|2|3|4|5|6|7|8|9|10|11|12|13|22|15|18|14|21|23|16|20|17|19,fast,0.143,0.143
77,eb582d2a-371d-4946-9e31-72ae8dda1d36,0|1|2|3|4|5|6|7|8|9|10|11|12|13|21|16|18|15|22|19|23|17|20|14,fast,0.141,0.141
78,3b3cfbfb-4f90-447e-96cf-79f73e1b66f9,0|1|2|3|4|5|6|7|8|9|10|11|12|13|23|20|17|15|18|16|21|14|19|22,fast,0.141,0.141
79,dbf36e81-868c-4ed0-a048-55cef3a7b0a7,0|1|2|3|4|5|6|7|8|9|10|11|12|13|15|20|19|23|14|17|18|21|16|22,fast,0.142,0.142
80,17939e5c-35c6-4512-b527-610c2da1a40b,0|1|2|3|4|5|6|7|8|9|10|11|12|13|23|22|16|18|15|17|20|19|21|14,fast,0.141,0.141
81,20d152f3-c9cb-4933-8f20-bc1b01f9c964,0|1|2|3|4|5|6|7|8|9|10|11|12|13|19|22|20|14|15|17|21|23|18|16,fast,0.14,0.14
