,ID,Phase,Mode,Runtime,Elapsed_Time
0,5cb29af3-6c7f-433c-96bc-b6b708bbd6f5,0|1|2|3|4|5|6|7|8|9|10|11|12|13|21|17|15|14|18|16|20|23|19|22|,fast,0.119,0.119
1,1e03fe5c-d4c9-40dd-ab54-ba74454f9e17,0|1|2|3|4|5|6|7|8|9|10|11|12|13|18|22|20|19|15|23|21|16|17|14|,fast,0.118,0.118
2,c9654cdd-0055-4bcc-ab7b-ef19de4239b4,0|1|2|3|4|5|6|7|8|9|10|11|12|13|17|22|21|16|20|14|19|23|18|15|,fast,0.117,0.117
3,f6024e87-65c0-4364-8b5e-48c77cd17a2f,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|23|19|20|21|16|15|17|18|22|,fast,0.118,0.118
4,173b3472-9207-4ee0-a290-93ad136a73be,0|1|2|3|4|5|6|7|8|9|10|11|12|13|20|22|15|14|23|17|21|19|16|18|,fast,0.117,0.117
5,1b418cdc-2583-4974-ab22-4ed7418016dd,0|1|2|3|4|5|6|7|8|9|10|11|12|13|15|17|14|23|16|19|21|20|22|18|,fast,0.119,0.119
6,56861244-cba7-451a-af60-9fb681202d14,0|1|2|3|4|5|6|7|8|9|10|11|12|13|22|17|21|23|18|19|20|14|15|16|,fast,0.117,0.117
7,760fb7eb-036f-4ed8-9c5c-dc00e9c5f4f9,0|1|2|3|4|5|6|7|8|9|10|11|12|13|21|15|22|18|14|17|16|23|20|19|,fast,0.119,0.119
8,de221750-eb17-4255-8f26-ffb758aa4d60,0|1|2|3|4|5|6|7|8|9|10|11|12|13|21|17|16|15|20|19|22|23|14|18|,fast,0.119,0.119
9,527d7a73-de5a-4f1f-ba44-fbc272fefd7e,0|1|2|3|4|5|6|7|8|9|10|11|12|13|19|23|15|21|16|14|20|18|17|22|,fast,0.119,0.119
10,2b7cdf86-3d4d-4cbf-8941-2301fc895c25,0|1|2|3|4|5|6|7|8|9|10|11|12|13|17|14|21|15|22|20|16|23|18|19|,fast,0.119,0.119
11,73514eb5-feb0-4cbd-8083-dfe23347092f,0|1|2|3|4|5|6|7|8|9|10|11|12|13|16|14|22|21|18|17|23|20|19|15|,fast,0.119,0.119
12,6b4f9fc7-1aea-47f3-a03a-3de32225f6ef,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|22|20|23|16|19|18|17|21|,fast,0.119,0.119
13,952a25cd-de5a-426f-b9e4-66fc6ada0bab,0|1|2|3|4|5|6|7|8|9|10|11|12|13|20|22|16|18|17|23|19|21|15|14|,fast,0.118,0.118
14,fff1592e-f10e-40ef-959d-7f337fb5c554,0|1|2|3|4|5|6|7|8|9|10|11|12|13|19|23|21|15|20|16|18|22|17|14|,fast,0.119,0.119
15,de9d1e7a-f4fc-4284-9714-dad2c7472e8a,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|17|18|15|22|21|19|16|23|20|,fast,0.118,0.118
16,c69285a9-ac91-47ff-957d-1c1a19dd3e3f,0|1|2|3|4|5|6|7|8|9|10|11|12|13|23|21|19|15|20|22|16|14|17|18|,fast,0.119,0.119
17,b1943b37-ae03-4f37-85f4-4e4ebb39e606,0|1|2|3|4|5|6|7|8|9|10|11|12|13|21|22|23|18|20|14|19|17|16|15|,fast,0.118,0.118
18,9263d405-807b-40f1-b402-b65ab6aa8c53,0|1|2|3|4|5|6|7|8|9|10|11|12|13|17|21|18|19|15|14|23|22|20|16|,fast,0.118,0.118
19,4c20a8eb-e4d8-48d9-8d48-6f59c62a9498,0|1|2|3|4|5|6|7|8|9|10|11|12|13|18|20|16|22|19|17|15|21|23|14|,fast,0.118,0.118
20,cd6b9287-ff4e-48c5-95cd-e8b9eeaee6d2,0|1|2|3|4|5|6|7|8|9|10|11|12|13|18|20|15|23|14|16|22|17|19|21|,fast,0.118,0.118
21,bd2724f8-3374-4562-9b8f-8568eaae28af,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|22|15|23|19|20|18|21|17|16|,fast,0.119,0.119
22,8c0c8f87-3c3b-4365-b1e7-215b897d379b,0|1|2|3|4|5|6|7|8|9|10|11|12|13|15|16|21|19|22|18|17|14|20|23|,fast,0.118,0.118
23,7438336b-543c-4dc4-a7cf-edd5269beb24,0|1|2|3|4|5|6|7|8|9|10|11|12|13|20|19|17|21|16|15|23|22|18|14|,fast,0.119,0.119
24,5e21bcdc-96b4-4071-952a-af78d02bb98e,0|1|2|3|4|5|6|7|8|9|10|11|12|13|15|14|18|19|17|22|21|23|20|16|,fast,0.119,0.119
25,977dd4f5-ca93-47e5-84e8-830e288c62db,0|1|2|3|4|5|6|7|8|9|10|11|12|13|23|15|14|18|19|21|16|22|17|20|,fast,0.118,0.118
26,b7ef4189-0cef-4de8-9e75-0af16d11b29c,0|1|2|3|4|5|6|7|8|9|10|11|12|13|23|16|14|17|18|21|15|20|19|22|,fast,0.118,0.118
27,dd2497b8-91ca-46c5-8bc2-2fd9a22ec308,0|1|2|3|4|5|6|7|8|9|10|11|12|13|19|22|23|17|15|18|21|20|16|14|,fast,0.119,0.119
28,254ce7ed-9d7a-4053-99da-00ff9b6849e9,0|1|2|3|4|5|6|7|8|9|10|11|12|13|18|20|15|16|17|23|22|21|14|19|,fast,0.118,0.118
29,29dbf10a-6036-40c0-825a-9a6c4388e20d,0|1|2|3|4|5|6|7|8|9|10|11|12|13|18|19|21|15|23|16|22|17|14|20|,fast,0.118,0.118
30,74ea4cbb-1294-4132-a6cd-0c8547dfd6e4,0|1|2|3|4|5|6|7|8|9|10|11|12|13|18|19|16|15|20|17|22|14|21|23|,fast,0.118,0.118
