,ID,Phase,Mode,Runtime,Elapsed_Time
0,4f9a3bb5-dc88-4069-83a0-813217b9c6da,0|1|2|3|4|5|6|7|8|9|10|11|12|19|17|16|22|24|15|23|20|21|13|14|25|18,fast,0.114,0.114
1,67b665e4-8423-40f1-acea-3b742ce4f3ea,0|1|2|3|4|5|6|7|8|9|10|11|12|15|25|24|16|17|18|14|23|21|19|22|20|13,fast,0.115,0.115
2,d231dbe4-f9c1-49cf-9ce3-8dd3a5396948,0|1|2|3|4|5|6|7|8|9|10|11|12|21|18|25|20|13|16|24|23|15|19|22|17|14,fast,0.116,0.116
3,dd2f30e2-b775-4795-b4f3-a28081d52d24,0|1|2|3|4|5|6|7|8|9|10|11|12|13|16|23|22|20|18|15|21|14|17|19|25|24,fast,0.115,0.115
4,b93cebd7-840b-4e8b-bacd-b6d9c17a8044,0|1|2|3|4|5|6|7|8|9|10|11|12|14|25|18|23|21|13|15|24|19|20|16|17|22,fast,0.115,0.115
5,449ebdd6-2fba-45f3-b889-7aed96546429,0|1|2|3|4|5|6|7|8|9|10|11|12|19|15|25|13|20|23|17|18|22|24|21|16|14,fast,0.115,0.115
6,35874f2e-191a-4f14-9b93-7326cb5e0288,0|1|2|3|4|5|6|7|8|9|10|11|12|15|16|24|25|18|23|19|22|21|20|17|13|14,fast,0.115,0.115
7,f3f8178e-7629-4644-bab3-8c228259624e,0|1|2|3|4|5|6|7|8|9|10|11|12|23|17|25|19|18|21|22|16|15|20|13|14|24,fast,0.114,0.114
8,61852a02-de0f-4a94-b7e7-69aed0bd68d7,0|1|2|3|4|5|6|7|8|9|10|11|12|22|20|21|23|24|25|16|14|17|15|18|13|19,fast,0.116,0.116
9,90ffc5d8-d96b-4833-ac4a-e1eb761b5e98,0|1|2|3|4|5|6|7|8|9|10|11|12|13|20|25|16|23|19|18|14|21|15|24|22|17,fast,0.116,0.116
10,ff62bc68-0fea-4656-8cf5-f31c44e8e77f,0|1|2|3|4|5|6|7|8|9|10|11|12|13|24|21|18|19|16|25|23|22|15|17|20|14,fast,0.114,0.114
11,aee19387-bf6c-4cf8-a1f5-df8c488b2b97,0|1|2|3|4|5|6|7|8|9|10|11|12|16|19|25|22|14|13|17|24|21|23|18|20|15,fast,0.114,0.114
12,91dbbca4-7ac1-4b86-be36-4513988cc434,0|1|2|3|4|5|6|7|8|9|10|11|12|19|18|20|17|13|22|25|21|23|24|14|16|15,fast,0.115,0.115
13,f97950c8-bd4d-4fdf-97f5-94e0d850138f,0|1|2|3|4|5|6|7|8|9|10|11|12|20|22|15|16|13|19|18|17|14|23|25|21|24,fast,0.116,0.116
14,17c347bb-86f8-49fd-86b1-1b759a94e99d,0|1|2|3|4|5|6|7|8|9|10|11|12|18|22|13|17|25|16|23|20|21|14|19|15|24,fast,0.115,0.115
15,b050737d-3784-4225-b628-4dcb75d7803a,0|1|2|3|4|5|6|7|8|9|10|11|12|24|25|20|23|14|16|21|13|22|18|17|19|15,fast,0.114,0.114
16,b2264f12-e7e0-4506-82e8-6d4d5331306c,0|1|2|3|4|5|6|7|8|9|10|11|12|13|23|22|16|25|21|15|14|18|24|17|19|20,fast,0.115,0.115
17,be797a7d-416a-4e2e-9997-b19c64964373,0|1|2|3|4|5|6|7|8|9|10|11|12|13|15|20|21|16|17|23|18|24|19|22|25|14,fast,0.115,0.115
18,bcf704cc-2a9c-4945-8461-d66ab719b704,0|1|2|3|4|5|6|7|8|9|10|11|12|20|23|14|17|24|22|18|21|19|13|25|15|16,fast,0.115,0.115
19,3f828cc4-6b88-4fff-a18c-9c72ca9c9ac8,0|1|2|3|4|5|6|7|8|9|10|11|12|21|23|14|22|18|19|20|15|17|24|16|25|13,fast,0.115,0.115
20,461cc92b-3389-4981-9c05-8640e05a20f2,0|1|2|3|4|5|6|7|8|9|10|11|12|25|24|19|22|21|16|15|18|14|20|13|17|23,fast,0.116,0.116
