,ID,Phase,Mode,Runtime,Elapsed_Time
0,6aa10beb-0513-421b-97fa-5fa4296a1c5d,0|1|2|3|4|5|6|7|8|9|10|11|12|20|18|14|23|24|16|21|22|25|19|17|15|13,fast,0.13,0.13
1,c0161cb2-082e-45da-876c-5e1f9f273c76,0|1|2|3|4|5|6|7|8|9|10|11|12|17|16|19|15|13|25|22|18|21|23|20|24|14,fast,0.128,0.128
2,63f9bcf5-a03f-475f-9a92-7cc346eb2c69,0|1|2|3|4|5|6|7|8|9|10|11|12|24|18|16|25|23|20|13|15|19|21|17|14|22,fast,0.13,0.13
3,55de21de-ee24-4b42-84b5-a69d423e6bf9,0|1|2|3|4|5|6|7|8|9|10|11|12|13|21|25|17|24|22|16|18|19|15|20|14|23,fast,0.128,0.128
4,6756bfa0-7d25-429d-8fe1-9c2d469b32a9,0|1|2|3|4|5|6|7|8|9|10|11|12|15|19|23|14|16|18|13|20|24|21|22|17|25,fast,0.129,0.129
5,c97a37c4-faec-48e9-b9f1-8a5efe0bbe9b,0|1|2|3|4|5|6|7|8|9|10|11|12|24|16|18|22|15|23|25|17|19|14|21|20|13,fast,0.127,0.127
6,cdec044c-6caf-45e9-b2e1-58afa30fee97,0|1|2|3|4|5|6|7|8|9|10|11|12|25|18|19|14|15|23|21|22|17|20|16|13|24,fast,0.129,0.129
7,ae080d8e-e271-429b-aba0-c9606f8b800b,0|1|2|3|4|5|6|7|8|9|10|11|12|14|17|19|20|25|18|16|22|24|15|21|23|13,fast,0.131,0.131
8,bc50f995-5534-4a57-9a06-0830d20245ff,0|1|2|3|4|5|6|7|8|9|10|11|12|13|23|22|17|14|21|15|18|20|24|16|19|25,fast,0.129,0.129
9,225cda1f-e95f-4dca-88f5-d093011e04ae,0|1|2|3|4|5|6|7|8|9|10|11|12|21|13|14|18|24|19|23|16|20|17|22|25|15,fast,0.129,0.129
10,77b133b2-ab6f-4606-ae68-96a10d8ba116,0|1|2|3|4|5|6|7|8|9|10|11|12|21|15|13|22|20|24|16|18|23|25|14|17|19,fast,0.128,0.128
11,10b11e31-aad0-49dd-8623-2ecce442ccfa,0|1|2|3|4|5|6|7|8|9|10|11|12|25|15|21|20|14|23|24|22|18|19|16|13|17,fast,0.128,0.128
12,1ac13d2e-0d8b-45d6-b9f7-eaa541a4f8ac,0|1|2|3|4|5|6|7|8|9|10|11|12|16|15|13|17|21|24|22|19|20|25|14|18|23,fast,0.133,0.133
13,8e9e1076-6f81-41db-865a-76718ef16f4a,0|1|2|3|4|5|6|7|8|9|10|11|12|18|19|15|25|16|13|24|17|14|22|21|20|23,fast,0.128,0.128
14,8df6980b-aec9-4ee7-a8f4-5cf913de4d4a,0|1|2|3|4|5|6|7|8|9|10|11|12|25|23|21|16|20|13|22|18|24|17|15|19|14,fast,0.128,0.128
15,17c8ca95-f698-4698-aa40-1d79edf4e6d1,0|1|2|3|4|5|6|7|8|9|10|11|12|15|22|23|24|17|20|14|21|13|19|18|16|25,fast,0.128,0.128
16,4a8f813d-9538-49f6-8159-7434d5490689,0|1|2|3|4|5|6|7|8|9|10|11|12|16|24|22|23|25|17|20|19|15|13|18|21|14,fast,0.129,0.129
17,38cb55a4-bb48-439a-b6e5-76eedc6fe4ec,0|1|2|3|4|5|6|7|8|9|10|11|12|21|24|18|20|17|16|23|22|25|15|13|19|14,fast,0.129,0.129
18,9119a919-7b0f-4cf0-a534-88c40c836856,0|1|2|3|4|5|6|7|8|9|10|11|12|22|25|18|21|13|24|16|17|15|14|23|20|19,fast,0.131,0.131
19,64a9df51-a688-4d34-8498-cab2ef6b1641,0|1|2|3|4|5|6|7|8|9|10|11|12|15|14|24|18|22|19|20|21|17|25|16|13|23,fast,0.13,0.13
20,34edda6f-fd03-447e-bde3-268d95d43307,0|1|2|3|4|5|6|7|8|9|10|11|12|23|20|25|13|19|16|21|18|15|24|14|17|22,fast,0.13,0.13
21,d7a47fdf-d8a4-4561-b289-c6012f9cd03c,0|1|2|3|4|5|6|7|8|9|10|11|12|14|19|15|20|21|24|13|16|18|25|17|23|22,fast,0.131,0.131
22,9c2321a8-4f5c-49b2-bda9-8c0d75cd26e6,0|1|2|3|4|5|6|7|8|9|10|11|12|22|25|24|15|13|21|18|19|23|20|17|14|16,fast,0.131,0.131
23,af8f3496-d29f-42df-9d26-09282ee009ff,0|1|2|3|4|5|6|7|8|9|10|11|12|22|16|13|25|14|19|18|17|24|23|20|21|15,fast,0.133,0.133
24,a89e25d9-4282-4ce3-92f3-70e248bf0264,0|1|2|3|4|5|6|7|8|9|10|11|12|25|14|22|15|23|17|16|24|20|21|19|18|13,fast,0.129,0.129
25,1a2de54c-3922-44cc-94b4-619f4da23635,0|1|2|3|4|5|6|7|8|9|10|11|12|13|21|25|16|17|14|18|20|19|23|22|15|24,fast,0.131,0.131
26,92fc62ee-a1e8-460f-b336-266e73c594fd,0|1|2|3|4|5|6|7|8|9|10|11|12|13|25|22|15|21|20|16|19|23|14|17|24|18,fast,0.129,0.129
27,fd950119-79df-4580-a6df-ad8909d6f033,0|1|2|3|4|5|6|7|8|9|10|11|12|14|18|23|16|15|25|24|21|17|19|22|20|13,fast,0.129,0.129
28,8b66a2b1-a9fd-42c1-97a9-859a1889164b,0|1|2|3|4|5|6|7|8|9|10|11|12|23|20|24|17|13|21|14|19|18|16|22|25|15,fast,0.133,0.133
29,a23dd198-c241-4d41-b663-48ea1b1c37bf,0|1|2|3|4|5|6|7|8|9|10|11|12|17|13|19|15|25|14|22|24|21|16|23|18|20,fast,0.132,0.132
30,cbf13bb1-4cb8-4af4-94bc-997699865289,0|1|2|3|4|5|6|7|8|9|10|11|12|13|18|15|14|24|21|16|23|22|20|25|17|19,fast,0.129,0.129
31,3543ef04-debb-440e-835f-f9e3048bcd71,0|1|2|3|4|5|6|7|8|9|10|11|12|20|14|16|24|13|25|22|19|21|17|15|18|23,fast,0.129,0.129
32,938f0e6b-e42a-4811-91dc-cc9692ccad83,0|1|2|3|4|5|6|7|8|9|10|11|12|24|20|16|25|22|13|15|21|23|19|18|17|14,fast,0.13,0.13
33,f37b5eb1-eea9-4fb5-bc3e-6e5a4b250c3a,0|1|2|3|4|5|6|7|8|9|10|11|12|19|23|17|13|15|20|14|25|21|16|22|18|24,fast,0.13,0.13
