,ID,Phase,Mode,Runtime,Elapsed_Time
0,a9a1f588-2fd7-4031-bdde-40cde833eb2c,0|1|2|3|4|5|6|7|8|9|10|11|12|13|15|17|22|19|18|20|16|14|21,fast,0.133,0.133
1,114426bf-08ba-4616-84a3-1355344a1e99,0|1|2|3|4|5|6|7|8|9|10|11|12|13|15|21|22|19|16|14|20|18|17,fast,0.127,0.127
2,be3e8566-bf18-4c92-b107-34ea1fc6111d,0|1|2|3|4|5|6|7|8|9|10|11|12|13|16|14|17|20|15|19|18|22|21,fast,0.127,0.127
3,430d0489-270b-4225-a288-e4ab1eb2b113,0|1|2|3|4|5|6|7|8|9|10|11|12|13|19|17|21|15|14|22|16|18|20,fast,0.128,0.128
4,641ac95f-7fe7-466a-9971-644edb4c9973,0|1|2|3|4|5|6|7|8|9|10|11|12|13|20|21|18|19|17|15|14|16|22,fast,0.128,0.128
5,0c80df7f-5699-4961-a4c9-2b32ceb3fa08,0|1|2|3|4|5|6|7|8|9|10|11|12|13|15|22|18|16|21|20|14|19|17,fast,0.128,0.128
6,ac11592d-b4ed-44a4-8227-5ead1973e25e,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|22|21|19|20|18|17|16|15,fast,0.13,0.13
7,9279c39c-8b35-481f-a136-d741dd7b8954,0|1|2|3|4|5|6|7|8|9|10|11|12|13|17|15|18|21|22|16|19|20|14,fast,0.127,0.127
8,2cf544d0-44e9-493a-809c-33a0020ff196,0|1|2|3|4|5|6|7|8|9|10|11|12|13|16|14|17|19|20|22|15|18|21,fast,0.128,0.128
9,5bf1525d-f75f-475f-afd0-2fc37a0ba3d1,0|1|2|3|4|5|6|7|8|9|10|11|12|13|16|14|19|17|22|18|15|21|20,fast,0.127,0.127
10,eac8f6ca-89f6-42b6-8c4d-8518a30beac7,0|1|2|3|4|5|6|7|8|9|10|11|12|13|18|19|21|14|20|16|17|22|15,fast,0.128,0.128
11,800dc4b2-4926-48d9-9d65-a0511974160c,0|1|2|3|4|5|6|7|8|9|10|11|12|13|21|19|18|22|20|16|17|14|15,fast,0.129,0.129
12,f3955c12-aa37-4b2c-a168-3df652d481f7,0|1|2|3|4|5|6|7|8|9|10|11|12|13|21|16|18|19|22|17|15|14|20,fast,0.129,0.129
13,19ac609b-143e-4403-affb-af81d3a7e305,0|1|2|3|4|5|6|7|8|9|10|11|12|13|16|20|15|14|22|21|19|17|18,fast,0.128,0.128
14,7fda7e61-ce36-4420-a866-60c4544f0ed1,0|1|2|3|4|5|6|7|8|9|10|11|12|13|17|22|15|18|20|19|21|14|16,fast,0.128,0.128
15,d7933274-db64-4e47-b13a-dc8153bb24a1,0|1|2|3|4|5|6|7|8|9|10|11|12|13|20|21|18|17|19|16|22|15|14,fast,0.129,0.129
16,0c30975d-34b6-4121-8171-07c88acd0dde,0|1|2|3|4|5|6|7|8|9|10|11|12|13|16|22|20|18|14|15|21|17|19,fast,0.129,0.129
17,ed0b3181-0e3f-49f7-8cf3-3e4ad611b0b5,0|1|2|3|4|5|6|7|8|9|10|11|12|13|18|21|20|17|22|14|15|16|19,fast,0.128,0.128
18,d4a22519-528a-4a81-87bd-2f24aa036651,0|1|2|3|4|5|6|7|8|9|10|11|12|13|17|14|20|19|15|16|21|18|22,fast,0.127,0.127
